far overshadowed in importance 42
for investigation or examination 41
for investigation or prosecution 134
for irregularity in attendance 44
for irregularity of attendance 104
for irregularity of disposition 83
for irregularity of employment 216
for justification or explanation 49
for kindergarten or elementary 42
for laboratories in scientific 47
for magnificence of imagination 48
for manslaughter by negligence 121
for modernization of facilities 110
for modifications or alterations 63
for nationalistic or ideological 78
for neurological or psychiatric 59
for normalization of diplomatic 184
for notwithstanding the difference 45
for nullification or impairment 72
for organizations to accomplish 59
for organizations to understand 264
for osteoarthritis or rheumatoid 110
for overestimating the importance 77
for participants in collective 82
for participants to articulate 52
for participants to contribute 106
for participants to experience 252
for participants to experiment 44
for participants to understand 498
for participation by interested 78
for participation by scientists 42
for participation in activities 929
for participation in collective 357
for participation in competition 46
for participation in curriculum 187
for participation in democratic 576
for participation in discussions 109
for participation in educational 259
for participation in employment 113
for participation in exhibitions 82
for participation in governance 347
for participation in government 3170
for participation in individual 183
for participation in intramural 93
for participation in management 787
for participation in negotiations 60
for participation in particular 98
for participation in productive 117
for participation in recreational 152
for participation in scientific 77
for participation in subsequent 63
for participation in traditional 62
for participation in university 252
for participation is determined 48
for performances of shakespeare 74
for performances of traditional 59
for philosophers of mathematics 69
for philosophers to understand 44
for physiological or biochemical 48
for policymakers to understand 152
for practitioners of management 320
for practitioners of traditional 84
for practitioners to contribute 40
for practitioners to understand 532
for preschoolers to understand 59
for privatization of government 199
for professionals in government 61
for professionals in psychology 45
for professionals to understand 336
for profoundness or penetration 93
for prophylactic or therapeutic 630
for psychiatrists to understand 40
for qualification of indentures 59
for reconstructing the chronology 113
for reconstructing the government 138
for reconstructing the historical 259
for reinvestment in productive 54
for relationships or connections 71
for reorganization in bankruptcy 119
for reorganization of government 71
for reorganization or arrangement 70
for reorganization or liquidation 100
for republication of defamatory 122
for retrenchment in government 68
for revolutionizing the scientific 75
for schizophrenia at chromosome 52
for schizophrenia in apparently 111
for schizophrenia on chromosome 707
for shareholders to understand 49
for significance by comparison 59
for significance of correlation 64
for significance of difference 1121
for significance of individual 67
for specialization in particular 82
for stabilization of currencies 64
for stabilization of employment 181
for stabilization of greenhouse 45
for stakeholders to understand 120
for sterilization of endoscopes 50
for sterilization of laboratory 40
for subordination to colonialism 208
for subscriptions to newspapers 125
for subscriptions to periodicals 106
for transcription or replication 70
for transcription or translation 67
for transparency in government 162
for unemployment in shipbuilding 73
for unemployment is employment 248
for unemployment or disability 73
for universality of membership 76
for universities to contribute 42
for unreliability of measurement 210
for visualization of structures 70
