far in 40 far in
as 170 for in 1240
for is 186 for of
220 for on 57 for
or 69 for to 83
for as 64 for in
1193 for is 173 for
of 43 for or 47
for to 165 for of
77 for in 85 for
to 70 for in 46
for in 215 for in
57 for is 63 for
of 78 for to 65
for of 48 for as
53 for in 169 for
is 157 for or 54
for to 46 for in
278 for in 55 for
is 59 for of 46
for in 77 for to
60 for in 64 for
is 50 for to 66
for of 43 for of
52 for in 54 for
to 43 for in 54
for as 291 for on
44 for of 41 for
to 48 for to 46
for to 69 for to
64 for in 100 for
in 47 for in 120
for of 92 for of
140 for of 215 for
to 43 for of 63
for of 4411 for on
51 for of 120 for
of 179 for in 48
for of 964 for on
83 for as 123 for
in 53 for on 1852
for to 94 for of
228 for of 180 for
on 90 for in 68
for of 147 for of
338 for in 182 for
on 49 for in 189
for of 59 for on
88 for to 48 for
of 50 for the 57
for by 79 for of
76 for in 80 for
in 150 for to 55
for in 185 for to
217 for in 52 for
of 884 for in 143
for of 114 for in
64 for in 77 for
in 47 for in 108
for is 101 for to
175 for in 69 for
the 45 for in 79
for in 60 for to
49 for is 54 for
of 74 for of 98
for or 45 for of
58 for in 49 for
to 150 for to 45
for in 109 for of
144 for in 55 for
is 85 for of 54
for in 75 for in
50 for in 107 for
in 251 for in 54
for by 49 for in
54 for is 40 for
of 80 for in 49
for as 228 for by
66 for in 412 for
is 172 for of 169
for or 115 for to
83 for of 44 for
in 396 for in 113
for of 64 for in
53 for as 3951 for
at 1698 for be 97
for by 1161 for if
207 for in 36740 for
is 8674 for it 129
for of 15230 for on
1133 for or 1353 for
so 202 for the 785
for to 2627 for via
66 for we 44 for
of 299 for of 181
for in 44 for of
52 for as 41 for
at 45 for by 221
for in 116 for is
58 for of 1364 for
or 158 for in 44
for as 49 for by
48 for in 650 for
is 116 for of 142
for or 82 for to
40 for in 50 for
in 49 for in 75
for in 237 for is
41 for or 73 for
of 47 for in 86
for as 101 for at
339 for in 254 for
is 651 for of 99
for the 256 for to
55 for in 264 for
of 119 for in 373
for to 45 for in
80 for to 46 for
to 45 for in 64
for is 41 for of
76 for in 63 for
as 61 for in 75
for is 59 for in
110 for is 84 for
or 95 for in 45
for in 96 for in
126 for is 40 for
or 48 for in 94
for in 58 for is
114 for in 485 for
is 65 for to 98
for in 115 for is
192 for of 105 for
the 47 for to 43
for is 56 for of
112 for of 65 for
in 48 for in 110
for of 74 for of
69 for of 42 for
to 102 for of 209
for in 98 for on
42 for in 44 for
in 45 for at 155
for in 135 for of
47 for to 562 for
in 102 for in 50
for at 99 for in
180 for is 91 for
in 50 for of 80
for in 115 for of
47 for of 80 for
of 67 for of 66
for in 47 for in
73 for in 45 for
in 69 for of 108
for in 158 for in
42 for in 163 for
as 100 for at 62
for in 396 for is
130 for of 684 for
on 149 for or 47
for on 127 for to
60 for as 53 for
to 61 for of 215
for of 252 for of
49 for to 430 for
of 40 for to 155
for by 72 for of
208 for to 159 for
of 60 for in 125
for the 45 for in
147 for in 93 for
of 54 for in 69
for of 104 for in
81 for in 973 for
in 63 for of 52
for of 79 for on
137 for in 96 for
on 133 for in 109
for of 56 for of
125 for the 49 for
in 44 for of 68
for of 53 for at
155 for in 64 for
to 76 for of 51
for to 65 for in
48 for of 47 for
in 197 for is 41
for to 81 for in
58 for in 78 for
of 61 for in 128
for in 114 for on
66 for to 62 for
in 47 for to 54
for as 47 for in
152 for is 58 for
of 64 for or 99
for to 253 for to
66 for in 51 for
in 69 for of 56
for as 304 for by
70 for in 970 for
is 268 for of 75
for on 89 for or
117 for the 40 for
to 2760 for in 113
for is 129 for of
89 for to 64 for
in 68 for of 48
for of 133 for in
152 for is 98 for
of 70 for on 113
for or 55 for to
89 for in 131 for
to 43 for in 40
for in 69 for in
255 for of 50 for
in 54 for of 41
for of 67 for of
46 for of 42 for
of 49 for of 164
for in 45 for in
44 for in 66 for
in 126 for in 294
for to 60 for in
49 for of 54 for
as 57 for at 136
for by 402 for in
655 for is 347 for
on 325 for or 274
for to 150 for of
67 for of 50 for
in 43 for in 57
for in 88 for of
41 for in 88 for
or 45 for of 686
for in 78 for as
348 for at 110 for
by 68 for in 1927
for is 344 for of
155 for the 123 for
to 324 for of 100
for of 73 for or
96 for to 49 for
in 51 for in 202
for or 71 for to
45 for of 53 for
to 45 for in 103
for in 63 for of
44 for as 50 for
of 53 for of 163
for to 42 for of
77 for of 135 for
of 41 for at 48
for of 412 for in
67 for in 62 for
of 218 for in 74
for of 137 for to
434 for as 61 for
by 43 for in 264
for of 273 for of
101 for in 46 for
on 81 for of 113
for of 110 for in
401 for of 257 for
in 61 for of 91
for to 41 for by
142 for if 69 for
in 187 for of 40
for on 62 for to
163 for in 47 for
of 161 for in 73
for of 120 for of
45 for of 291 for
of 41 for of 40
for of 52 for to
142 for of 86 for
by 41 for of 113
for of 375 for in
52 for of 462 for
or 57 for of 53
for by 103 for of
117 for to 561 for
to 92 for of 58
for of 40 for is
40 for of 121 for
of 78 for on 51
for of 55 for of
60 for of 191 for
of 49 for in 68
for of 354 for of
196 for of 77 for
of 62 for of 83
for of 45 for of
87 for as 197 for
at 150 for by 231
for if 46 for in
1213 for is 283 for
of 704 for on 239
for or 142 for to
79 for of 45 for
in 47 for of 1465
for of 83 for in
65 for to 85 for
of 43 for of 42
for of 164 for in
55 for of 248 for
of 61 for of 180
for in 157 for is
48 for of 89 for
on 890 for to 58
for of 161 for in
844 for of 184 for
to 69 for of 42
for by 73 for in
90 for in 312 for
by 152 for in 427
for of 380 for of
77 for of 45 for
in 171 for is 50
for of 69 for in
43 for of 82 for
of 112 for in 42
for of 129 for on
225 for in 103 for
in 157 for of 234
for to 669 for in
76 for of 48 for
of 63 for of 1298
for in 58 for or
83 for of 66 for
of 96 for in 61
for to 63 for in
139 for of 252 for
in 184 for by 185
for or 101 for to
64 for to 50 for
in 98 for by 81
for in 62 for by
96 for of 118 for
as 180 for by 169
for in 381 for is
189 for of 509 for
on 46 for or 118
for to 49 for of
70 for as 56 for
in 94 for is 53
for of 408 for or
61 for in 64 for
of 184 for or 51
for to 81 for by
52 for in 142 for
of 58 for or 156
for of 99 for is
57 for in 44 for
to 177 for to 48
for in 46 for to
142 for in 66 for
to 241 for in 67
for to 149 for of
47 for in 171 for
in 150 for in 99
for in 93 for in
49 for in 302 for
is 195 for or 73
for to 45 for as
152 for at 70 for
in 955 for is 179
for of 66 for on
65 for or 96 for
to 139 for by 43
for in 86 for of
54 for by 508 for
by 121 for in 1947
for to 237 for of
48 for in 51 for
in 230 for is 59
for in 47 for of
43 for in 63 for
in 65 for of 56
for of 61 for in
54 for of 48 for
in 81 for in 79
for in 261 for is
46 for to 41 for
in 65 for in 147
for of 141 for in
50 for is 47 for
of 53 for in 47
for in 63 for or
60 for by 76 for
in 50 for in 49
for in 108 for is
44 for by 42 for
in 166 for is 123
for of 144 for or
53 for in 80 for
in 192 for on 40
for in 55 for as
68 for of 65 for
in 219 for is 64
for to 54 for in
43 for as 159 for
at 55 for by 461
for if 73 for in
3813 for is 191 for
of 97 for on 509
for or 73 for to
694 for in 459 for
or 135 for in 45
for in 130 for to
67 for in 53 for
to 44 for in 41
for in 122 for to
122 for in 83 for
in 45 for of 41
for of 49 for in
73 for in 64 for
in 127 for is 40
for of 56 for or
96 for to 151 for
of 62 for of 70
for in 48 for in
115 for of 177 for
of 45 for of 44
for to 158 for in
106 for is 53 for
of 107 for to 121
for of 50 for of
111 for by 87 for
in 138 for is 210
for of 389 for on
60 for to 71 for
in 78 for is 69
for of 61 for of
44 for of 296 for
is 105 for in 78
for of 42 for in
90 for in 68 for
at 67 for in 116
for is 60 for in
127 for in 197 for
in 164 for in 318
for of 110 for of
197 for in 43 for
in 59 for to 43
for of 45 for in
59 for on 45 for
in 57 for in 46
for in 1703 for in
67 for in 104 for
of 57 for in 52
for to 55 for in
55 for of 73 for
of 92 for to 142
for of 72 for in
49 for in 53 for
in 59 for to 65
for of 72 for or
51 for to 43 for
in 169 for is 67
for of 73 for of
85 for of 88 for
of 46 for of 46
for in 60 for of
49 for in 40 for
of 367 for in 41
for of 196 for is
53 for of 54 for
of 69 for in 1162
for is 87 for to
40 for by 50 for
in 197 for is 57
for in 44 for is
72 for in 154 for
as 42 for in 242
for to 96 for to
253 for to 57 for
in 47 for by 51
for in 112 for of
47 for on 165 for
on 71 for in 57
for in 126 for on
136 for on 81 for
in 57 for of 57
for in 40 for or
45 for to 77 for
of 121 for of 65
for as 179 for in
230 for is 87 for
of 43 for or 133
for as 224 for at
63 for by 52 for
in 501 for is 131
for or 319 for to
76 for of 77 for
at 43 for on 48
for to 52 for or
202 for as 640 for
at 75 for by 68
for in 570 for is
325 for of 287 for
on 75 for or 374
for to 141 for in
94 for of 42 for
in 58 for of 87
for as 156 for in
382 for is 109 for
of 43 for or 170
for as 103 for in
102 for is 214 for
in 92 for is 100
for or 93 for by
42 for in 58 for
in 627 for of 149
for as 42 for if
82 for in 293 for
is 113 for to 110
for in 70 for to
55 for as 185 for
en 329 for in 275
for is 66 for of
59 for or 445 for
to 54 for of 48
for of 63 for to
51 for of 119 for
of 65 for of 49
for as 184 for at
48 for in 166 for
is 180 for of 246
for to 81 for in
72 for is 48 for
of 79 for at 71
for in 71 for of
149 for or 70 for
to 54 for of 83
for of 107 for of
94 for of 58 for
of 75 for of 355
for of 42 for of
96 for in 107 for
in 63 for in 158
for in 55 for to
40 for of 149 for
to 55 for in 109
for of 134 for to
144 for in 50 for
is 51 for by 50
for in 77 for in
70 for in 148 for
of 44 for in 77
for to 78 for of
48 for as 105 for
in 433 for of 349
for to 155 for as
62 for to 161 for
of 50 for of 263
for of 55 for of
84 for by 44 for
in 61 for of 53
for to 82 for of
40 for of 51 for
of 63 for as 180
for in 124 for of
825 for in 2775 for
of 130 for to 102
for of 41 for of
56 for in 92 for
of 455 for by 54
for in 51 for in
157 for of 168 for
of 83 for in 353
for is 48 for of
283 for or 42 for
of 54 for of 63
for of 52 for by
66 for in 277 for
in 68 for of 73
for in 477 for of
196 for of 47 for
as 41 for of 283
for or 55 for of
65 for at 70 for
to 97 for to 70
for of 131 for on
82 for to 61 for
of 49 for of 58
for to 63 for to
67 for as 196 for
in 552 for of 229
for to 70 for to
338 for in 69 for
of 208 for in 618
for of 44 for of
55 for to 52 for
in 135 for of 80
for in 41 for in
58 for in 47 for
to 63 for to 49
for to 84 for to
58 for at 117 for
in 98 for is 40
for of 554 for if
58 for in 212 for
in 43 for of 54
for in 109 for in
572 for of 391 for
on 459 for of 58
for in 63 for is
46 for to 42 for
in 63 for is 84
for in 66 for in
61 for or 72 for
in 173 for of 74
for of 40 for of
122 for of 97 for
of 62 for of 283
for in 87 for of
109 for of 2176 for
by 93 for in 507
for by 102 for in
42 for in 66 for
by 1004 for in 133
for the 76 for in
128 for of 44 for
of 59 for by 55
for of 162 for the
41 for the 320 for
by 72 for by 263
for in 67 for or
57 for by 67 for
to 332 for in 93
for in 63 for to
147 for by 78 for
by 51 for at 67
for by 153 for in
124 for to 797 for
of 126 for in 89
for the 58 for of
89 for of 149 for
of 58 for to 52
for to 228 for to
196 for of 193 for
to 106 for to 278
for by 70 for to
60 for in 50 for
at 83 for in 473
for or 53 for to
85 for in 126 for
of 63 for of 83
for of 43 for of
72 for of 57 for
of 45 for of 66
for of 52 for is
109 for is 76 for
in 56 for in 63
for of 46 for of
155 for in 240 for
of 81 for of 40
for of 163 for in
49 for in 159 for
is 43 for of 55
for to 337 for to
63 for in 51 for
to 45 for in 52
for as 117 for in
276 for is 85 for
or 93 for to 278
for in 56 for in
69 for in 80 for
as 141 for at 45
for in 116 for or
101 for in 83 for
in 90 for is 47
for or 55 for in
64 for in 105 for
is 42 for in 60
for as 53 for in
581 for is 66 for
or 45 for to 46
for in 50 for in
80 for or 41 for
in 76 for is 82
for to 45 for on
42 for to 446 for
or 45 for of 267
for of 74 for in
179 for the 55 for
my 49 for in 72
for of 49 for in
123 for by 47 for
of 349 for in 417
for in 85 for to
64 for of 80 for
of 301 for to 56
for of 40 for of
48 for of 169 for
to 40 for in 52
for of 130 for as
158 for by 41 for
in 182 for is 94
for on 60 for or
61 for to 62 for
to 40 for by 73
for in 237 for is
79 for of 108 for
on 65 for or 224
for of 70 for of
58 for in 45 for
of 51 for as 50
for in 648 for is
72 for of 48 for
on 70 for in 366
for of 54 for in
52 for in 54 for
to 121 for as 280
for at 64 for by
111 for in 651 for
is 521 for of 101
for on 90 for or
167 for the 53 for
to 156 for is 72
for at 78 for in
150 for of 128 for
or 41 for of 47
for to 90 for as
237 for at 52 for
by 255 for in 779
for is 419 for it
42 for of 539 for
on 91 for or 457
for to 394 for in
51 for or 65 for
to 120 for of 844
for by 85 for to
74 for in 100 for
or 123 for to 49
for of 58 for or
41 for or 170 for
of 217 for of 55
for in 173 for of
540 for or 48 for
of 56 for of 47
for as 49 for at
61 for in 163 for
or 404 for to 113
for as 259 for in
132 for on 1405 for
or 57 for to 154
for in 41 for of
44 for in 69 for
of 97 for of 48
for of 46 for of
42 for of 48 for
as 702 for at 156
for be 61 for by
862 for he 74 for
if 342 for in 1322
for is 1614 for it
132 for of 16550 for
on 546 for or 2194
for the 388 for to
824 for on 45 for
or 65 for on 107
for of 47 for of
48 for of 59 for
in 42 for of 52
for in 115 for is
85 for of 1343 for
in 107 for in 1706
for by 47 for on
48 for in 93 for
is 133 for to 78
for to 53 for to
63 for to 40 for
in 75 for to 93
for to 54 for of
91 for to 44 for
of 59 for to 54
for in 53 for of
137 for in 54 for
of 119 for of 52
for as 252 for at
83 for by 61 for
if 244 for in 2325
for is 994 for of
132 for on 71 for
or 217 for to 428
for of 52 for in
113 for of 163 for
of 78 for of 151
for in 125 for in
105 for is 47 for
to 179 for of 41
for in 63 for in
43 for of 47 for
of 43 for of 46
for in 70 for in
72 for of 70 for
in 239 for at 79
for in 374 for is
47 for of 130 for
in 46 for of 48
for to 692 for of
42 for to 73 for
to 98 for in 66
for of 43 for of
46 for on 43 for
in 93 for if 58
for in 126 for in
258 for of 58 for
of 146 for of 60
for at 56 for is
93 for of 407 for
in 42 for of 162
for of 572 for in
58 for is 64 for
to 88 for in 50
for of 48 for of
132 for is 54 for
is 64 for it 43
for in 608 for is
126 for on 65 for
in 65 for in 58
for of 224 for to
52 for of 45 for
