tail functions 151 tail
taking decisions 66 taking
elements 49 taking positions
2096 taking subjects 130
taking decisions 354 taking
subjects 43 taking products
47 taking seriously 54
taking receipts 632 taking
decisions 104 taking exercise
47 taking pictures 47
taking interest 80 taking
salaries 53 taking decisions
96 taking estrogen 96
taking hormones 83 taking
vacations 101 taking positions
40 taking positions 50
taking remedies 233 taking
journeys 62 taking decisions
1258 taking positions 69
taking positions 849 taking
hundreds 45 taking decisions
77 taking properly 73
taking containing 54 taking
decisions 94 taking decisions
94 taking exercise 140
taking seriously 56 taking
glimpses 47 taking potshots
41 taking seriously 554
taking decisions 601 taking
positions 373 taking directly
43 taking chloride 90
taking decisions 88 taking
positions 79 taking exercise
49 taking security 92
taking seriously 40 taking
education 104 taking decisions
346 taking positions 73
taking exercise 159 taking
messages 976 taking seriously
50 taking concerning 63
taking seriously 954 taking
estrogen 173 taking decisions
41 taking medicine 44
taking decisions 143 taking
positions 277 taking education
107 taking exercise 231
tale descends 43 talk
languages 1090 talk nonsense
115 talk nonsense 85
tall chimneys 81 tall
containing 53 tall chimneys
57 tall receiver 49
tall cylinder 67 tall
perennial 234 tall chimneys
52 tall balanced 44
tall pyramids 40 tall
intended 46 tank regiment
73 tank attached 214
tank equipped 116 tank
reported 60 tank directly
43 tank battalion 3528
tank doctrine 238 tank
regiment 217 tank increased
49 tape containing 47
tape machines 61 tape
containing 55 tape attached
53 tape designed 65
tape equipped 108 tape
produced 109 tape provided
46 tape programs 284
tape controls 149 taping
programs 151 task algorithm
197 task decisions 81
task problems 112 task
strategy 85 task execution
64 task requires 73
task american 158 task
sociology 50 task execution
45 task challenging 73
task afforded 43 task
assigned 47 task involves
49 task requires 81
task devolved 44 task
assigned 78 task involves
65 task requires 48
task involves 128 task
requires 85 taxing property
75 taxing received 93
taxing personal 67 taxing
property 182 taxing business
46 teach subjects 78
teach education 193 teach
languages 114 teach subjects
244 teach behaviors 62
teach students 45 teach
subjects 482 teach concepts
91 teach subjects 61
teach children 44 teach
contrary 214 teach education
43 teach literacy 151
teach children 224 teach
concepts 196 teach children
85 teach relations 44
teach conflict 155 teach
divinity 53 teach medicine
67 teach morality 47
teach subjects 223 teach
children 356 teach concepts
168 teach languages 76
teach equations 41 teach
education 57 teach students
81 teach education 160
teach subjects 329 teach
students 41 teach subjects
80 teach salvation 194
teach education 80 teach
subjects 197 teams interest
57 teams followed 83
tearing whenever 61 tears
serpents 54 tears subsided
105 tech continue 42
tech materials 47 tech
clusters 88 tech products
108 tech projects 55
teen counseling 50 teen
epidemic 99 teen programs
554 teen reduction 58
teeth examined 65 teeth
slightly 131 teeth violently
197 teeth slightly 157
teeth normally 57 teeth
discover 63 tenth segments
1006 tenth declares 41
tenth provides 53 tenth
produced 61 tenth entitled
86 tenth district 83
tenth accorded 57 term
campaign 231 term contract
41 term disorder 65
term mortgage 243 term
variations 42 term coverage
101 term regimens 96
term treatment 2833 term
selection 153 term pneumonia
46 term deficits 325
term medicine 201 term
outcomes 210 term patterns
245 term problems 219
term recovery 293 term
sciences 186 term treatment
240 term interest 55
term response 43 term
relations 94 term heredity
100 term monitoring 140
term response 157 term
problems 41 term governor
40 term potential 41
term includes 64 term
disorder 152 term neurosis
154 term exposure 99
term marriages 114 term
benefits 142 term deficits
549 term functioning 206
term outcomes 60 term
activity 47 term benefits
248 term borrowings 127
term contract 50 term
interest 221 term potential
492 term progress 269
term purposes 92 term
relations 253 term strategy
99 term ventures 86
term viability 540 term
benefits 128 term capacity
46 term dynamics 200
term education 169 term
hospital 59 term organizing
42 term projects 113
term recovery 236 term
relations 63 term treatment
57 term syphilis 50
term validity 168 term
containing 157 term directly
42 term executed 40
term included 57 term
increased 185 term provided
147 term reported 43
term specifying 61 term
disorder 157 term borrowings
160 term financial 151
term interest 171 term
strategy 1541 term survival
214 term viability 101
term treatment 178 term
employed 75 term strategy
92 term requires 174
term analysis 339 term
selection 71 term evolution
162 term dynamics 136
term response 103 term
treatment 135 term benefits
96 term politics 47
term strategy 117 term
potential 170 term provided
62 term response 170
term services 131 term
situation 98 term treatment
147 term evidence 121
term policies 268 term
exercise 394 term contract
191 term purchasing 230
term director 58 term
functions 129 term memories
142 term accuracy 129
term purposes 151 term
indicate 101 term analysis
119 term response 245
term variations 118 term
analysis 302 term capacity
118 term deficits 155
term literacy 184 term
outcomes 673 term recovery
327 term response 52
term accepted 439 term
assigned 52 term connotes
100 term employed 1079
term excludes 55 term
includes 283 term referred
120 term reserved 274
term suggests 44 term
acquired 93 term extended
45 term materials 51
term contract 57 term
payments 181 term programs
592 term democrat 122
term education 186 term
expansion 125 term exposure
100 term policies 185
term projects 296 term
relations 789 term strategy
800 term exposure 690
term toxicity 115 term
hospital 111 term programs
192 term services 125
term treatment 1402 term
interest 46 term benefits
403 term business 2290
term contract 1042 term
coverage 1610 term decreases
134 term increases 480
term industry 108 term
policies 3408 term premiums
1208 term proceeds 98
term products 240 term
provided 367 term provides
824 term variations 111
term exercise 53 term
quantity 86 term services
87 term treatment 900
term deposits 244 term
interest 96 term coincide
83 term required 84
term activity 108 term
includes 52 term projects
84 term engineering 90
term evolution 563 term
movement 222 term analysis
161 term problems 1496
term signifying 100 term
suggests 48 term lymphoma
96 term melanoma 48
term decisions 145 term
regimens 502 term treatment
222 term practice 124
term treatment 114 term
acidosis 359 term syndrome
60 term invasive 95
term suggests 54 term
articles 52 term aperture
140 term referred 46
term remained 141 term
strategy 48 term cultures
47 term treatment 49
term mortgage 97 term
resident 483 term policies
40 term exposure 140
term includes 87 term
activity 158 term alliances
128 term ambitions 355
term benefits 866 term
concerns 337 term conflict
96 term decisions 294
term dynamics 49 term
education 144 term evolution
153 term fortunes 42
term horizons 46 term
interest 1034 term movement
91 term potential 46
term pressure 267 term
prisoner 175 term problems
519 term projects 106
term purposes 525 term
relations 103 term security
130 term situation 114
term solutions 349 term
strategy 1913 term struggle
332 term survival 514
term viability 269 term
declines 560 term dynamics
1318 term explosion 243
term increases 101 term
monitoring 176 term movement
115 term pressure 114
term survival 149 term
viability 374 term depletion
46 term benefits 119
term problems 124 term
solutions 45 term interval
182 term programs 95
term strategy 92 term
employed 65 term reserved
110 term involved 144
term underlying 44 term
capacity 460 term decisions
286 term increases 152
term potential 990 term
problems 142 term programs
44 term schedule 210
term scheduling 974 term
strategy 42 term remained
127 term afforded 126
term provided 51 term
patients 170 term required
84 term selection 206
term analysis 126 term
employed 97 term involves
104 term contract 116
term database 284 term
response 138 term resource
52 term schedule 127
term formation 97 term
controls 44 term executes
52 term analysis 51
term education 233 term
attention 62 term evolution
64 term medicine 121
term confused 59 term
connotes 46 term employed
4462 term includes 202
term referred 105 term
direction 58 term analysis
231 term problems 381
term required 157 term
requires 207 term survival
57 term treatment 483
term alliances 732 term
analysis 135 term approach
624 term benefits 390
term business 440 term
challenge 49 term concerns
304 term decisions 1588
term direction 851 term
economic 103 term interest
575 term partnering 43
term policies 139 term
positioning 175 term problems
101 term projects 120
term purposes 180 term
questions 138 term response
44 term exercise 101
term situation 102 term
analysis 179 term contains
116 term dynamics 608
term equations 450 term
observed 46 term provides
156 term reflects 271
term suggests 101 term
variables 144 term reported
102 term animation 69
term cultures 307 term
economic 154 term treatment
317 term analysis 140
term education 128 term
problems 117 term progress
63 term services 156
term solutions 103 term
includes 55 term response
75 term neurosis 270
term employed 61 term
estrogen 178 term business
170 term advances 304
term rhinitis 141 term
dynamics 385 term meaningless
48 term counseling 53
term education 586 term
guidance 538 term programs
147 term projects 157
test campaign 88 test
consists 816 test designed
155 test consists 64
test designed 512 test
designed 58 test employed
345 test included 253
test involved 187 test
outlined 103 test produced
50 test reported 113
test required 219 test
resulted 42 test selected
91 test simulating 40
test pursuant 83 test
diagnosis 67 test validity
294 test questions 56
test predicts 97 test
employed 105 test elements
50 test functions 48
test materials 235 test
policies 41 test possible
131 test scenarios 430
test solutions 193 test
variables 123 test response
63 test consists 473
test designed 338 test
employed 72 test included
45 test includes 147
test industry 55 test
normally 44 test provided
91 test provides 82
test required 3006 test
requires 72 test software
91 test suitable 61
test designed 178 test
involved 45 test accepted
138 test consists 69
test employed 64 test
includes 45 test involves
80 test provides 43
test requires 169 test
algorithm 1851 test approach
267 test problems 129
test programs 135 test
purposes 143 test software
161 test strategy 82
test provides 52 test
software 74 test advanced
40 test concerning 7122
test directly 42 test
explaining 42 test pertaining
102 test relative 53
test relevant 176 test
concerning 45 test computer
56 test exposure 76
test immunity 44 test
infection 117 test possible
59 test presence 73
test employed 65 test
initially 58 test definite
55 test pursuant 94
test employed 40 test
mentioned 151 test consists
1058 test designed 171
test employed 301 test
followed 320 test included
61 test includes 267
test involved 361 test
involves 895 test outlined
557 test proposed 239
test provides 245 test
required 225 test requires
1004 test provides 72
test indicate 121 test
containing 118 test included
61 test functions 81
test software 82 test
designed 62 test employed
57 test employed 78
test consisting 99 test
containing 284 test employed
113 test immersed 44
test included 45 test
machined 163 test obtained
122 test prepared 471
test produced 69 test
required 271 test compares
246 test computed 1699
test decreases 76 test
employed 362 test exceeded
151 test increases 285
test indicate 248 test
involves 303 test obtained
990 test produced 101
test proposed 599 test
provides 135 test reflects
159 test reported 153
test requires 267 test
suggests 116 test therefore
49 test consisting 56
test consists 84 test
directly 56 test injected
47 test produces 64
test relative 49 test
required 88 test concepts
179 test consists 242
test includes 44 test
involves 91 test requires
49 test sensation 84
test excludes 74 text
collated 43 text suggests
56 text formatting 122
text selected 133 text
containing 63 text containing
66 text children 43
text students 53 text
declares 92 text followed
40 text otherwise 179
text suggests 88 text
articles 55 text stresses
100 text suggests 45
text approach 86 text
functions 54 text packages
454 text programs 135
text services 75 text
software 910 text analysis
106 text strategy 69
text unchanged 123 thank
referees 300 thank publishing
78 thank involved 59
thank buchanan 42 thank
benjamin 55 thank christian
52 thank elizabeth 84
thank emeritus 200 thank
lawrence 138 thank margaret
70 thank nicholas 70
theft coverage 60 theft
policies 146 theft premiums
57 theft programs 55
their children 164 their
condition 47 their families
47 their homeland 86
their positions 68 their
property 395 their trenches
54 their vehicles 47
their villages 190 their
cavities 637 their segments
277 their symptoms 84
their compared 87 their
directly 43 their entitled
111 their relative 113
their capacity 340 their
possible 43 their spectrum
567 their decreased 59
their decreases 114 their
increased 79 their increases
305 their patterns 83
their relative 200 their
suggests 69 their seriously
53 their minerals 59
their pigments 65 their
proteins 100 their agencies
68 their functions 110
their displays 49 their
energies 1646 their functions
82 their increases 52
their inhibits 70 their
kinetics 43 their patterns
96 their produces 61
their products 73 their
requires 98 their threshold
131 their tendency 63
their patterns 55 their
potential 45 their problems
58 their behaviors 478
their patterns 64 their
potential 894 their benefits
64 their capacity 55
their children 47 their
comments 143 their education
126 their expenses 109
their financial 79 their
functions 95 their interest
67 their protocol 88
their purchasing 65 their
questions 81 their receipts
47 their reserves 63
their resource 46 their
revenues 50 their services
77 their supplies 45
their annually 64 their
believed 75 their increased
61 their numerous 48
their remained 105 their
suffered 41 their matrices
330 their relations 50
their attitude 54 their
capacity 43 their comedies
54 their doctrine 41
their execution 101 their
fidelity 75 their instinct
69 their military 45
their patience 138 their
personal 48 their practice
76 their progress 130
their tendency 45 their
treatment 45 their increased
76 their decisions 634
their officers 90 their
policies 1523 their programs
106 their affinity 47
their capacity 264 their
energies 137 their isotherms
363 their compared 54
their consists 78 their
relative 74 their whenever
149 their wherever 76
their accounts 255 their
activity 63 their agencies
3072 their approach 48
their brochure 97 their
business 170 their campaign
1175 their decisions 48
their directly 59 their
expenses 175 their managers
237 their materials 105
their messages 1094 their
policies 226 their potential
114 their problems 97
their programs 563 their
revenues 826 their services
90 their strategy 320
their believed 68 their
maintain 75 their entirely
49 their dimension 69
their disorder 76 their
displays 84 their elements
73 their impulses 46
their potential 94 their
relations 95 their response
489 their symptoms 72
their agencies 147 their
branches 121 their churches
56 their colleges 376
their entities 85 their
hospital 40 their networks
104 their children 159
their condition 133 their
families 156 their fortunes
47 their relative 109
their collation 50 their
devotions 49 their excursion
48 their exercise 144
their practice 46 their
adjusted 98 their advances
135 their authority 86
their business 92 their
capacity 1234 their condition
72 their deposits 327
their economic 177 their
emissions 60 their financial
80 their interest 103
their liability 53 their
military 66 their payments
49 their portfolio 46
their property 155 their
purchasing 100 their quantity
48 their receipts 101
their relations 222 their
reserves 68 their revenues
84 their salaries 80
their thickness 978 their
turnover 91 their directly
103 their outwards 144
their concerning 386 their
constant 359 their directed
287 their obtained 76
their patterns 55 their
provided 116 their provides
162 their required 49
their respecting 63 their
suffices 47 their potential
119 their chambers 1729
their innocent 212 their
beverage 133 their condition
51 their contents 72
their excesses 46 their
husbands 356 their partners
98 their patients 349
their problems 40 their
solutions 246 their subjects
99 their equations 70
their solutions 55 their
children 42 their condition
140 their property 54
their relative 137 their
criminal 47 their inherent
58 their directly 205
their entirely 49 their
remained 60 their required
63 their whenever 121
their bandwidth 164 their
positions 143 their treatment
78 their decisions 363
their formulas 48 their
patterns 59 their policies
91 their business 47
their deduction 70 their
emissions 59 their itemized
78 their personal 48
their stresses 158 their
increased 49 their products
700 their challenge 45
their excesses 60 their
expansion 78 their positions
68 their triumphs 47
their progress 108 their
exceeded 129 their increased
207 their attitude 314
their condition 45 their
identity 72 their positions
90 their relations 112
their situation 153 their
dwindled 40 their expended
331 their reserves 68
their supplies 491 their
ancestor 66 their operation
50 their decreased 53
their decreases 330 their
increased 161 their increases
713 their response 84
their activity 205 their
efficacy 190 their attempts
99 their positions 45
their comrades 47 their
accepted 86 their achieved
82 their acquired 228
their actually 128 their
assisted 53 their believed
255 their bequeathed 239
their concerning 153 their
continue 62 their declared
42 their depended 46
their directly 59 their
diverged 67 their embodied
46 their embraced 68
their employed 144 their
followed 245 their formerly
275 their happened 109
their hundreds 205 their
included 67 their intended
81 their invented 121
their likewise 59 their
migrated 1110 their mouldering
95 their observed 65
their obtained 158 their
occupied 799 their probably
461 their produced 58
their provided 75 their
received 358 their regarded
86 their rejected 47
their remained 272 their
rendered 48 their resisted
49 their returned 187
their strangers 44 their
suffered 489 their survived
144 their thousands 221
their traveled 82 their
wandered 96 their beginnings
62 their condition 103
their cultural 195 their
cultures 643 their dominions
168 their families 152
their forebears 43 their
founders 48 their greatness
92 their habitats 130
their heartland 43 their
heathenism 56 their heritage
2129 their homeland 8562
their homestead 75 their
hometown 43 their identity
234 their languages 970
their memories 152 their
migration 88 their mountain
61 their mythology 40
their paganism 100 their
pastures 71 their patterns
131 their practice 75
their property 1099 their
province 46 their relations
93 their religions 517
their religious 431 their
seminary 56 their tradition
484 their treasures 91
their villages 2563 their
vocations 40 their opposite
82 their services 275
their evidence 58 their
religions 46 their religious
52 their extended 46
their increased 102 their
intention 543 their policies
171 their programs 45
their purposes 114 their
condition 143 their magnetic
49 their positions 79
their relations 43 their
situation 168 their activity
281 their activity 177
their capacity 66 their
identity 44 their potential
42 their products 113
their activity 108 their
attitude 52 their behaviors
300 their impulses 261
their exemption 110 their
immunity 72 their policies
52 their statutes 51
their activity 614 their
concerning 242 their increased
129 their relieved 68
their upstairs 141 their
whenever 40 their activity
259 their authority 534
their endeavors 81 their
founders 52 their functions
175 their journeys 124
their ministry 362 their
singularly 82 their abruptly
44 their alongside 470
their annually 51 their
anywhere 140 their compared
143 their deceives 88
their depended 83 their
differed 84 their directly
108 their enhanced 43
their entirely 97 their
followed 78 their heralded
48 their improved 124
their improves 68 their
inclined 177 their increases
47 their indicate 79
their indicating 47 their
inspired 78 their involved
43 their officials 41
their opposite 55 their
otherwise 51 their possible
80 their precedes 52
their presents 41 their
probably 121 their produced
131 their produces 71
their promised 69 their
promptly 125 their provided
53 their provides 51
their provoked 63 their
recently 60 their recorded
50 their reflects 188
their relative 54 their
remained 71 their reminded
185 their rendered 87
their requires 53 their
resemble 64 their resembling
59 their silently 42
their slightly 97 their
sometime 79 their somewhat
721 their startled 89
their suddenly 618 their
suggesting 106 their suggests
840 their therefore 64
their warrants 133 their
whenever 218 their wherever
211 their capacity 71
their functions 66 their
demanded 62 their improved
58 their increased 119
their indulged 41 their
prompted 47 their required
90 their retarded 67
their returned 111 their
vehement 55 their authority
60 their business 208
their captains 41 their
channels 140 their circuits
77 their councils 40
their deputies 87 their
distance 43 their district
63 their functions 543
their governor 95 their
guardians 220 their locations
88 their managers 122
their minister 46 their
ministry 63 their officers
213 their officials 262
their positions 1552 their
purposes 89 their quarters
243 their servants 44
their services 55 their
programs 50 their valuation
60 their adulthood 117
their condition 82 their
downfall 96 their elections
48 their execution 76
their maturity 89 their
struggle 63 their sufferings
81 their attitude 45
their authority 265 their
commands 47 their decisions
201 their dictation 117
their disposal 54 their
exclusion 98 their exercise
122 their mandates 66
their seizures 50 their
selection 83 their standard
71 their treatment 165
their displays 40 their
accepted 65 their actually
47 their centered 81
their compelling 137 their
concerning 849 their confuted
56 their continue 52
their convince 42 their
convincing 484 their differed
72 their directly 221
their entirely 152 their
indicate 42 their produced
89 their provided 49
their received 68 their
referred 40 their remained
103 their seriously 254
their somewhat 42 their
stripped 45 their suddenly
42 their suggests 43
their supporting 107 their
averages 50 their homework
49 their problems 199
their industry 125 their
increased 43 their authority
189 their surfaces 4032
their barriers 55 their
condition 59 their dentures
48 their education 64
their isolation 66 their
mixtures 46 their paradise
69 their pleasures 45
their relations 45 their
selection 44 their synthesis
48 their barrages 190
their captured 170 their
directed 78 their officers
189 their opposite 42
their positions 280 their
practice 348 their remained
92 their silenced 47
their whistled 179 their
families 61 their positions
145 their concerning 366
their respecting 138 their
behaviors 57 their attention
258 their director 51
their managers 100 their
officers 50 their accounts
50 their activity 170
their afferent 78 their
agencies 128 their analysis
44 their antennas 53
their argument 43 their
arteries 66 their auxiliary
58 their behaviors 491
their benefits 398 their
boundary 216 their branches
66 their business 183
their capacity 677 their
cellular 91 their channels
110 their chemical 311
their churches 68 their
circuits 623 their clinical
303 their clusters 53
their colleges 48 their
commands 162 their comments
52 their companion 68
their computer 285 their
concepts 484 their concerns
72 their condition 50
their contacts 72 their
contents 66 their contexts
122 their controls 294
their cortical 52 their
counters 45 their counties
73 their critical 111
their cultural 955 their
cultures 372 their currents
151 their database 73
their delivery 143 their
deposits 422 their displays
97 their document 58
their domestic 52 their
drainage 190 their durations
55 their dynamics 75
their economic 330 their
electric 155 their electron
254 their elements 395
their emissions 71 their
emotional 273 their energies
271 their entities 76
their equations 127 their
execution 51 their expected
74 their expenses 185
their external 82 their
families 81 their feedback
77 their financial 179
their functions 886 their
geometric 46 their graphics
50 their habitats 222
their hardware 310 their
hormones 66 their hydrogen
104 their increased 63
their industry 50 their
injuries 95 their interest
244 their internal 266
their keywords 252 their
languages 145 their linguistic
98 their locations 50
their magnetic 431 their
marginal 120 their materials
212 their matrices 108
their melodies 56 their
memories 181 their messages
113 their microbes 81
their microbial 91 their
military 62 their minerals
272 their missiles 431
their monetary 84 their
mythology 49 their negative
138 their networks 284
their operands 55 their
outcomes 388 their particle
41 their pathogens 61
their pathology 47 their
patterns 389 their peptides
68 their personal 68
their physical 476 their
pipework 47 their pleasures
69 their pointers 78
their policies 131 their
politics 58 their pollution
103 their positions 72
their positive 84 their
potential 287 their pressure
217 their problems 1457
their processing 555 their
products 416 their programs
215 their projects 72
their property 88 their
proteins 1341 their questions
118 their receptor 57
their relations 107 their
relative 98 their religious
125 their residual 89
their resource 112 their
response 130 their revenues
92 their routines 77
their sanctions 45 their
sebaceous 154 their security
237 their sediment 53
their segments 47 their
semantic 166 their sequence
49 their services 436
their skeletal 50 their
software 543 their solutions
142 their specific 60
their standard 1716 their
stresses 50 their supporting
58 their switches 60
their symbolic 99 their
symptoms 394 their synapses
56 their temporal 57
their terminal 114 their
toxicity 85 their transfer
54 their treatment 55
their underlying 53 their
variables 406 their variances
185 their vascular 142
their velocity 47 their
vesicles 55 their villages
98 their volcanic 97
their wetlands 183 their
wildlife 156 their actively
50 their believed 94
their indicate 50 their
involved 42 their obtained
52 their prepared 41
their produced 50 their
proposed 40 their provided
81 their received 95
their reported 144 their
suffered 52 their constant
40 their deepened 57
their patterns 78 their
remained 70 their resulted
42 their concerning 92
their capacity 147 their
industry 51 their progress
61 their vitality 100
their impulses 56 their
conquest 357 their deception
105 their execution 41
their monopoly 48 their
rebellion 63 their secession
187 their solutions 691
their suicides 45 their
surprise 43 their synthesis
58 their acolytes 40
their behaviors 74 their
benefits 279 their concepts
62 their confusion 47
their cruisers 163 their
cultural 224 their cultures
88 their deposits 215
their economic 228 their
emotional 176 their emphasis
42 their expenses 233
their families 51 their
financial 62 their frigates
69 their functions 75
their husbands 40 their
increased 49 their maladies
40 their military 65
their miseries 479 their
musicians 66 their negative
71 their officers 78
their patterns 48 their
physical 113 their pleasures
163 their politics 47
their potential 69 their
problems 2065 their questions
55 their religious 75
their security 52 their
servants 51 their services
130 their software 58
their soldiers 58 their
stresses 130 their sufferings
103 their symptoms 241
their troubles 129 their
entirely 48 their audience
59 their affected 75
their compared 60 their
concerning 1663 their conflict
43 their differed 180
their directly 97 their
hardened 83 their improved
51 their indicate 66
their relative 47 their
remained 129 their somewhat
170 their approach 54
their concerning 60 their
thereunto 89 their actually
83 their believed 51
their demanded 55 their
directly 138 their expected
102 their included 54
their informed 56 their
probably 43 their remained
52 their beginnings 58
their policies 45 their
business 52 their comrades
117 their identity 100
their partners 51 their
agencies 83 their attorney
55 their business 83
their capacity 630 their
deputies 47 their functions
71 their officers 129
their officials 53 their
remained 63 their activity
44 their controls 60
their detection 45 their
functioning 70 their functions
58 their inclusion 72
their machines 58 their
majority 47 their negative
99 their operation 109
their processing 68 their
response 226 their tendency
69 their activity 96
their functions 104 their
response 65 their aircraft
78 their bandwidth 289
their capacity 361 their
chlorine 96 their divisions
43 their economic 85
their energies 151 their
financial 196 their hydrogen
50 their linguistic 46
their manpower 386 their
materials 109 their military
89 their moisture 103
their nitrogen 67 their
physical 42 their positions
117 their products 64
their property 137 their
remedies 51 their reserves
399 their resource 51
their services 150 their
supplies 427 their purposes
90 their behaviors 112
their response 60 their
increased 46 their increases
115 their subjects 53
their missiles 574 their
ceremony 61 their covenant
2867 their garments 136
their identity 73 their
initiation 139 their practice
70 their promises 1232
their services 49 their
condition 317 their execution
48 their ferocity 89
their invaders 209 their
practice 127 their subjects
77 their treatment 1321
their trophies 40 their
debouching 48 their thundered
41 their property 208
their activity 65 their
approach 65 their contexts
59 their decisions 127
their deficits 89 their
disorder 45 their equations
42 their excesses 58
their functioning 74 their
functions 75 their intention
85 their outcomes 232
their patterns 1955 their
potential 46 their problems
733 their profiles 77
their response 517 their
routines 41 their symptoms
181 their treatment 73
their attitude 109 their
rhetoric 51 their activity
84 their business 136
their economic 56 their
efficacy 57 their execution
538 their functions 91
their interest 542 their
operation 378 their services
43 their tendency 378
their condition 224 their
approved 56 their contacts
131 their deficits 55
their disputes 221 their
economic 379 their military
105 their partners 48
their payments 76 their
problems 280 their programs
103 their relations 6081
their security 173 their
symmetry 448 their interest
67 their activity 8339
their affinity 50 their
ancestry 95 their capacity
469 their children 4020
their condition 228 their
daughter 127 their efficacy
64 their evolution 304
their families 3316 their
functioning 628 their functions
3738 their heredity 202
their heritage 801 their
identity 339 their impulses
139 their interest 175
their maleness 187 their
materials 127 their maturity
125 their potential 960
their problems 53 their
products 53 their purposes
46 their relations 227
their response 249 their
richness 73 their survival
213 their tendency 46
their treatment 52 their
validity 47 their opponent
103 their quarrels 98
their branches 58 their
strikingly 47 their campaign
45 their conquest 41
their rhetoric 48 their
shelters 60 their affinity
70 their families 85
their identity 54 their
interest 112 their relations
69 their treasures 51
their affection 89 their
ambitions 53 their appetite
49 their capacity 139
their curiosity 120 their
energies 64 their enthusiasm
373 their optimism 131
their patience 130 their
prairies 47 their treasures
41 their harvests 89
their supplies 66 their
patterns 67 their tomorrow
59 their children 105
their costumes 75 their
garments 86 their ornament
222 their scholars 61
their students 429 their
tapestry 60 their treasures
165 their uniforms 52
their internet 82 their
networks 108 their services
73 their licenses 485
their schedule 199 their
accounts 574 their business
322 their services 135
their authority 42 their
autonomy 43 their decisions
220 their deficits 271
their expenses 73 their
policies 166 their positions
60 their problems 237
their requests 350 their
revenues 57 their situation
72 their bayonets 46
their surfaces 133 their
partners 94 their heritage
109 their deposits 59
their skeleton 107 their
machines 105 their heritage
175 their tradition 46
their fatigues 51 their
directly 46 their improved
56 their received 99
their selection 203 their
authority 303 their positions
140 their sequence 46
their superiors 54 their
branches 58 their networks
59 their payments 63
their judgment 130 their
remained 40 their shelters
45 their acquired 63
their adjusted 47 their
balanced 503 their compiled
63 their composed 115
their concealed 332 their
designed 346 their detailed
98 their executed 86
their finished 47 their
fostered 95 their nurtured
1101 their polished 102
their prepared 2514 their
recorded 49 their rehearsed
246 their screened 104
their scripted 104 their
sculpted 41 their selected
722 their tailored 45
their delusions 40 their
activity 3801 their functions
255 their potential 143
their subunits 69 their
interiors 40 their recesses
73 their attitude 40
their outcries 41 their
directed 230 their ablutions
164 their activity 46
