daintiness workmanship 64 dangerously
100 definitely geographical 46
definitely maintenance 54 definitely
organization 43 definitely possibility
326 definitely predominant 89
definitely recommended 41 definitely
relationship 211 definitely sovereignty
72 definitely temperature 98
definitely understanding 44 definitely
concentrate 44 definitely demonstrate
96 definitely portraiture 89
definitely subordinate 85 definitions
established 48 definitions established
51 definitions dictionaries 822
definitions mathematical 96 definitions
sociological 58 definitions understanding
76 definitions illustrated 231
definitions problematic 51 definitions
significant 55 definitions abbreviations
543 definitions abnormality 692
definitions absenteeism 42 definitions
abstractions 86 definitions acceleration
91 definitions achievement 545
definitions adolescence 356 definitions
adulteration 389 definitions affirmative
103 definitions agriculture 95
definitions alternative 509 definitions
americanism 398 definitions anthropology
186 definitions apocalyptic 51
definitions aristocracy 43 definitions
arithmetical 136 definitions assimilation
301 definitions authenticity 355
definitions biodiversity 569 definitions
bisexuality 212 definitions bureaucratic
47 definitions capacitance 49
definitions categorical 52 definitions
christianity 492 definitions citizenship
7773 definitions civilization 453
definitions coefficients 77 definitions
cohabitation 59 definitions commodities
128 definitions communities 214
definitions comparative 139 definitions
compensation 1086 definitions competitive
98 definitions complicated 102
definitions concurrency 105 definitions
confidential 43 definitions confirmation
61 definitions conservation 312
definitions consistency 300 definitions
constipation 87 definitions constituent
43 definitions constitution 57
definitions constraints 103 definitions
construction 215 definitions consultation
365 definitions consumerism 52
definitions contractual 50 definitions
convenience 67 definitions conventional
171 definitions convergence 300
definitions cooperative 86 definitions
coordinates 41 definitions coordination
128 definitions corporations 71
definitions corporatism 159 definitions
correctness 89 definitions corresponding
79 definitions criminality 551
definitions cybernetics 63 definitions
delinquency 2692 definitions derivatives
80 definitions descriptive 107
definitions determinism 95 definitions
development 3931 definitions differences
79 definitions differential 152
definitions disciplines 112 definitions
distributed 146 definitions distribution
141 definitions disturbance 67
definitions documentary 282 definitions
domesticity 89 definitions drunkenness
51 definitions electricity 54
definitions eligibility 613 definitions
emancipation 48 definitions empowerment
476 definitions entitlement 104
definitions environment 288 definitions
epidemiology 334 definitions equilibrium
912 definitions equivalence 314
definitions established 72 definitions
evolutionary 52 definitions expectations
104 definitions expenditure 109
definitions experiences 57 definitions
experiential 47 definitions explanatory
112 definitions exploitation 371
definitions flexibility 164 definitions
forgiveness 245 definitions freemasonry
113 definitions friendships 41
definitions fulfillment 46 definitions
fundamental 730 definitions generalized
172 definitions geographical 231
definitions grammatical 581 definitions
handicapped 151 definitions homogeneity
86 definitions hypertension 223
definitions hypothetical 53 definitions
identifiers 45 definitions impairments
40 definitions improvement 171
definitions independent 392 definitions
individuals 334 definitions infertility
241 definitions inflammation 80
definitions informality 69 definitions
inheritance 77 definitions instability
66 definitions institutions 492
definitions instruments 43 definitions
intelligent 102 definitions interactions
51 definitions interactive 58
definitions intermediate 71 definitions
intersection 72 definitions intervention
127 definitions intoxication 48
definitions involuntary 71 definitions
involvement 208 definitions jurisdiction
132 definitions legislative 113
definitions maintenance 73 definitions
malnutrition 69 definitions maltreatment
876 definitions manipulation 50
definitions manufacturing 260 definitions
marginality 77 definitions masculinity
32126 definitions mathematical 764
definitions meaningfulness 44 definitions
measurements 99 definitions metaphysics
264 definitions montesquieu 53
definitions multivariate 56 definitions
objectivity 242 definitions occupational
489 definitions omnipotence 66
definitions ontological 97 definitions
opportunity 80 definitions organization
444 definitions originality 103
definitions osteoporosis 197 definitions
partnership 194 definitions paternalism
52 definitions pathological 85
definitions performance 2436 definitions
permeability 46 definitions permissible
196 definitions persistence 108
definitions personality 11258 definitions
perspective 61 definitions philanthropy
115 definitions photography 128
definitions photometric 50 definitions
pornography 3820 definitions possibility
102 definitions presidential 47
definitions probability 2581 definitions
problematic 109 definitions professional
2886 definitions proficiency 225
definitions progressive 102 definitions
propositions 54 definitions prostitution
885 definitions psychosocial 50
definitions qualitative 186 definitions
reciprocity 123 definitions regeneration
47 definitions relatedness 77
definitions relationship 313 definitions
reproduction 82 definitions respectable
63 definitions responsible 142
definitions romanticism 949 definitions
satisfaction 300 definitions scholarship
344 definitions sensibility 43
definitions sensitivity 366 definitions
significant 1103 definitions socialization
202 definitions sociological 161
definitions sovereignty 951 definitions
specificity 63 definitions statistical
466 definitions subsistence 244
definitions substantive 102 definitions
substitutes 130 definitions substitution
120 definitions superstition 83
definitions sustainable 1876 definitions
temperament 466 definitions temperature
979 definitions terminology 1059
definitions topological 98 definitions
transactions 56 definitions troublesome
65 definitions uncertainty 152
definitions understanding 132 definitions
urbanization 139 definitions verification
67 definitions womanliness 68
definitions abstractions 46 definitions
applications 48 definitions connotations
40 definitions declarations 205
definitions descriptions 11048 definitions
descriptive 66 definitions distinctions
192 definitions equivalents 43
definitions expectations 94 definitions
explanations 4143 definitions explications
289 definitions fundamental 40
definitions incorrectly 41 definitions
instructions 163 definitions measurements
91 definitions paraphrases 92
definitions propositions 98 definitions
tautologies 45 definitions terminology
67 definitions translations 116
definitions accommodate 149 definitions
demonstrate 57 definitions incorporate
53 definitive demonstrating 50
definitive personality 51 definitive
descriptive 62 definitive intermediate
149 definitive presumptive 80
definitive restrictive 49 definitive
universally 42 deflections proportional
58 deflections instinctual 58
deflections deformations 77 deformation
illustrated 79 deformation temperature
134 deformation continental 90
deformation crystalline 318 deformation
polyethylene 53 deformation sedimentary
107 deformation accompanied 1649
deformation accumulated 52 deformation
anisotropic 41 deformation complicated
116 deformation compressive 44
deformation constrained 195 deformation
distributed 223 deformation encountered
89 deformation established 79
deformation exaggerated 51 deformation
facilitated 42 deformation illustrated
369 deformation independent 336
deformation interpreted 89 deformation
interrupted 50 deformation necessarily
55 deformation permissible 49
deformation practically 146 deformation
predominant 56 deformation principally
58 deformation proportional 1374
deformation recoverable 168 deformation
represented 967 deformation responsible
182 deformation significant 203
deformation symmetrical 127 deformation
transferred 79 deformation transformed
108 deformation transmitted 167
deformation anisotropic 136 deformation
christianity 128 deformation continental
165 deformation conventional 63
deformation crystalline 2094 deformation
cylindrical 149 deformation erythrocytes
139 deformation personality 124
deformation perspective 52 deformation
polyethylene 171 deformation polystyrene
70 deformation sedimentary 1024
deformation underground 53 deformation
temperature 246 deformation abnormality
145 deformation deterioration 101
deformation disturbance 117 deformation
polarization 95 deformation dislocations
51 deformation accommodate 73
degeneracy christendom 44 degeneracy
christianity 85 degeneracy civilization
91 degeneracy conversation 176
degeneracy eigenvalues 67 degeneracy
individuals 96 degeneracy abnormality
40 degeneracy statistical 111
degenerate consequence 416 degenerate
organization 97 degenerate pathological
42 degenerate rudimentary 79
degenerate ventricular 290 degenerating
experiences 316 degenerating degenerated
57 degenerating ventricular 64
degradation individuals 56 degradation
atmospheric 115 degradation contaminating
75 degradation cytoplasmic 66
degradation fibroblasts 47 degradation
immobilized 103 degradation macrophages
185 degradation nonspecific 85
degradation particulate 114 degradation
thermophilic 48 degradation agriculture
102 degradation consequence 121
degradation conventional 43 degradation
groundwater 79 degradation macrophages
41 degradation mitochondria 55
degradation performance 13014 degradation
sensitivity 110 degradation transmission
138 degradation accelerated 377
degradation accompanied 258 degradation
complicated 53 degradation encountered
46 degradation established 41
degradation exacerbated 48 degradation
experienced 69 degradation facilitated
49 degradation illustrated 167
degradation independent 127 degradation
intensified 57 degradation necessarily
43 degradation practically 43
degradation proportional 196 degradation
represented 70 degradation responsible
155 degradation significant 161
degradation unavoidable 78 degradation
undoubtedly 56 degradation accumulated
65 degradation agriculture 259
degradation atmospheric 115 degradation
biodiversity 515 degradation biologically
427 degradation carbonaceous 73
degradation chlorinated 2391 degradation
chlorophyll 2679 degradation chloroplast
359 degradation cholesterol 1448
degradation christendom 94 degradation
christianity 761 degradation chromosomal
157 degradation civilization 145
degradation communities 41 degradation
condescending 52 degradation confinement
111 degradation contractile 49
degradation conventional 91 degradation
crystalline 311 degradation cytoplasmic
295 degradation drunkenness 200
degradation enslavement 63 degradation
environment 1411 degradation epinephrine
238 degradation erythrocytes 79
degradation groundwater 637 degradation
halogenated 1249 degradation hydrocarbon
357 degradation hydrophobic 89
degradation individuals 263 degradation
intermediate 49 degradation interstitial
79 degradation metabolites 142
degradation mitochondria 455 degradation
monasticism 43 degradation nitrogenous
430 degradation particulate 376
degradation performance 10015 degradation
personality 332 degradation polyethylene
717 degradation polypeptide 208
degradation polystyrene 1316 degradation
polyurethane 272 degradation professional
65 degradation prostitutes 51
degradation prostitution 178 degradation
pyrimidines 93 degradation recombinant
155 degradation ribonucleic 153
degradation scholarship 58 degradation
sedimentary 77 degradation sensitivity
108 degradation subcutaneous 60
degradation substituted 123 degradation
superstition 41 degradation surfactants
143 degradation temperature 109
degradation transcripts 75 degradation
transmission 134 degradation transmitter
60 degradation underground 49
degradation understanding 91 degradation
unprotected 50 degradation unsaturated
283 degradation conservation 48
degradation degeneration 209 degradation
deterioration 240 degradation enhancement
222 degradation exploitation 220
degradation improvement 518 degradation
inactivation 1080 degradation modification
850 degradation acknowledge 48
degradation civilization 93 dehydrated
distillation 144 dehydrated debilitated
135 dehydration intravenous 49
dehydration accompanied 228 dehydration
responsible 48 dehydration unnecessary
55 dehydration bicarbonate 236
dehydration cholesterol 97 dehydration
crystalline 205 dehydration hydrophobic
55 dehydration competitive 118
dehydration performance 124 dehydration
circulatory 49 dehydration electrolyte
2042 dehydration malnutrition 1468
deification blasphemous 162 deification
abstractions 97 deification individuals
81 deification personality 48
deification selfishness 43 delegations
opportunity 56 delegations conferences
65 delegations afghanistan 70
delegations businessmen 257 delegations
congressional 166 delegations connecticut
57 delegations distinguished 41
delegations governments 45 delegations
journalists 106 delegations legislative
1816 delegations mississippi 49
delegations pennsylvania 75 delegations
sovereignty 120 delegations individuals
101 delegations opportunity 83
delegations conferences 347 delegations
investigate 111 delegations participate
217 delegations philadelphia 50
deleterious advantageous 86 deleterious
destructive 42 deleterious detrimental
349 deleterious unwholesome 67
deleterious agriculture 58 deleterious
development 114 deleterious individuals
80 deleterious performance 176
deliberate adventitious 143 deliberate
inadvertent 12556 deliberate instinctive
171 deliberate involuntary 1161
deliberate subconscious 1070 deliberate
unavoidable 187 deliberating philadelphia
44 deliberating possibility 68
delicacies civilization 70 delicacies
conversation 66 delicacies intercourse
94 delicacies pronunciation 69
delicacies sensibility 42 delicacies
understanding 42 delightful anticipation
65 delightful conversation 512
delightful experiences 83 delightful
disagreeable 49 delightful instructive
76 delightful anticipation 46
delightful appropriation 54 delightful
acknowledge 46 delightful contemplate
2565 delineations personality 47
delinquent opportunity 52 delinquent
adolescence 180 delinquent mischievous
89 delinquent delinquency 45
delinquent delinquents 318 delinquent
maladjusted 262 delinquent psychopathic
464 delinquent ungovernable 227
deliveries governments 49 deliveries
agriculture 42 deliveries commodities
569 deliveries construction 50
deliveries conventional 88 deliveries
electricity 147 deliveries fertilizers
86 deliveries humanitarian 194
deliveries intermediate 141 deliveries
locomotives 53 deliveries merchandise
622 deliveries performance 97
deliveries afghanistan 73 deliveries
agriculture 175 deliveries individuals
41 deliveries restaurants 56
deliveries wholesalers 135 demagogues
opportunity 76 demagogues adventurers
78 demarcated differences 52
demarcated geographical 90 demarcated
significant 49 demarcation established
105 demarcation established 189
demarcation necessarily 46 demarcation
obliterated 44 demarcation significant
42 demarcation afghanistan 50
demarcation competences 124 demarcation
departments 61 demarcation differences
62 demarcation disciplines 76
demarcation geographical 96 demarcation
jurisdiction 211 demarcation legislative
107 demarcation professional 105
demarcation sovereignty 42 demarcation
territories 264 democratic organization
82 democratic distinguished 52
democratic temperament 111 democratic
constitution 331 democratic organization
425 democratic temperament 87
democratic democracies 135 democratic
governments 187 democratic institutions
294 democratic accountable 109
democratic authoritarian 4912 democratic
bureaucratic 92 democratic communistic
346 democratic cooperative 120
democratic corporatist 160 democratic
democratizing 404 democratic humanitarian
346 democratic independent 58
democratic monarchical 480 democratic
pluralistic 184 democratic plutocratic
152 democratic politically 45
democratic progressive 369 democratic
responsible 87 democratic totalitarian
4587 democratic constitution 81
democratic institutions 54 democratic
organization 76 democratic authoritarian
383 democratic totalitarian 232
democratic authoritarian 56 demodulate
transmitted 218 demography corporations
71 demography prehistoric 49
demography statistical 199 demolished
bombardment 44 demolished consequence
196 demolished magnificent 68
demolished confiscated 140 demolished
refurbished 91 demolished transformed
212 demolished aristotelian 56
demolished conventional 67 demolished
credibility 107 demolished established
52 demolished headquarters 55
demolished magnificent 126 demolished
monarchical 48 demolished monasteries
130 demolished possibility 70
demolished accommodate 312 demolishes
conventional 51 demolishes possibility
66 demoralize promiscuous 45
demoralize inhabitants 104 demoralize
militarists 41 demoralize organization
74 demoralizing confederate 41
demoralizing inhabitants 42 demoralizing
legislators 63 demystifying relationship
43 denigration alternative 48
denigration christianity 104 denigration
competitors 54 denigration individuals
50 denotations connotations 197
denotative connotative 3082 denotative
descriptive 60 denotative connotative
47 denouement catastrophe 264
dentifrice recommended 59 denunciation
aristocrats 40 denunciation prospective
83 denunciation abolitionism 54
denunciation accomplices 172 denunciation
aristocracy 83 denunciation bureaucratic
47 denunciation capitalists 99
denunciation chamberlain 117 denunciation
christendom 42 denunciation christianity
482 denunciation civilization 63
denunciation colonization 64 denunciation
confucianism 47 denunciation conscription
54 denunciation conventional 83
denunciation corporations 81 denunciation
drunkenness 216 denunciation established
141 denunciation exploitation 142
denunciation exterminating 63 denunciation
freemasonry 76 denunciation homosexuals
53 denunciation hostilities 43
denunciation individuals 180 denunciation
indulgences 52 denunciation intolerance
161 denunciation metaphysics 110
denunciation pornography 96 denunciation
professional 45 denunciation prostitution
50 denunciation punishments 116
denunciation republicans 43 denunciation
robespierre 440 denunciation selfishness
44 denunciation speculators 58
denunciation superstition 75 denunciation
totalitarian 70 denunciation worldliness
74 denunciation condemnation 99
department enlargement 97 department
independent 88 department opportunity
540 department organization 56
department distinguished 94 department
efficiently 69 department hereinafter
107 department independent 105
department notification 55 department
recommended 57 department represented
43 department responsible 51
department connecticut 49 department
headquarters 827 department mississippi
50 department northwestern 1312
department pennsylvania 230 department
philadelphia 84 department schenectady
101 department southwestern 69
department ticonderoga 57 department
transylvania 67 department westminster
203 department wilberforce 91
department established 512 department
represented 43 department responsible
212 department transferred 64
department established 50 department
represented 77 department accomplishing
43 department administering 206
department agriculture 48 department
anticipation 93 department connecticut
54 department consequence 147
department consultation 478 department
coordination 61 department indianapolis
46 department investigating 86
department manufacturing 154 department
northwestern 136 department organization
41 department pennsylvania 97
department philadelphia 586 department
respiratory 63 department southwestern
166 department accomplishing 63
department accountable 329 department
appropriated 41 department ascertained
83 department centralized 173
department concentrating 43 department
constituted 108 department constructed
44 department contemplating 71
department continually 148 department
coordinated 66 department customarily
55 department distinguished 64
department distributed 151 department
effectively 68 department efficiently
78 department established 1341
department exclusively 66 department
experimenting 65 department facilitated
40 department handicapped 55
department illustrated 299 department
incompetent 76 department independent
451 department ineffective 71
department inefficient 194 department
investigating 238 department necessarily
298 department occasionally 50
department overstaffed 82 department
overwhelmed 48 department participating
40 department practically 255
department principally 97 department
professional 47 department recommended
185 department represented 1235
department responsible 19529 department
significant 65 department subordinate
165 department technically 47
department transferred 177 department
undermanned 109 department undoubtedly
100 department universally 40
department unnecessary 65 department
accountancy 141 department achievement
46 department aeronautical 129
department agriculture 30146 department
anthropology 11384 department antiquities
2384 department assessments 178
department atmospheric 63 department
bacteriology 989 department benevolence
242 department bibliography 168
department biochemistry 2471 department
christianity 120 department citizenship
60 department civilization 408
department colonization 77 department
comparative 1818 department connecticut
56 department conservation 2497
department constantine 1020 department
construction 621 department continental
160 department controversy 43
department cooperative 237 department
coordination 127 department corporations
388 department correctional 154
department criminology 244 department
departments 75 department dermatology
1561 department descriptive 102
department development 492 department
distribution 470 department electricity
500 department electronics 340
department environment 740 department
epidemiology 1098 department evangelistic
54 department expenditure 198
department fundamental 43 department
geographical 125 department governments
68 department herpetology 142
department illustration 143 department
imaginative 224 department independent
58 department informatics 50
department institutions 590 department
jurisdiction 94 department legislative
113 department legislature 53
department maintenance 244 department
manufacture 825 department manufacturing
861 department manuscripts 786
department mathematical 840 department
merchandise 89 department metaphysics
610 department microbiology 1178
department microscopic 77 department
mississippi 277 department neurobiology
70 department northwestern 1188
department numismatics 51 department
occupational 652 department oceanography
257 department organization 488
department paleontology 260 department
pathological 229 department pennsylvania
1103 department performance 68
department personality 154 department
philadelphia 141 department philanthropy
230 department philosophic 198
department photographs 49 department
photography 1865 department physiotherapy
194 department portraiture 118
department prehistoric 52 department
professional 675 department progressive
55 department publications 166
department registration 424 department
renaissance 45 department respiratory
138 department scandinavian 194
department scholarship 308 department
sensibility 52 department sociological
78 department southwestern 156
department speculative 313 department
statistical 80 department subsistence
73 department tegucigalpa 69
department therapeutics 619 department
transylvania 656 department viticulture
59 department westminster 47
department wilberforce 63 department
commissioner 115 department consultants
58 department corresponding 56
department departments 2821 department
development 76 department directorate
170 department geographical 63
department independent 1498 department
individuals 88 department manufacturing
133 department merchandise 168
department occupational 101 department
organization 3505 department professional
338 department appointment 75
department constitution 49 department
opportunity 275 department organization
86 department accommodate 192
department acknowledge 70 department
collaborate 61 department communicate
308 department concentrate 371
department consolidate 108 department
demonstrate 256 department discontinue
87 department disseminate 65
department effectively 92 department
incorporate 82 department individuals
48 department investigate 1396
department manufacture 393 department
participate 443 department superintend
115 departures construction 56
departures development 51 departures
temperature 136 departures individuals
95 departures temperature 541
departures destinations 41 dependable
emergencies 61 dependable performance
92 dependable predictable 77
dependance agriculture 55 dependance
temperature 126 dependence distinguished
83 dependence illustrated 64
dependence intermediate 50 dependence
established 101 dependence adolescence
385 dependence adolescents 509
dependence agriculture 62 dependence
individuals 81 dependence multivariate
162 dependence perspective 60
dependence relationship 52 dependence
temperature 46 dependence accentuated
46 dependence accompanied 225
dependence agriculture 41 dependence
