abed abed abed abed abed 592
away from vera cruz when 76
away from what have been 84
away from what must have 88
away from your body like 58
away from your body when 110
away from your face when 117
away from your home base 168
away from your home town 214
away from your left hand 75
away from your mind till 40
away from your mouth when 101
away from your true self 157
away from your young wife 42
away into some other even 49
away much good corn into 303
away must have been very 44
away pain from your body 155
away tears from their eyes 175
away their faith from those 41
away there must have been 45
away till none were left 55
away what must have been 204
away your evil doings from 51
axis triad along cube body 43
