all been personally intimate with 51
are more frequently observed than 322
are more frequently observed with 91
are more frequently positive than 50
are more frequently recalled than 47
are more frequently referred for 41
are more frequently reported than 91
are more frequently required than 58
are more generously supplied with 46
are more hopelessly enslaved than 77
are more immediately apparent than 57
are more intimately involved with 153
are more negatively affected than 62
are more profoundly affected than 78
are more religiously inclined than 58
are more unanswered questions than 40
are most abundantly supplied with 198
are most frequently affected and 178
are most frequently affected are 64
are most frequently affected but 51
are most frequently affected with 150
are most frequently attacked and 40
are most frequently attacked with 71
are most frequently combined with 71
are most frequently compared with 42
are most frequently confused with 131
are most frequently employed and 71
are most frequently employed are 45
are most frequently employed for 261
are most frequently involved and 227
are most frequently involved but 61
are most frequently involved with 102
are most frequently mentioned are 81
are most frequently mistaken for 99
are most frequently selected for 77
are most intimately involved with 175
are only indirectly involved with 45
are only marginally involved with 54
are only marginally suitable for 80
are only vernacular articles and 57
are other government agencies that 52
are some conceptual problems with 69
are these advantages attended with 95
are tree decorations dangerous and 41
are very abundantly supplied with 92
are very attractive materials for 43
are very frequently affected with 47
are very frequently combined with 88
are very frequently employed for 59
are very frequently mistaken for 115
