abandonment of a mining claim 97
accumulation of a vast store 82
accumulation of a very large 256
achievement at a high level 54
achievement of a free trade 101
achievement of a goal which 112
achievement of a high growth 110
achievement of a high level 898
achievement of a high order 660
achievement of a just social 61
achievement of a more equal 105
achievement of a peace treaty 45
achievement of a self which 46
acknowledge it a great mercy 98
acknowledge to a third party 69
adjudicated by a third party 46
adjudication by a third party 165
adolescence as a life stage 227
adolescents as a risk group 55
advancement of a good cause 44
advancement of a great cause 55
advancement of a more solid 57
agriculture at a more rapid 44
agriculture on a great scale 132
agriculture on a mass scale 69
agriculture on a vast scale 207
agriculture on a wide scale 97
agriculture to a high level 95
alternative in a case where 57
annihilated in a single night 100
anniversary of a great event 76
antagonists in a very short 48
anticipation of a bond issue 41
anticipation of a coming event 118
anticipation of a coming storm 47
anticipation of a good fight 45
anticipation of a good night 90
anticipation of a great event 59
applications at a high level 52
applications in a very short 60
appointment as a high court 538
appointment of a fifth judge 65
appointment of a high court 496
appointment of a high level 110
appointment of a high power 108
appointment of a single chief 48
appointment of a single joint 68
appointment of a single judge 55
appointment of a task force 698
appointment of a third judge 54
appointment of a third party 195
appointment of a tory noble 54
appointment of a town clerk 56
appointment of a wage board 187
appointment to a high court 83
appointment to a post under 80
appointment to a post which 109
apprehended in a very short 46
apprehension of a great change 51
appropriated by a ruling class 43
appropriated by a single author 74
appropriated to a much wider 83
arbitrament of a third party 58
aristocracy as a ruling class 64
arrangements in a case where 46
arrangements on a vast scale 41
articulated at a high level 48
articulated by a giant order 86
ascertained by a line drawn 56
ascertained by a third party 44
attainments of a high order 377
attestations of a rare power 123
authorization of a bond issue 162
