abandoning his interest and my 56
argument that explains why the 70
argument that suggests that the 250
argument thus suggests that the 53
argument was accepted and the 53
argument was advanced for the 62
argument was advanced that if 69
argument was advanced that in 119
argument was advanced that it 78
argument was advanced that the 756
argument was rejected and the 133
armament was destined for the 83
armature and revolves with it 62
arrested and confined for the 47
arrested and confined men of 56
arrested and conveyed out of 44
arrested and detained for an 87
arrested and detained for the 160
arrested and executed for the 79
arrested and indicted for the 156
arrested and interned for the 46
arrested and punished for it 43
arrested and punished for the 101
arrested and punished with the 49
arrested and retained for the 120
arrested and threatened with the 75
arrested his attention and he 51
arrested his attention was the 118
arrested our attention was the 63
articles and chapters and is 49
articles and materials for the 59
articles and sketches for the 41
articles and speeches for the 54
articles and utensils and in 41
articles are destined for the 74
articles are intended for the 80
articles are produced for the 166
articles are produced that no 54
articles are required for the 98
articles are reviewed and the 99
articles deal directly with the 48
articles for personal use or 82
articles not intended for the 47
articles this facility can be 65
artifice was employed for the 83
artisans and laborers for the 69
asphodel are prepared for the 63
assailed his nostrils and he 49
assembly was convened and the 50
assembly was convened for the 146
assembly was occupied with the 44
assembly was summoned for the 103
asserted and believed that an 57
asserted and believed that he 59
asserted and believed that the 286
asserted and declared are the 121
asserted his equality with the 75
asserted its authority all at 64
assertion that original sin is 91
assessed and compared with the 431
assigned for preferring one to 54
assigned his property for the 97
associate and identify with the 46
associate him directly with the 41
associate its pleasures with the 41
associate our children with it 67
associate them directly with the 158
associating and conversing with me 59
associating them directly with the 41
associating this provision with the 64
astringent yet depressing ode to 40
attacked and captured all the 56
attacked and captured one of 53
attacked and defended with the 93
attacked and murdered all the 48
attacked and murdered him in 56
attacked nor threatened with an 106
attained and provided for by 171
attained his majority and is 46
attained his majority and the 83
attained his majority may be 50
attempts and failures for the 64
attended him wondered that he 107
attended his lectures with the 47
attention and affection that he 89
attention and civility than he 50
attention and clearness that the 76
attention and convince them to 45
attention and industry than the 86
attention and interest and the 47
attention and interest and to 92
attention and interest are the 113
attention and interest can be 85
attention and interest for the 120
attention and interest may be 50
attention and interest than the 68
attention and interest that the 58
attention and interest with the 56
attention and motivate them to 154
attention and motivating them to 41
attention and persuade him to 42
attention and persuade them to 70
attention and prompted him to 62
attention are required for the 61
attention being occupied with the 51
attention they followed him as 43
attention they received and the 62
attention was centered not on 42
attention was directed for the 80
attention was directed not so 45
attention was directed not to 73
attention was directed was the 123
attention was diverted and he 45
attention was diverted for the 93
attention was engrossed with the 153
attention was occupied with the 439
attention was probably due to 49
attention was received with the 162
attention was required for the 122
attention was reserved for the 152
attitude and declared that the 53
attitude and demanded that the 43
attitude and enthusiasm for the 51
attitude that accounts for the 89
attitude was entirely due to 50
attitude was probably due to 212
attorney and attorney for the 50
attorney and lobbyist for the 61
attorney had cautioned him to 89
attorney has complied with the 67
attracting her attention was to 53
attracts his attention and he 81
attracts our attention and we 46
attracts our attention are the 54
audience and persuade them to 50
audience are commonly apt to 56
audience can identify with the 184
audience was composed for the 41
audience was informed that the 59
audience was prepared for the 64
authority and demanded that the 41
authority and deprived him of 47
authority and direction for the 65
authority and insisted that the 46
authority and prestige for the 53
authority and prestige than the 78
authority and prestige that the 60
authority and prestige with the 74
authority and provided that the 54
authority and replaces him by 52
authority and therefore may be 63
authority and tradition and the 85
authority far exceeded that of 45
authority for concluding that the 76
authority for proceeding with the 44
authority has asserted that the 44
authority has complied with the 60
authority has declared that it 59
authority has declared that the 111
authority has remarked that the 50
authority may dispense with the 49
authority that suggests that the 41
authority was essential for the 49
authority was intriguing with the 49
authority was obtained for the 129
authority was provided for the 49
authority was received for the 46
authority was required for the 150
authority was reserved for the 64
authorize and instruct you to 60
authorizing and commanding him to 46
authorizing and empowering him to 302
authorizing and empowering them to 131
autonomy and authority for the 45
autonomy and equality with the 41
autonomy and security for the 46
autonomy for catalonia and the 85
averaged and compared with the 232
averages are compared with the 49
averages are computed for the 65
awakened and informed that the 40
awakened and notified that the 60
