ecclesiastics usually included 47
experimental typhoid infection 58
experimental welfare programs 58
experimenter assigns subjects 76
exploitative private property 164
exponentially decreasing functions 135
exponentially expanding universe 91
exponentially increasing functions 61
exponentially increasing solutions 54
exponentially increasing velocity 52
exponentially smoothed averages 112
exponentially smoothed forecast 2101
extermination against american 128
extermination against heretics 56
externalized behavior problems 170
