eagerness dealing round 123
economic life makes 320
economic life might 596
economic life moved 89
economic life moves 137
economic life needs 108
economic life never 75
economic life often 145
economic life ought 157
economic life period 242
economic life quite 67
economic life rather 448
economic life reacts 40
economic life really 61
economic life rests 215
economic life seems 310
economic life shall 165
economic life shows 249
economic life since 1109
economic life spans 261
economic life still 282
economic life style 243
economic life takes 336
economic life tends 168
economic life thereof 64
economic life today 980
economic life under 2212
economic life until 493
economic life where 732
economic life which 7401
economic life while 396
economic life whose 92
economic life within 1477
economic life works 133
economic life would 3254
economic line which 48
economic link which 83
economic living level 60
economic living space 176
economic loss after 135
economic loss alone 677
economic loss arising 850
economic loss based 228
economic loss cases 886
economic loss claim 206
economic loss could 443
economic loss either 56
economic loss equal 235
economic loss every 52
economic loss flowing 141
economic loss issue 83
economic loss might 216
economic loss rather 266
economic loss shall 120
economic loss since 129
economic loss under 655
economic loss where 287
economic loss which 2001
economic loss while 62
economic loss within 121
economic loss would 1182
economic main stream 52
economic meaning since 65
economic meaning which 65
economic means alone 426
economic means could 136
economic means rather 185
economic means which 309
economic means within 75
economic means would 158
economic mess since 223
economic mess which 49
economic need alone 114
economic need could 78
economic need drove 54
economic need might 63
economic need often 51
economic need rather 303
economic need which 350
economic need would 175
economic news about 100
economic news items 89
economic news since 45
economic news story 50
economic news which 58
economic news would 43
economic ones alone 43
economic ones could 41
economic ones might 55
economic ones which 366
economic ones would 62
economic only where 81
economic open zones 120
economic over social 269
economic pact which 43
economic part period 79
economic part which 43
economic paths which 46
economic peace which 51
economic plan after 63
economic plan aimed 110
economic plan based 255
economic plan began 91
economic plan calling 52
economic plan calls 137
economic plan could 214
economic plan drawn 183
economic plan known 50
economic plan makes 43
economic plan might 57
economic plan period 118
economic plan rather 57
economic plan shall 65
economic plan since 42
economic plan under 127
economic plan which 1482
economic plan whose 52
economic plan would 634
economic pump priming 316
economic rank order 68
economic realm alone 56
economic realm where 135
economic realm which 126
economic realm would 89
economic rent arising 175
economic rent based 62
economic rent could 206
economic rent earned 442
economic rent equal 107
economic rent falls 51
economic rent makes 44
economic rent might 94
economic rent rather 80
economic rent seeking 191
economic rent since 54
economic rent takes 51
economic rent tends 66
economic rent under 91
economic rent which 782
economic rent while 84
economic rent would 855
economic rise which 41
economic risk borne 46
economic risk could 42
economic risk under 50
economic risk which 122
economic risk while 47
economic risk would 46
economic role after 94
economic role could 70
economic role might 46
economic role model 323
economic role rather 65
economic role since 92
economic role under 121
economic role until 56
economic role which 671
economic role while 72
economic role within 559
economic role women 67
economic role would 157
economic ruin after 84
economic ruin could 52
economic ruin under 52
economic ruin which 381
economic ruin would 146
economic rule which 45
economic ruling class 1788
economic ruling elite 44
economic side alone 219
economic side where 42
economic side which 157
economic side would 66
economic size units 66
economic size which 74
economic size would 150
economic step taken 64
economic task force 225
economic task which 125
economic term which 119
economic test which 54
economic text books 255
economic theory about 1049
economic theory after 211
economic theory alone 626
economic theory appear 72
economic theory apply 79
economic theory arose 52
economic theory based 1224
economic theory began 312
economic theory begin 57
economic theory built 125
economic theory calls 289
economic theory comes 140
economic theory could 1441
economic theory either 118
economic theory faces 86
economic theory fails 268
economic theory falls 46
economic theory finds 111
economic theory first 242
economic theory found 107
economic theory frank 88
economic theory given 45
economic theory gives 358
economic theory helps 133
economic theory holds 832
economic theory imply 62
economic theory known 498
economic theory knows 60
economic theory lacks 87
economic theory later 47
economic theory leaves 186
economic theory looks 60
economic theory loses 54
economic theory makes 1048
economic theory might 960
economic theory model 58
economic theory needs 563
economic theory never 74
economic theory offer 111
economic theory often 363
economic theory ought 106
economic theory plays 221
economic theory point 179
economic theory quite 59
economic theory rather 579
economic theory really 104
economic theory refer 49
economic theory rests 790
economic theory seeks 101
economic theory seems 601
economic theory shows 839
economic theory since 829
economic theory stating 95
economic theory stems 47
economic theory still 349
economic theory stops 41
economic theory takes 270
economic theory tells 1241
economic theory tends 376
economic theory terms 145
economic theory today 350
economic theory treats 262
economic theory tries 80
economic theory turns 62
economic theory under 392
economic theory until 260
economic theory views 410
economic theory where 551
economic theory which 10586
economic theory while 154
economic theory whose 146
economic theory within 281
economic theory works 202
economic theory would 4573
economic think tanks 362
economic threat posed 730
economic threat which 122
economic tide began 65
economic tide turns 52
economic tide which 44
economic tide would 55
economic ties after 86
economic ties alone 65
economic ties based 136
economic ties began 48
economic ties binding 322
economic ties bound 147
economic ties could 307
economic ties create 51
economic ties exist 68
economic ties linking 190
economic ties might 117
economic ties rather 117
economic ties since 81
economic ties still 67
economic ties under 63
economic ties uniting 51
economic ties which 1434
economic ties while 74
economic ties within 776
economic ties would 648
economic time bombs 49
economic time frame 77
economic time period 77
economic toll taken 41
economic toll which 48
economic tool which 114
economic tree crops 132
economic truth about 102
economic truth which 148
economic type which 94
economic union after 73
economic union based 146
economic union could 394
economic union first 99
economic union known 62
economic union might 203
economic union rather 44
economic union since 77
economic union treaty 104
economic union under 154
economic union where 53
economic union which 901
economic union while 56
economic union within 334
economic union would 1175
economic unit after 61
economic unit based 166
economic unit could 242
economic unit known 61
economic unit makes 49
economic unit might 75
economic unit rather 169
economic unit sharing 49
economic unit since 80
economic unit under 628
economic unit until 53
economic unit where 257
economic unit which 1980
economic unit while 179
economic unit whose 416
economic unit within 833
economic unit would 519
economic uses which 51
economic view point 431
economic view which 140
economic view would 108
economic voting model 171
economic want which 49
economic want would 42
economic wars which 89
economic wealth alone 48
economic wealth could 77
economic wealth rather 48
economic wealth which 303
economic wealth while 49
economic wealth within 105
economic wealth would 98
economic work could 41
economic work force 42
economic work since 56
economic work under 64
economic work which 229
economic work within 44
economic work would 45
economic worth which 46
economic zone based 54
economic zone could 216
economic zone limit 50
economic zone might 41
economic zone shall 1494
economic zone since 62
economic zone under 467
economic zone where 189
economic zone which 610
economic zone within 159
economic zone would 578
ecstatic joys which 55
ecstatic life which 80
ecstatic love which 104
ecstatic mood which 43
ecstatic union which 71
edgewise like cakes 113
edifices ever built 119
edifices from decay 100
edifices from which 206
edifices have sprung 60
edifices most worthy 52
edifices rise story 45
edifices upon which 83
edifices were built 3432
edifices were either 288
edifices were first 99
edifices were found 88
edifices were grown 46
edifices were large 71
edifices were often 103
edifices were paved 42
edifices were quite 43
edifices were razed 60
edifices were reared 156
edifices were still 183
edifices were taken 48
edifices were thrown 62
edifices were under 60
edifices will never 65
editable even after 40
editable from within 41
editable text boxes 208
editable text field 1043
editable text files 138
editable type layer 216
editorial also noted 190
editorial also urged 43
editorial desk every 64
editorial from which 386
editorial hand which 51
editorial hand would 41
editorial help given 79
editorial just cited 57
editorial line taken 48
editorial line which 62
editorial line would 42
editorial next morning 44
editorial note about 133
editorial note added 94
editorial note after 83
editorial note stating 143
editorial note under 58
editorial note which 426
editorial once again 53
editorial page about 99
editorial page after 44
editorial page began 56
editorial page chief 74
editorial page could 78
editorial page daily 40
editorial page every 148
editorial page might 58
editorial page noted 111
editorial page often 55
editorial page piece 45
editorial page since 90
editorial page staff 505
editorial page under 223
editorial page until 82
editorial page where 214
editorial page which 637
editorial page while 44
editorial page would 393
editorial room where 141
editorial soon after 79
editorial task which 72
editorial work after 93
editorial work again 50
editorial work began 124
editorial work could 78
editorial work might 74
editorial work rather 41
editorial work seems 48
editorial work since 55
editorial work under 73
editorial work until 154
editorial work which 497
editorial work while 79
editorial work within 48
editorial work would 217
educated along lines 107
educated among hills 60
educated among people 44
educated among white 125
educated anew under 91
educated arab elite 103
educated arab women 160
educated asian women 107
educated best guess 56
educated city people 560
educated city women 124
educated city working 149
educated even though 335
educated ever since 102
educated free black 374
educated free negro 152
educated from books 59
educated from within 84
educated girl could 119
educated girl might 55
educated girl whose 109
educated girl would 366
educated good sense 42
educated good taste 97
educated have fewer 214
educated have lower 144
educated have taken 108
educated here rather 46
educated here under 80
educated high caste 157
educated india which 168
educated into thinking 235
educated jews would 101
educated lady might 46
educated like white 44
educated live longer 41
educated male elite 796
educated many people 302
educated mind could 189
educated mind knows 49
educated mind takes 107
educated mind which 378
educated mind would 138
educated more often 255
educated more people 42
educated once again 43
educated ones would 62
educated only about 63
educated other women 40
educated over again 114
educated poor people 44
educated ruling class 1016
educated ruling elite 199
educated single mother 117
educated single woman 154
educated single women 682
educated south asians 230
educated south indian 204
educated their girls 67
educated their minds 64
educated their people 410
educated their social 63
educated their taste 140
educated their women 55
educated there under 356
educated there until 219
educated there would 356
educated these people 196
educated third world 286
educated well above 146
educated were found 48
educated were often 293
educated were still 111
educated west indian 1161
educated west point 43
educated wife would 91
educated will never 115
educated work force 23423
educated young adult 238
educated young arabs 178
educated young black 1438
educated young girls 526
educated young indian 690
educated young males 197
educated young mother 47
educated young negro 231
educated young people 23824
educated young urban 66
educated young white 306
educated young wives 47
educated young woman 7198
educated young women 9504
educated youth began 103
educated youth could 264
educated youth might 122
educated youth seeking 44
educated youth under 46
educated youth which 198
educated youth whose 113
educated youth would 338
educates more people 50
educates young people 225
educates youth about 55
education acts which 61
education along class 62
education along lines 611
education along racial 56
education also aimed 52
education also appear 110
education also apply 126
education also began 416
education also calls 79
education also comes 135
education also could 77
education also exist 76
education also faces 59
education also fails 60
education also finds 40
education also found 146
education also gives 142
education also helps 382
education also holds 55
education also makes 305
education also might 55
education also needs 442
education also offer 117
education also often 80
education also opens 42
education also plays 359
education also point 58
education also poses 48
education also seeks 87
education also seems 263
education also serve 98
education also shows 153
education also spread 47
education also takes 225
education also tends 217
education also which 40
education also would 119
education among adult 224
education among black 448
education among ethnic 80
education among every 47
education among girls 939
education among indian 541
education among large 98
education among local 159
education among lower 62
education among males 128
education among negro 240
education among older 218
education among others 251
education among party 89
education among people 419
education among rural 368
education among social 52
education among staff 95
education among urban 119
education among which 43
education among white 132
education among women 4378
education among working 642
education back under 48
education bears fruit 56
education been equal 51
education been given 71
education been taken 53
education bill could 50
education bill might 44
education bill which 475
education bill would 220
education bond issue 63
education bore fruit 199
education brings about 882
education brings people 264
education came about 1053
education came after 297
education came first 686
education came later 154
education came under 1396
education came within 120
education camp where 41
education case study 560
education come about 177
education come alive 67
education come first 111
education come under 246
education come within 41
education coming under 73
education cost money 298
education during quite 58
education during times 51
education during which 473
education during working 96
education during world 246
education ends after 76
education even after 590
education even though 5071
education even today 439
education even under 99
education even where 123
education even while 163
education even within 117
education ever could 43
education ever given 46
education ever known 57
education ever since 1547
education fall short 100
education fall under 139
education fall within 148
education fell below 76
education fell short 320
education fell under 230
education fell within 96
education fits within 56
education five times 48
education four times 67
education from about 263
education from above 583
education from adult 110
education from basic 55
education from below 238
education from books 710
education from class 358
education from eight 315
education from either 246
education from elite 139
education from every 250
education from falling 55
education from false 71
education from first 289
education from george 156
education from georgia 68
education from getting 47
education from grade 821
education from greek 50
education from irish 55
education from junior 128
education from learning 119
education from local 645
education from lower 60
education from moral 53
education from mother 107
education from nearly 48
education from nursing 98
education from older 85
education from others 233
education from people 136
education from plato 167
education from rural 68
education from seven 215
education from social 158
education from start 49
education from state 1092
education from teaching 267
education from texas 133
education from total 135
education from under 141
education from urban 56
education from wayne 103
education from where 82
education from which 3440
education from white 63
education from within 586
education from women 213
education from working 170
education fund raising 96
education fund which 85
education gave place 45
education gave women 70
education grew apace 169
education grew rather 41
education have about 89
education have acted 59
education have added 134
education have again 44
education have aided 40
education have aimed 72
education have anything 110
education have asked 64
education have begun 777
education have built 79
education have drawn 262
education have earned 77
education have either 305
education have ended 83
education have equal 45
education have faced 52
education have fared 46
education have fewer 551
education have fixed 44
education have found 917
education have given 1369
education have grown 932
education have known 68
education have large 42
education have legal 45
education have lower 672
education have moved 354
education have nearly 45
education have never 1687
education have noted 200
education have often 2640
education have power 65
education have quite 44
education have ranged 46
education have rather 44
education have really 66
education have risen 827
education have shown 1054
education have since 372
education have spent 97
education have spread 98
education have sprung 80
education have still 98
education have stood 55
education have strong 117
education have taken 1311
education have thrown 43
education have tried 279
education have urged 90
education having taken 43
education help people 83
education here given 81
education here under 54
education here would 47
education ideas which 45
education into action 427
education into adult 238
education into basic 53
education into china 103
education into close 59
education into daily 99
education into every 268
education into focus 54
education into junior 175
education into local 48
education into rural 149
education into seven 83
education into social 163
education into state 121
education into teaching 44
education into terms 40
education into touch 64
education into which 504
education john dewey 115
education just about 128
education just after 68
education know about 55
education laws could 61
education laws which 267
education laws would 71
education leads people 56
education learn about 40
education less often 54
education lies rather 75
education lies within 133
education like yours 61
education live longer 53
education made nearly 56
education made people 123
education made rapid 228
education made sense 76
education made steady 59
education made under 70
education made women 200
education make people 101
education make sense 94
education many people 78
education many times 147
education means anything 268
education means change 109
education means equal 53
education means getting 46
education means growth 52
education means helping 58
education means learning 221
education means opening 52
education means teaching 340
education meant learning 127
education meant teaching 58
education more easily 369
education more equal 85
education more fully 706
education more money 52
education more nearly 278
education more often 1105
education more people 49
education more truly 41
education more vital 80
education most needs 93
education most often 630
education most people 104
education most women 47
education much above 244
education much easier 59
education much later 125
education much longer 127
education must above 65
education must adapt 240
education must admit 92
education must adopt 193
education must again 48
education must agree 59
education must allow 216
education must appeal 59
education must appear 109
education must apply 62
education must arise 80
education must avoid 177
education must await 71
education must begin 3202
education must belong 44
education must build 299
education must carry 135
education must cater 75
education must change 946
education must cover 120
education must create 224
education must either 285
education must engage 159
education must enter 76
education must equip 229
education must exist 83
education must first 1409
education must focus 631
education must guard 46
education must guide 80
education must needs 452
education must never 334
education must occur 333
education must offer 231
education must often 154
education must place 138
education must point 83
education must prove 94
education must raise 50
education must serve 1154
education must share 166
education must shift 129
education must solve 110
education must spend 50
education must stand 191
education must start 849
education must still 443
education must study 136
education must touch 49
education must train 393
education must unite 44
education must yield 80
education need never 62
education once again 686
education once given 48
education only about 92
education only added 83
education only after 556
education only began 117
education only could 59
education only makes 231
education only shows 67
education only since 50
education only under 76
education only until 55
education only where 95
education only which 105
education only within 95
education over again 337
education over which 349
education past grade 86
education plan based 80
education plan could 42
education plan under 40
education plan which 203
education plan would 86
education rate which 48
education rate would 65
education rise above 52
education rose about 46
education some people 100
education soon after 699
education soon began 86
education soon found 52
education stop short 42
education take pains 50
education take place 2219
education taking place 1072
education talk about 92
education task force 814
education test would 49
education their child 392
education their father 86
education their first 101
education their major 41
education their mother 47
education there after 75
education there arose 50
education there comes 55
education there could 205
education there exist 47
education there given 441
education there might 132
education there needs 42
education there ought 40
education there seems 281
education there shall 86
education there sprang 45
education there still 44
education there under 91
education there until 76
education there which 40
education there would 710
education these girls 45
education these people 137
education these women 99
education think about 72
education three times 122
education till after 98
education took place 8368
education took shape 264
education unit costs 72
education unit which 48
education unit within 91
education upon crime 69
education upon human 61
education upon lines 43
education upon local 45
education upon social 63
education upon sound 49
education upon which 1924
education upon women 74
education very often 279
education well above 339
education were about 407
education were above 125
education were added 574
education were again 158
education were aimed 103
education were alike 210
education were asked 592
education were aware 123
education were badly 44
education were based 792
education were begun 189
education were below 55
education were borne 84
education were bound 167
education were built 182
education were changing 156
education were cited 118
education were close 42
education were coded 65
education were drawn 326
education were easily 70
education were either 659
education were equal 138
education were faced 110
education were falling 63
education were false 44
education were finding 46
education were first 1350
education were fixed 75
education were found 1595
education were fully 223
education were gaining 49
education were geared 88
education were getting 77
education were given 1935
education were growing 113
education were hired 42
education were known 194
education were lacking 139
education were large 74
education were later 235
education were learning 64
education were looking 64
education were lower 190
education were major 152
education were meager 93
education were missing 47
education were mixed 186
education were moved 53
education were named 41
education were nearly 142
education were never 1072
education were noted 132
education were often 1172
education were opening 53
education were quick 81
education were quite 706
education were rated 96
education were rather 186
education were really 234
education were right 95
education were sadly 71
education were scant 65
education were seeking 58
education were shown 164
education were small 220
education were social 47
education were sound 77
education were spent 235
education were spread 53
education were still 1434
education were strong 104
education were swept 71
education were taken 1204
education were teaching 46
education were thrown 88
education were tried 124
education were truly 83
education were twice 92
education were under 946
education were urged 103
education were vital 71
education were wanting 41
education were willing 145
education were within 111
education were women 360
education were working 168
education were worthy 78
education when asked 59
education when every 61
education when faced 50
education when given 67
education when people 79
education when working 125
education will adapt 55
education will admit 98
education will adopt 50
education will again 128
education will agree 128
education will allow 631
education will alter 89
education will appeal 57
education will appear 324
education will apply 106
education will arise 101
education will avail 91
education will avoid 43
education will begin 740
education will belong 42
education will blush 89
education will build 92
education will carry 140
education will cause 413
education will change 1059
education will check 59
education will close 58
education will count 73
education will cover 85
education will create 483
education will drive 62
education will either 249
education will engage 62
education will enjoy 69
education will enter 105
education will equip 200
education will exert 53
education will exist 70
education will first 104
education will focus 250
education will force 80
education will fully 51
education will guide 60
education will imply 47
education will limit 51
education will lower 79
education will never 1837
education will occur 443
education will offer 206
education will often 401
education will place 141
education will prove 826
education will raise 334
education will really 154
education will refer 61
education will reveal 368
education will serve 879
education will shape 53
education will share 64
education will shift 117
education will solve 521
education will speed 40
education will spend 80
education will spread 214
education will stand 168
education will start 174
education will still 611
education will thrive 46
education will train 119
education will unfit 69
education will widen 58
education will yield 358
education work force 82
education work under 53
education work which 122
education work within 118
education work would 55
education worth anything 70
education worth speaking 276
education worth talking 47
education worth while 626
education writ large 249
education years later 109
education young people 373
education young women 101
education your child 263
education your father 209
education your mother 201
educator also needs 71
educator best known 123
educator john dewey 3412
educator mary mcleod 1128
educator must adapt 43
educator must avoid 46
educator must begin 90
educator must create 52
educator must first 498
educator must never 90
educator must study 142
educator well known 119
educator will agree 62
educator will never 64
educator will often 54
effected along lines 67
effected during sleep 62
effected during world 46
effected even after 179
effected even though 1046
effected even under 56
effected even where 48
effected even while 45
effected from above 1586
effected from april 51
effected from below 428
effected from either 171
effected from wells 56
effected from within 806
effected great change 56
effected great savings 119
effected great social 42
effected last night 43
effected many cures 446
effected many nicer 129
effected many times 86
effected more change 249
effected more cures 50
effected more easily 1162
effected more often 66
effected more rapid 45
effected most easily 300
effected much change 287
effected next morning 41
effected nothing either 46
effected nothing short 125
effected nothing worthy 119
effected only after 4955
effected only makes 41
effected only minor 50
effected only under 1445
effected only where 174
effected only while 44
effected only within 192
effected over night 52
effected some change 419
effected some cures 153
effected some major 44
effected some minor 143
effected some months 48
effected some savings 55
effected some small 45
effected soon after 616
effected such change 99
effected their cures 65
effected their entry 180
effected their final 58
effected their first 304
effected their landing 2742
effected their lives 56
effected their march 56
effected their total 66
effected there would 134
effected three times 69
effected till about 46
effected till after 339
effected took place 65
effected upon every 45
effected upon terms 162
effected very easily 329
effected what could 108
effected what force 410
effected what might 55
effected what would 48
effected when israel 43
effected when people 42
effected will appear 41
effector cell killing 144
effector cell level 279
effector cell types 893
effector cell which 176
efferent duct fluid 193
efferent duct which 120
efficacy among black 66
efficacy among older 84
efficacy among people 47
efficacy among urban 56
efficacy among women 109
efficacy data exist 46
efficacy even after 82
efficacy even though 95
efficacy from which 45
efficacy have shown 58
efficacy must await 52
efficacy soon began 70
efficacy there might 215
efficacy were based 52
efficacy were found 201
efficacy were never 41
efficacy were noted 52
efficacy when added 56
efficacy when given 294
efficacy when taken 60
effigies were burnt 507
effigies were found 177
effigies were often 74
effigies were still 48
effigies were taken 191
effluent fees would 180
effluent flow rates 620
effluent from either 188
effluent from large 139
effluent from mills 93
effluent from paper 710
effluent from plain 55
effluent from power 309
effluent from small 49
effluent from sugar 94
effluent from waste 370
effluent from water 190
effluent from which 304
effluent into nearby 90
effluent into water 142
effluent were found 183
effluent were taken 177
effluent will still 51
effusions also occur 93
effusions from breast 64
effusions from which 49
effusions have taken 44
effusions take place 659
effusions took place 44
effusions were found 161
effusions were never 43
effusions were noted 68
effusions were often 190
effusive lava flows 63
effusive south warms 126
eggplant into cubes 81
eggplant into small 204
eggshell from which 403
egoistic into social 49
egoistic theory which 42
eighteen army corps 573
eighteen days after 7584
eighteen days apart 54
eighteen days grant 56
eighteen days hence 82
eighteen days later 5269
eighteen days longer 87
eighteen days short 61
eighteen days since 552
eighteen days spent 81
eighteen days under 198
eighteen days until 127
eighteen days which 143
eighteen days while 77
eighteen days would 109
eighteen even though 55
eighteen feet above 5135
eighteen feet apart 630
eighteen feet below 2438
eighteen feet beneath 205
eighteen feet broad 716
eighteen feet could 71
eighteen feet draft 156
eighteen feet eight 113
eighteen feet front 111
eighteen feet lower 70
eighteen feet round 57
eighteen feet seven 69
eighteen feet under 270
eighteen feet water 935
eighteen feet which 43
eighteen feet within 74
eighteen feet would 156
eighteen folio pages 174
eighteen foot broad 70
eighteen free hours 45
eighteen from selling 40
eighteen from working 232
eighteen gilt spears 55
eighteen gold coins 45
eighteen golf balls 51
eighteen good crops 44
eighteen great dutch 220
eighteen guns which 49
eighteen having lived 85
eighteen heavy mince 51
eighteen hour period 51
eighteen inch waist 67
eighteen last night 49
eighteen living below 57
eighteen mile drive 48
eighteen mile march 49
eighteen month delay 44
eighteen month period 5972
eighteen month study 103
eighteen more hours 79
eighteen more lines 61
eighteen more miles 78
eighteen more months 448
eighteen more people 89
eighteen more ships 60
eighteen more times 80
eighteen most people 84
eighteen open mouths 77
eighteen other books 86
eighteen other cases 74
eighteen other girls 60
eighteen other latin 46
eighteen other major 51
eighteen other peers 80
eighteen other people 227
eighteen other ranks 179
eighteen other ships 64
eighteen other towns 83
eighteen other women 110
eighteen pack mules 85
eighteen poems which 46
eighteen sail under 41
eighteen such cases 111
eighteen third world 46
eighteen took place 40
eighteen very large 57
eighteen waking hours 78
eighteen weary months 113
eighteen week period 67
eighteen were added 92
eighteen were armed 191
eighteen were asked 57
eighteen were built 50
eighteen were cured 64
eighteen were either 224
eighteen were found 397
eighteen were girls 58
eighteen were given 222
eighteen were hanged 458
eighteen were headed 86
eighteen were known 66
eighteen were males 45
eighteen were saved 50
eighteen were spent 78
eighteen were still 221
eighteen were taken 317
eighteen were under 94
eighteen were white 62
