law as essential parts of 45
led to curiosity about the 59
led to decreased rates of 42
led to detailed study of 55
led to disputes about the 123
led to disputes within the 61
led to divisions within the 374
led to dramatic falls in 79
led to dramatic gains in 50
led to dramatic growth in 135
led to economic growth in 134
led to enormous growth in 92
led to execution within the 46
led to frequent cases of 54
led to increased costs of 46
led to increased focus on 86
led to increased growth of 60
led to increased rates of 430
led to increased sales in 42
led to increased sales of 151
led to increased study of 86
led to increased usage of 71
led to insights about the 52
led to military coups in 43
led to numerous cases of 202
led to optimism about the 48
led to policies aimed at 64
led to problems within the 47
led to questions about the 3382
led to specific forms of 48
leg on opposite sides of 64
let an arrogant piece of 145
let me grateful drain the 51
let my intuition guide me 54
let my soldiers stand at 51
let no american sloop or 47
let no obstacle stand in 152
let the children count the 75
let the children enjoy the 74
let the children first be 79
let the children place the 50
let the children sleep in 145
let the children study the 41
let the children taste the 42
let the children touch it 117
let the children touch the 41
let the children watch the 67
let the children write the 78
let the electric field be 61
let the expected value of 56
let the historian blame the 43
let the homeless sleep in 42
let the immediate blind us 42
let the inquirer begin by 102
let the magnetic field be 187
let the misdeeds stand as 41
let the pressure build up 83
let the righteous smite me 86
let the shoemaker stick to 88
let the situation stand as 49
let the soldiers rally us 90
let the straight lines ab 61
let the straight lines ca 59
let the suspense build up 40
let the trumpets sound the 96
let the trustees stand up 53
let thy servants dwell in 260
let us consider again the 1878
let us consider cases in 46
let us consider first an 115
let us consider first of 172
let us consider first the 2181
let us consider where the 117
let us consider where we 99
let us consider which of 93
let us consider which we 43
let us honestly state the 110
let us solemnly engage to 47
lie at opposite poles of 339
lie at opposite sides of 301
lie in abeyance until the 50
lie in prospect round me 86
lie on opposite banks of 107
lie on opposite sides of 10764
lie on straight lines in 92
lie the inspired words of 64
lie the splendid parks of 41
lie to yourself about it 66
lie to yourself about the 41
lit by electric light in 43
long an interval after the 46
long an interval might be 45
long an interval since the 64
long as adequate water is 69
long as britannia ruled the 101
long as children shall be 44
long as economic growth is 130
long as eighteen months at 43
long as eighteen months in 55
long as eighteen months or 73
long as eighteen months to 108
long as electric power is 42
long as everyone knows the 100
long as everyone plays by 54
long as evidence shall be 50
long as interest rates do 66
long as interest rates on 45
long as possible about it 108
long as possible about the 84
long as possible after it 41
long as possible after the 526
long as possible since it 56
long as possible since the 103
long as possible under the 325
long as possible until he 56
long as possible until it 147
long as possible until the 733
long as possible until we 46
long as possible while he 99
long as possible while the 339
long as possible while we 51
long as possible within the 489
long as supplies could be 73
long be confined within the 97
long he remained under the 78
long he wandered about the 40
long it actually takes to 168
long it normally takes to 60
long my careless limbs to 307
long the dominant force in 190
long the dominant power in 167
long the tourists flock to 55
long the wretched state of 50
long to discover where the 85
lot of argument about it 47
lot of argument about the 209
lot of argument later on 109
lot of articles about the 51
lot of attention after the 40
lot of attention given to 241
lot of attention since it 63
lot of attention since the 144
lot of attention within the 125
lot of beautiful women in 83
lot of children playing in 73
lot of comments about the 81
lot of computer power to 48
lot of concerns about the 66
lot of conflict within the 55
lot of confusion about it 64
lot of confusion about the 901
lot of confusion within the 40
lot of curiosity about the 76
lot of decisions about the 49
lot of decisions based on 58
lot of enthusiasm about the 45
lot of evidence about the 138
lot of explaining about the 42
lot of headaches later on 172
lot of heartache later on 111
lot of homeless people in 49
lot of innocent people in 143
lot of innocent people to 45
lot of interest within the 44
lot of misgivings about the 43
lot of nonsense about it 86
lot of nonsense about my 50
lot of nonsense about the 539
lot of optimism about the 46
lot of ordinary people in 63
lot of personal stuff in 41
lot of powerful people in 54
lot of problems could be 48
lot of problems later on 191
lot of problems within the 50
lot of problems would be 76
lot of processing power to 87
lot of progress since the 63
lot of questions about it 466
lot of questions about me 258
lot of questions about my 1012
lot of questions about the 3716
lot of questions about us 42
lot of questions still to 64
lot of questions would be 56
lot of rhetoric about the 104
lot of talented people in 112
lot of valuable stuff in 66
low as possible above the 71
low as possible below the 77
low as possible given the 69
low as possible since it 41
low as possible since the 68
low as possible under the 114
low as possible until the 68
low as possible while the 84
low as possible within the 204
low or moderate doses of 226
low or moderate level of 156
low or moderate rates of 120
low or negative growth in 98
low or negative rates of 452
low to moderate angles of 56
low to moderate doses of 772
low to moderate level of 470
low to moderate rates of 205
lying in confusion about the 77
lying on opposite sides of 1275
