lad took off his hat 48
lay there with his arm 66
lay there with his head 387
lay there with its head 44
lay there with one arm 44
lay upon her bed and 125
lay upon her bed with 43
lay upon her death bed 94
lay upon her dying bed 65
lay upon her lap and 67
lay upon him for his 105
lay upon him near two 52
lay upon his bed and 179
lay upon his bed with 57
lay upon his death bed 501
lay upon his dying bed 426
lay wait for them with 98
lead forth with you all 45
lead pipe that was long 75
lead those that are with 2577
lead those who are not 165
lead those who are with 145
lead those who can not 52
lead those who read them 56
lead time and can not 65
lean back and let him 55
lean over and hug her 57
lean over and hug him 42
lean over and pat his 43
lean over and put her 99
lean over and put his 131
lean upon her arm for 57
lean upon his arm and 173
leap from her bed and 43
leap from her seat and 155
leap from his bed and 528
leap from his seat and 219
leap from its seat and 161
leap half way now she 50
leap into bed with him 157
leap into bed with you 48
leap into his car and 83
leap over head and ears 453
leap upon him and fling 86
leap upon him and tear 142
leap upon them and bear 57
led more than one man 129
led those who did not 130
leg gave way and she 51
leg here and one leg 58
leg over his head and 73
leg over his hip and 117
leg pain that does not 73
leg when you are lying 49
let down his net for 111
let drop now and then 147
let fall her arm and 45
let fall his bow and 71
let fall his hat and 42
let fall now and then 213
let good things rot for 138
let more than one man 47
let slip that she had 199
let slip that she was 131
let slip that they had 119
let these men see that 58
let those men who are 68
let those say that you 55
let those six men bring 73
let those who are going 41
let those who are not 298
let those who are too 53
let those who can not 515
let those who did not 86
let those who say that 130
let what you can not 375
let word get out that 159
let word leak out that 84
let your dog off its 55
let your head get too 46
lie among them that are 183
lie back and let her 78
lie back and let him 232
lie back and let his 139
lie back and let them 54
lie back and let you 69
lie down all day and 95
lie down and can not 125
lie down and die and 242
lie down and die for 777
lie down and die than 133
lie down and die too 41
lie down and die with 438
lie down and let her 423
lie down and let him 537
lie down and let his 180
lie down and let our 180
lie down and let them 392
lie down and let you 224
lie down and not get 104
lie down and put her 69
lie down and put his 102
lie down and with his 121
lie down and you can 101
lie down but can not 45
lie down with her and 133
lie down with her for 49
lie down with her head 310
lie down with him and 170
lie down with his head 898
lie down with kings and 124
lie down with them and 81
lie down with you and 83
lie down with you for 40
lie here all day and 59
lie here and let you 107
lie like this all day 46
lie more low than our 69
lie more than you can 43
lie once and for all 301
lie over for one day 50
lie ready for any that 195
lie ready for our use 53
lie there all day and 189
lie there all day long 130
lie there and let her 140
lie there and let him 323
lie there and let them 102
lie there and let you 51
lie there long with that 46
lie thick with our ill 40
lie upon his own head 118
lie upon that bed and 60
lie when they say that 411
lie when they say they 315
lie when you say that 235
lie when you say you 272
lie when you see with 262
lion were set for him 41
log file that you can 64
log over with one paw 40
long ages ere man was 41
long angry with one who 73
long arms now and then 46
long axis lying east and 41
long been and are now 49
long been dead and his 76
long been ill and was 49
long breath she had not 46
long call and long put 56
long chat with him and 69
long coat and top hat 62
long drop this and try 98
long felt that his own 48
long felt that she was 120
long felt that they had 49
long felt that this was 119
long gone and did not 44
long hair and all that 124
long hair and cry her 45
long hair and did not 104
long hair and she was 53
long hair for men and 97
long hair for men was 42
long hair was cut off 270
long hair was wet and 61
long have had and are 42
long have they had this 53
long have you and she 53
long have you had her 267
long have you had him 553
long have you had that 3026
long have you had them 935
long have you had this 7728
long heard that you can 62
long held that this was 40
long kept his bed with 50
long knew that our dear 55
long lane that has not 44
long last she was going 47
long legs and can run 86
long legs and his long 72
long legs and long ears 44
long legs and long toes 88
long life and all that 47
long life and did not 61
long life and may you 44
long life and old age 93
long life and see his 47
long life for this new 64
long life that she had 137
long life with all its 46
long look but did not 41
long lost all that they 57
long menu and ran his 59
long more are you going 326
long nose and big ears 55
long over his ears and 131
long past due and that 111
long pole with its wings 74
long reach that ran due 44
long road that had led 54
long road that has led 54
long seen that you are 57
long swings this way and 67
long tail and eke long 52
long tail our cat has 46
long talk she had with 49
long talk they had had 71
long talk with her and 333
long talk with her one 61
long talk with her son 149
long talk with her that 98
long talk with her this 80
long talk with him and 902
long talk with him one 64
long talk with him that 224
long talk with him this 181
long talk with him was 58
long talk with his old 87
long talk with his son 227
long talk with them and 105
long talk with you and 81
long term and are not 85
long term and can not 122
long term and does not 75
long term and may not 41
long there was not one 132
long think you that you 97
long time ago and all 123
long time ago and are 277
long time ago and can 96
long time ago and did 164
long time ago and far 128
long time ago and for 100
long time ago and had 700
long time ago and has 466
long time ago and her 43
long time ago and his 118
long time ago and how 53
long time ago and its 46
long time ago and not 209
long time ago and now 593
long time ago and one 71
long time ago and put 49
long time ago and she 482
long time ago and that 1960
long time ago and then 227
long time ago and they 411
long time ago and things 92
long time ago and this 104
long time ago and was 530
long time ago and who 139
long time ago and with 71
long time ago and yet 205
long time ago and you 406
long time ago but did 54
long time ago but for 58
long time ago but had 108
long time ago but has 57
long time ago but not 62
long time ago but now 55
long time ago but she 78
long time ago but that 145
long time ago but they 96
long time ago but was 66
long time ago but you 67
long time ago did not 49
long time ago does not 93
long time ago for this 41
long time ago now and 136
long time ago now but 43
long time ago now that 270
long time ago she had 466
long time ago she was 100
long time ago that all 314
long time ago that any 57
long time ago that being 66
long time ago that god 67
long time ago that had 69
long time ago that her 85
long time ago that his 124
long time ago that men 45
long time ago that not 41
long time ago that one 349
long time ago that our 95
long time ago that she 707
long time ago that that 123
long time ago that they 375
long time ago that things 42
long time ago that this 323
long time ago that was 376
long time ago that you 1174
long time ago then out 66
long time ago they did 68
long time ago they had 238
long time ago this was 97
long time ago was not 45
long time ago was that 87
long time ago with his 80
long time all that was 69
long time and all that 52
long time and are not 335
long time and are now 139
long time and are thus 46
long time and can not 771
long time and did not 1709
long time and does not 685
long time and for that 83
long time and for this 57
long time and had got 50
long time and had had 124
long time and had not 518
long time and had now 43
long time and had then 63
long time and has had 171
long time and has not 259
long time and has now 90
long time and may not 216
long time and not get 78
long time and not see 40
long time and now she 88
long time and now that 308
long time and now they 120
long time and now was 54
long time and now you 109
long time and one can 41
long time and one day 97
long time and one that 55
long time and saw that 77
long time and she did 111
long time and she does 62
long time and she had 302
long time and she has 113
long time and she was 529
long time and that all 62
long time and that are 63
long time and that for 59
long time and that had 51
long time and that has 70
long time and that his 115
long time and that now 43
long time and that she 322
long time and that they 485
long time and that this 145
long time and that was 172
long time and that you 180
long time and then all 109
long time and then got 93
long time and then had 180
long time and then his 49
long time and then let 48
long time and then one 179
long time and then put 80
long time and then sat 60
long time and then say 45
long time and then she 578
long time and then they 255
long time and then was 65
long time and then you 104
long time and they all 46
long time and they are 378
long time and they can 103
long time and they did 122
long time and they had 346
long time and they may 57
long time and this has 51
long time and this was 148
long time and thus are 50
long time and was not 595
long time and was now 247
long time and was one 72
long time and was then 65
long time and who are 152
long time and who can 54
long time and who had 326
long time and who has 121
long time and who was 187
long time and with all 44
long time and yet not 40
long time and you are 264
long time and you can 156
long time and you did 50
long time and you may 86
long time but are not 51
long time but can not 80
long time but did not 506
long time but does not 55
long time but had not 371
long time but has not 112
long time but has now 54
long time but now she 49
long time but she did 85
long time but she had 40
long time but she was 43
long time but they are 86
long time but they did 58
long time but they had 80
long time but was not 136
long time did not see 52
long time does not mean 261
long time for all that 45
long time for all this 58
long time for any man 72
long time for any one 207
long time for her and 45
long time for him and 67
long time for one man 55
long time for one who 48
long time for that day 76
long time for them all 43
long time for this and 149
long time for this day 1340
long time for this idea 41
long time for this new 55
long time for this one 83
long time for you and 94
long time how she goes 96
long time its use was 53
long time men did not 100
long time met with one 43
long time now and had 58
long time now and has 49
long time now and she 80
long time now and that 58
long time now and they 47
long time now and you 77
long time now she had 417
long time now she has 84
long time now that she 40
long time now that they 53
long time now that you 66
long time now they had 128
long time she and her 78
long time she did not 2044
long time she does not 90
long time she had had 132
long time she had not 713
long time she has not 84
long time she lay with 67
long time she sat and 62
long time she sat thus 91
long time she sat with 141
long time she was not 165
long time that day and 49
long time that did not 52
long time that one can 64
long time that one day 42
long time that she did 68
long time that she had 382
long time that she has 66
long time that she was 560
long time that that was 52
long time that they are 315
long time that they can 84
long time that they did 43
long time that they had 304
long time that this was 296
long time that was all 318
long time that was not 61
long time that you and 53
long time that you are 194
long time that you can 122
long time that you did 49
long time that you had 41
long time they are not 51
long time they can not 162
long time they did not 1741
long time they had had 150
long time they had not 370
long time they sat and 69
long time they sat thus 65
long time this did not 118
long time this man had 68
long time this was all 57
long time this was not 174
long time who did not 46
long time with death and 82
long time with her head 172
long time with him and 147
long time with his head 456
long time with that one 50
long time with them and 44
long time with you and 270
long time yet and that 45
long time you can not 80
long time you did not 98
long told that death was 102
long tons per man per 127
long trip and did not 42
long walk and had not 42
long walk with him and 64
long ways that seam her 44
long were you with her 135
long were you with him 327
long were you with them 123
long when they are not 46
long will god bear with 83
long will you let this 111
long years for this day 49
long years she had not 47
long years that she had 46
long years that they had 49
lot less than they are 51
lot less wear and tear 80
lot more for her than 54
lot more for him than 103
lot more for them than 58
lot more for you than 232
lot more fun for both 43
lot more fun for you 69
lot more fun now that 85
lot more fun than any 143
lot more fun than being 478
lot more fun than doing 74
lot more fun than going 255
lot more fun than she 71
lot more fun than that 146
lot more fun than they 119
lot more fun than this 143
lot more fun than you 345
lot more fun that way 256
lot more fun this way 75
lot more going for her 106
lot more going for him 180
lot more going for them 275
lot more going for you 244
lot more now than they 62
lot more now than you 46
lot more than any one 135
lot more than she did 578
lot more than she does 309
lot more than she had 757
lot more than she has 45
lot more than she let 132
lot more than she was 835
lot more than that and 270
lot more than that but 92
lot more than that for 518
lot more than that going 49
lot more than that now 175
lot more than that with 48
lot more than they are 594
lot more than they can 285
lot more than they did 759
lot more than they get 45
lot more than they had 498
lot more than they let 83
lot more than this one 43
lot more than you and 69
lot more than you are 439
lot more than you can 1167
lot more than you did 443
lot more than you get 67
lot more than you had 171
lot more than you let 84
lot more than you may 103
lot more that you can 155
lot more things than that 43
lot more things than they 45
lot more things than you 51
lot more wear and tear 114
lot once and for all 153
lot once for all with 41
lot when she was with 43
low birth and low death 163
low cost and does not 48
low cost and with low 56
low cost does not mean 62
low cost per bit and 46
low down and mean that 87
low high low low low 273
low over her ears and 79
low over her head and 129
low over her that she 49
low over his ears and 192
low over his head and 279
low rack for hay and 97
low rate per ton per 49
low risk does not mean 43
low salt and low fat 94
low tide one can see 45
low tide you can see 149
low tide you may see 40
low till you can rob 42
low tone and did not 48
low when they are not 44
low word now and then 84
lying back with her head 69
lying back with his head 75
lying down and can not 43
lying down and did not 76
lying down and she was 57
lying down with her head 130
lying down with his head 548
lying down with its head 111
lying flat with his head 54
lying here all day long 100
lying there and did not 47
lying there but did not 123
lying there with her head 126
lying there with his head 243
lying there with his leg 53
lying upon her bed with 90
lying upon his bed with 47
lying upon his death bed 138
lying when they say that 278
lying when they say they 129
lying when you say that 133
lying when you say you 98
