lactic acid was formed and 41
little girl who missed her 53
little girl who needed her 113
little girl who played with 137
little girl who should not 45
little girl who stayed with 42
little girl who thought she 100
little girl who thought that 111
little girl who walked with 43
little girl who wanted her 88
little girl with braids and 41
little girl with bright red 90
little girl with wonder that 141
little gold and silver and 65
little gold and silver that 138
little gold and silver was 66
little grip and closed her 40
little hand and rubbed her 54
little heaps and curves and 45
little heart she wanted them 46
little heart was filled with 115
little heel and caught him 45
little kirk that stands near 52
little lamb its fleece was 170
little less than demand her 59
little less than double his 87
little less than double that 167
little less than starving them 225
little less than twenty per 97
little lisa was seized for 46
little moan and prayed her 53
little more than accept and 88
little more than agents for 174
little more than another song 48
little more than another way 289
little more than another year 471
little more than arrange for 98
little more than assert that 414
little more than before and 41
little more than carrying out 448
little more than clerks who 41
little more than coffee and 123
little more than comply with 138
little more than double its 203
little more than double that 930
little more than effort and 82
little more than eleven per 94
little more than enough for 916
little more than ensure that 282
little more than ensuring that 112
little more than expand and 41
little more than finish her 55
little more than fodder for 171
little more than formal and 180
little more than forums for 131
little more than fronts for 358
little more than gossip and 54
little more than hearsay and 120
little more than hurrying and 42
little more than insist that 49
little more than labels for 61
little more than listen and 97
little more than loaded our 617
little more than menace her 45
little more than mention that 53
little more than mention them 298
little more than middle age 95
little more than mortal for 81
little more than places for 69
little more than pointing out 98
little more than record his 88
little more than remark that 59
little more than remind you 120
little more than rubble and 46
little more than secure her 61
little more than sketch out 243
little more than slaves and 49
little more than slaves who 41
little more than something that 47
little more than sticks and 111
little more than survey its 55
little more than tinker with 244
little more than trifle with 41
little more than twelve per 150
little more than twenty men 108
little more than twenty per 164
little more than vanity and 47
little more than verbal and 44
little more was needed for 49
little more was needed than 185
little more was taught than 44
little ones and dashes them 267
little ones and sticks them 44
little over one dollar per 53
little over two inches long 238
little over two pounds per 43
little part that wisdom had 41
little pearl was pointing her 206
little pink heap before him 43
little plan was doomed not 42
little rain had fallen for 46
little rill has filled its 69
little room for debate and 40
little room for doubting its 40
little room for doubting that 1122
little room for escape for 61
little room for wonder that 83
little room she called her 81
little room she shared with 76
little room that looked out 101
little room that opened off 162
little room that served him 42
little room was filled with 482
little salt and pepper and 1086
little shoes now fitted her 41
little snow had fallen and 46
little songs with scarce now 64
little soul was filled with 65
little tact his temper was 49
little time and effort and 142
little time and effort are 148
little time and effort for 69
little time and effort was 55
little time and effort you 71
little time and energy are 83
little time and energy for 1045
little time and strength for 79
little time and thought for 80
little time for anyone who 74
little time for family and 146
little time for planning and 171
little time for prayer and 64
little time for thought and 166
little time for training and 61
little time had passed and 96
little time had passed for 45
little time has passed and 58
little time has passed for 90
little time was needed for 102
little town was filled with 108
little when she paints thee 111
little work and drinking too 52
loaded down with chains and 111
loaded down with jewels and 73
loaded down with rifles and 50
loaded down with weapons and 71
loaded only with powder and 46
locker room was filled with 169
lodgings dost thou tenant now 102
lonely dale her little boy 53
lonely days and nights and 50
lonely days and nights that 55
lonely lair and fought his 87
looked among his papers but 70
looked away and cleared her 54
looked away and cleared his 142
looked away and closed her 86
looked away and closed his 81
looked away and reached for 82
looked away and rubbed his 61
looked away and stared out 193
looked away and thought for 48
looked away and turned his 47
looked away and waited for 49
looked back and called out 113
looked back and raised his 63
looked back and smiled and 51
looked back and thought how 57
looked back and thought that 59
looked back and waited for 52
looked back with horror and 104
looked back with regret and 191
looked back with sorrow and 78
looked back with wonder and 72
looked clean and bright and 48
looked damp and gloomy and 55
looked down and cleared his 51
looked down and closed her 42
looked down and closed his 49
looked down and patted him 46
looked down and played with 216
looked down and reached for 66
looked down and rubbed her 42
looked down and rubbed his 141
looked down and smiled and 69
looked down and thought for 46
looked down and waited for 63
looked down with curious eye 67
looked down with sorrow and 94
looked from her window and 149
looked from his window and 113
looked glad and tender now 47
looked heavy and sleepy and 54
looked into her coffee cup 159
looked into her mirror and 143
looked into his coffee cup 217
looked into his mirror and 62
looked into his record and 40
looked into this matter and 214
looked into this matter with 59
looked like she always did 70
looked like she wished she 101
looked like they wished they 51
looked over and beyond him 77
looked over and beyond them 60
looked over and caught her 53
looked over and caught him 89
looked over and sorted his 93
looked over his papers and 67
looked pale and anxious and 42
looked pale and washed out 150
looked upon and treated with 88
looked upon death without fear 40
looked upon earth deeper than 51
looked upon her mansion with 196
looked upon her sourly for 42
looked upon him almost with 62
looked upon his brother with 148
looked upon his creation and 47
looked upon his failings with 44
looked upon his fellow men 49
looked upon his friend with 65
looked upon his mission with 54
looked upon his nephew with 79
looked upon his person with 57
looked upon old nelson and 51
looked upon one another and 46
looked upon one another for 59
looked upon one another with 267
looked upon this measure with 56
looked upon this system with 58
looked upon with esteem and 130
looked upon with hatred and 302
looked upon with horror and 630
looked upon with terror and 222
looked upon with wonder and 350
looked very bad indeed for 40
looked young and pretty and 41
loomed vast and lonely out 94
loosed from any sacred and 51
loosed from her moorings and 66
loosed from his prison and 138
loosed from its moorings and 85
losses from this disease are 72
losses from this source are 180
losses were far greater than 214
losses were far heavier than 104
losses were far higher than 44
losses were one killed and 165
losses were six killed and 95
losses were two killed and 141
losses when things turned out 50
lovely face all dulled and 58
lovely what our fathers did 79
lunacy when one stamps with 84
