lads are making pikes again 68
life that most people never 55
life that most people would 166
life that took place after 52
life that took place within 43
life they were talking about 166
life you have stood apart 77
like all good fairy tales 62
like all hell breaking loose 46
like all hell broke loose 302
like all other human urges 93
like all other human works 61
like all other indian women 57
like all other small people 96
like all other social facts 51
like all other spots where 66
like all other steps which 198
like all those others which 62
like all those which brown 76
like any other child would 49
like any other civil action 44
like any other ethnic group 322
like any other human action 46
like any other human group 70
like any other human right 59
like any other large group 43
like any other place where 123
like any other rebel slave 123
like any other social group 301
like any other stream whose 53
like any other woman would 151
like each other while peeking 95
like her most whose merit 128
like one busy picking shining 150
like that hope which rests 67
like that soil which shall 52
like they were movie stars 50
like they were playing cards 41
like they were still alive 53
like they were talking about 860
like they were thinking about 59
like they were under water 42
like this these stony walls 56
like you have never known 241
like you know anything about 153
like you were right about 209
like you were talking about 543
like you were thinking about 56
liking for your calling after 41
lime and other salts which 46
lime had been burning forty 52
lime had been spread about 44
line had been drawn under 83
line has been drawn under 140
line has been drawn which 80
line has ever since borne 78
line was sent under major 68
lions and other beasts drawing 58
lips and high cheek bones 47
lips are those whose words 64
lips with much gusto after 53
live all their lives under 51
live all their lives within 45
live and work under close 305
live out here eight miles 56
live out their adult lives 228
live out their brief lives 125
live out their daily lives 922
live out their lives alone 81
live out their lives never 51
live out their lives under 322
live out their lives within 960
live out their short lives 76
live out their whole lives 327
live out their working lives 120
live with ideas which would 65
live with just about anything 41
live with their father after 47
live with their mother after 79
live with their mother until 63
live with their wives after 71
live with their wives until 43
live with your first owner 46
living all their lives under 244
living and dining rooms flank 58
living and high thinking which 393
living for some weeks quite 59
living out their daily lives 80
living out their lives under 65
living out their lives within 76
living that have taken place 53
living with their first wives 66
load and knew right where 74
longing for what could never 77
look and tone shall carry 104
look for early warning signs 95
look for many weeks after 52
look for some local cause 225
look for some missing ships 43
look for some place where 529
look for their nests until 46
lose all their power under 86
lose his life while putting 42
lose its eager learning power 40
lose that very reason about 40
losing him came daily nearer 43
losing them will never alter 81
loss may have taken place 64
lost his life while hunting 111
lost his life while serving 208
lost his life while working 81
loud and angry terms showing 83
love and care about others 124
love and fate shall smile 41
love and union grows daily 138
love for miss stacy stood 56
love for their mother tongue 133
love his name shall dwell 420
love that life could never 203
love that nothing could shake 93
love this book would never 101
love with their whole hearts 40
love you less after knowing 88
lull them into pleasing dreams 94
lungs and make breathing easier 69
lungs and those which breathe 54
