lad in a flutter of 53
lead to a triumph of 369
lead to a tyranny of 418
lead to a variation in 1208
lead to a variation of 894
lead to a variety of 25965
lead to a verdict of 494
lead to a victory by 42
lead to a victory in 117
lead to a victory of 209
lead to a violation of 6478
lead to a wastage of 211
lead to a weakness in 105
lead to a worsening in 295
lead to a worsening of 5306
lead to a worship of 88
leaf as a function of 358
leaf in a solution of 95
leaf is a function of 72
leaf of a diptych in 65
leaf of a species of 451
led as a captive in 70
led as a captive to 49
led as a servant by 42
led by a captain of 121
led by a citizen of 46
led by a colonel of 61
led by a company of 197
led by a coterie of 90
led by a council of 201
led by a decline in 53
led by a dynasty of 42
led by a foreman or 49
led by a general of 175
led by a handful of 1037
led by a hundred of 59
led by a mixture of 173
led by a musical ear 63
led by a network of 60
led by a nucleus of 68
led by a passage in 51
led by a phalanx of 112
led by a platoon of 84
led by a process of 177
led by a segment of 46
led by a sergeant of 61
led by a sergeant or 55
led by a servant of 59
led by a servant to 44
led by a society of 44
led by a soldier of 105
led by a student at 61
led by a sympathy in 44
led by a vanguard of 205
led by a variety of 385
led by a veteran of 167
led in a variety of 74
led to a backlog of 118
led to a balance of 380
led to a balancing of 41
led to a barrage of 334
led to a battery of 62
led to a beginning of 96
led to a boycott by 124
led to a boycott of 1239
led to a buildup in 48
led to a buildup of 363
led to a burgeoning of 334
led to a careful re 47
led to a cascade of 467
led to a century of 353
led to a chamber in 60
led to a cheapening of 89
led to a cleavage in 50
led to a climate in 118
led to a climate of 432
led to a closure of 117
led to a cluster of 310
led to a complex of 87
led to a concept of 1757
led to a concern to 62
led to a contest in 48
led to a contest of 41
led to a control of 68
led to a council of 132
led to a crumbling of 66
led to a culture in 97
led to a culture of 945
led to a cutback in 216
led to a dampening of 82
led to a deadlock in 150
led to a decision at 61
led to a decision by 1223
led to a decision in 718
led to a decision of 258
led to a decision on 212
led to a decision to 9958
led to a decline in 54744
led to a decline of 6280
led to a decline to 43
led to a decrease in 34470
led to a decrease of 2206
led to a decrease or 41
led to a deepening of 885
led to a defense of 126
led to a deficit in 247
led to a deficit of 180
led to a delight in 40
led to a devaluing of 130
led to a devotion to 43
led to a diaspora of 42
led to a dilemma in 56
led to a dilution of 421
led to a disdain of 71
led to a dislike of 65
led to a display of 273
led to a dispute as 108
led to a dispute in 110
led to a dispute of 56
led to a division in 805
led to a division of 3355
led to a divorce in 80
led to a divorce of 88
led to a dualism in 44
led to a dualism of 48
led to a dwindling of 92
led to a failure by 67
led to a failure in 205
led to a failure of 678
led to a failure on 63
led to a failure to 1740
led to a ferment of 53
led to a fixation of 57
led to a fixation on 82
led to a flowering of 687
led to a formula of 47
led to a freedom of 100
led to a gallery on 50
led to a general re 74
led to a glimpse of 63
led to a handful of 131
led to a hardening of 2704
led to a harvest of 54
led to a history of 218
led to a increase in 43
led to a lawsuit by 118
led to a lawsuit in 165
led to a lengthening of 224
led to a lessening in 54
led to a lessening of 1108
led to a loosening of 710
led to a marriage of 91
led to a mastery of 86
led to a maximum of 57
led to a minimum of 121
led to a misreading of 158
led to a mistake in 94
led to a mixture of 727
led to a narrowing of 1288
led to a negation of 139
led to a neglect of 7330
led to a network of 375
led to a package of 72
led to a passage of 74
led to a pattern in 58
led to a pattern of 1458
led to a paucity of 397
led to a perusal of 57
led to a petition by 67
led to a petition to 149
led to a picture in 59
led to a picture of 524
led to a plethora of 3953
led to a position as 368
led to a position at 105
led to a position in 402
led to a position of 317
led to a position on 69
led to a poverty of 47
led to a premium on 73
led to a problem in 128
led to a problem of 342
led to a process in 81
led to a process of 5358
led to a product of 43
led to a program of 522
led to a program to 99
led to a project of 118
led to a project to 95
led to a promise by 67
led to a promise of 68
led to a promise to 62
led to a protest by 385
led to a protest in 79
led to a protest on 84
led to a protest to 42
led to a pursuit of 82
led to a quality of 45
led to a quarrel in 59
led to a quarter of 45
led to a question as 62
led to a question in 150
led to a question of 150
led to a question on 51
led to a radical re 82
led to a rebound in 73
led to a recasting of 236
led to a recital of 48
led to a recording of 44
led to a redrawing of 96
led to a refusal by 186
led to a refusal of 131
led to a refusal on 49
led to a refusal to 438
led to a reliance on 672
led to a religion of 104
led to a removal of 234
led to a renewal in 59
led to a renewal of 10827
led to a reordering of 162
led to a reprint of 46
led to a request by 329
led to a request in 51
led to a request on 44
led to a request to 241
led to a reshaping of 244
led to a resolve to 118
led to a restudy of 45
led to a rethinking of 1570
led to a rethinking on 46
led to a revamping of 133
led to a revision in 357
led to a revision of 9399
led to a revival in 542
led to a revival of 19911
led to a reworking of 113
led to a rewriting of 144
led to a rupture in 393
led to a rupture of 730
led to a scandal in 69
led to a science of 97
led to a scuffle in 120
led to a seizure of 91
led to a setback in 102
led to a shakeup in 50
led to a shrinking of 250
led to a society in 123
led to a society of 94
led to a softening of 479
led to a solution in 74
led to a solution of 801
led to a solution to 92
led to a species of 499
led to a splitting of 159
led to a splitting up 134
led to a squeeze on 125
led to a stressing of 44
led to a stretch of 63
led to a summons to 90
led to a surfeit of 215
led to a surplus in 79
led to a surplus of 591
led to a takeover by 102
led to a takeover of 86
led to a tempering of 47
led to a terrace on 40
led to a thickening of 49
led to a thorough re 48
led to a torrent of 241
led to a tragedy of 46
led to a trickle of 42
led to a triumph of 89
led to a vacancy in 51
led to a variation in 200
led to a variation of 138
led to a variety of 23181
led to a verdict of 226
led to a victory by 40
led to a victory in 44
led to a victory of 169
led to a village of 47
led to a village on 117
led to a violation of 408
led to a walkout by 170
led to a walkout of 95
led to a wastage of 63
led to a weakness in 68
led to a worsening in 115
led to a worsening of 2965
led to a worship of 97
leg as a function of 67
leg in a gesture of 66
leg in a plaster of 40
leg in a position of 209
leg of a chicken or 58
leg of a journey to 274
let be a function of 40
let be a solution of 71
let go a barrage of 57
let go a torrent of 53
let in a current of 138
let in a glimmer of 74
let in a glimpse of 152
let in a maximum of 43
let in a minimum of 41
let in a torrent of 43
let to a company of 46
let to a variety of 63
liar or a paragon of 57
lie in a complex of 175
lie in a country of 162
lie in a failure of 244
lie in a failure to 506
lie in a hammock in 67
lie in a hammock on 63
lie in a history of 42
lie in a mixture of 254
lie in a network of 190
lie in a position of 326
lie in a position to 197
lie in a process of 200
lie in a revival of 89
lie in a solution of 136
lie in a variety of 732
lie is a behavior of 55
lie is a violation of 120
lie on a blanket in 180
lie on a blanket on 140
lie on a diameter of 139
lie on a question of 136
lie on a surface in 110
lie on a surface of 331
lion is a creature of 53
lip in a gesture of 71
lip or a bristle of 82
lit by a lantern of 84
lit by a mixture of 83
lit by a variety of 131
lit on a cluster of 86
log as a function of 434
log of a product is 219
long as a balance is 127
long as a balance of 133
long as a century or 111
long as a century to 128
long as a chapter in 55
long as a company is 338
long as a company of 225
long as a country is 460
long as a creature is 78
long as a culture is 86
long as a current is 178
long as a current of 96
long as a decision is 75
long as a division of 54
long as a fraction of 120
long as a function is 59
long as a function of 46
long as a glimmer of 290
long as a glimpse of 42
long as a handful of 193
long as a hundred of 277
long as a journey to 46
long as a language is 184
long as a machine is 76
long as a manager is 55
long as a marriage is 45
long as a message is 64
long as a minimum of 568
long as a modicum of 64
long as a package is 95
long as a painter is 64
long as a patient is 697
long as a pattern of 44
long as a picture is 69
long as a problem is 67
long as a process is 75
long as a product is 109
long as a program is 96
long as a project is 74
long as a quarter of 707
long as a question is 49
long as a question of 119
long as a religion is 182
long as a remnant of 156
long as a science is 45
long as a society is 307
long as a soldier is 47
long as a solution is 67
long as a species is 51
long as a statute is 127
long as a student is 141
long as a subject is 62
long as a superior in 121
long as a surplus of 49
long as a variety of 199
long as a vestige of 418
long as a violation of 44
long as a voltage is 48
long as a witness is 43
long as i adhered to 81
long as i appeared to 73
long as i avoided the 87
long as i believe in 670
long as i believe it 195
long as i believe the 124
long as i command the 77
long as i confine my 329
long as i control the 47
long as i desired it 66
long as i desired to 169
long as i enjoyed the 94
long as i focused on 166
long as i gathered no 68
long as i managed to 83
long as i persist in 40
long as i possess it 53
long as i possess the 223
long as i promise to 66
long as i receive the 68
long as i refused to 144
long as i resided in 51
long as i succeed in 73
long at a madonna of 52
long at a stretch as 40
long at a stretch by 111
long be a comfort to 45
long be a stranger to 140
long be a subject of 103
long by a maximum of 188
long by a quarter of 1318
long in a chamber of 104
long in a mixture of 42
long in a position of 368
long in a position to 270
long in a variety of 58
long is a mystery to 113
long is a tribute to 221
lot as a function of 188
lot at a minimum of 42
lot is a function of 53
low as a fraction of 480
low as a function of 63
low as a quarter of 177
low in a species of 119
low in a variety of 48
lung as a function of 139
lung is a function of 70
lung to a variety of 42
lying in a crevice of 40
lying in a doorway in 45
lying in a gateway on 45
lying in a hammock in 279
lying in a hammock is 40
lying in a hammock on 261
lying in a hammock or 80
lying in a network of 54
lying in a position of 96
lying in a position to 47
lying in a stratum of 55
lying in a variety of 44
lying on a bearskin by 64
lying on a blanket at 68
lying on a blanket by 84
lying on a blanket in 917
lying on a blanket on 463
lying on a counter in 53
lying on a stratum of 132
lying on a stretch of 64
lying on a surface of 72
lying on a trolley in 61
