lack nothing now but the 57
last view was that of 43
last wave that wet it 43
last week and all the 111
last week and for the 50
last week and had the 46
last week and had to 110
last week and now he 43
last week and now it 46
last week and one of 56
last week and saw the 104
last week and she is 48
last week and that he 73
last week and that the 83
last week and this is 43
last week and try to 41
last week but one of 115
last week can not be 51
last week may not be 73
last week met with the 44
last week she was in 84
last week that one of 117
last week that she is 78
last week was due to 44
last week was not the 88
last week was one of 250
last week was that he 46
last week was that of 76
last week was that the 133
last week with all the 56
last week with one of 100
last what was going on 154
last when they are no 88
last when this was to 94
last will and that he 172
last will can not be 52
last will lead near to 297
last wish was not to 43
last wish was that he 277
last wish was that no 40
last wish was that the 114
last word and that the 63
last word can not be 326
last word had yet to 54
last word has yet to 482
last word lay with the 194
last word that can be 488
last word was had by 67
last word was one of 65
last word was out of 382
last word was that he 115
last word was that if 48
last word was that the 45
last word was with the 189
last word with all the 48
last work was one of 59
last worn out with the 44
last years and death of 408
last years can not be 63
last years was due to 55
late acts and for the 67
late bell was ringing in 115
late date and that the 40
late date can not be 51
late deaths are due to 50
late filing was due to 134
late folk may hear the 82
late iron age and the 139
late july and all of 55
late last year and the 124
late last year that the 162
late last year with the 96
late what was going on 109
late when she was at 54
late when they got to 144
late years has had the 47
late years has led to 69
late years than that of 44
late years was that of 58
laws also deal with the 52
laws cheat him out of 42
laws have not had the 92
laws have put him in 56
laws hold for you as 63
laws made for them by 183
laws made for them in 60
laws other than that of 94
laws were not easy to 45
laws were not going to 55
laws were not put in 79
laws were not yet in 62
laws were too weak to 67
laws when they are in 56
laws will one day be 63
laying down his head on 149
laying down his head to 42
laying down his pen in 122
laying down his pen to 71
laying down one idea of 54
laying down one set of 63
laying down that all the 69
laying food for them in 43
lays down her head at 42
lays down his head at 45
lays down his pen to 169
lays down that all the 125
lays down that for the 163
lays down that one of 85
lays more than six or 43
lays only one egg at 122
lays only one egg in 470
leading case was that of 513
leading forth his men up 65
leading forth his son to 59
leading from one area to 85
leading from one end of 207
leading from one idea to 53
leading from one set of 53
leading from them out of 57
leading into and out of 2292
leading part was that of 51
leading role and that the 45
leading role was sung by 49
leading role was that of 122
leads adam and eve to 65
leads boys and men to 41
leads down and then up 142
leads from one end of 176
leads from one set of 109
leads into and out of 215
leads those who use it 55
leads were going now in 53
leaning back his head to 86
leaning back with him as 41
leaning from his box in 42
leaning over her with an 54
leaning over her with the 93
leaning over him with an 63
leaning over him with the 46
leaning upon his arm in 47
leaping from bed with the 85
leaping from his bed to 43
leaping from ice floe to 60
leaping from one idea to 111
leaping into and out of 53
leaps from one end of 101
leaps from one idea to 216
learn from all that is 58
learn from all this is 257
learn from all this to 53
learn from and use the 59
learn from and with the 84
learn from any one of 63
learn from each one of 100
learn from god how to 82
learn from her and to 47
learn from her how to 437
learn from her that he 88
learn from her that the 151
learn from him all he 74
learn from him all the 142
learn from him and be 63
learn from him and he 75
learn from him and the 49
learn from him and to 199
learn from him how he 365
learn from him how it 131
learn from him how the 141
learn from him how to 1636
learn from him than he 40
learn from him that at 49
learn from him that he 886
learn from him that in 159
learn from him that it 184
learn from him that my 41
learn from him that the 1357
learn from him that we 53
learn from him why he 41
learn from him why the 52
learn from men how to 50
learn from one who is 66
learn from our own as 65
learn from thee how to 44
learn from them all the 163
learn from them and be 195
learn from them and do 134
learn from them and go 88
learn from them and in 61
learn from them and so 41
learn from them and the 87
learn from them and to 809
learn from them and we 64
learn from them for the 120
learn from them how he 70
learn from them how the 166
learn from them how to 1978
learn from them how we 45
learn from them may be 52
learn from them not to 82
learn from them that he 246
learn from them that in 56
learn from them that is 47
learn from them that it 185
learn from them that the 969
learn from them that we 122
learn from them why the 78
learn from this and the 50
learn from this for the 54
learn from this how to 124
learn from this not to 148
learn from this that he 68
learn from this that if 72
learn from this that in 116
learn from this that it 234
learn from this that the 1204
learn from this that we 202
learn from you all the 64
learn from you and to 74
learn from you and we 56
learn from you how the 63
learn from you how to 636
learn from you how we 47
learn from you that he 53
learn from you that it 100
learn from you that my 53
learn from you that the 422
learn just how easy it 53
learn just how far the 76
learn many new things in 45
learn many things and to 44
learn more than can be 189
learn more than how to 239
learn more than one of 41
learn more than one or 55
learn more than one thing 142
learn more than that he 43
learn more than they do 134
learn more wit for the 80
learn much that may be 46
learn nothing but how to 75
learn once for all the 46
learn only one set of 127
learn some day that the 55
learn soon how not to 68
learn their way out of 176
learn these things and to 41
learn what and how to 151
learn what can not be 242
learn what god has to 113
learn what she can do 50
learn what she had to 154
learn what she has to 140
learn what they are by 92
learn what they are in 202
learn what they are to 262
learn what they can do 868
learn what they can in 42
learn what they can of 197
learn what they did to 74
learn what they had in 46
learn what they had to 485
learn what they may be 40
learn what they mean by 96
learn what they mean to 59
learn what they owe to 43
learn what was going on 8564
learn what was going to 167
learn what was new in 45
learn what you can as 146
learn what you can do 1334
learn what you can of 200
learn what you had to 45
learn what you mean by 43
learn when and how it 50
learn when and how the 85
learn when and how to 1791
learn when they are in 106
learn when they try to 49
learn when you are in 57
learn when you hear the 107
learn when you read the 77
least among them are the 139
least among them being the 723
least among them that of 57
least among them was the 682
least among you all is 176
least call our own of 85
least care how far the 55
least clear that this is 54
least cost and with the 235
least evil that can be 62
least find out who he 42
least find out who the 43
least have got rid of 51
least have one out of 49
least hope one day to 47
least keep him out of 148
least keep them off the 44
least keep them out of 143
least kept him out of 74
least know all that it 117
least know that this is 41
least like any one of 46
least more than one of 69
least need for you to 125
least none that are at 149
least none that can be 536
least nothing that can be 113
least once and may be 94
least once each day by 47
least once each day in 75
least once each day of 69
least once each day the 47
least once each day to 144
least once each year as 40
least once each year at 107
least once each year by 335
least once each year he 42
least once each year in 192
least once each year of 52
least once each year on 57
least once each year or 45
least once each year the 232
least once each year to 764
least once for each of 67
least once per day in 67
least once per day to 67
least once per year in 100
least once per year to 206
least once with each of 54
least part way out of 61
least risk now and the 120
least send him out of 50
least show them that we 47
least show you how to 51
least sign for them to 71
least some one path of 169
least some things can be 48
least such was not the 93
least take them out of 42
least teach them how to 41
least tell you how to 52
least thank him for the 68
least there are two of 88
least there can not be 96
least there was going to 43
least there was not an 49
least there was not in 70
least there was not the 201
least there was now an 54
least there was one thing 240
least there was that to 44
least think that they do 43
least those that are in 41
least those that can be 169
least those who are in 143
least those who are of 55
least those who had the 116
least three things can be 69
least three things for the 57
least three things that the 58
least three things that we 53
least till one had the 48
least till this war is 52
least time and with the 254
least what was going on 331
least when she was in 91
least when they are at 99
least when they are in 359
least when they are of 60
least when they are on 137
least when they are the 159
least when this can be 150
least when you are in 40
least will she not be 64
least worth and going on 92
leave food out for the 49
leave from any one of 40
leave from her job as 561
leave from her job at 275
leave from her job in 192
leave from her job to 244
leave from his job as 965
leave from his job at 341
leave from his job in 283
leave from his job to 316
leave from one year to 100
leave here for two or 40
leave here now and go 51
leave home and see the 78
leave home and set up 523
leave home and try to 117
leave home each day to 103
leave home for fear of 274
leave home for two or 49
leave less but that my 63
leave more air for my 63
leave more dead men on 127
leave more than one of 48
leave next day for the 205
leave nothing for him to 356
leave nothing for them to 135
leave nothing that can be 78
leave once for all to 76
leave open for her the 42
leave open for now the 75
leave room for air to 43
leave room for all the 253
leave room for any of 93
leave room for fear in 52
leave room for god to 297
leave room for her to 210
leave room for him to 283
leave room for one of 210
leave room for them in 103
leave room for them to 393
leave room for you to 265
leave some men out of 45
leave some things for the 57
leave some things not to 40
leave some things out of 47
leave such things for the 43
leave these for you to 52
leave these things for the 48
leave these things out of 140
leave those who are in 86
leave those who are to 45
leave time for him to 85
leave time for them to 52
leave what can not be 51
leave when she saw the 137
leave when you had the 97
leave word for him to 349
leave word for them to 194
leave your bag with the 65
leave your car and go 58
leave your car near the 68
leave your car with the 58
leave your head and go 44
leaving camp they had the 52
leaving eton and going to 50
leaving eton and going up 43
leaving food out for the 41
leaving here and going to 151
leaving home and all the 50
leaving home and going to 670
leaving home for fear of 42
leaving land and going up 62
leaving land far out of 54
leaving more than one of 223
leaving next day for the 95
leaving nothing for him to 69
leaving nothing for them to 62
leaving only one for the 83
leaving only one man on 53
leaving only one man to 125
leaving only two for the 52
leaving only two men in 44
leaving only two men to 70
leaving only you and me 114
leaving rome and going to 74
leaving room for air to 41
leaving room for her to 55
leaving room for him to 113
leaving room for them to 196
leaving room for you to 84
leaving town and going to 47
leaving word for him to 57
left bank and one on 45
left bank and that on 47
left edge and top of 51
left even for him to 108
left foot and bring it 87
left foot and bring the 137
left foot and leg in 43
left foot and put it 86
left foot and swing the 135
left foot and then on 43
left foot and then the 182
left foot and with the 65
left fore leg and the 106
left free for him by 41
left free for him to 125
left free for use of 86
left from one day to 54
left hand and all the 71
left hand and arm as 151
left hand and arm in 105
left hand and arm is 70
left hand and arm of 167
left hand and arm to 182
left hand and ate it 57
left hand and both my 266
left hand and bring it 325
left hand and bring the 109
left hand and cut it 171
left hand and cut the 59
left hand and did the 49
left hand and for the 51
left hand and had the 44
left hand and had to 57
left hand and hit it 95
left hand and hit the 70
left hand and lay it 49
left hand and let it 287
left hand and let the 192
left hand and not the 107
left hand and one in 449
left hand and one of 79
left hand and one on 273
left hand and put it 1193
left hand and put my 52
left hand and put the 443
left hand and saw the 59
left hand and set it 84
left hand and swing the 74
left hand and tap the 127
left hand and that of 65
left hand and that the 109
left hand and then in 43
left hand and then on 44
left hand and then the 523
left hand and then to 187
left hand and try to 122
left hand and two in 57
left hand and two on 73
left hand and use it 64
left hand and use the 176
left hand and using the 123
left hand and with an 41
left hand and with it 80
left hand and with my 131
left hand and with the 2683
left hand can not be 593
left hand can then be 41
left hand cut off at 51
left hand cut off by 50
left hand cut off in 341
left hand cut off to 99
left hand cut with an 183
left hand for fear of 87
left hand for her to 55
left hand for him to 100
left hand than for the 48
left hand than with the 297
left hand was lying on 47
left hand was one of 95
left hand was out of 52
left hand with all the 52
left hand with both of 127
left hand with that of 103
left here for you to 135
left high and dry as 977
left high and dry at 1204
left high and dry by 5994
left high and dry if 311
left high and dry in 2611
left high and dry on 3805
left high and dry or 41
left high and dry the 122
left high and dry to 449
left high and dry up 43
left hind leg and the 137
left home and set up 219
left home and that he 83
left home and was on 144
left home but for the 76
left home each day to 124
left home for one of 92
left just set out on 84
left knee and bring it 46
left knee and bring the 72
left knee and then the 42
left more than one of 53
left next day for the 167
left none who are of 65
left nothing for god to 49
left nothing for her to 146
left nothing for him to 327
left nothing for them to 240
left nothing out for us 60
left nothing that can be 53
left only one way to 69
left only one yet to 51
left only this heap of 66
left open and can be 47
left open and may be 90
left open and that it 48
left open and that the 82
left open for air to 51
left open for all the 56
left open for all to 141
left open for each to 49
left open for her to 157
left open for him by 52
left open for him to 603
left open for one or 45
left open for them by 49
left open for them to 719
left open for two or 50
left open for you to 247
left open was that of 105
left over and can be 45
left over for all the 124
left over for her to 110
left over for him to 159
left over for them to 120
left over for use in 61
left over for you to 174
left over that can be 229
left room for all the 128
left room for her to 103
left room for him to 222
left room for them to 123
left room for you to 127
left side and all the 84
left side and for the 64
left side and may be 95
left side and near the 102
left side and not the 41
left side and one of 68
left side and one on 481
left side and out of 55
left side and put the 142
left side and that of 54
left side and that the 105
left side and then on 273
left side and then the 182
left side and then to 119
left side and top of 187
left side and two on 207
left side and using the 60
left side and with the 149
left side but not on 99
left side can not be 162
left side may not be 48
left side with head to 118
left side you see the 52
left there for all to 85
left there for her to 42
left there for him by 72
left there for him to 94
left there for them to 51
left there for two or 163
left there for you to 44
left there long ago by 54
left there one man of 50
left there too ill to 81
left time for him to 52
left upon his death in 52
left very thin and in 73
left when she got to 49
left when she saw the 88
left when she was in 51
left when they got to 147
left when they saw the 107
left when they saw us 52
left when you get to 674
left when you had the 71
left when you hit the 91
left when you see the 241
left will bring you to 231
left will lead you to 111
left word for her to 544
left word for him at 42
left word for him to 1998
left word for them to 249
left word for you to 445
left word with him to 44
left word with one of 192
legs down and sat up 65
legs felt too weak to 203
legs felt weak and he 104
legs felt weak and my 48
legs gave out and he 405
legs gave way and he 906
legs gave way and it 68
legs gave way and the 74
legs give way and he 91
legs have not all the 72
legs move and that we 60
legs over one arm of 65
legs went weak and he 58
legs were cut off at 152
legs were cut off by 109
legs were cut off in 50
legs were cut off to 49
legs were his for the 48
legs were long and he 86
legs were long and the 90
legs were not going to 176
legs were one day to 82
legs were red with the 44
legs were too big to 67
legs were too long to 114
legs were too weak to 812
legs were weak and he 118
legs were weak and my 81
legs were weak and the 43
legs when they are in 46
legs will not let me 63
lend their aid for the 189
length cast our lot at 47
length find our way to 59
length fire was set to 53
length from each end of 105
length from one day to 305
length from one end of 526
length from one end to 228
length from one year to 88
length less than that of 531
length made his way to 121
length made its way to 62
length told him that he 64
length when they are in 50
less able are they to 132
less able each year to 50
less able she was to 131
less able than man to 72
less able than men to 940
less able than now to 42
less able than that of 130
less able than they to 116
less able they are to 685
less able was she to 73
less able you are to 276
less acid than that of 400
less airy than that of 53
less among you was the 91
less arid than that of 45
less bleak than that of 65
less blue than that of 61
less body fat than the 104
less bold than that of 193
less bulk than that by 78
less calm than that of 40
less care than that of 70
less clear and may be 119
less clear but may be 51
less clear cut and the 56
less clear cut than in 232
less clear cut than is 104
less clear cut than it 153
less clear cut than the 493
less clear how far the 106
less clear now than it 95
less clear than are the 46
less clear than for the 695
less clear than that in 88
less clear than that it 48
less clear than that of 1937
less clear than was the 45
less clear than with the 132
less clear that this is 276
less cold than that of 208
less cost than any of 51
less cost than can be 142
less cost than can the 101
less cost than that at 81
less cost than that of 614
less cost than with the 76
less daring than that of 119
less dark than that of 300
less deep than that of 1126
less depth than that of 82
less dire than that of 59
less dull than that of 61
less eager than men to 48
less even than that in 59
less even than that of 1098
less evil may then be 191
less evil than that of 175
less fair than that of 83
less fast than that of 195
less felt than that of 159
less fine than that of 253
less firm than that of 1144
less flat than that of 156
less food now than in 45
less free doing with it 83
less free than all the 48
less free than men to 60
less free than that of 224
less from any fear of 142
less from any idea of 246
less from any one of 115
less from one day to 102
less from one end to 52
less from one year to 150
less from that than the 42
less from that with the 69
less from them than the 109
less fuel per ton of 70
less full than that of 327
less good than for the 92
less good than that of 759
less good than with the 50
less great than that of 1714
less grim than that of 205
less hard for them to 51
less hard hit than the 70
less hard than that of 400
less harm than any of 83
less heavy than that of 223
less here than met the 45
less high than that of 245
less holy than that of 233
less ideal than that of 288
less just than that of 97
less keen than that of 508
less kind than that of 84
less land area than the 49
less land can not be 110
less last year than in 49
less last year than the 42
less like his own of 43
less like you are to 53
less loss than that of 64
less loud than that of 147
less mild than that of 44
less moving than that of 143
less need for her to 70
less need for him to 164
less need for them in 125
less need for them to 406
less need for you to 58
less need now for the 44
less only than that of 159
less open than that of 193
less pain than did the 40
less past than are the 44
less pure than that in 125
less pure than that of 1639
less rank than that of 81
less rare than that of 68
less rate than that at 55
less rate than that of 92
less ratio than that of 402
less ready than men to 85
less ready than they to 49
less rich than that of 918
less risk than that of 131
less room and can be 43
less room for him to 44
less room for them to 88
less rude than that of 100
less safe for being the 44
less safe than that of 79
less salt than that of 156
less size than that of 96
less soft than that of 49
less sure than that of 225
less sure that this is 76
less sure you are of 43
less tall than that of 83
less taxing than that of 83
less term than one of 45
less there than met the 125
less there was for the 45
less thick than that of 121
less time and can be 123
less time for heat to 43
less time for her to 80
less time for him to 177
less time for them to 403
less time for you to 133
less time one has to 62
less time she had to 171
less time she has to 83
less time than all the 90
less time than any of 295
less time than can be 178
less time than did the 257
less time than does the 203
less time than for the 73
less time than had the 65
less time than may be 62
less time than men in 57
less time than men to 85
less time than one of 89
less time than that he 47
less time than that if 66
less time than that in 189
less time than that it 47
less time than that of 399
less time than that the 95
less time than that to 248
less time than that we 43
less time than they do 88
less time than this is 52
less time than this to 47
less time than two or 84
less time than was the 45
less time than with the 195
less time they had to 195
less time you had to 46
less true for all of 40
less true for all the 49
less true for being so 109
less true now than in 248
less true now than it 553
less true than that of 217
less true than that the 103
less true that all the 129
less true that both the 47
less true that each of 60
less true that for the 64
less true that man is 41
less true that one of 62
less true that this is 78
less true that with the 60
less trying than that of 179
less used now than in 106
less used now than it 97
less vast than that of 134
less warm than that of 255
less well fed than the 125
less well off and the 82
less well off and to 41
less well off than he 559
less well off than if 141
less well off than in 202
less well off than it 153
less well off than the 1997
less well off than we 404
less well than any of 221
less well than did the 650
less well than does the 326
less well than men in 317
less well than men on 119
less well than that of 424
less well than they do 376
less well than you do 79
less were they not to 95
less what was going on 557
less what was going to 46
less when they are in 178
less when you are in 45
less wide than that of 289
less wild than that of 92
less will they lay it 43
less wise than that of 53
less work for him to 47
less work for them to 113
less work for you in 45
less work for you to 95
less work than any of 75
less work than that of 58
less worth than that of 63
less wrong than not to 75
lest there may not be 42
lest those who had the 58
lest what can not be 43
lets slow die out of 71
levy upon them for the 197
lied their way out of 43
lien upon any real or 104
lien upon them for the 313
lies ahead and that the 81
lies ahead for all of 390
lies ahead for each of 54
lies ahead for them in 77
lies ahead for you in 48
lies down and goes to 1083
lies high and dry in 80
lies high and dry on 87
lies north and east of 954
lies open all day to 54
lies open for all to 87
lies ready for you to 59
lies south and east of 896
lies there for all to 41
lies upon any use at 50
lies upon each one of 41
lies upon him not to 69
lies upon his bed of 72
lies very low and is 113
life along with all the 102
life along with that of 116
life also can not be 53
life also led him to 47
life brings with her in 127
life down for him to 56
life from all that is 58
life from any one of 147
life from god and in 58
life from going out of 49
life from him and in 67
life from him who is 59
life from one age to 97
life from one day to 315
life from one end of 163
life from one end to 131
life from one year to 46
life from that day on 121
life from that day to 210
life from them that go 114
life from this day on 85
life have led her to 42
life have led him to 61
life have led them to 107
life have led you to 44
life have not led to 52
life have you had to 54
life here and now as 388
life here and now by 60
life here and now in 298
life here and now is 466
life here and now on 85
life here and now to 70
life here can not be 111
life here for that at 48
life here was one of 73
life into all that is 46
life into and out of 52
life into art and the 46
life into him and he 82
life into his men by 43
life into one that is 89
life into them and to 52
life just can not be 101
life just was not the 59
life less than that of 123
life like for you as 43
life like for you in 48
life like that led by 69
life like you and me 52
life lost was that of 86
life made her dear to 59
life made him one of 85
life means and how it 66
life more real than the 96
life more than all the 279
life more than any of 146
life more than men do 40
life more than that of 225
life more than they do 97
life more than you do 68
life must pay for it 51
life other than one of 83
life other than that he 306
life other than that in 56
life other than that of 1948
life over death and of 63
life over death and the 76
life past and all my 75
life span and can be 108
life span and may be 61
life span and that of 44
life span and that the 105
life span can not be 196
life span may not be 90
life span than that of 211
life span that can be 57
life span was due to 50
life such things may be 45
life tell who did it 60
life there are going to 54
life there can not be 254
life there may not be 102
life there was not as 59
life there was not so 100
life there was not the 86
life there was one of 140
life there was that of 48
life those who are in 44
life till his death in 223
life told any one the 67
life treat them with the 84
life upon earth and an 58
life upon earth and the 44
life upon earth was of 110
life upon this earth is 75
life upon this earth so 87
life very easy for the 92
life went ill with us 42
life went out with the 152
life were all that it 123
life were going out of 63
life were not due to 49
life were not going to 98
life were one and the 273
life were put out of 59
life what you owe to 54
life when one can be 68
life when one has the 46
life when one has to 197
life when she had no 50
life when she had the 88
life when she had to 152
life when she has to 91
life when she saw the 75
life when she was an 45
life when she was at 77
life when she was in 303
life when she was no 64
life when she was on 42
life when she was so 102
life when she was the 134
life when they are at 52
life when they are in 185
life when they are no 78
life when they are so 44
life when they can be 58
life when they can no 72
life when they had no 62
life when they had to 86
life when they see it 58
life when they see the 41
life when you are at 55
life when you are in 209
life when you can be 54
life when you get to 72
life when you had no 44
life when you had the 56
life when you had to 180
life when you see it 46
life when you try to 50
life will bring them to 45
life will bring with it 117
life will bring you to 43
life will end with the 51
life will lead him to 57
life will lead you to 94
life will not all be 56
life will not bear the 60
life will not end in 85
life will not lead to 48
life will not let us 202
life will one day be 236
life work was that of 70
lift their head off the 52
lift your head off the 297
lift your head out of 146
lift your pen off the 67
lift your toes off the 75
like adam and eve at 64
like adam and eve in 2254
like adam and eve on 43
like asking him not to 53
like asking him why he 190
like asking how long is 113
like best and use it 44
like boys let out of 280
like bread that can be 102
like cain who was of 84
like coal and oil on 84
like down and out in 79
like from one day to 133
like grim death for the 48
like hanging his head in 42
like hanging out with my 209
like hanging out with the 262
like having all this be 91
like having sex for the 61
like having sex with me 91
like having sex with my 97
like having sex with the 85
like having you all to 121
like having you near me 40
like having you with me 223
like hearing you say it 53
like hell for you to 42
like here and now to 215
like hers can not be 160
like india can not be 269
like kids let out of 112
like kind with that of 42
like kind with this in 40
