lads sporting in a court 42
lone figure of a woman 88
lone island in a world 215
longing desire to a piece 50
look around at a world 45
look through as a piece 51
loop instead of a while 232
lose myself in a crowd 54
lose myself in a world 48
lose weight in a healthy 120
lose weight in a hurry 76
loss caused by a breach 511
loss caused by a change 48
loss caused by a peril 346
loss caused by a space 43
loss created by a change 43
lost corner is a point 81
lost corner of a place 41
lost itself in a dense 134
lost itself in a marsh 47
lost itself in a method 56
lost itself in a small 43
lost itself in a swamp 234
lost itself in a tangle 47
lost myself in a feeling 50
lost myself in a place 41
lost myself in a still 58
lost myself in a world 47
loud enough so i could 348
loud neighing of a horse 42
loud report of a rifle 164
love another as i loved 65
love anyone as i loved 61
love letter to a woman 185
loving effort of a child 44
