daemon configuration file 414
doses sufficiently high 214
doubt considerable truth 44
doubt considerably less 167
doubt considerably more 350
doubt disappointed when 72
doubt historically true 48
doubt improvements will 48
doubt incorporated into 45
doubt invisibility made 65
doubt philosophers have 42
doubt substantially just 84
doubt substantially true 135
doubt sufficiently able 48
doubt sufficiently busy 65
doubt sufficiently well 45
dozen conversations among 97
dozen conversations were 91
dozen illustrations from 40
dozen jurisdictions have 40
dozen metropolitan areas 418
dozen nationalities were 240
dozen neighborhood kids 151
dozen organizations have 82
dozen organizations over 40
dozen organizations were 105
dozen parliamentary seats 42
dozen participants from 56
dozen participants were 114
dozen unfortunates were 40
dozen universities have 185
dozen universities were 142
draft constitutions were 441
draft international code 646
draft nonaggression pact 41
draft parliamentary bill 130
drags aristophanes into 49
drain considerable areas 108
drain continuously into 54
drain spontaneously from 45
drain spontaneously into 231
drama performances were 72
drama performances will 56
drank considerably less 137
drank considerably more 361
drank deliberately some 47
drawing consequences from 844
drawing considerable sums 121
drawing considerably more 238
drawing contributions from 283
drawing determinedly what 58
drawing eclectically from 77
drawing illustrations from 1415
drawing participants from 373
drawing participants into 77
drawing participation from 69
drawing particularly from 160
drawing particularly upon 225
drawing relationships among 75
drawing significance from 236
drawing specifically from 54
drawing specifically upon 42
drawing substantially from 74
drawing substantially upon 48
drawn appropriately from 61
drawn consequences from 66
drawn considerable fire 93
drawn considerable media 62
drawn considerable sums 102
drawn considerably from 222
drawn considerably more 153
drawn considerably upon 115
drawn consistently from 110
drawn continuously from 454
drawn continuously into 66
drawn contributions from 57
drawn deliberately from 105
drawn eclectically from 175
drawn horizontally along 217
drawn horizontally from 890
drawn horizontally over 151
drawn illustrations from 303
drawn illustrations were 124
drawn individually from 70
drawn inextricably into 151
drawn inferentially from 47
drawn irresistibly along 44
drawn irresistibly away 50
drawn irresistibly back 363
drawn irresistibly down 111
drawn irresistibly from 98
drawn irresistibly into 1139
drawn legitimately from 124
drawn magnetically into 58
drawn mechanically from 48
drawn northwesterly from 55
drawn overwhelmingly from 2952
drawn participants from 159
drawn particularly from 1908
drawn particularly upon 82
drawn relentlessly into 72
drawn respectively from 1512
drawn specifically from 448
drawn spontaneously into 177
drawn substantially from 643
drawn substantially upon 66
drawn successively from 184
drawn successively into 46
drawn sufficiently ahead 53
drawn sufficiently taut 107
drawn transversely from 85
drawn transversely over 78
drawn unconsciously into 83
drawn uncritically from 158
draws consequences from 239
draws considerable sums 70
draws considerable wealth 42
draws considerably from 193
draws considerably more 116
draws considerably upon 104
draws contributions from 123
draws eclectically from 99
draws eclectically upon 41
draws illustrations from 273
draws participants from 289
draws participants into 90
draws participation from 42
draws particularly from 128
draws particularly upon 128
draws significance from 106
draws specifically from 76
draws specifically upon 62
draws substantially from 459
draws substantially upon 216
dress accidentally left 92
dress appropriately when 264
dress exceptionally well 49
dress manufacturer from 40
dress particularly well 235
dress requirements were 52
dress traditionally worn 47
dried hippopotamus hide 42
dried hydrochloric acid 67
drift unconsciously into 216
drill horizontally into 47
drink chrysanthemum wine 181
drink considerably less 440
drink considerably more 749
drink manufactured from 42
drips continuously from 115
drive substantially more 201
drive unemployment down 272
drops considerably during 261
drops considerably from 210
drops considerably over 45
drops considerably when 446
drops continuously from 276
drops dramatically down 136
drops dramatically during 274
drops dramatically from 488
drops dramatically into 94
drops dramatically once 89
drops dramatically over 101
drops dramatically when 904
drops experimented upon 125
drops exponentially from 103
drops hydrochloric acid 1176
drops substantially during 94
drops substantially from 126
drops substantially when 230
drove majestically away 85
drove triumphantly away 46
drove triumphantly back 47
drove triumphantly into 118
drove unexpectedly into 45
drugs administered during 1544
drugs administered into 155
drugs administered over 61
drugs administered prior 54
drugs administered were 105
drugs incorporated into 140
drugs investigated were 51
drugs manufactured from 82
drugs successfully used 40
drugs traditionally used 121
drums reverberated from 58
drunk considerably more 107
ducts differentiate into 226
dummy parachutists were 124
dumping investigation into 47
dungeon accidentally open 56
dwell complacently upon 47
dwell indefinitely upon 40
dwell particularly upon 1300
dwell sufficiently upon 149
dwelt complacently upon 42
dwelt emphatically upon 148
dwelt meditatively upon 312
dwelt particularly upon 4738
dwelt persistently upon 71
dwelt sufficiently upon 1119
