if brought about by a 158
in germany rests on a 51
in germany today as a 47
in germany today is a 52
in germany while on a 48
in germany would be a 230
in gorgeous robes of a 80
in hegelian terms as a 64
in himself would be a 59
in history books as a 257
in history rather as a 44
in history which is a 56
in history would be a 117
in increasing talking of a 123
in inventing works of a 75
in investing money in a 72
in ireland rests on a 46
in ireland would be a 341
in italics refer to a 90
in language either by a 77
in language learning as a 45
in language learning is a 51
in language teaching as a 41
in language which is a 163
in language worthy of a 279
in machine shops as a 50
in marriage either to a 94
in marriage would be a 44
in marxist terms as a 179
in material forms is a 42
in material terms as a 52
in medical terms as a 94
in medical texts as a 41
in mercury vapor at a 81
in musical terms as a 65
in mythical terms as a 44
in natural beauty to a 48
in nominal terms as a 44
in nominal terms at a 42
in northern china as a 65
in northern italy as a 186
in northern italy by a 52
in northern italy in a 51
in northern italy is a 57
in northern italy of a 57
in northern italy to a 46
in operating costs as a 95
in painted glass in a 41
in passions glowing in a 49
in perfect order at a 57
in perfect order by a 97
in perfect order in a 60
in perfect order on a 55
in picture books as a 40
in popular books as a 41
in popular favor as a 58
in popular music as a 110
in popular music is a 62
in position either by a 120
in precise terms in a 45
in present danger of a 50
in previous cases of a 73
in private hands as a 84
in private hands in a 62
in private hands is a 99
in private homes as a 91
in private homes in a 61
in private homes on a 76
in private rooms in a 44
in problem solving as a 843
in problem solving in a 189
in problem solving is a 243
in problem solving on a 84
in process terms as a 40
in producing change in a 41
in producing fruit of a 41
in producing motion in a 64
in question based on a 46
in question belong to a 307
in question comes to a 83
in question could be a 254
in question exist in a 56
in question lived in a 73
in question lives in a 47
in question might be a 484
in question occur in a 58
in question really is a 70
in question refer to a 78
in question rests on a 44
in question shall be a 102
in question taken as a 86
in question takes on a 48
in question turns on a 87
in question which is a 51
in question would be a 1003
in rational learning as a 48
in reddish brown on a 43
in regarding jesus as a 92
in regular order in a 179
in regular order on a 84
in regular order to a 46
in relation either to a 97
in research based on a 48
in respect thereof as a 78
in respect thereof in a 58
in respect thereof to a 148
in restoring order in a 78
in restoring order to a 85
in reverse order as a 56
in reverse order in a 54
in reverse order on a 53
in reverse order to a 58
in samples taken at a 51
in scarlet fever as a 44
in scarlet fever is a 63
in schools would be a 71
in science would be a 54
in secular terms as a 69
in semiotic terms as a 40
in several cases as a 157
in several cases by a 99
in several cases in a 55
in several cases of a 229
in several cases to a 91
in several forms as a 72
in several hours by a 56
in several hours to a 47
in several months or a 67
in several months to a 88
in several pages of a 50
in several parts of a 333
in several rooms of a 167
in several steps to a 78
in several weeks by a 41
in several weeks or a 52
in several weeks to a 78
in several words at a 121
in shallow boxes in a 100
in shallow trays in a 60
in shallow water as a 126
in shallow water at a 187
in shallow water by a 127
in shallow water in a 356
in shallow water is a 106
in shallow water of a 55
in shallow water on a 523
in shallow water or a 61
in shallow water to a 73
in similar cases of a 55
in similar motion to a 57
in similar style at a 48
in similar terms as a 224
in similar terms at a 41
in similar terms by a 48
in similar terms in a 247
in similar terms of a 100
in similar terms to a 115
in similar terms to s 216
in skilled hands is a 46
in smaller doses as a 68
in society based on a 77
in society often in a 68
in society taken as a 44
in society which is a 66
in society would be a 112
in solution either as a 46
in solution occur in a 60
in somatic cells is a 46
in somatic cells of a 95
in southern china as a 56
in southern italy as a 186
in southern italy of a 55
in southern russia as a 47
in stained glass in a 44
in sterile water at a 113
in sterile water in a 67
in sterile water to a 70
in studies based on a 58
in supplying water to a 41
in support thereof at a 50
in surface water in a 75
in tangible shape of a 48
in typhoid fever as a 48
in typhoid fever in a 44
in typhoid fever is a 56
in uniform motion at a 44
in uniform motion in a 1175
in uniform motion on a 67
in vietnam began as a 41
in vietnam today or a 40
in vietnam would be a 199
in virginia would be a 66
in wartime would be a 52
in western china as a 45
in western music is a 61
in western terms as a 71
in witness where of i 57
ion exchange resin as a 48
ion exchange resin in a 92
ion exchange resin is a 45
is acutely aware of a 184
is adapted alike to a 54
is allured thither by a 52
is ambition arise in a 42
is amusingly shown by a 45
is amusingly shown in a 137
is applied based on a 88
is applied close to a 44
is applied either as a 195
is applied either by a 92
is applied either in a 54
is applied either to a 266
is applied first to a 183
is applied today to a 48
is arranged either as a 43
is assumed equal to a 69
is awarded based on a 54
is bandied about as a 92
is because china is a 50
is because japan is a 48
is because light is a 46
is because money is a 45
is because music is a 56
is because water is a 136
is because writing is a 55
is borrowing money at a 40
is bounded above by a 1313
is bounded above by n 51
is bounded above by o 68
is bounded below by a 1036
is briefly given in a 123
is broadly based on a 124
is brought about as a 1127
is brought about at a 128
is brought about by a 24402
is brought about in a 2523
is brought about is a 190
is brought about on a 42
is brought about to a 245
is brought again to a 48
is brought close to a 655
is brought nearer to a 55
is brought nearly to a 84
is brought thither in a 74
is brushed aside as a 93
is brushed aside by a 70
is carried about as a 98
is carried about by a 54
is carried about in a 388
is carried about on a 91
is carried aloft by a 249
is carried aloft in a 70
is carried aloft on a 45
is carried round by a 156
is carried round in a 252
is carried round on a 41
is chiefly based on a 185
is chiefly built of a 77
is chiefly built on a 115
is chiefly found in a 64
is chiefly grown as a 72
is chiefly known as a 1579
is chiefly known by a 164
is chiefly noted as a 146
is civilly liable to a 64
is closely based on a 294
is closely bound to a 142
is conduct which is a 46
is coupled either to a 44
is covered above by a 172
is covered below by a 54
is covered either by a 134
is covered first by a 84
is decided based on a 53
is defined above as a 83
is defined based on a 308
is defined either as a 272
is defined either by a 98
is defined first as a 88
is defined today as a 44
is defined which is a 89
is derived based on a 208
is devoted first to a 59
is divided again by a 44
is dressed neatly in a 57
is equally based on a 68
is equally happy in a 42
is equally known as a 64
is equally valid as a 164
is equally valid in a 79
is equally worthy of a 56
is eternal drama in a 53
is evident again in a 51
is exactly equal to a 658
is exactly equal to b 88
is exactly equal to c 49
is exactly equal to d 50
is exactly equal to e 45
is exactly equal to n 47
is exactly equal to p 87
is exactly right as a 42
is exposed daily to a 53
is finally based on a 50
is finally drawing to a 103
is finally dried in a 145
is finally found in a 63
is finally given to a 70
is finally saved by a 60
is finally taken to a 49
is forward biased by a 75
is founded either on a 71
is founded rather on a 56
is granted based on a 62
is handled either by a 47
is happening today in a 62
is happening today is a 172
is hastening daily to a 131
is himself again in a 52
is however based on a 124
is however still in a 47
is hurried about in a 65
is indexed under the c 147
is induced either by a 60
is jointly owned as a 54
is jointly owned by a 264
is largely based on a 3583
is largely built on a 124
is largely grown as a 134
is largely known as a 65
is largely lacking in a 43
is largely owned by a 77
is largely taken as a 73
is legally bound to a 46
is legally known as a 124
is legally liable in a 120
is legally owned by a 64
is limited above by a 268
is limited below by a 177
is limited either by a 78
is limited either to a 69
is locally known as a 415
is located close to a 1239
is located either in a 76
is located either on a 45
is located within the c 147
is located within the n 51
is located within the q 49
is loosely based on a 1126
is loosely bound to a 86
is married again to a 150
is measured based on a 91
is measured either as a 55
is measured either by a 316
is measured either in a 46
is measured either on a 40
is morally right in a 98
is morally right is a 56
is moreover based on a 43
is mounted close to a 76
is mounted either in a 42
is mounted either on a 84
is nowhere found in a 42
is offered either as a 52
is offered rather as a 123
is painted black on a 50
is perched aloft on a 41
is perhaps based on a 327
is perhaps found in a 138
is perhaps putting it a 58
is perhaps worthy of a 127
is plainly shown by a 179
is plainly shown in a 91
is present either as a 249
is present either in a 85
is present today in a 46
is present which is a 46
is producing facts in a 41
is quickly drawing to a 89
is quickly heated to a 77
is rapidly changing as a 119
is rapidly changing in a 54
is rapidly changing to a 47
is rapidly drawing to a 1117
is rapidly growing as a 131
is rapidly growing up a 44
is rapidly heated in a 46
is rapidly heated to a 159
is realized either as a 74
is reduced again to a 196
is reduced either by a 46
is reduced either to a 144
is reduced first to a 67
is reduced nearly to a 93
is related either to a 120
is removed either by a 115
is repeated again in a 103
is repeated later in a 57
is repeated twice in a 97
is revered today as a 82
is reverse biased by a 83
is rightly known as a 84
is rightly taken as a 75
is rigidly fixed in a 101
is rigidly fixed to a 218
is rotated about the c 55
is rotated about the x 381
is rotated about the y 308
is rotated about the z 651
is roughly based on a 65
is roughly equal to a 570
is secured either by a 127
is seemingly based on a 59
is settled either by a 44
is several tenths of a 224
is sharply peaked at a 66
is solidly based on a 230
is soundly based on a 99
is steadily growing as a 72
is stopped short by a 93
is strongly based on a 138
is strongly bound to a 133
is strongly built on a 71
is strongly heated in a 408
is strongly urged as a 81
is subject either to a 81
is supplying power to a 192
is tightly bound by a 44
is tightly bound in a 86
is tightly bound to a 294
is tightly cased in a 64
is tightly wound on a 42
is totally alien to a 69
is totally lacking in a 123
is uniform motion in a 105
is updated daily by a 69
is usually added as a 503
is usually added at a 112
is usually added in a 90
is usually added to a 550
is usually aided by a 128
is usually aimed at a 167
is usually asked in a 40
is usually aware of a 151
is usually baked in a 103
is usually based in a 58
is usually based on a 8920
is usually begun at a 197
is usually begun by a 48
is usually borne on a 115
is usually bound by a 58
is usually bound in a 50
is usually bound to a 143
is usually built as a 155
is usually built by a 65
is usually built in a 696
is usually built on a 374
is usually built to a 43
is usually cited as a 921
is usually close to a 167
is usually coded as a 54
is usually cured by a 40
is usually drawn as a 401
is usually drawn at a 54
is usually drawn by a 144
is usually drawn in a 157
is usually drawn on a 149
is usually drawn to a 143
is usually dried in a 42
is usually dried to a 43
is usually drunk as a 42
is usually easier in a 44
is usually equal to a 162
is usually fatal in a 186
is usually fatal to a 143
is usually fixed as a 76
is usually fixed at a 415
is usually fixed by a 220
is usually fixed in a 318
is usually fixed on a 98
is usually fixed to a 121
is usually found as a 1172
is usually found at a 580
is usually found by a 106
is usually found in a 3508
is usually found on a 472
is usually found to a 45
is usually geared to a 42
is usually given as a 3597
is usually given at a 523
is usually given by a 1240
is usually given in a 1887
is usually given on a 324
is usually given to a 1508
is usually given via a 50
is usually grown as a 966
is usually grown in a 179
is usually grown on a 109
is usually headed by a 837
is usually heated by a 121
is usually heated in a 82
is usually heated to a 181
is usually hired on a 53
is usually known as a 3137
is usually known by a 134
is usually lacking in a 64
is usually lined by a 117
is usually lower in a 53
is usually mixed in a 145
is usually moved by a 67
is usually moved to a 85
is usually named as a 77
is usually named by a 44
is usually noted as a 84
is usually noted by a 77
is usually owned by a 304
is usually posed as a 96
is usually rated as a 82
is usually rated on a 52
is usually sealed by a 64
is usually sealed in a 90
is usually seated at a 41
is usually seated in a 144
is usually seated on a 154
is usually shown as a 1576
is usually shown by a 515
is usually shown in a 418
is usually shown on a 216
is usually sitting in a 41
is usually small in a 54
is usually spent in a 119
is usually spent on a 68
is usually spread on a 46
is usually spread to a 44
is usually taken as a 5160
is usually taken at a 385
is usually taken by a 384
is usually taken in a 376
is usually taken on a 200
is usually taken to a 305
is usually taxed as a 66
is usually taxed at a 78
is usually tried by a 52
is usually tuned to a 73
is usually typed on a 48
is usually urged as a 117
is usually working on a 58
is usually wound in a 54
is usually wound on a 174
is usually woven on a 40
is vaguely aware of a 83
is vaguely known as a 46
is visited daily by a 101
is vividly shown by a 63
is vividly shown in a 82
is wandering about in a 248
is wheeled about in a 109
is whirled about in a 82
is whirled round in a 365
is written about as a 41
is written about in a 88
is written based on a 44
is written either as a 119
it affords proof of a 59
it appeared again as a 61
it appeared again in a 94
it appeared first as a 139
it appeared first in a 84
it appeared rather as a 95
it becomes aware of a 324
it becomes bound to a 47
it becomes equal to a 84
it becomes fixed as a 86
it becomes fixed in a 120
it becomes heated to a 68
it becomes known as a 466
it becomes known in a 42
it becomes known to a 45
it becomes liable to a 64
it becomes valid as a 108
it behaves either as a 40
it belonged rather to a 57
it brought about by a 71
it brought about in a 50
it carried within it a 70
it carries within it a 231
it catches sight of a 108
it contain within it a 52
it emerged again as a 56
it equally tends to a 107
it everything takes on a 50
it existed rather as a 140
it existed would be a 44
it finally comes to a 323
it finally ended in a 84
it forward again in a 80
it grafted roses on a 92
it happens twice in a 40
it narrows again to a 53
it partook either of a 42
it perhaps rather as a 56
it perhaps would be a 41
it quickly built up a 60
it quickly takes on a 79
it remains bound to a 52
it remains fixed in a 75
it remains today as a 122
it remains valid as a 57
it results either in a 45
it several drops of a 41
it several times as a 213
it several times as i 107
it several times in a 665
it several times on a 122
it stopped short of a 188
it together again as a 66
it together again in a 301
it usually comes as a 288
it usually comes at a 49
it usually comes in a 81
it usually comes to a 59
it usually ended in a 117
it usually falls to a 49
it usually grows to a 57
it usually rests on a 72
it usually sells at a 45
it usually takes is a 66
it usually takes me a 94
it usually takes on a 88
it wanders about in a 47
it yielded place to a 41
