calamity has befallen a 50
customer can purchase a 126
customer has obtained a 41
customer has received a 141
customer has selected a 138
customer may purchase a 128
customer who received a 63
customer who receives a 165
customer who requests a 50
customer who requires a 60
customer who returned a 59
cylinder and contains a 42
cylinder and produces a 72
cylinder that contains a 327
