calf muscle blood flow 112
cold breeze blowing down 148
cold breeze blowing from 96
cold chills creep over 150
cold chills every time 62
cold chills running down 250
cold cooked brown rice 75
cold liquid running down 148
cold shiver running down 445
cold shower would have 58
cold shower would help 46
cold sliced roast beef 41
cold spells occur from 76
cold winter evening when 125
cold winter months ahead 150
cold winter months there 44
cold winter months were 89
cold winter months when 561
cold winter morning when 337
cold winter night upon 121
cold winter night when 552
cold winter season when 47
cold winter weather came 43
cold winter weather when 63
cold winter winds blew 51
cold winter winds blow 53
cold winter winds from 213
cold winter winds will 44
cold winter would have 62
come aboard might have 63
come across anything else 358
come across anything like 2793
come across anything more 364
come across anything worth 42
come across cases like 143
come across human beings 57
come across lines like 132
come across looking like 134
come across names like 90
come across names such 48
come across people from 95
come across people like 472
come across people more 41
come across people whom 58
come across since leaving 142
come across terms like 265
come across terms such 141
come across while reading 226
come across words like 364
come across words such 77
come almost every week 73
come almost within reach 110
come around about once 40
come around about three 42
come around after dark 41
come around after work 42
come around again soon 40
come around again when 46
come around every four 55
come around every once 67
come around every week 66
come around right away 168
come around where there 277
come ashore after dark 298
come ashore since last 51
come before anything else 1423
come before every other 80
come slowly gliding along 68
come through every time 274
come through quite well 100
come through right away 49
come through texas from 41
come tumbling about their 119
come twenty miles from 70
come without doubt from 105
come without warning just 50
come without warning upon 74
coming almost daily from 52
coming attack would have 42
coming behind would tread 154
coming events casting their 279
coming events often cast 44
coming events which cast 139
coming events which were 238
coming through space from 47
coming twelve months will 69
coming winter might find 43
coming without doubt from 47
cook gently until just 121
cook gently until soft 557
cook slowly until done 328
cook slowly until soft 407
cook slowly until thick 230
cook slowly until very 90
cook slowly until well 128
cool before cutting into 517
cool before pouring into 114
cool before pouring over 63
cool before putting into 41
cool breeze blowing down 129
cool breeze blowing from 449
cool breeze blowing over 374
cool breeze blows from 129
cool breeze blows over 56
cool breeze stirs along 45
cool breeze swept down 112
cool breeze swept over 143
cool breeze which blew 76
cool breeze which came 77
cool breeze would blow 45
cool breeze would come 41
cool cellar until spring 225
cool drinking water during 100
cool judges might have 42
cool liquid slide down 56
cool venous blood from 44
copy whereof shall have 42
cord passed round their 79
core around which many 76
core around which most 122
core around which much 134
core around which other 324
core around which their 51
core around which there 63
core sample taken from 290
core values which have 138
cork through which pass 521
corn fields which were 41
corn grains which have 40
corn plants which were 49
cost almost twice what 45
cost annual holding cost 75
cost curves above their 182
cost curves might look 45
cost curves shift down 47
cost curves would have 46
cost direct labor cost 361
cost equals fixed cost 73
cost equals total cost 185
cost factor which must 40
cost occurs every time 45
cost system based upon 47
cost system which will 145
cost twenty times more 158
cozy little sitting room 93
cream cheese pound cake 49
cream cheese until soft 405
cream cheese until very 69
cream cheese until well 83
crew became still more 46
crew member might have 60
crew member would have 138
crop occurs rather late 43
crop plants which have 113
crop yields would have 70
cult statue would have 51
cups canned black beans 97
cups cooked black beans 624
cups cooked brown rice 5902
cups cooked dried beans 75
cups cooked fresh corn 70
cups cooked green beans 151
cups cooked pinto beans 392
cups cooked white beans 279
cups cooked white rice 890
cups cooked whole wheat 90
cups frozen green beans 62
cups sifted flour cream 58
cups sifted whole wheat 137
cups sliced green beans 45
cure almost every case 65
cute little blond girl 83
cute little teddy bears 83
cuts itself loose from 778
cuts through solid rock 199
