cabarets and cafes of 42
campaign and fight it 40
campaign and hoped to 41
campaign and later as 72
campaign and later at 54
campaign and later by 41
campaign and later in 232
campaign and later on 224
campaign and later the 84
campaign and limit the 59
campaign and march to 71
campaign and raise the 58
campaign and serve as 44
campaign and siege of 321
campaign and since the 46
campaign and spoke to 45
campaign and tried to 285
campaign and under the 86
campaign and until the 100
campaign and urged the 67
campaign and wants to 40
campaign and while the 52
campaign and would be 129
campaign are based on 72
campaign are found in 117
campaign are given by 77
campaign are given in 248
campaign are shown in 177
campaign are worthy of 61
campaign being waged at 66
campaign being waged by 1061
campaign being waged in 845
campaign being waged on 94
campaign being waged to 88
campaign can easily be 45
campaign can never be 127
campaign can often be 52
campaign can serve as 50
campaign can still be 57
campaign for change in 210
campaign for changing the 60
campaign for cleaning up 100
campaign for creating the 61
campaign for failing to 54
campaign for funds by 56
campaign for funds in 224
campaign for funds is 52
campaign for funds to 694
campaign for mayor in 431
campaign for mayor of 1760
campaign for mayor on 42
campaign for money to 87
campaign for people to 84
campaign for power in 50
campaign for raising the 222
campaign for repeal in 57
campaign for repeal of 900
campaign for selling the 45
campaign for setting up 111
campaign for unity of 55
campaign for votes in 108
campaign for which he 615
campaign for which it 210
campaign for which no 55
campaign for which the 440
campaign for which we 76
campaign for winning the 63
campaign for women in 80
campaign for women to 223
campaign had anything to 65
campaign had begun as 133
campaign had begun in 616
campaign had begun on 94
campaign had begun the 61
campaign had begun to 556
campaign had built up 56
campaign had ceased to 42
campaign had drawn to 42
campaign had ended in 813
campaign had given me 50
campaign had given the 262
campaign had shown the 180
campaign had spread to 54
campaign had still to 46
campaign had taken on 306
campaign had taken the 80
campaign had tried to 92
campaign has added to 58
campaign has begun in 74
campaign has begun to 193
campaign has ended in 71
campaign has shown us 40
campaign has taken on 169
campaign has taken the 64
campaign has tried to 65
campaign may appear to 43
campaign may prove to 53
campaign now about to 158
campaign now began in 74
campaign now began to 142
campaign than about the 58
campaign than could be 45
campaign that aimed at 95
campaign that aimed to 177
campaign that began as 106
campaign that began at 107
campaign that began in 1268
campaign that began on 189
campaign that began to 86
campaign that broke the 86
campaign that could be 315
campaign that drove the 226
campaign that ended at 412
campaign that ended in 1002
campaign that ended on 62
campaign that ended so 76
campaign that ended the 149
campaign that fails to 59
campaign that makes the 40
campaign that might be 239
campaign that saved the 57
campaign that seeks to 268
campaign that seems to 124
campaign that swept the 80
campaign that tried to 97
campaign that tries to 51
campaign that would be 915
campaign then about to 113
campaign they tried to 41
campaign they would be 76
campaign this vision of 63
campaign war chest in 65
campaign war chest of 178
campaign war chest to 76
campaign was about the 108
campaign was about to 2132
campaign was afoot to 67
campaign was aided by 348
campaign was aimed at 1728
campaign was based in 80
campaign was based on 6292
campaign was begun at 91
campaign was begun by 565
campaign was begun in 1016
campaign was begun on 168
campaign was begun to 1309
campaign was beset by 69
campaign was borne by 145
campaign was bound to 372
campaign was built on 551
campaign was built up 54
campaign was close to 71
campaign was drawing to 535
campaign was drawn up 340
campaign was ended by 199
campaign was ended in 73
campaign was fatal to 45
campaign was fired by 144
campaign was fired in 64
campaign was fired on 40
campaign was first to 48
campaign was found in 49
campaign was found to 144
campaign was geared to 135
campaign was given an 63
campaign was given by 155
campaign was given in 62
campaign was given the 95
campaign was given to 169
campaign was given up 127
campaign was headed by 288
campaign was known as 204
campaign was known to 152
campaign was lacking in 45
campaign was never in 114
campaign was picking up 241
campaign was quick to 47
campaign was really at 55
campaign was really the 44
campaign was shaping up 102
campaign was shown by 68
campaign was shown in 43
campaign was shown to 55
campaign was spent in 248
campaign was still at 43
campaign was still in 780
campaign was still on 129
campaign was still the 54
campaign was still to 42
campaign was taken by 177
campaign was taken in 71
campaign was taken to 67
campaign was taken up 438
campaign was timed to 141
campaign was under the 276
campaign was waged at 61
campaign was waged by 736
campaign was waged in 851
campaign was waged on 696
campaign was waged to 692
campaign was warming up 169
campaign was willing to 48
campaign was wound up 73
campaign with which he 149
campaign with which it 55
campaign with which the 243
campaign with which to 53
campaign with which we 88
campfire and began to 64
campfire and watch the 44
campuses and within the 81
campuses had begun to 51
canceled and would be 41
canceled her plans to 155
canceled his order to 49
canceled his plans to 382
canceled his visit to 140
canceled its plans to 178
canceled our plans to 64
candidly and fully as 62
canister with black tea 50
cannabis was found in 111
canopied his bower of 102
canvases and tubes of 43
canvases and works on 57
canvases are based on 41
canvases for which he 74
canvases had begun to 47
canvases that could be 41
canvases that lined the 57
canvases that would be 40
canvases with which he 93
canvassing all sides of 55
canvassing and sifting it 43
canvassing for votes at 163
canvassing for votes in 527
canvassing for votes on 65
canvassing for votes or 42
canvassing for votes to 133
capacious tub beneath it 65
capacity and about the 91
capacity and after the 40
capacity and allow it 45
capacity and allow the 80
capacity and avoid the 46
capacity and based on 50
capacity and beauty of 50
capacity and began to 105
capacity and begin to 84
capacity and breadth of 153
capacity and build up 49
capacity and causing the 41
capacity and change in 52
capacity and costs in 49
capacity and costs of 128
capacity and could be 255
capacity and drive to 146
capacity and feeling in 40
capacity and focus on 41
capacity and force as 63
capacity and force of 223
capacity and force to 53
capacity and given the 42
capacity and grade of 71
capacity and grasp of 57
capacity and growth in 88
capacity and growth of 165
capacity and habit of 403
capacity and helping to 46
capacity and hence in 87
capacity and hence is 58
capacity and hence of 81
capacity and hence the 581
capacity and hence to 154
capacity and later as 115
capacity and learning of 80
capacity and learning to 68
capacity and level of 1070
capacity and limit the 55
capacity and lower the 92
capacity and makes it 116
capacity and makes the 83
capacity and merit of 62
capacity and method of 108
capacity and might be 60
capacity and needs of 521
capacity and needs to 103
capacity and often in 43
capacity and ought to 50
capacity and place in 215
capacity and plans to 53
capacity and power as 218
capacity and power in 183
capacity and power is 90
capacity and power of 1839
capacity and power to 1164
capacity and price of 56
capacity and raise the 93
capacity and raising the 78
capacity and rates of 117
capacity and right of 247
capacity and right to 635
capacity and scale of 69
capacity and scope of 259
capacity and sense of 357
capacity and serve as 65
capacity and shall be 252
capacity and shape of 167
capacity and since the 49
capacity and skill in 256
capacity and skill of 564
capacity and skill to 291
capacity and spacing of 42
capacity and speed as 45
capacity and speed at 52
capacity and speed in 92
capacity and speed is 52
capacity and speed of 2198
capacity and speed the 48
capacity and speed to 178
capacity and stage of 105
capacity and stand in 174
capacity and state of 295
capacity and still be 71
capacity and style of 80
capacity and taste of 503
capacity and tends to 109
capacity and title to 44
capacity and tools to 45
capacity and types of 118
capacity and under the 182
capacity and value of 278
capacity and vigor of 124
capacity and vision of 49
capacity and vision to 73
capacity and wants of 119
capacity and wants to 50
capacity and where the 177
capacity and which is 145
capacity and within the 668
capacity and would be 294
capacity and yield of 64
capacity are based on 874
capacity are bound to 92
capacity are equal to 176
capacity are found in 204
capacity are found to 51
capacity are given by 80
capacity are given in 446
capacity are given to 101
capacity are known as 105
capacity are known to 87
capacity are liable to 57
capacity are shown in 549
capacity are shown to 48
capacity being equal to 92
capacity but rather as 203
capacity but rather in 70
capacity but rather the 66
capacity but rather to 100
capacity can arise in 41
capacity can easily be 377
capacity can never be 267
capacity can occur in 61
capacity can often be 221
capacity can serve as 69
capacity can still be 133
capacity far above the 100
capacity far below the 44
capacity for action as 584
capacity for action at 92
capacity for action by 208
capacity for action in 833
capacity for action is 751
capacity for action of 728
capacity for action on 197
capacity for action or 297
capacity for action to 193
capacity for anything so 45
capacity for binding of 82
capacity for binding the 75
capacity for binding to 71
capacity for breaking up 41
capacity for calling up 64
capacity for cells to 46
capacity for change as 284
capacity for change at 108
capacity for change by 89
capacity for change in 967
capacity for change is 810
capacity for change of 397
capacity for change on 67
capacity for change or 174
capacity for change to 103
capacity for changing the 311
capacity for chewing up 47
capacity for creating an 101
capacity for creating the 142
capacity for deeds of 43
capacity for delay in 41
capacity for delay of 216
capacity for denial is 82
capacity for drawing on 68
capacity for drawing the 84
capacity for drink is 42
capacity for either of 77
capacity for either the 63
capacity for engaging in 1152
capacity for engaging the 65
capacity for error is 84
capacity for ethics is 45
capacity for evoking the 80
capacity for failing to 53
capacity for falling in 514
capacity for feeding on 53
capacity for feeding the 54
capacity for feeling as 171
capacity for feeling at 52
capacity for feeling in 147
capacity for feeling is 551
capacity for feeling it 49
capacity for feeling of 58
capacity for feeling or 164
capacity for feeling the 251
capacity for feeling to 59
capacity for filling it 75
capacity for filling the 77
capacity for filling up 41
capacity for finding the 229
capacity for forming an 109
capacity for forming or 54
capacity for forming the 91
capacity for gaining the 63
capacity for gauging the 70
capacity for getting at 102
capacity for getting on 900
capacity for getting the 341
capacity for getting to 118
capacity for growing in 63
capacity for growing on 44
capacity for growth as 383
capacity for growth at 126
capacity for growth by 86
capacity for growth in 1324
capacity for growth is 708
capacity for growth of 488
capacity for growth on 87
capacity for growth or 214
capacity for growth to 142
capacity for guiding the 158
capacity for guilt is 84
capacity for guilt or 43
capacity for heaven to 47
capacity for helping the 118
capacity for helping us 42
capacity for holding an 92
capacity for holding in 57
capacity for holding it 46
capacity for holding on 143
capacity for holding or 41
capacity for holding the 376
capacity for joining in 41
capacity for judging in 47
capacity for judging of 270
capacity for judging the 291
capacity for keeping in 54
capacity for keeping it 43
capacity for keeping the 340
capacity for keeping up 107
capacity for knowing is 46
capacity for knowing it 63
capacity for knowing the 362
capacity for labor in 59
capacity for labor is 193
capacity for labor of 100
capacity for labor or 57
capacity for learning as 420
capacity for learning at 137
capacity for learning by 346
capacity for learning in 406
capacity for learning is 1066
capacity for learning of 137
capacity for learning on 106
capacity for learning or 182
capacity for learning the 325
capacity for learning to 569
capacity for letting go 102
capacity for looking at 449
capacity for looking on 153
capacity for meeting it 106
capacity for meeting the 760
capacity for motion in 51
capacity for motion is 47
capacity for music is 60
capacity for music or 53
capacity for opening up 104
capacity for order or 64
capacity for people to 524
capacity for picking up 572
capacity for playing the 197
capacity for power is 43
capacity for putting in 40
capacity for putting the 73
capacity for putting up 140
capacity for raising the 183
capacity for reaching the 139
capacity for reacting in 50
capacity for reacting to 312
capacity for reason as 231
capacity for reason in 89
capacity for reason is 229
capacity for reason or 141
capacity for reason to 79
capacity for rousing the 40
capacity for running the 69
capacity for scorn to 44
capacity for seizing on 89
capacity for seizing the 141
capacity for sensing the 156
capacity for serving as 258
capacity for serving the 232
capacity for setting the 46
capacity for setting up 257
capacity for shame is 49
capacity for shaping the 70
capacity for sharing in 220
capacity for sharing the 153
capacity for skill in 71
capacity for sleep is 43
capacity for soaking up 132
capacity for social co 65
capacity for solving the 235
capacity for speed in 61
capacity for speed is 59
capacity for speed of 67
capacity for storing or 46
capacity for storing the 231
capacity for storing up 112
capacity for study or 69
capacity for summing up 109
capacity for talking to 53
capacity for telling the 189
capacity for testing the 64
capacity for thinking as 127
capacity for thinking in 431
capacity for thinking is 202
capacity for thinking of 119
capacity for thinking on 56
capacity for thinking or 71
capacity for throwing the 43
capacity for times of 48
capacity for tracing the 68
capacity for treating it 47
capacity for treating or 61
capacity for treating the 71
capacity for trust in 124
capacity for trust is 134
capacity for turning it 48
capacity for turning the 156
capacity for unity of 49
capacity for users to 48
capacity for valuing the 62
capacity for varying the 134
capacity for viewing the 47
capacity for vision in 42
capacity for vision is 55
capacity for water at 40
capacity for water in 72
capacity for water is 194
capacity for water of 123
capacity for water to 49
capacity for which he 778
capacity for which is 518
capacity for which it 534
capacity for which no 48
capacity for which the 865
capacity for which we 159
capacity for winning the 257
capacity for women to 142
capacity for words to 42
capacity for working at 44
capacity for working in 345
capacity for working on 88
capacity for working the 47
capacity for works of 51
capacity for writing in 65
capacity for writing on 47
capacity had begun to 81
capacity had grown by 47
capacity had grown to 203
capacity had risen to 453
capacity has begun to 104
capacity has grown at 66
capacity has grown by 69
capacity has grown in 84
capacity has grown to 132
capacity has risen to 151
capacity long after the 46
capacity may appear to 42
capacity may begin to 42
capacity may cause the 56
capacity may easily be 51
capacity may exist in 118
capacity may limit the 125
capacity may never be 73
capacity may occur in 190
capacity may often be 87
capacity may prove to 62
capacity may serve as 150
capacity may still be 167
capacity nor taste of 100
capacity not found in 59
capacity not given to 137
capacity per liter of 57
capacity per pound of 398
capacity she would be 48
capacity ten times as 66
capacity than could be 153
capacity than either of 152
capacity than either the 117
capacity than others to 227
capacity than would be 447
capacity than would the 44
capacity that could be 1644
capacity that forms the 47
capacity that gives the 44
capacity that gives us 40
capacity that makes it 221
capacity that makes the 258
capacity that makes us 107
capacity that meets the 59
capacity that might be 549
capacity that needs to 178
capacity that occur in 50
capacity that seems to 150
capacity that tends to 71
capacity that would be 1206
capacity they acted as 118
capacity they could be 91
capacity they might be 128
capacity they ought to 45
capacity they serve as 126
capacity they serve the 88
capacity they would be 186
capacity too small to 42
capacity was about the 93
capacity was above the 68
capacity was added at 53
capacity was added in 186
capacity was added to 266
capacity was based on 531
capacity was below the 57
capacity was bound to 127
capacity was built at 81
capacity was built by 52
capacity was built in 491
capacity was built on 119
capacity was built to 68
capacity was built up 193
capacity was close to 106
capacity was equal to 605
capacity was fixed at 106
capacity was found by 78
capacity was found in 630
capacity was found to 1282
capacity was given as 209
capacity was given by 80
capacity was given in 49
capacity was given to 72
capacity was known as 84
capacity was known to 70
capacity was lower in 66
capacity was noted in 69
capacity was owned by 138
capacity was rated at 217
capacity was shown by 98
capacity was shown in 73
capacity was shown to 155
capacity was still in 84
capacity was taken as 256
capacity was taken to 68
capacity was taken up 168
capacity was taxed to 110
capacity who could be 69
capacity with change in 72
capacity with people of 46
capacity with which he 484
capacity with which it 196
capacity with which the 530
capacity with which to 714
capacity with which we 231
capitals and bases as 99
capitals and bases in 165
capitals and bases of 1804
capitals and bases on 58
capitals and bases to 127
capitals and drums of 45
capitals and forms the 40
capitals and marks of 735
capitals and notes of 70
capitals and parts of 81
capitals and ports of 80
capitals and towns of 73
capitals are based on 85
capitals are found in 147
capitals are given in 53
capitals are often of 41
capitals are shown in 59
capitals are still in 56
capitals can still be 48
capitals for names of 148
capitals that crown the 55
capitals that would be 50
capitals with which it 43
capitals with which the 72
caprices and vices of 115
caprices and whims of 226
capsules and seeds of 71
capsules are borne on 70
capsules are easier to 42
capsules are found in 288
capsules are given in 67
capsules are known as 53
capsules are known to 44
capsules are shown in 112
capsules are taken at 65
capsules that could be 87
capsules was found to 59
captains and crews as 103
captains and crews in 77
captains and crews of 4559
captains and crews on 74
captains and crews to 213
captains and lords of 126
captains and mates of 365
captains and mates to 55
captains and others in 58
captains and others of 102
captains and others on 53
captains and others to 64
captains and people of 56
captains and seamen of 103
captains and seamen to 62
captains had begun to 70
captains had tried to 40
captains may order me 112
captains then known in 40
captains who could be 54
captains who lived in 75
captains who might be 59
captains who tried to 55
captains who would be 77
captives and booty to 84
captives and sight to 134
captives are known to 44
captives are taken to 53
captives being taken in 99
captives being taken to 48
captives sit round the 50
captives than could be 58
captives that could be 63
captives that ensue thy 45
captives who could be 354
captives who might be 82
captives who would be 66
captured all hearts by 42
captured all kinds of 58
captured and about to 165
captured and added to 309
captured and beaten by 115
captured and beaten to 63
captured and blown up 100
captured and bound by 181
captured and bound in 113
captured and bound the 79
captured and bound to 95
captured and burnt at 80
captured and burnt by 544
captured and burnt in 80
captured and burnt the 448
captured and burnt to 80
captured and caged in 47
captured and ended up 59
captured and fired the 51
captured and fixed in 165
captured and flown to 58
captured and found to 153
captured and freed by 46
captured and given the 74
captured and given to 231
captured and given up 96
captured and hanged as 196
captured and hanged at 292
captured and hanged by 445
captured and hanged in 665
captured and hanged on 376
captured and hanged or 43
captured and hanged the 127
captured and hanged to 42
captured and moved to 167
captured and raped by 146
captured and razed by 64
captured and razed the 68
captured and razed to 213
captured and reared by 86
captured and ruled by 53
captured and saved as 133
captured and saved in 68
captured and saved to 58
captured and slain by 340
captured and slain in 133
captured and spent the 380
captured and strung up 126
captured and taken as 1186
captured and taken by 213
captured and taken in 568
captured and taken on 374
captured and taken to 10498
captured and tamed by 231
captured and tamed in 58
captured and tamed the 134
captured and thrown in 132
captured and towed to 56
captured and tried as 173
captured and tried at 80
captured and tried by 252
captured and tried in 257
captured and tried to 55
captured and where he 41
captured and would be 107
captured both sides of 57
captured for breach of 659
captured for input to 130
captured her after an 129
captured her fingers in 56
captured her hands in 236
captured her under the 54
captured her wrist in 91
captured him after he 45
captured him after the 44
captured him while he 150
captured his sense of 68
captured its share of 87
captured one after the 193
captured one night by 68
captured one piece of 120
captured six ships of 48
captured spy might be 73
captured that morning by 54
captured that morning in 46
captured that sense of 139
captured them shall be 48
captured they would be 348
captured this change in 44
captured this feeling in 93
captured this feeling of 67
captured this image in 50
captured this image of 283
captured this morning by 69
captured this notion in 50
captured this notion of 44
captured this place in 41
captured this point in 82
captured this scene in 58
captured this scene of 56
captured this sense of 532
captured this shift in 59
captured this state of 42
captured two boats on 80
captured two forts on 44
captured two lines of 109
captured two ships of 231
captured two thirds of 83
captured was found to 59
captures all kinds of 44
captures and feeds on 346
captures and holds the 916
captures and kills the 49
captures both sides of 190
captures her sense of 135
captures his sense of 243
captures our sense of 199
captures that sense of 290
captures that which is 109
captures this change in 42
captures this feeling of 134
captures this notion of 358
captures this point in 176
captures this sense in 42
captures this sense of 1804
captures this shift in 136
captures this state of 136
caramels and water in 63
caravans had begun to 55
caravans that cross the 157
caravans that plied the 80
carbides are found in 45
carbides are given in 71
carbides are known to 44
carbides are shown in 84
carbines with which the 40
carbines with which we 50
carcases and bones of 63
carcases and limbs of 49
carcases with which the 44
cardigan with holes in 91
cardinal had begun to 53
cardinal had taken the 139
cardinal was about to 94
cardinal was aware of 47
cardinal was given to 48
cardinal was named by 54
cardinal was willing to 45
cardinal who acted as 54
cardinal who stole the 74
carefree and happy as 391
carefree and happy in 74
careless and dirty in 69
careless and fails to 48
careless and happy as 168
careless and happy in 40
careless and hasty in 123
careless and lacking in 147
careless and liable to 53
careless and loose in 47
careless and merry as 47
careless than others to 103
careless way about the 41
caressed and loved by 246
caressed her cheek as 491
caressed her cheek in 46
caressed her until he 51
caressed him until he 81
caressed him while he 53
caressed his cheek as 239
caressed his chest as 44
caresses and words of 231
caresses with which he 186
caresses with which the 48
carnation each holds in 58
carnival was about to 43
carotene are found in 163
carotene are given in 58
carotene was added to 66
carotene was found in 82
carotene was found to 164
carotene was shown to 47
carpeted with ferns of 51
carpeted with grass on 71
carpeted with leaves of 49
carriages and beasts of 542
carriages and began to 62
carriages and boats to 40
carriages and carts in 83
carriages and carts of 94
carriages and carts to 66
carriages and drawn by 44
carriages and drive in 144
carriages and drive to 55
carriages and drove to 199
carriages and enter the 45
carriages and later by 52
carriages and lived in 43
carriages and parts of 49
carriages and people in 194
carriages and people on 243
carriages and taken to 105
carriages and throngs of 83
carriages are built in 58
carriages are drawn by 265
carriages are drawn up 307
carriages are driving up 47
carriages are lined up 59
carriages are moved by 118
carriages are still in 51
carriages being drawn by 62
carriages each drawn by 321
carriages had begun to 68
carriages had drawn up 76
carriages one after the 105
carriages that could be 122
carriages that drove up 48
carriages that lined the 54
carriages that makes no 89
carriages that stood in 40
carriages that would be 72
carriages was breaking up 68
carriages was drawn up 120
carriages with coats of 48
carriers and cases of 48
carriers and hence the 142
carriers and liable as 41
carriers and modes of 45
carriers and others in 76
carriers and others to 40
carriers and serve as 129
carriers and spread the 68
carriers and types of 46
carriers and unions to 68
carriers and users of 56
carriers are added to 153
carriers are aware of 58
carriers are based on 106
carriers are bound by 65
carriers are bound to 569
carriers are equal to 58
carriers are fixed by 41
carriers are found in 376
carriers are found to 70
carriers are given by 56
carriers are given in 148
carriers are holes in 77
carriers are holes or 57
carriers are known as 137
carriers are known to 183
carriers are liable to 95
carriers are looking at 45
carriers are looking to 46
carriers are moved by 45
carriers are owned by 90
carriers are prone to 44
carriers are seeking to 49
carriers are shown in 294
carriers are still in 77
carriers are swept to 47
carriers are under no 49
carriers are under the 122
carriers are willing to 294
carriers are within the 44
carriers can cross the 119
carriers can easily be 64
carriers can enter the 46
carriers can exist in 45
carriers can often be 50
carriers can still be 40
carriers for months or 52
carriers for which the 481
carriers had begun to 104
carriers had taken up 41
carriers may engage in 49
carriers that could be 169
carriers that cross the 116
carriers that might be 157
carriers that serve the 182
carriers that would be 160
carriers was based on 58
carriers was found to 111
carriers who could be 43
carriers who might be 51
carriers who would be 90
carriers with which it 100
carriers with which the 139
carriers with which to 56
cartoons and asked to 43
cartoons and jokes in 70
cartoons are based on 75
cartoons for which he 41
cartoons that appear in 189
cartoons that could be 74
cascades and falls of 65
cascades and pools of 58
cascades are known to 70
cascades are shown in 58
casement and began to 64
cassette and place it 66
cassette and place the 54
casually and began to 59
casually and under the 47
casualty for which the 91
catalogs and books on 107
catalogs and lists of 411
catalogs are based on 59
catalyst and agent of 54
catalyst and heated to 76
catalyst are added to 115
catalyst are given in 138
catalyst are mixed in 66
catalyst are shown in 284
catalyst bed where the 81
catalyst can change the 48
catalyst can speed up 51
catalyst for action by 119
catalyst for action in 148
catalyst for action on 74
catalyst for action to 41
catalyst for change as 260
catalyst for change at 148
catalyst for change by 198
catalyst for change if 42
catalyst for change in 3506
catalyst for change is 289
catalyst for change on 92
catalyst for change or 110
catalyst for change to 88
catalyst for changing the 289
catalyst for creating an 49
catalyst for creating the 96
catalyst for getting the 90
catalyst for growth in 277
catalyst for growth of 46
catalyst for helping the 69
catalyst for opening up 101
catalyst for others to 208
catalyst for people to 133
catalyst for raising the 54
catalyst for setting up 49
catalyst for which the 49
catalyst for women to 75
catalyst that began the 49
catalyst that could be 62
catalyst that drove the 57
catalyst that helps the 49
catalyst that helps to 65
catalyst that makes it 73
catalyst that makes the 206
catalyst that moved the 66
catalyst was added in 48
catalyst was added to 287
catalyst was dried at 75
catalyst was dried in 57
catalyst was found in 45
catalyst was found to 736
catalyst was heated at 46
catalyst was heated in 74
catalyst was heated to 85
catalyst was shown to 111
catalyst with which to 48
catapult with which to 44
cataract can easily be 65
cataract can often be 44
cataract had begun to 45
cataract may occur in 96
cataract was found in 61
cataract was found to 111
catcalls and cries of 297
catcalls and hoots of 55
catcalls and jeers of 65
category all forms of 49
category and about the 51
category and added to 73
category and asked to 86
category and begin to 47
category and change the 90
category and class of 905
category and click ok 90
category and click on 161
category and click the 340
category and could be 178
category and enter the 101
category and gives the 50
category and grade of 99
category and hence the 62
category and level in 64
category and level of 295
category and makes it 54
category and might be 57
category and others in 49
category and others to 48
category and place it 57
category and refer to 54
category and under the 75
category and which do 70
category and which is 66
category and which to 40
category and within the 109
category and would be 152
category and would in 143
category and write the 83
category are added to 90
category are aimed at 79
category are alike in 50
category are based on 915
category are bound to 44
category are cases in 89
category are cases of 66
category are found in 517
category are found the 211
category are found to 119
category are given by 63
category are given in 848
category are given the 55
category are known as 703
category are known to 99
category are liable to 50
category are noted in 43
category are shown in 1615
category are shown on 63
category are still in 43
category are taken to 46
category are willing to 52
category but rather an 64
category but rather as 266
category but rather in 40
category but rather the 42
category but rather to 50
category but which is 46
category can again be 52
category can apply to 57
category can easily be 101
category can never be 74
category can often be 102
category can serve as 214
category can still be 90
category for cases in 53
category for people of 70
category for which an 81
category for which he 241
category for which it 345
category for which no 182
category for which the 1638
category for which we 155
category for women in 100
category for women is 61
category had grown to 72
category had risen to 113
category has grown to 60
category may appear to 68
category may apply to 72
category may belong to 54
category may occur in 47
category may prove to 50
category may refer to 104
category may serve as 71
category may still be 90
category not found in 73
category now known as 63
category one finds the 102
category one thinks of 64
category than either of 42
category than would be 158
category that comes to 95
category that could be 816
category that fails to 42
category that gives it 46
category that gives the 50
category that helps to 42
category that helps us 45
category that holds the 40
category that makes it 78
category that makes the 72
category that makes up 54
category that might be 609
category that needs to 219
category that seeks to 44
category that seems to 383
category that shows the 48
category that tends to 100
category that would be 422
category they belong in 112
category they belong to 639
category they might be 43
category was added by 121
category was added in 341
category was added to 653
category was based on 442
category was coded as 96
category was found in 418
category was found to 347
category was given the 56
category was given to 78
category was known as 130
category was taken as 135
category was taken to 48
category who would be 62
category with which he 170
category with which it 233
