cake layer upside down 125
came within musket range 827
came within musket shot 780
came within pistol range 123
came within pistol shot 842
came within shooting range 193
came within striking range 137
came within twelve feet 42
came within twenty feet 594
came within visual range 90
camp night before last 134
camp under canvas among 42
canoe could barely have 55
canoe moved slowly away 62
cans whole kernel corn 123
card neatly nailed upon 59
care about another living 44
care about anyone else 3670
care about anyone other 163
care about entering into 171
care about guarding from 53
care about issues like 138
care about issues such 82
care about little else 165
care about nobody else 71
care about public life 87
care about someone else 871
care about someone like 214
care about someone other 162
care about something else 209
care about something like 340
care about something more 53
care about something other 232
care about whether their 266
care about whether there 118
care about whether your 42
care after release from 40
care setting should have 91
care staff should have 54
care units should have 111
care which arises from 46
care which milton took 77
care which should have 483
care would become more 43
care would result from 43
caring about anyone else 362
caring about someone else 381
caring about something other 43
cars could barely pass 46
cars drove slowly along 47
cars drove slowly down 42
cars drove slowly past 45
cars moved slowly along 203
cars moved slowly down 51
cars which looked like 56
cars whose engines were 40
cars whose owners were 55
cart wheel rolled over 67
case about twenty years 62
case above quoted from 85
case after twenty years 61
case anything should come 79
case anything should ever 76
case anything should have 61
case anything should turn 86
case basis whether there 42
case basis whether these 237
case could hardly fail 42
case could hardly have 406
case could result from 52
case either should think 126
case every effort must 42
case judge learned hand 159
case might already have 47
case might become moot 176
case might better have 45
case might depend upon 43
case might result from 42
case moved toward trial 48
case moves toward trial 53
case nearly twenty years 51
case never should have 84
case occur without some 42
case often occurs when 71
case really turned upon 45
case rests solely upon 68
case rests wholly upon 51
case russia should make 52
case seems pretty much 44
case shall afford full 53
case shall remain open 41
case shall stairs leading 53
case spain should make 43
case study authors were 105
case study cities were 47
case study methods have 146
case study methods were 136
case study offers some 64
case study raises some 46
case study should also 70
case study should have 81
case study should help 123
case total output will 41
case tried before lord 146
case under native rule 77
case under review here 59
case under review there 47
case until recent years 74
case where agents have 49
case where someone else 62
case where something like 59
case which appears very 48
case which arises when 194
case which called forth 144
case which caused some 65
case which lately came 127
case which looked like 42
case which occurs most 57
case which occurs very 53
case which occurs when 106
case which should have 360
case which struck down 176
case which turned upon 150
case within ninety days 70
case within twenty days 74
case would already have 53
case would amount only 42
case would become moot 61
case would become more 116
case would clearly have 45
case would depend upon 540
case would differ from 112
case would hardly have 201
case would indeed have 85
case would likely have 152
case would remain open 83
case would result from 104
case would simply have 50
case would surely have 146
cash comes without fame 44
cash crops versus food 42
cash flows accruing from 44
cash flows across time 71
cash flows become more 46
cash flows differ from 233
cash flows equals zero 60
cash flows result from 157
cash flows should also 78
cash flows should have 55
cash flows should help 80
cash flows stemming from 141
cash flows through time 97
cash which should have 104
cash within ninety days 92
cast grave doubts over 132
cast grave doubts upon 1174
cast which appears when 147
cave about twenty feet 53
cave where cattle were 53
cease after twenty years 109
cell about twelve feet 48
cell anemia occurs when 177
cell anemia result from 44
cell anemia sickle cell 444
cell could become more 51
cell count varied from 177
cell count varies from 712
cell cycle arrest during 120
cell cycle arrest when 77
cell cycle phases were 52
cell growth factor from 646
cell growth factor gene 237
cell growth factor maps 76
cell growth occurs during 99
cell lines differ from 66
cell lines tested were 230
cell phone number down 74
cell phone number from 184
cell phone number into 59
cell phone number just 44
cell phone number when 91
cell phone tucked into 40
cell shape changes during 271
cell shape changes from 65
cell smooth muscle cell 221
cell stage viewed from 264
cell trait sickle cell 291
cell types appearing during 42
cell types derive from 138
cell types differ from 96
cell types result from 319
cell walls become more 213
cell walls differ from 108
cell which arises from 61
cell while awaiting trial 219
cent above normal during 48
cent above normal when 50
cent after twenty years 86
cent power factor leading 75
cent under twenty years 42
cent whose fathers were 74
cent within twenty years 93
cent would depend upon 58
chat about something else 141
cheap labor supply from 66
cheap money existing side 49
cheat heaven itself into 72
chin which rolled down 89
city about twenty years 74
city after another fell 436
city after another from 61
city after another threw 48
city after twenty years 58
city calling itself free 56
city could hardly have 252
city could supply were 41
city faced another hard 46
city freed itself from 64
city gleaming upward into 66
city might derive from 41
city nearly twenty years 46
city still looked like 40
city under attack from 40
city under israeli rule 81
city under orders from 53
city water supply from 113
city where blacks were 101
city where houses were 58
city where nobody knew 129
city which charms even 286
city which covers part 41
city which formed part 45
city which reigns over 307
city which should have 187
city which stands upon 46
city whose armies were 62
city whose houses were 59
city within ninety days 74
city would become more 119
city would hardly have 78
city would likely have 41
city would suffer from 41
city would suffer great 88
city would surely have 96
city would vanish like 59
clan feels called upon 45
clan which formed part 59
clay which enters into 67
clay which formed part 140
clay which weighs down 42
clean black cotton gown 44
clean though coarse cloth 81
clean water before drying 41
clean water supply from 48
clean white coarse cloth 50
clean white cotton cloth 241
clean white tennis shoes 205
clear about something else 125
clear about whether their 45
clear about whether there 45
clear about whether these 44
clear about whether your 53
clear enemy forces from 100
clear fluid draining from 150
clear fluid dripping from 63
clear green streams wind 155
clear green turtle soup 74
clear stars serene over 53
clear stream rippling over 81
clear though modest crow 53
clear trend toward less 52
clear trend toward more 470
clear voice called from 53
clear water bubbling from 93
clear water flowed from 87
clear water flowed over 61
clear water gushed forth 80
clear water gushed from 96
clear water gushes forth 52
clear water poured from 58
clear water rippling over 55
clear water tumbling over 55
clings seems slowly coming 130
cloth bands around their 59
cloth bound around their 91
cloth which covers their 60
cloth which formed their 59
cloth which looked just 42
cloth which looked like 69
cloth wound around their 181
club chair across from 69
club shall finish your 76
coal mines closed down 63
coat color varies from 65
coat could hardly have 58
coat might become dull 256
coat which looked like 68
coat which reached down 123
coat would hardly have 76
cock which crowed when 41
code looks something like 242
code which should have 324
coin seems larger when 42
coke ovens become glow 44
cold blood before their 54
cold blood stands next 64
cold bosom spices bore 166
cold chill creeping over 58
cold chill passed over 160
cold chill washed over 66
cold drawing through dies 103
cold feeling washed over 47
cold foods served cold 49
cold front occurs when 70
cold front passed over 189
cold front passes over 181
cold hands folded over 91
cold hearts shrank from 93
cold hours before dawn 194
cold makes itself felt 116
cold night without food 44
cold rivet before heating 63
cold season passes away 101
cold season starts from 42
cold shining rapier into 59
cold smile passed over 61
cold stream coursing over 67
cold strong nitric acid 58
cold water before adding 321
cold water before drying 41
cold water before heating 103
cold water before meals 48
cold water before mixing 63
cold water closed over 271
cold water dashed into 67
cold water dashed over 264
cold water dashed upon 152
cold water direct from 68
cold water dripping down 218
cold water dripping from 119
cold water flowed from 89
cold water flowed into 45
cold water flowed over 59
cold water gushed forth 305
cold water gushed from 84
cold water gushed into 41
cold water gushes from 50
cold water issues from 47
cold water masses from 48
cold water passes into 53
cold water poured down 733
cold water poured from 202
cold water poured into 240
cold water poured over 2666
cold water poured upon 340
cold water preheat oven 154
cold water pumped from 153
cold water rushed over 42
cold water seeped into 41
cold water should also 87
cold water should have 184
cold water splash over 40
cold water supply from 72
cold water supply line 226
cold water supply pipe 309
cold water supply piping 52
cold water washed over 167
cold water without risk 50
cold water without soap 232
cold waves dashed over 87
cold weather should come 59
cold weather should have 48
cold which turned into 473
cold white marble beds 62
cold white winter moon 76
cold winds sweeping down 155
cold world should cease 144
colt newly fallen from 43
come about before there 52
come about mainly from 128
come about merely from 156
come about partly from 223
come about simply from 138
come about solely from 148
come about something else 117
come about through faith 48
come about through free 80
come about through good 79
come about through great 66
come about through hard 76
come about through having 40
come about through lack 127
come about through love 53
come about through many 135
come about through mass 84
come about through mere 101
come about through more 366
come about through other 163
come about through reading 91
come about through self 217
come about through slow 42
come about through some 1493
come about through such 315
come about through their 1165
come about through these 228
come about through those 74
come about through three 82
come about through time 166
come about through trial 128
come about through what 300
come about through word 84
come about through work 147
come about through your 292
come about twenty years 47
come about unless there 286
come about without great 93
come about without much 305
come about without some 1109
come about without such 108
come about without their 129
come about without your 49
come after prince otto 41
come after something else 171
come after twenty years 61
come again another time 903
come alive before your 196
come alive through their 148
come alive through your 42
come budding boughs from 45
come close enough even 94
come every twenty years 48
come fooling around there 93
come fully formed into 45
come hither without mine 109
come quick enough when 48
come right through from 42
come right through here 155
come right through your 42
come round without fail 42
come seeking refuge from 48
come seeking relief from 55
come sneaking around here 103
come still closer home 45
come under another heading 80
come under another kind 60
come under another name 74
come under another rule 40
come under attack during 370
come under attack even 88
come under attack from 16283
come under attack more 106
come under attack once 100
come under attack over 145
come under attack were 47
come under attack when 200
come under direct fire 135
come under english rule 211
come under french rule 313
come under german rule 212
come under israeli rule 63
come under italian rule 98
come under jewish rule 58
come under mortar fire 67
come under muslim rule 215
come under notice here 71
come under notice when 104
come under persian rule 68
come under polish rule 128
come under review during 44
come under review when 100
come under russian rule 719
come under serious fire 78
come under serious threat 296
come under severe fire 76
come under severe threat 86
come under sniper fire 216
come under soviet rule 149
come under strain from 81
come under strain when 71
come under stress from 53
come under withering fire 87
come until twenty years 67
come within camera range 53
come within cannon shot 284
come within closer range 82
come within musket range 238
come within musket shot 306
come within ninety days 54
come within pistol shot 360
come within recent years 75
come within shooting range 248
come within striking range 413
come within twenty feet 420
come within twenty years 224
come within visual range 79
come would depend upon 41
coming after something else 107
coming after twenty years 87
coming quick enough from 60
coming under attack from 1660
coming under closer fire 52
coming under french rule 45
coming under russian rule 66
coming under serious threat 53
coming under sniper fire 54
coming within pistol shot 53
coming would happen during 53
cone which formed over 50
cone whose vertex angle 64
cone whose vertex lies 107
cons state without book 543
cook anything unless there 47
cook plain dishes well 44
cook until almost done 271
cook until second side 167
cook until shells open 99
cook until shrimp turn 113
cook until tender when 370
cool evening breeze blew 105
cool evening breeze came 64
cool evening breeze from 80
cool green courts there 107
cool hours before dawn 69
cool morning breeze blew 93
cool morning breeze from 51
cool night breeze blew 155
cool night breeze came 45
cool night breeze felt 40
cool night breeze from 71
cool stream gushed over 849
cool until barely warm 53
cool water closed over 54
cool water emptying into 45
cool water poured over 106
cool water washed over 41
copy thereof served upon 252
cord after spinal cord 54
cord blood levels were 47
cord might readily have 71
cord passing through these 42
cord which passed over 129
cord which passes from 120
cord which passes over 2590
core could behave like 58
corn grain yields were 159
corn never enters into 57
corn syrup preheat oven 46
corn which should feed 47
corn which should have 57
cost about double what 126
cost could hardly have 59
cost could result from 67
cost curve always cuts 63
cost curve always lies 114
cost curve shifts down 142
cost curve shifts from 171
cost fifty guineas from 86
cost nearly double what 51
cost price caused utah 95
cost savings accrue from 41
cost savings accruing from 209
cost savings gained from 71
cost savings result from 677
cost savings stemming from 192
cost savings through more 169
cost thereof should rest 90
cost total annual cost 468
cost which arises from 248
cost which occurs when 127
cost which result from 157
cost which should have 59
cost would depend upon 142
cost would result from 153
cost would simply have 58
cows whose calves were 69
cows whose udders were 47
cows would hardly give 40
cows yield little milk 45
cream sauce poured over 159
cream sauce served over 64
cream which should have 46
crew about spending their 43
crew again called upon 79
crew could hardly have 40
crop which should have 49
crop which thrives best 46
crow rises lazily from 42
crying about something else 137
cubs which remain three 58
cult value recede into 119
cups cubed french bread 48
cups dried kidney beans 82
cups flour preheat oven 177
cups quick rolled oats 74
cups sugar grated zest 44
cups sugar preheat oven 51
cups thinly sliced onion 180
cups water preheat oven 70
cups whole kernel corn 183
cure every disease from 46
cure which should rank 43
cure which special acts 41
cuts right across these 48
