cabs waiting in front 105
came again to claim 62
came again to court 326
came again to david 73
came again to fetch 154
came again to fight 80
came again to italy 57
came again to light 370
came again to moses 49
came again to offer 55
came again to paris 231
came again to power 91
came again to renew 111
came again to spain 45
came again to stand 53
came again to visit 558
came again to watch 41
came again to where 123
came again we might 45
came alive as never 58
came alive as people 44
came alive as though 54
came alive at night 365
came alive in front 83
came alive on stage 95
came alone to paris 49
came alone to visit 121
came badly to grief 46
came below the knees 111
came below the level 57
came below the meeting 45
came beneath the flood 56
came beneath the walls 140
came blowing in again 57
came blowing the conch 43
came close at times 228
came close by alice 59
came close in front 50
came close in shore 146
came close to action 117
came close to anything 56
came close to arguing 254
came close to armed 80
came close to backing 42
came close to banning 70
came close to blaming 95
came close to blowing 196
came close to blows 275
came close to breaking 3870
came close to bumping 50
came close to burning 165
came close to calling 522
came close to causing 506
came close to changing 188
came close to chaos 42
came close to choking 164
came close to civil 195
came close to closing 258
came close to costing 245
came close to creating 497
came close to cutting 202
came close to defeat 322
came close to denying 416
came close to drawing 86
came close to driving 280
came close to echoing 91
came close to either 84
came close to engaging 51
came close to failing 259
came close to falling 716
came close to feeling 319
came close to filling 314
came close to finding 501
came close to fitting 809
came close to folding 70
came close to forcing 131
came close to forging 56
came close to forming 158
came close to fully 59
came close to gaining 279
came close to getting 1744
came close to hitting 663
came close to holding 224
came close to hurting 50
came close to israel 47
came close to issuing 53
came close to jesus 93
came close to joining 321
came close to jumping 42
came close to keeping 77
came close to kicking 53
came close to killing 1388
came close to kissing 100
came close to knowing 114
came close to landing 262
came close to learning 40
came close to letting 122
came close to looking 145
came close to meeting 2674
came close to merging 83
came close to miriam 88
came close to missing 248
came close to never 116
came close to opening 150
came close to ousting 49
came close to panic 546
came close to paris 66
came close to passing 1332
came close to people 44
came close to picking 48
came close to placing 55
came close to playing 152
came close to poetry 43
came close to power 94
came close to proving 152
came close to pulling 219
came close to pushing 123
came close to putting 450
came close to raising 95
came close to reaching 751
came close to ripping 56
came close to rolling 41
came close to ruining 433
came close to running 387
came close to scoring 461
came close to seeking 64
came close to seizing 150
came close to selling 371
came close to sending 102
came close to sensing 43
came close to serving 64
came close to setting 262
came close to sharing 287
came close to shore 1001
came close to showing 147
came close to signing 218
came close to sinking 305
came close to smiling 338
came close to social 40
came close to solving 242
came close to speaking 70
came close to stating 224
came close to stealing 112
came close to talking 89
came close to telling 514
came close to testing 40
came close to thinking 125
came close to throwing 643
came close to tipping 65
came close to topping 44
came close to total 262
came close to treating 70
came close to turning 397
came close to undoing 90
came close to uniting 89
came close to walking 115
came close to watch 68
came close to weeping 223
came close to where 921
came close to winning 6301
came close to wishing 50
came close to working 153
came close to writing 239
came close up under 80
came close we could 40
came cries of alarm 43
came daily on shore 338
came daily to drink 40
came daily to offer 41
came daily to visit 414
came daily to watch 171
came driving in sheep 45
came easier he moved 41
came easily to people 54
came either as spies 52
came either in search 97
came either to trade 62
came every so often 138
came fifty or sixty 42
came first in class 94
came first in every 82
came first in human 69
came first in italy 100
came first in order 694
came first in point 354
came first in russia 45
came first in sight 244
came first in terms 88
came first it would 52
came first on board 118
came first on shore 232
came first or which 87
came first to court 49
came first to italy 70
came first to japan 58
came first to light 276
came first to lodge 46
came first to paris 99
came first to spain 50
came first to trade 43
came first to visit 92
came flowing in after 41
came forty or fifty 132
came front to front 421
came fully in sight 69
came fully on stream 51
came fully to grips 179
came fully to light 652
came fully to terms 80
came gusts of fetid 74
came hither by night 46
came hither in order 40
came hither in quest 111
came hither in search 130
came hither in ships 75
came hither the stern 81
came hither to avoid 105
came hither to curse 62
came hither to drink 56
came hither to dwell 49
came hither to enjoy 186
came hither to fight 55
came hither to found 55
came hither to preach 41
came hither to serve 51
came hither to spend 43
came hither to study 87
came hither to trade 52
came hither to visit 107
came jesus the doors 40
came later to italy 42
came later to refer 46
came later to serve 42
came later to stand 52
came later to visit 53
came later to write 109
came nearer he began 61
came nearer he could 255
came nearer he found 79
came nearer he would 54
came nearer it could 48
came nearer the house 111
came nearer the place 53
came nearer the shore 412
came nearer the sound 129
came nearer the stream 128
came nearer the water 58
came nearer to breaking 93
came nearer to filling 42
came nearer to finding 57
came nearer to getting 62
came nearer to meeting 116
came nearer to paris 50
came nearer to reaching 40
came nearer to solving 50
came nearer to telling 46
came nearer to where 100
came nearer to winning 59
came nearer we could 325
came nearer we found 89
came nearly as close 187
came nearly to blows 45
came nearly to knife 52
came never the later 87
came often in large 45
came often on board 56
came often to paris 70
came often to spend 59
came often to visit 1163
came often to watch 79
cameo roles in films 42
came piece by piece 61
came pouring in after 562
came pouring in daily 356
came pouring in every 67
came pouring in until 133
came pouring on every 98
came puffs of smoke 103
came quite so close 111
came quite up close 47
came right in after 62
came right in front 569
came right to where 54
came right up again 62
came right up close 735
came right up under 145
came roaring in again 45
came round as usual 136
came round at about 86
came round at night 58
came round at which 44
came round he could 45
came round he found 95
came round he would 186
came round in chase 41
came round in front 578
came round in march 96
came round in order 45
came round on which 92
came round the bench 43
came round the cabin 42
came round the chair 102
came round the clock 68
came round the coast 82
came round the comer 227
came round the curve 662
came round the final 48
came round the first 112
came round the flank 102
came round the front 393
came round the house 913
came round the point 1901
came round the ranch 42
came round the right 104
came round the river 44
came round the rocks 53
came round the rocky 43
came round the stern 145
came round the table 2565
came round the train 46
came round the works 51
came round the world 54
came round to brood 51
came round to check 159
came round to drink 47
came round to fetch 78
came round to games 46
came round to gather 73
came round to greet 47
came round to offer 62
came round to shake 104
came round to stand 118
came round to stare 49
came round to thinking 198
came round to visit 226
came round to watch 76
came round to where 629
came running as usual 47
came running in after 163
came running in again 102
came running in alarm 107
came running in haste 146
came running in looking 46
came running in panic 41
came running in search 47
came running in yelling 70
came running to catch 138
came running to fetch 152
came running to greet 971
came running to jesus 230
came running to moses 48
came running to offer 68
came running to simon 168
came running to stand 56
came running to stare 49
came running to titus 92
came running to watch 113
came running to where 368
came running up after 92
came running up again 157
came running up every 42
came running up yelling 44
came rushing in after 92
came rushing in again 89
came rushing on board 62
came rushing to greet 114
came rushing to where 48
came sadly to grief 56
came sailing to greet 43
came seven or eight 205
came sighing on after 99
came since the first 40
came sliding or skating 121
came smiling to greet 54
came tapping at dolly 68
came tapping the floor 70
came thirty or forty 151
came thither an indian 240
came thither he found 124
came thither in order 60
came thither in search 52
came thither to claim 131
came thither to drink 69
came thither to fetch 87
came thither to gather 55
came thither to offer 52
came thither to preach 68
came thither to study 183
came thither to trade 61
came thither to visit 245
came thither we found 132
came thronging on board 44
came twice as often 121
came twice or thrice 490
came twice to order 42
came twice to visit 131
came under my father 46
came under my hands 171
came under the above 108
came under the action 69
came under the ambit 153
came under the aryan 65
came under the author 1342
came under the board 307
came under the broad 221
came under the bureau 65
came under the charm 211
came under the chief 251
came under the civil 264
came under the class 199
came under the close 1157
came under the cloud 122
came under the court 269
came under the cover 196
came under the cross 198
came under the crown 471
came under the cruel 62
came under the curse 412
came under the deadly 47
came under the dusky 54
came under the dutch 146
came under the enemy 168
came under the fatal 51
came under the fence 46
came under the final 60
came under the first 691
came under the fourth 50
came under the front 46
came under the glare 129
came under the grand 60
came under the grasp 105
came under the greek 176
came under the growing 123
came under the guiding 71
came under the guise 350
came under the hands 211
came under the harsh 60
came under the headings 166
came under the house 99
came under the indian 177
came under the joint 523
came under the knife 104
came under the label 102
came under the lasting 103
came under the league 88
came under the legal 248
came under the light 508
came under the local 163
came under the magic 452
came under the moral 64
came under the newly 327
came under the notion 49
came under the orbit 70
came under the order 82
came under the papal 62
came under the party 53
came under the place 40
came under the power 2980
came under the queen 54
came under the quota 49
came under the reign 169
came under the remit 146
came under the rigid 58
came under the roman 898
came under the roofs 43
came under the royal 389
came under the rules 140
came under the scope 323
came under the shade 188
came under the sharp 92
came under the social 158
came under the sound 118
came under the spell 10964
came under the stars 82
came under the state 833
came under the stern 812
came under the strong 1033
came under the study 54
came under the sweep 63
came under the table 94
came under the teaching 236
came under the terms 499
came under the thrall 67
came under the tight 66
came under the title 653
came under the total 103
came under the treaty 62
came under the trees 155
came under the turks 53
came under the usual 89
came under the walls 383
came under the water 47
came under the white 73
came under the woman 40
came until he could 67
came welling up again 101
came welling up within 41
came where he could 151
came where it might 45
came where the heroes 67
came where the maids 56
came where we could 73
came while he slept 63
came within as short 158
came within my field 58
came within my grasp 122
came within my power 55
came within my scope 52
came within my sight 83
came within my vision 97
came within the above 79
came within the action 49
came within the ambit 2529
came within the author 135
came within the broad 75
came within the class 414
came within the court 45
came within the danger 77
came within the enemy 85
came within the field 608
came within the first 703
came within the focus 210
came within the gates 103
came within the glare 72
came within the grasp 411
came within the group 60
came within the house 78
came within the legal 156
came within the light 322
came within the limit 175
came within the lines 341
came within the magic 360
came within the orbit 1660
came within the order 52
came within the period 156
came within the plain 45
came within the ports 70
came within the power 579
came within the region 133
came within the remit 151
came within the roman 51
came within the rules 140
came within the scope 7707
came within the sight 307
came within the sound 605
came within the space 77
came within the spell 76
came within the state 302
came within the sweep 241
came within the terms 1374
came within the treaty 147
came within the verge 222
came within the vision 193
came within the walls 320
came within the words 226
came words of warning 114
camp about the first 60
camp above the creek 42
camp above the falls 136
camp above the river 50
camp after the action 86
camp after the defeat 75
camp after the enemy 44
camp after the evening 49
camp after the fight 255
camp after the first 219
camp after the others 43
camp after the storm 46
camp began to appear 59
camp began to change 67
camp below the falls 137
camp beneath the stars 62
camp beneath the trees 67
camp beneath the walls 116
camp ceased to exist 74
camp chair in front 137
camp close to where 85
camp could be built 67
camp could be easily 64
camp could be found 280
camp could be moved 82
camp could be taken 46
camp could no longer 213
camp fires at night 1582
camp fires by night 54
camp fires in front 233
camp meeting at which 109
camp meeting in georgia 87
camp meeting in which 67
camp meeting of flies 52
camp might be moved 40
camp round the walls 49
camp seven or eight 54
camp since the first 43
camp space of irony 126
camp stool in front 105
camp stool on which 64
camp table in front 67
camp under the cover 179
camp under the guard 52
camp under the guise 98
camp under the nazis 66
camp under the pines 59
camp under the shade 102
camp under the stars 423
camp under the trees 504
camp under the walls 1323
camp until he could 86
camp until he found 108
camp until the evening 82
camp until the final 47
camp until the first 61
camp until the morning 263
camp until the night 43
camp until the storm 90
camp until the weather 60
camp until the whole 41
camp until we could 72
camp where he could 368
camp where he found 187
camp where he lived 147
camp where he might 84
camp where he spent 183
camp where he would 260
camp where it could 63
camp where it might 82
camp where it would 78
camp where my father 88
camp where my mother 44
camp where the enemy 53
camp where the first 87
camp where the girls 44
camp where the grass 67
camp where the indian 42
camp where the nazis 78
camp where the others 92
camp where the people 156
camp where the river 47
camp where the tents 47
camp where the trees 75
camp where the water 76
camp where the whole 40
camp where the women 376
camp where we could 260
camp where we first 47
camp where we found 241
camp where we lived 84
camp where we spent 111
camp where we would 240
camp which he could 59
camp which is still 42
camp which the enemy 89
camp which the indian 83
camp while the others 258
camp while the royal 82
camp while the women 47
camp within the state 120
camp within the walls 124
camp would be built 97
camp would be easily 100
camp would be found 56
camp would be moved 170
camp would be saved 40
camp would be taken 69
camp would no longer 95
cane after the juice 254
cane after the sugar 113
cane chair in front 92
cane chair in which 64
cane chair on which 62
cane could be grown 283
cane sugar be added 68
cane sugar by acids 175
cane sugar by boiling 46
cane sugar in water 526
cane sugar in which 49
cane sugar is added 399
cane sugar is first 208
cane sugar is found 53
cane sugar is grown 65
cane sugar is heated 152
cane sugar is mixed 95
cane sugar is often 53
cane sugar is split 45
cane sugar is still 50
cane sugar or honey 111
cane sugar to sugar 41
cane until it broke 57
cane which he would 50
cane which is grown 58
canoe about the falls 71
canoe about to cross 49
canoe began to drift 47
canoe began to glide 76
canoe below the falls 46
canoe could be found 91
canoe could no longer 130
canoe loads of goods 56
canoe loads of people 44
canoe neared the shore 46
canoe round the point 48
canoe under the stern 172
canoe which he found 209
canoe while the others 67
canoe would be drawn 65
cant about the evils 41
cant fight the whole 42
cant sleep at night 98
cant stand the sight 62
cant which he added 56
cape where the coast 140
cape where the waves 114
cape which he named 166
cape which we named 63
cape which we stand 64
card above or below 45
card after the first 130
card comes in handy 54
card could be found 74
card could be given 43
card cover the poles 65
card drawn is either 90
card games at night 49
card games in which 728
card games or board 99
card games or chess 45
card gives the author 54
card gives the title 52
card index in order 64
card index in which 198
card index of books 59
card index of every 157
card index of names 319
card index of people 53
card index on which 47
card index or loose 135
card listing the names 45
card lists the title 42
card makes it easier 75
card might be taken 50
card party at which 67
card party to raise 58
card playing or dancing 173
card reader in order 58
card reader or paper 131
card reader or punch 166
card right in front 74
card shall be shown 100
card shall be valid 78
card shall be water 72
card showing the owner 85
card shows the total 42
card stock on which 50
card stock or paper 90
card stock to create 55
card table at which 121
card table in front 550
card table on which 305
card takes the place 64
card takes the trick 103
card tells the story 85
card trick in which 151
card under the author 53
card under the first 69
card under the glass 148
card under the table 243
card under the title 45
card which he could 121
card which he holds 45
card which he knows 103
card which he would 60
card which is filed 145
card which is given 106
card which is known 42
card which is shown 64
card which is valid 64
card would be filed 143
card would be found 58
card would be given 63
card would be taken 116
care about an action 41
care about an issue 857
care about in order 238
care about in terms 116
care about is finding 531
care about is getting 2938
care about is hurting 40
care about is keeping 382
care about is looking 113
care about is money 1458
care about is power 115
care about is putting 63
care about is right 91
care about is selling 117
care about is staying 46
care about is where 158
care about is which 124
care about is winning 358
care about it either 436
care about me after 213
care about me again 59
care about me either 254
care about my books 54
care about my child 246
care about my father 621
care about my fishing 144
care about my hands 45
care about my house 41
care about my image 43
care about my looks 143
care about my money 225
care about my mother 541
care about my needs 510
care about my people 220
care about my small 44
care about my writing 163
care about or value 54
care about the action 101
care about the author 187
care about the basic 189
care about the beauty 331
care about the bible 264
care about the birds 199
care about the black 340
care about the blood 158
care about the bombs 41
care about the books 243
care about the brand 225
care about the cause 550
care about the change 220
care about the child 1994
care about the civil 89
care about the class 292
care about the color 1475
care about the cooking 42
care about the costs 341
care about the court 191
care about the crime 47
care about the crowd 91
care about the crown 68
care about the daily 103
care about the dairy 50
care about the dance 109
care about the danger 704
care about the dress 250
care about the drugs 46
care about the empty 66
care about the ethics 72
care about the ethnic 48
care about the event 151
care about the exact 740
care about the extra 330
care about the facts 660
care about the fates 146
care about the father 95
care about the field 41
care about the fight 124
care about the final 313
care about the finer 402
care about the first 513
care about the folks 84
care about the frost 179
care about the fucking 162
care about the games 137
care about the girls 427
care about the goals 232
care about the grade 144
care about the group 524
care about the growing 53
care about the growth 231
care about the holes 109
care about the honor 200
care about the horse 183
care about the house 1161
care about the human 929
care about the image 409
care about the indian 43
care about the inner 229
care about the irish 42
care about the issue 2392
care about the kinds 179
care about the kingdom 87
care about the large 94
care about the learning 108
care about the legal 291
care about the level 577
care about the light 164
care about the likes 109
care about the lives 1167
care about the local 345
care about the logic 40
care about the looks 190
care about the lower 109
care about the match 115
care about the meeting 153
care about the method 120
care about the minor 89
care about the missing 127
care about the money 11464
care about the moral 564
care about the mother 210
care about the movie 231
care about the music 753
care about the names 375
care about the nation 234
care about the needs 1564
care about the needy 87
care about the negro 48
care about the noise 448
care about the older 48
care about the order 1886
care about the others 1944
care about the paper 334
care about the party 388
care about the passing 40
care about the people 9544
care about the petty 146
care about the piece 41
care about the place 961
care about the plant 85
care about the point 124
care about the power 222
care about the press 115
care about the price 1428
care about the prize 99
care about the racial 157
care about the ranch 108
care about the reader 242
care about the reason 427
care about the region 105
care about the right 544
care about the risks 547
care about the river 127
care about the roman 93
care about the rules 917
care about the score 235
care about the seven 96
care about the shape 265
care about the sheep 441
care about the short 113
care about the siege 40
care about the small 517
care about the smell 264
care about the smoke 146
care about the social 1044
care about the souls 135
care about the sound 157
care about the speed 172
care about the sport 140
care about the staff 41
care about the stars 163
care about the state 1782
care about the stock 235
care about the stone 94
care about the store 171
care about the storm 86
care about the story 876
care about the study 42
care about the stuff 196
care about the style 167
care about the taste 236
care about the terms 172
care about the theater 139
care about the title 286
care about the topic 861
care about the total 445
care about the trees 212
care about the types 47
care about the unity 90
care about the value 1165
care about the views 295
care about the voice 88
care about the wages 163
care about the water 346
care about the weather 1165
care about the wedding 170
care about the white 186
care about the whole 1240
care about the wider 89
care about the woman 752
care about the women 646
care about the words 516
care about the working 286
care about the world 4630
care about the writing 166
care above the level 123
care after an acute 68
care after the acute 80
care after the child 147
care after the first 824
care agent or proxy 163
care based on needs 96
care based on nursing 204
care based on sound 133
care began to appear 60
care began to change 107
care began to shift 50
care cases in which 118
care costs by about 41
care costs in order 52
care costs of older 256
care costs of people 131
care costs of smoking 163
care costs of treating 199
care could be found 140
care could be given 1378
care could be saved 64
care could be taken 1289
care could no longer 144
care either to write 42
care falls on women 49
care focus in moral 48
care forms the basis 103
care given by nurse 51
care given by nursing 151
care given by others 388
care given the child 361
care given to every 243
care given to older 206
care given to others 97
care given to people 244
care given to women 285
care homes in which 147
care makes it easier 123
care meets the needs 65
care might be given 163
care might be taken 3373
care model in which 170
care model of nursing 185
care money is spent 50
care needs be taken 187
care needs in order 71
care needs in rural 63
care needs of black 114
care needs of ethnic 257
care needs of frail 125
care needs of large 41
care needs of local 118
care needs of older 2330
care needs of others 97
care needs of people 1616
care needs of rural 586
care needs of women 1120
care needs of working 577
care needs to taken 106
care never to abuse 61
care never to allow 562
care never to appear 496
care never to cross 102
care never to enter 169
care never to laugh 54
care never to place 158
care never to refer 105
care never to repeat 264
care never to reveal 75
care never to rouse 54
care never to sleep 43
care never to stray 86
care never to touch 292
care never to utter 249
care never to visit 53
care never to wound 60
care never to write 92
care nurse is often 119
care nursing the wisps 62
care order the court 65
care order the local 48
care plans in order 209
care plans in which 330
care plans to cover 43
care plans to offer 110
care round the clock 53
care setting in order 134
care setting in which 915
care setting is often 190
care shall be borne 58
care shall be given 648
care shall be taken 16978
care shall be wanting 114
care since the first 68
care taken in burning 47
care taken in cleaning 52
care taken in creating 44
care taken in cutting 81
care taken in drawing 194
care taken in every 46
care taken in getting 90
care taken in keeping 126
care taken in packing 53
care taken in placing 112
care taken in setting 155
care taken in washing 42
care taken in working 102
care taken in writing 146
care taken of every 127
care taken of women 81
care taken to adapt 109
care taken to allow 94
care taken to apply 99
care taken to avert 41
care taken to avoid 8566
care taken to build 130
care taken to check 115
care taken to cover 227
care taken to create 167
care taken to guard 693
care taken to limit 40
care taken to match 100
care taken to place 526
care taken to plant 111
care taken to shake 187
care taken to train 129
care tends to focus 79
care under the child 129
care under the first 45
care under the guise 51
care under the social 388
care under the state 122
care under the terms 190
care units in nursing 367
care units in order 45
care units in which 325
care until he could 112
care until the child 244
care until the mother 165
care where he comes 425
care where he lived 334
care where he lives 258
care where he slept 242
care where he spent 46
care where it comes 1379
care where it takes 85
care where it would 120
care where the child 167
care where the chips 98
care where the money 1125
care where the water 865
care where to store 64
care where we lived 95
care where we stand 41
care which an author 56
care which he could 75
care which he gives 112
care which he might 42
care which he needs 86
care which he ought 128
care which he takes 1445
care which he would 194
care which is based 263
care which is given 1222
care which is often 328
care which is shown 47
care which is taken 3981
care which is which 172
care which it might 70
care which it needs 47
care which it takes 95
care which it would 406
care which so often 114
care which the author 290
care which the child 405
care which the court 50
care which the father 81
care which the human 49
care which the mother 244
care which the nurse 152
care which the owner 53
care which the people 61
care which the queen 50
care which the state 203
care which the widow 41
care which the woman 53
care which the women 145
care which we could 45
care which we ought 58
care while en route 98
care while the child 182
care while the mother 622
care while the order 58
care while the woman 56
care within the acute 107
care within the child 108
care within the first 723
care within the group 124
care within the nursing 190
care within the region 62
care within the scope 354
care within the social 189
care within the state 163
care would be about 48
care would be based 131
care would be found 56
care would be given 890
care would be quite 195
care would be taken 10932
care would be under 48
care would no doubt 60
care would no longer 123
caring about the child 250
caring about the danger 78
caring about the human 154
caring about the issue 61
caring about the lives 132
caring about the money 139
caring about the needs 678
caring about the noise 95
caring about the others 59
caring about the people 1182
caring about the place 49
caring about the reason 47
caring about the social 68
caring about the sound 83
caring about the state 88
caring about the weather 43
caring about the whole 254
caring about the woman 93
caring about the world 698
caring either to renew 128
caring group of people 230
caring where it would 63
cars after the first 58
cars began to appear 397
cars began to climb 46
cars began to drive 81
cars built in japan 59
cars built to carry 67
cars could be built 260
cars could be drawn 100
cars could be easily 54
cars could be found 136
cars could be hired 49
cars could be moved 107
cars could be taken 119
cars could be taxed 47
cars could no longer 192
cars drawn by mules 366
cars drawn by small 48
cars drawn by white 52
cars lined the curbs 72
cars lined up waiting 74
cars moved on again 45
cars owned by others 65
cars owned by people 74
cars owned or leased 116
cars passing in front 61
cars passing the house 48
cars right in front 92
cars running on rails 184
cars since the first 47
cars sitting in front 147
cars stood in front 365
cars taken in trade 315
cars under the trees 73
cars until he found 92
cars until the train 42
cars waiting in front 173
cars waiting to board 166
cars waiting to cross 204
cars waiting to drive 55
cars waiting to enter 198
cars which he could 40
cars which he drove 44
cars while en route 64
cars while in motion 364
cars while the train 229
cars within the state 402
cars would be about 52
cars would be added 43
cars would be built 194
cars would be lined 51
cars would be moved 55
cars would be running 129
cars would be taken 63
cars would be towed 44
cars would be under 41
cars would be waiting 118
cars would no longer 263
cart drawn by eight 125
cart drawn by mules 287
cart drawn by white 148
cart draws the horse 302
cart holding the reins 47
cart loads of books 42
cart loads of goods 59
cart loads of human 42
cart loads of stone 53
cart might as easily 96
cart pulling the horse 46
cart pulls the horse 48
cart right in front 106
cart stood in front 53
cart while the horse 52
case about the input 66
case about the right 307
case about the value 53
case about the world 194
case above in which 147
case above the altar 40
case above the level 59
case after the action 57
case after the child 99
case after the civil 236
case after the close 74
case after the court 318
case after the crime 215
case after the defeat 91
case after the entry 84
case after the event 209
case after the final 64
case after the first 1474
case after the fourth 43
case after the lapse 161
case alone it would 48
case arise in which 269
case arising in texas 75
case arising in which 51
case arising or filed 44
case arose in texas 58
case arose in which 871
case asked the court 55
case based on breach 53
case based on either 86
case based on facts 94
case based on serial 45
case based on state 61
case basis in light 748
case basis in order 723
case basis in terms 135
case basis in which 139
case basis to avoid 44
case began in april 46
case began in march 70
case began on april 41
case began on march 50
case began to appear 116
case began to spread 53
case brick by brick 40
case cited by cited 104
case cited by judge 112
case cited in table 62
case cited in which 123
case cited or which 130
case cited the court 297
case comes on again 70
case comes to court 2910
case comes to light 297
case comes up again 161
case comes up where 43
case could be anything 57
case could be based 167
case could be built 477
case could be cited 809
case could be cured 75
case could be drawn 112
case could be easily 183
case could be either 327
case could be filed 202
case could be found 1485
case could be fully 150
case could be given 187
case could be known 41
case could be moved 58
case could be quite 61
case could be shown 177
case could be taken 890
case could be thrown 75
case could be tried 1005
case could go either 83
case could no doubt 62
case could no longer 665
case could the house 64
case cover the whole 55
case denying the right 124
case drawing the whole 40
case either of fraud 61
case endings in latin 55
case endings of nouns 341
case endings on nouns 217
case enter the kingdom 339
case equal in value 43
case equal to about 43
case equal to unity 53
case fails to reveal 60
case fifty or sixty 41
case filed in court 119
case filed in state 134
case files in order 60
case files in which 109
case forms of nouns 642
case forms the basis 201
case forty or fifty 62
case found in favor 59
case found in which 122
case given by where 70
case given in table 259
case gives the value 47
case known as brown 124
