paced cognitive tasks in 109
pixel intensity value is 91
place additional costs on 42
place additional funds in 166
place additional items on 46
place additional loads on 53
place afterward known as 97
place altogether within the 44
place appointed shall be 83
place appointed where the 61
place arbitrary power in 43
place centuries after the 60
place contingency plans to 43
place different kinds of 492
place different meanings on 129
place different parts of 211
place different types of 674
place different value on 239
place elsewhere within the 154
place especially after the 64
place especially since the 46
place especially where the 43
place especially within the 42
place excessive loads on 46
place excessive power in 48
place excessive trust in 157
place excessive value on 150
place executive power in 127
place expressly speaking of 71
place expressly tells us 79
place extensive trust in 116
place generally about the 47
place generally after the 48
place generally known as 45
place generally where the 44
place generally within the 42
place gradually after the 53
place gradually began to 44
place gradually since the 86
place gradually under the 51
place gradually until the 49
place henceforth while he 116
place identifying marks on 55
place important words in 41
place increasingly within the 47
place intrinsic value on 364
place literally under the 48
place naturally under the 48
place naturally within the 81
place ourselves above the 374
place ourselves again in 249
place ourselves again on 81
place ourselves beneath the 141
place ourselves close to 88
place ourselves under an 90
place ourselves under the 3902
place ourselves where the 99
place ourselves where we 409
place ourselves within it 176
place ourselves within the 1524
place political power in 720
place popularly known as 123
place precisely under the 43
place precisely where it 94
place precisely within the 63
place predicate which is 122
place presently known as 42
place primarily after the 50
place primarily under the 221
place primarily within the 1012
place reasonably close to 130
place regularly within the 42
place sacrifice shall be 66
place sentinels round the 136
place somewhere about the 979
place somewhere above the 91
place somewhere below the 57
place somewhere beneath the 42
place somewhere close to 53
place somewhere under the 95
place somewhere within the 695
place telephone calls to 395
place temporary files on 65
place themselves about the 127
place themselves above it 138
place themselves above or 40
place themselves above the 3266
place themselves again in 220
place themselves below in 100
place themselves below the 252
place themselves beneath the 295
place themselves close to 354
place themselves either in 102
place themselves right in 95
place themselves round the 227
place themselves under an 385
place themselves under it 150
place themselves under my 763
place themselves under the 31068
place themselves where the 169
place themselves where we 167
place themselves within an 132
place themselves within it 205
place themselves within the 3322
place unlimited power in 127
place unlimited trust in 100
place whatsoever within the 129
place yesterday evening at 57
place yesterday evening in 66
place yesterday morning at 120
place yesterday morning in 54
placing different kinds of 154
placing different parts of 42
placing different types of 162
placing excessive trust in 75
placing garrisons where he 55
placing important words at 53
placing important words in 43
placing ourselves under the 372
placing ourselves within the 135
placing political power in 270
placing reinforcing steel in 60
placing telephone calls to 138
placing themselves above the 458
placing themselves again in 49
placing themselves apart at 81
placing themselves below the 46
placing themselves under an 112
placing themselves under the 3800
placing themselves where he 49
placing themselves within the 369
plain abdominal films in 51
plain abdominal films or 44
plain inference would be 47
plain instances where it 42
plain integrity speaks in 47
plain practical proof of 56
plain practical sense of 44
plain slumbered below me 82
plain statement about the 106
plain statement would be 42
plane polarized light as 107
plane polarized light at 252
plane polarized light be 143
plane polarized light by 715
plane polarized light in 723
plane polarized light is 3018
plane polarized light of 387
plane polarized light on 70
plane polarized light or 68
plane polarized light the 185
plane polarized light to 657
plane polarized waves of 63
plans developed under the 435
plans developed within the 129
plans previously drawn up 62
plans qualified under the 181
plans submitted under the 149
plans typically focus on 96
plant available water in 113
plant available water is 61
plant chemicals found in 60
plant chemicals known as 66
plant community could be 47
plant community found in 116
plant community growing on 48
plant community which is 123
plant community within the 47
plant community would be 49
plant compounds found in 113
plant compounds known as 45
plant described above is 62
plant different crops in 112
plant different kinds of 436
plant different types of 49
plant diversity within the 53
plant equipment which is 52
plant equipment would be 83
plant functional types in 176
plant functional types to 72
plant generally known as 64
plant installed after the 143
plant naturally lives or 61
plant nutrients added to 40
plant nutrients found in 151
plant nutrients within the 158
plant nutrients would be 53
plant operations shall be 62
plant operations would be 112
plant operators would be 40
plant ourselves again in 249
plant popularly known as 167
plant previously owned by 46
plant sometimes grown in 43
plant sometimes known as 69
plant themselves right in 91
plant themselves within the 111
plant varieties could be 64
plant varieties either by 1624
plant varieties under the 171
plant varieties within the 88
plant varieties would be 90
plate capacitor shown in 187
plate capacitor where the 46
plate capacitor which is 59
plate separation equal to 43
plate structure shown in 63
plate subducted beneath the 56
plate tectonics began to 68
plate tectonics model of 64
plate tectonics seems to 52
plate tectonics would be 51
playing character parts in 51
playing character roles in 95
playing classical music at 81
playing classical music in 168
playing classical music on 340
playing classical music or 68
playing classical music to 231
playing different kinds of 293
playing different parts in 127
playing different parts of 178
playing different roles as 124
playing different roles at 159
playing different roles in 1091
playing different roles on 69
playing different roles to 45
playing different tunes at 209
playing different tunes in 85
playing different types of 474
playing exhibition games in 102
playing important parts in 400
playing important roles as 266
playing important roles in 6653
playing leadership roles in 204
playing practical jokes at 73
playing practical jokes in 95
playing practical jokes of 68
playing practical jokes on 5841
playing practical jokes or 85
playing practical jokes to 40
playing prominent parts in 76
playing prominent roles in 429
playing secondary roles in 62
playing surrogate father to 41
playing surrogate mother to 44
plays classical music in 44
plays classical music on 113
plays continues eight or 105
plays different notes by 61
plays different parts in 125
plays different roles at 219
plays different roles in 1926
plays important parts in 57
plays important roles as 134
plays important roles in 6992
plays performed within the 88
plays practical jokes on 573
plays presented under the 46
plays published under the 315
plays witnessed within the 53
pleading ignorance about the 42
pleasing appearance which the 41
pleasing impression which the 43
pleasing prospects which my 48
pleasing sensations which the 90
pliant montezuma might be 72
plots scattered about the 49
poetic eloquence seeks to 47
poetic expression which is 126
poetic statement about the 172
poetic structure based on 41
poetic structure which is 48
poetry accordingly gives the 58
poetry naturally falls in 243
poetry published since the 47
poetry published under the 146
poetry sometimes seems to 50
point contained within the 64
point depression would be 61
point developed later in 45
point discussed later in 164
point downstream where the 124
point especially worthy of 100
point estimates based on 425
point indicated where the 252
point indicates where the 276
point precisely where the 48
point previously noted by 41
point reasonably close to 79
point somewhere about the 70
point somewhere above my 83
point somewhere above the 429
point somewhere below the 326
point somewhere short of 41
point somewhere within the 512
polar flagellum which is 52
polar functional group is 56
polar opposites exist in 79
polar opposites within the 213
polar stationary phase is 276
polling districts within the 104
polls conducted after the 178
polls conducted since the 117
posed additional threats to 45
posed different kinds of 88
poses additional risks to 55
poses different kinds of 226
poses different types of 43
posit different kinds of 41
posts scattered about the 72
pouring continued until the 45
power alignment within the 43
power amplifier based on 82
power amplifier could be 135
power amplifier driving the 75
power amplifier shown in 278
power amplifier stage is 111
power amplifier stage of 261
power amplifier where the 52
power amplifier which is 307
power amplifier would be 125
power available after the 44
power available under the 97
power available within the 454
power available would be 204
power committee headed by 49
power committee under the 109
power companies began to 240
power companies could be 77
power companies serving the 103
power companies under the 205
power companies would be 306
power conferred under the 229
power conflicts within the 239
power contained within it 96
power contained within the 500
power continued after the 60
power continued under the 43
power continued until the 143
power continues until the 169
power delivered would be 77
power developed under the 83
power developed which is 43
power developed within the 378
power developed would be 165
power estimates based on 114
power exercised under the 314
power exercised within the 194
power expressly given by 234
power expressly given in 51
power expressly given to 607
power generated could be 70
power generated within the 354
power generated would be 247
power generation based on 696
power generation began in 118
power generation began to 51
power generation could be 390
power generation might be 60
power generation plant at 68
power generation plant in 361
power generation plant is 92
power generation plant to 121
power generation since the 69
power generation under the 64
power generation units in 57
power generation where the 47
power generation which is 215
power generation within the 110
power generation would be 705
power gradually began to 137
power hierarchy within the 116
power imbalance based on 44
power imbalance within the 153
power interests within the 62
power machinery could be 45
power naturally tends to 100
power precisely equal to 63
power precisely within the 60
power previously given to 71
power producers would be 40
power production based on 251
power production could be 233
power production might be 90
power production which is 56
power production within the 58
power production would be 433
power resources could be 93
power resources under the 46
power resources within the 275
power resources would be 157
power rivalries within the 41
power structure after the 250
power structure based on 1585
power structure began to 199
power structure built on 59
power structure could be 269
power structure found in 121
power structure headed by 89
power structure known as 53
power structure makes it 42
power structure might be 135
power structure needs to 48
power structure seems to 120
power structure since the 104
power structure tends to 430
power structure under the 180
power structure where the 97
power structure which he 75
power structure which in 61
power structure which is 480
power structure which the 113
power structure within an 156
power structure within it 60
power structure within the 5641
power structure would be 690
power struggles after the 67
power struggles based on 177
power struggles could be 97
power struggles within an 44
power struggles within it 118
power struggles within the 8216
power struggles would be 69
prate eternally about to 40
press avoidance learning as 51
press complaining about the 191
press guarantee would be 69
press inquiries about the 252
press interview about the 57
press interview after the 88
press interview given by 400
press interview given in 47
press interview given on 44
press protected under the 132
press publicity about the 66
press publicity given to 227
press published lists of 45
press secretary about the 46
press secretary tried to 61
press secretary would be 58
press statement about the 155
press statement after the 114
press statement which he 56
press themselves close to 111
price advantage would be 103
price advertising could be 44
price agreement would be 42
price consumers would be 151
price contracts shall be 99
price customers would be 45
price discounts based on 183
price estimates based on 224
price forecasts based on 61
price leadership model is 47
price leadership model of 52
price leadership would be 60
price mechanism alone is 40
price mechanism based on 146
price mechanism could be 303
price mechanism fails to 279
price mechanism might be 58
price mechanism tends to 109
price mechanism which is 123
price mechanism within the 52
price mechanism works in 70
price mechanism works to 49
price mechanism would be 240
price movements after the 130
price movements based on 412
price movements could be 301
price movements might be 48
price movements shown in 63
price movements since the 112
price movements within the 378
price movements would be 453
price naturally comes to 291
price naturally rises in 285
price naturally tends to 46
price negotiation until he 45
price quotations based on 145
price quotations could be 47
price quotations given in 58
price quotations refer to 93
price quotations would be 81
price reasonably close to 128
price reductions based on 314
price reductions could be 217
price reductions given to 161
price reductions might be 81
price reductions under the 99
price reductions until the 41
price reductions would be 539
price regulation based on 144
price regulation could be 127
price regulation under the 295
price regulation would be 259
price stability after the 165
price stability based on 98
price stability could be 876
price stability might be 203
price stability seems to 115
price stability since the 133
price stability tends to 42
price stability under the 221
price stability until the 42
price stability which is 152
price stability which the 59
price stability within the 564
price stability would be 1070
price structure based on 279
price structure began to 94
price structure could be 258
price structure might be 118
price structure seems to 41
price structure tends to 122
price structure under the 42
price structure which is 391
price structure which the 300
price structure within the 286
price structure would be 599
pricing agreement within the 93
pricing mechanism based on 163
pricing mechanism would be 44
pricing practices under the 100
pricing practices within the 120
pricing structure based on 297
pricing structure which is 40
pricing structure would be 60
pride prostrate under the 52
prime candidate would be 74
prime commercial paper in 137
prime commercial paper is 55
prime commercial paper of 49
prime conductor which is 51
prime efficient cause of 104
prime ministers after the 48
prime ministers amuse us 40
prime ministers could be 56
prime ministers lived in 50
prime ministers meeting in 44
prime ministers since the 223
prime ministers under the 129
prime ministers until the 67
prime ministers would be 152
prime objective seems to 48
prime objective would be 126
prime political issue in 58
print different kinds of 105
print different parts of 107
print different types of 123
probe different parts of 129
proof presented above is 54
proof procedure based on 200
proof technique based on 43
prose narrative about the 41
prose narrative based on 66
prose narrative treating of 95
prose sentences about the 56
proud humiliation stood the 138
proud lancaster usurp my 83
prove altogether fatal to 61
prove assertions about the 52
prove beneficial alike to 45
prove beneficial either to 76
prove certainly fatal to 63
prove difficult given the 129
prove difficult since the 71
prove important later in 98
prove important later on 212
prove instantly fatal to 59
prove necessary after the 42
prove ourselves equal to 361
prove ourselves worthy by 45
prove ourselves worthy of 2656
prove ourselves worthy to 176
prove perfectly hardy in 76
prove themselves adept at 52
prove themselves equal in 54
prove themselves equal to 895
prove themselves fools by 49
prove themselves loyal to 118
prove themselves quite as 130
prove themselves right in 42
prove themselves unfit to 77
prove themselves willing to 95
prove themselves within the 69
prove themselves worthy by 139
prove themselves worthy in 106
prove themselves worthy of 6919
prove themselves worthy the 60
prove themselves worthy to 437
proving defective while in 92
proving documents given by 49
proving ourselves worthy of 126
proving themselves equal to 152
proving themselves willing to 44
proving themselves worthy of 669
proving themselves worthy to 56
proxy statement filed by 112
proxy statement filed in 331
proxy statement meeting the 440
proxy statement shall be 182
proxy statement under the 162
proxy statement would be 65
pulling practical jokes on 110
pulpy substance under the 72
pulpy substance which is 45
pulse amplitude could be 41
pulse amplitude which is 51
pulse generator based on 61
pulse generator could be 59
pulse generator shown in 55
pulse generator which is 170
pulse generator would be 47
pulse propagating within the 142
pulse repetition period is 369
pulse repetition period of 201
pulse repetition rates in 154
pulse repetition rates of 818
pulse repetition rates up 225
pulse separation equal to 133
pulse sequences shown in 71
pumping continues until the 44
pumping irrigation water in 70
pumps endlessly pumping an 51
pupil contracts under the 56
putting different kinds of 167
putting different parts of 78
putting different types of 130
putting ourselves under the 352
putting political power in 58
putting themselves above the 189
putting themselves under the 2126
putting themselves within the 52
putting witnesses under the 60
