paired presentations of light 57
public demonstration in front 60
public demonstration in honor 112
public demonstration in order 45
public demonstration in paris 50
public demonstration in which 160
public demonstration of feeling 149
public demonstration of grief 168
public demonstration of piety 49
public demonstration of power 58
public distributions of grain 133
public expenditures in favor 63
public expenditures in order 222
public expenditures in rural 53
public expenditures in social 64
public expenditures in terms 56
public expenditures on basic 50
public expenditures on goods 208
public expenditures on housing 68
public expenditures on roads 80
public expenditures on social 545
public functionaries of every 121
public improvements by which 84
public improvements in order 57
public improvements in which 41
public improvements of every 119
public improvements to which 97
public indebtedness of porto 44
public indifference to anything 59
public irrespective of caste 41
public manifestation of feeling 276
public manifestation of grief 58
public manifestation of jesus 69
public manifestation of which 78
public organizations in order 82
public organizations in terms 43
public organizations in which 76
public organizations of every 55
public organizations of working 40
public organizations to which 53
public participation at every 59
public participation by women 116
public participation in adult 118
public participation in civic 131
public participation in civil 50
public participation in crime 224
public participation in every 40
public participation in housing 48
public participation in large 41
public participation in local 842
public participation in major 87
public participation in order 129
public participation in power 85
public participation in rural 56
public participation in setting 298
public participation in shaping 116
public participation in social 241
public participation in state 290
public participation in stock 126
public participation in terms 58
public participation in urban 271
public participation in water 701
public participation in which 48
public participation is often 81
public participation is still 67
public participation of women 342
public performances at which 61
public performances by women 64
public performances in order 59
public performances in paris 49
public performances in which 191
public performances of dance 56
public performances of music 414
public performances of opera 97
public performances of plays 246
public performances of sound 351
public performances of works 469
public protestations of henry 62
public sufficiently to defeat 173
public thoroughfares of towns 67
public universities in japan 88
public universities in kenya 191
public universities in latin 59
public universities in texas 395
pupils unresponsive to light 190
purely intellectual or moral 154
pursue continuously the exact 73
