year after arriving in paris 47
you might decide to offer 53
you might decide to place 98
you might decide to share 46
you might decide to spend 136
you might decide to start 118
you might decide to store 51
you might decide to study 60
you might decide to write 233
you might desire to visit 81
you might divide the class 95
you might expect at first 63
you might expect it would 51
you might expect to spend 94
you might prefer to avoid 129
you might prefer to begin 47
you might prefer to change 47
you might prefer to create 152
you might prefer to spend 124
you might prefer to start 109
you might prefer to stick 49
you might prefer to write 103
you might regret it later 94
you might travel the world 40
you money enough to carry 56
you never answer the phone 44
you never forget the first 82
you never intend to marry 138
you never learned to write 57
you never listen to anything 100
you never needed to worry 41
you never return my calls 47
you never return to claim 58
you never thought it could 55
you never thought it would 190
you never thought of anything 86
you never thought of getting 99
you never thought of looking 80
you never thought of putting 43
you never thought of writing 57
you never wanted to marry 147
you offer something of value 46
you often charge as madly 66
you order something to drink 43
you ought always to carry 123
you ought simply to abide 49
you please answer the phone 48
you please convey my thanks 63
you please excuse me while 42
you please inform me where 54
you press return or enter 352
you rather choose the rural 57
you really desire to serve 45
you really intend to carry 47
you really intend to marry 100
you really intend to write 42
you really needed the money 54
you really refuse to marry 77
you really should be looking 57
you really wanted to change 72
you really wanted to marry 146
you really wanted to start 40
you really wanted to study 41
you really wanted to write 56
you shall always be bored 61
you shall always be fools 56
you shall ascend the throne 41
you shall become the mother 44
you shall extend to every 96
you shall indeed be right 112
you shall scarce or never 48
you shall select the women 46
you shall verify the facts 44
you sitting across the table 54
you sleep better at night 1334
you sleep through the night 602
you slept through the night 87
you slept through the whole 115
you slide behind the wheel 53
you sober enough to drive 41
you stand before the altar 290
you stand before the class 63
you stand before the judge 92
you stand before the people 76
you stand before the throne 114
you stand before the world 74
you start across the field 88
you still behave in dancing 72
you still insist on calling 88
you still insist on keeping 69
you still intend to marry 113
you still refuse to marry 45
you still refuse to trust 47
you still wanted to marry 59
you stood before the altar 63
you strong enough to carry 155
you strong enough to fight 46
you strong enough to stand 272
you strong enough to tempt 64
you visit sister as often 79
you waded through the first 60
you walking through the woods 50
you which number to press 73
you would accept an offer 52
you would accept my offer 96
you would accept of grace 65
you would accept the offer 129
you would accept the place 40
you would advise me about 43
you would always be known 40
you would answer the phone 57
you would become the slave 45
you would before the wedding 45
you would charge me withal 85
you would choose the first 57
you would choose the right 41
you would choose to marry 76
you would choose to share 43
you would choose to spend 92
you would convey my thanks 46
you would desire to avoid 68
you would direct me where 60
you would divide the total 106
you would expect it would 48
you would expect the author 47
you would expect the first 49
you would expect the price 140
you would expect the value 41
you would expect to appear 67
you would expect to occur 164
you would expect to spend 59
you would follow in order 87
you would follow the steps 63
you would follow to create 91
you would forbear to trade 42
you would hardly be aware 46
you would inform me where 42
you would listen to music 51
you would listen to reason 431
you would prefer the quiet 48
you would prefer to avoid 351
you would prefer to change 60
you would prefer to create 64
you would prefer to share 45
you would prefer to sleep 49
you would prefer to spend 207
you would prefer to start 62
you would prefer to visit 53
you would prefer to write 132
you would punish the sober 55
you would refuse to admit 122
you would refuse to marry 65
you would return to paris 45
you would select the first 59
you would sooner or later 930
