yard peg she faced round 148
young men and women dance 565
young men and women dancing 314
young men and women drawn 126
young men and women drift 109
young men and women either 182
young men and women engage 69
young men and women enter 310
young men and women every 145
young men and women faced 75
young men and women first 105
young men and women flowing 46
young men and women found 398
young men and women fresh 140
young men and women gather 155
young men and women getting 77
young men and women growing 188
young men and women holding 115
young men and women joining 80
young men and women known 53
young men and women learning 61
young men and women liked 43
young men and women lived 143
young men and women looking 224
young men and women marry 219
young men and women meeting 186
young men and women might 379
young men and women mingled 40
young men and women moved 129
young men and women never 240
young men and women often 418
young men and women ought 62
young men and women passing 78
young men and women playing 85
young men and women rather 46
young men and women reaching 57
young men and women really 77
young men and women running 60
young men and women seated 83
young men and women seeking 535
young men and women serve 45
young men and women serving 134
young men and women shall 60
young men and women sharing 41
young men and women since 53
young men and women sitting 294
young men and women spend 136
young men and women spent 94
young men and women stand 105
young men and women start 103
young men and women still 351
young men and women stood 211
young men and women study 163
young men and women taken 67
young men and women talking 76
young men and women thinking 44
young men and women thrown 84
young men and women today 1208
young men and women tried 66
young men and women under 730
young men and women until 73
young men and women waiting 82
young men and women walking 228
young men and women wanting 67
young men and women where 78
young men and women which 281
young men and women while 90
young men and women whose 2100
young men and women willing 168
young men and women wishing 59
young men and women within 149
young men and women working 478
young men and women would 2149
young men and women write 50
young men had given place 62
young men ran about naked 47
young men that would court 83
young men who could drive 44
young men who could write 50
young men who stood about 48
young men who would carry 72
young men who would enter 84
young men who would fight 47
young men who would later 192
young men who would never 202
young men who would rather 95
young men who would serve 64
young men with grave faces 49
young men with round strong 54
young they are easily tamed 130
young things who climb about 116
your car and start driving 92
your car and start walking 43
your dad was talking about 43
your dear old father would 49
your fig and olive trees 47
your god are alive every 270
your hat and opening doors 73
your head and press hands 41
your head and upper chest 59
your head and upper torso 294
your head any longer about 55
your head each night makes 44
your head for hours after 57
your head has grown white 43
your men are still fresh 98
your own head above water 52
your own son jason might 45
your own with small twigs 49
your pen and start writing 69
your red and white blood 59
your son had never dared 70
your son our savior jesus 188
your zeal and skill avail 115
youth had long since faded 58
youth that she spread about 48
youth was then first named 78
youth who had first given 75
youth who had never known 76
youth who has never known 42
