yard for other matters of 90
years she gave herself to 40
years that have brought me 53
years that have brought us 58
years that have elapsed in 46
years that have elapsed the 109
years that have focused on 60
years that have slipped by 222
years that were covered by 47
years that were devoted to 55
years that will justify the 41
years they have carried on 149
years they have emerged as 169
years they have enjoyed the 54
years they have managed to 185
years they have reduced the 57
years they have refused to 82
years they have resided in 95
years they have started to 64
years they have studied the 44
years they were allowed to 362
years they were content to 83
years they were enabled to 78
years they were exposed to 62
years they were granted to 41
years they were masters of 62
years they were members of 57
years they were obliged to 252
years they were reduced to 99
years they were subject to 118
years they were together in 82
years was made between the 80
years was very similar to 48
years who were exposed to 48
years who were members of 40
years with great success by 44
years with great success in 103
years you have devoted to 52
years you have refused to 67
years you were married to 62
yeast and other sources of 42
yeast are good sources of 114
yeast are rich sources of 59
yolk are good sources of 43
young and fair maidens of 54
young and just beginning to 189
young and only beginning to 45
young and their parents in 41
young are like liquors of 123
young are more subject to 43
young are very similar to 85
young man bent forward to 41
young man came forward to 205
young man coming towards me 71
young man drew himself up 314
young man felt appealed to 57
young man felt himself so 45
young man felt himself to 40
young man from asserting the 93
young man from outside the 63
young man gave himself up 166
young man gave promise of 40
young man just arrived at 52
young man just arrived in 147
young man just because he 65
young man just beginning the 57
young man just beginning to 211
young man leaning against the 461
young man leans against the 40
young man taking account of 63
young man these objects of 55
young man threw himself at 48
young man threw himself on 107
young man took occasion to 44
young man torn between the 72
young men aged fifteen to 70
young men aged sixteen to 77
young men came forward to 216
young men came together to 46
young men come forward to 70
young men coming forward to 50
young men fall utterly to 61
young men find pleasure in 97
young men from fifteen to 219
young men from following in 57
young men from listening to 55
young men from outside the 113
young men from sixteen to 239
young men have entered the 180
young men have flocked to 53
young men just beginning the 41
young men just beginning to 87
young men leaning against the 56
young men like himself in 48
young men like himself to 73
young men look forward to 118
young men riding courses on 46
young men rode forward to 63
young men well trained in 46
young men were accused of 134
young men were advised to 129
young men were allowed to 565
young men were assumed to 116
young men were beginning to 370
young men were brought in 145
young men were brought to 235
young men were brought up 193
young men were capable of 59
young men were content to 60
young men were deserting the 48
young men were devoted to 53
young men were drafted to 105
young men were dressed in 305
young men were dressed up 143
young men were elected to 42
young men were enabled to 81
young men were exposed to 113
young men were gathered in 78
young men were gathered on 44
young men were induced by 41
young men were induced to 145
young men were indulging in 171
young men were invited to 272
young men were listening to 79
young men were members of 275
young men were obliged to 412
young men were opposed to 46
young men were ordered to 350
young men were preparing to 160
young men were present at 48
young men were returning to 47
young men were rounded up 121
young men were seduced by 42
young men were subject to 142
young men were tempted to 49
young men were trained as 172
young men were trained by 57
young men were trained in 299
young men were trained to 280
young men were trained up 90
young men were unwilling to 78
young men were victims of 48
young men were wounded to 83
young men will believe the 64
your art lies chiefly in 74
your beau just because he 66
your being gone against the 84
your death will satisfy the 44
your dog what amounts to 41
your dog will respond to 65
your god will deliver it 92
your going away depends on 45
your going into company in 128
your head back against the 200
your hot hand clutching the 54
your long legs between the 56
your new book against the 422
your new life together as 55
your not having written to 77
your own body language as 58
your own body language is 49
your own body language to 89
your own coat against the 50
your own from scratch or 60
your own good offices in 56
your own heart approve of 45
your own life according to 84
your own life because of 59
your own life depends on 135
your son have occasion to 97
your son were exposed to 40
your too just grounds of 52
your two best friends in 48
your two kind letters of 164
your way back towards the 74
your web site address in 69
your web site address on 114
your web site address to 56
your web site because it 47
youth and early manhood as 308
youth and early manhood at 106
youth and early manhood he 771
youth and early manhood in 806
youth and early manhood is 111
youth and early manhood of 734
youth and early manhood on 55
youth and early manhood the 196
youth and early manhood to 174
youth and early manhood we 56
youth and other members of 69
youth and other sections of 71
youth and their ability to 54
youth and their parents as 43
youth and their parents in 130
youth and their parents is 51
youth and their parents to 138
youth and their teachers as 43
youth and young manhood he 106
youth and young manhood in 184
youth and young manhood of 176
youth and young manhood to 40
youth and youth culture in 51
youth bear such promise as 74
youth had been allowed to 82
youth had been brought up 196
youth had been devoted to 133
youth had been exposed to 121
youth had been obliged to 62
youth had been subject to 61
youth had been trained in 53
youth had been trained to 57
youth has been brought up 73
youth has been devoted to 66
youth has been exposed to 111
youth has been trained in 58
youth hath done marvels in 52
youth was best endowed to 50
youth was coming towards us 42
youth who must inherit the 68
youth who were exposed to 56
youth who were members of 73
