macro levels of society 337
major changes in exchange 395
major changes in federal 593
major changes in financing 87
major changes in foreign 300
major changes in function 94
major changes in general 137
major changes in germany 45
major changes in habitat 53
major changes in history 151
major changes in language 101
major changes in library 49
major changes in location 54
major changes in marital 56
major changes in marketing 178
major changes in markets 41
major changes in marriage 102
major changes in material 111
major changes in medical 225
major changes in mexican 46
major changes in national 616
major changes in natural 84
major changes in network 41
major changes in official 70
major changes in operating 208
major changes in outlook 128
major changes in overall 137
major changes in patient 100
major changes in popular 58
major changes in position 87
major changes in present 184
major changes in primary 58
major changes in process 130
major changes in product 682
major changes in program 178
major changes in project 82
major changes in protein 119
major changes in quality 87
major changes in regional 188
major changes in relation 87
major changes in religion 63
major changes in research 80
major changes in respect 45
major changes in retailing 87
major changes in routine 58
major changes in schools 76
major changes in science 133
major changes in service 294
major changes in several 107
major changes in society 2500
major changes in species 192
major changes in student 67
major changes in surface 117
major changes in systems 102
major changes in taxation 104
major changes in traffic 41
major changes in welfare 286
major changes in western 258
major changes of climate 139
major changes to current 82
major changes to improve 107
major choice is between 122
major cities as atlanta 49
major cities as chicago 101
major cities as detroit 42
major cities in addition 51
major cities in america 464
major cities in between 43
major cities in britain 304
major cities in central 250
major cities in colombia 46
major cities in florida 55
major cities in germany 322
major cities in northern 271
major cities in southeast 172
major cities in southern 171
major cities in vietnam 53
major cities in western 452
major cities of america 605
major cities of ancient 42
major cities of britain 314
major cities of british 55
major cities of central 354
major cities of colombia 113
major cities of european 103
major cities of germany 388
major cities of gujarat 72
major cities of holland 65
major cities of karachi 57
major cities of montreal 49
major cities of morocco 80
major cities of northern 505
major cities of shanghai 80
major cities of southeast 278
major cities of southern 178
major cities of toronto 66
major cities of tripoli 43
major cities of vietnam 79
major cities of western 828
major cities to develop 41
major cities to promote 54
major cities to protest 70
major cities to provide 122
major cities to smaller 66
major combat in vietnam 60
major crimes of violence 329
major crisis in america 53
major crisis in british 40
major crisis in foreign 82
major crisis in western 44
major damage to buildings 138
major debate in congress 59
major debate on foreign 81
major degree of control 106
major degree of freedom 101
major degree of success 54
major divide is between 96
major duties to perform 181
major earners of foreign 254
major effect in improving 46
major effect in increasing 87
major effect of alcohol 77
major effect of dietary 41
major effect of increasing 152
major effect of insulin 117
major effect of radiation 86
major effect of vitamin 69
major effect on behavior 45
major effect on capital 97
major effect on climate 115
major effect on improving 43
major effect on increasing 55
major effect on national 66
major effect on outcome 54
major effect on overall 187
major effect on product 55
major effect on protein 49
major effect on quality 101
major effect on results 44
major effect on society 53
major effort by congress 58
major effort in research 89
major effort in support 125
major effort is devoted 151
major effort of research 65
major effort to achieve 443
major effort to acquire 108
major effort to address 195
major effort to advance 40
major effort to analyze 65
major effort to attract 272
major effort to broaden 78
major effort to capture 150
major effort to clarify 67
major effort to collect 174
major effort to control 314
major effort to convert 130
major effort to correct 261
major effort to counter 59
major effort to curtail 41
major effort to destroy 143
major effort to develop 1455
major effort to disrupt 53
major effort to educate 173
major effort to enforce 41
major effort to enhance 91
major effort to examine 98
major effort to explain 99
major effort to exploit 81
major effort to explore 99
major effort to improve 1444
major effort to include 62
major effort to increase 774
major effort to involve 92
major effort to prepare 82
major effort to present 99
major effort to prevent 246
major effort to produce 182
major effort to promote 402
major effort to protect 130
major effort to provide 559
major effort to rebuild 123
major effort to recover 67
major effort to recruit 187
major effort to reorient 45
major effort to replace 68
major effort to reshape 41
major effort to resolve 150
major effort to respond 46
major effort to restore 282
major effort to reverse 121
major effort to support 171
major effort to upgrade 208
major effort to utilize 43
major enough to require 93
major enough to warrant 136
major errors in grammar 154
major errors of omission 46
major events in british 93
major events in canadian 42
major events in chinese 56
major events in european 58
major events in history 406
major events in national 52
major events of european 66
major events of history 300
major events of national 67
major factor in achieving 1118
major factor in acquiring 75
major factor in advancing 118
major factor in affecting 178
major factor in african 91
major factor in america 187
major factor in assessing 447
major factor in assisting 73
major factor in attaining 95
major factor in balance 127
major factor in balancing 43
major factor in behavior 47
major factor in britain 183
major factor in british 678
major factor in canadian 95
major factor in capital 58
major factor in certain 75
major factor in chinese 141
major factor in chronic 83
major factor in climate 58
major factor in college 107
major factor in computing 42
major factor in control 105
major factor in current 127
major factor in decision 408
major factor in declining 120
major factor in decreasing 201
major factor in designing 152
major factor in deterring 165
major factor in dictating 57
major factor in directing 93
major factor in divorce 70
major factor in effecting 117
major factor in eliciting 57
major factor in enhancing 212
major factor in european 317
major factor in expanding 142
major factor in extending 95
major factor in failure 110
major factor in financing 138
major factor in foreign 220
major factor in fostering 275
major factor in furthering 51
major factor in general 44
major factor in germany 143
major factor in governing 78
major factor in hastening 87
major factor in hindering 62
major factor in history 75
major factor in illness 42
major factor in improving 820
major factor in increasing 2715
major factor in initiating 262
major factor in language 160
major factor in launching 66
major factor in lessening 54
major factor in library 41
major factor in location 76
major factor in marital 157
major factor in marketing 212
major factor in marriage 65
major factor in medical 76
major factor in mexican 47
major factor in modifying 71
major factor in national 392
major factor in natural 65
major factor in obesity 75
major factor in obtaining 378
major factor in operating 101
major factor in overall 170
major factor in patient 100
major factor in popular 46
major factor in postwar 55
major factor in poverty 83
major factor in preparing 113
major factor in producing 2258
major factor in product 55
major factor in program 148
major factor in project 54
major factor in prolonging 122
major factor in promoting 1366
major factor in prompting 155
major factor in providing 455
major factor in provoking 418
major factor in quality 185
major factor in reduced 142
major factor in regional 128
major factor in relapse 107
major factor in relation 81
major factor in relieving 55
major factor in rendering 47
major factor in research 93
major factor in reshaping 64
major factor in resisting 42
major factor in resolving 86
major factor in restoring 109
major factor in retaining 97
major factor in retarding 503
major factor in reversing 59
major factor in selecting 703
major factor in several 109
major factor in society 72
major factor in southern 93
major factor in species 51
major factor in student 128
major factor in success 299
major factor in suicide 124
major factor in supplying 64
major factor in support 76
major factor in tourism 52
major factor in upsetting 54
major factor in warfare 75
major factor in western 192
major factor of concern 110
major factor of national 82
major factor of success 117
major factor or factors 56
major factor to explain 77
major feature of african 57
major feature of british 310
major feature of chinese 85
major feature of chronic 42
major feature of current 89
major feature of european 251
major feature of federal 44
major feature of national 65
major feature of postwar 49
major feature of research 42
major feature of several 52
major feature of western 109
major feature of windows 58
major fields of applied 48
major fields of behavior 249
major fields of concern 49
major fields of endeavor 257
major fields of inquiry 193
major fields of national 46
major fields of natural 43
major fields of physics 74
major fields of research 789
major fields of science 599
major fields of service 51
major figure in african 101
major figure in america 56
major figure in british 675
major figure in canadian 106
major figure in chinese 184
major figure in european 205
major figure in mexican 119
major figure in national 147
major figure in popular 43
major figure in postwar 86
major figure in promoting 55
major figure in science 58
major figure in several 52
major figure in spanish 121
major figure in western 250
major findings as follows 96
major findings in relation 45
major findings of previous 67
major findings of research 240
major findings of studies 113
major flight of capital 72
major forces in society 215
major forces in western 40
major global or regional 47
major groups as follows 330
major groups in america 47
major groups in society 1277
major groups of animals 2345
major groups of aquatic 119
major groups of bacteria 1304
major groups of buildings 46
major groups of diseases 170
major groups of enzymes 84
major groups of european 40
major groups of factors 534
major groups of flowering 105
major groups of foreign 147
major groups of fossils 61
major groups of insects 255
major groups of islands 125
major groups of mammals 489
major groups of mankind 244
major groups of muscles 233
major groups of natural 70
major groups of neurons 59
major groups of organic 328
major groups of persons 52
major groups of players 70
major groups of primary 125
major groups of reactions 42
major groups of related 61
major groups of society 71
major groups of sources 50
major groups of species 273
major groups of steroid 44
major groups of studies 67
major groups of viruses 273
major groups of workers 257
major groups of writers 60
major groups or classes 162
major horror of history 49
major hurdle in achieving 66
major hurdle to achieving 44
major impact in britain 41
major impact in improving 78
major impact in increasing 71
major impact in promoting 68
major impact of divorce 44
major impact of european 40
major impact of federal 46
major impact on african 99
major impact on america 97
major impact on behavior 131
major impact on britain 52
major impact on british 479
major impact on canadian 128
major impact on capital 129
major impact on certain 62
major impact on chinese 327
major impact on climate 96
major impact on coastal 42
major impact on college 117
major impact on company 89
major impact on current 219
major impact on decision 168
major impact on european 212
major impact on federal 101
major impact on foreign 321
major impact on general 75
major impact on history 65
major impact on improving 297
major impact on increasing 108
major impact on judicial 40
major impact on language 157
major impact on library 70
major impact on marketing 291
major impact on medical 147
major impact on national 473
major impact on natural 65
major impact on network 64
major impact on outcome 109
major impact on overall 448
major impact on patient 445
major impact on popular 94
major impact on postwar 44
major impact on poverty 212
major impact on present 52
major impact on private 89
major impact on product 262
major impact on profits 78
major impact on program 64
major impact on project 101
major impact on quality 696
major impact on regional 185
major impact on research 293
major impact on results 93
major impact on schools 79
major impact on science 82
major impact on service 183
major impact on several 135
major impact on society 1310
major impact on student 200
major impact on studies 92
major impact on success 60
major impact on tourism 63
major impact on welfare 40
major impact on western 416
major impact on workers 56
major income is derived 46
major inflow of foreign 85
major influx of capital 41
major influx of chinese 126
major influx of european 59
major influx of foreign 239
major injury or illness 89
major injury or surgery 72
major inputs of capital 59
major issues in british 133
major issues in canadian 41
major issues in current 124
major issues in designing 134
major issues in dispute 399
major issues in federal 55
major issues in foreign 169
major issues in language 115
major issues in national 119
major issues in relation 213
major issues in research 83
major issues in society 73
major issues of british 49
major issues of concern 1760
major issues of current 215
major issues of dispute 121
major issues of european 134
major issues of foreign 744
major issues of general 85
major issues of national 547
major issues of regional 55
major issues of research 81
major issues of society 68
major issues to address 183
major issues to discuss 58
major issues to resolve 70
major killer of infants 105
major levels of decision 47
major levels of language 50
major matter of concern 248
major matter of dispute 45
major measure of success 89
major medium of exchange 296
major methods of assessing 40
major methods of control 72
major methods of financing 50
major methods of obtaining 104
major methods of producing 115
major methods of providing 62
major methods of research 82
major models of decision 46
major muscle is divided 115
major muscle is exposed 76
major nations of western 477
major nations to compete 69
major nerves or vessels 82
major object of british 131
major object of concern 148
major object of inquiry 58
major object of research 89
major object of worship 44
major orders of insects 232
major orders of mammals 80
major outlay of capital 71
major owners of capital 53
major pathway of glucose 184
major periods in history 51
major periods in western 87
major periods of drought 46
major periods of egyptian 64
major periods of european 75
major periods of history 130
major periods of western 83
major pieces of capital 44
major pieces of federal 646
major pieces of national 82
major pieces of research 564
major pillar of support 88
major places of worship 78
major player in canadian 46
major player in central 86
major player in european 214
major player in foreign 67
major player in national 181
major player in promoting 72
major player in providing 69
major player in regional 114
major player in several 49
major points as follows 57
major points in dispute 141
major points in support 61
major points of arrival 45
major points of concern 404
major points of contact 488
major points of decision 87
major points of dispute 368
major points of division 46
major points of friction 192
major points of weakness 77
major points to support 43
major policy of congress 52
major policy or program 65
major portion is carried 51
major portion is covered 43
major portion is derived 52
major portion is devoted 173
major portion of america 120
major portion of british 180
major portion of calcium 58
major portion of canadian 134
major portion of capital 201
major portion of central 245
major portion of chapter 341
major portion of chinese 103
major portion of control 44
major portion of current 183
major portion of dietary 84
major portion of european 141
major portion of exports 112
major portion of federal 296
major portion of foreign 293
major portion of general 50
major portion of germany 105
major portion of imports 85
major portion of mankind 318
major portion of material 90
major portion of medical 108
major portion of national 182
major portion of natural 66
major portion of northern 309
major portion of operating 80
major portion of organic 83
major portion of overall 67
major portion of present 95
major portion of primary 70
major portion of private 74
major portion of product 47
major portion of profits 86
major portion of protein 127
major portion of radiation 52
major portion of research 433
major portion of revenue 187
major portion of society 130
major portion of southern 112
major portion of support 41
major portion of traffic 65
major portion of variance 191
major portion of western 239
major powers in general 66
major powers in northeast 207
major powers in southeast 161
major powers in western 118
major powers of decision 104
major powers of northeast 51
major powers of western 644
major powers to control 62
major powers to enforce 75
major powers to protect 40
major powers to provide 51
major powers to support 82
major public or private 285
major reasons to believe 40
major reasons to explain 64
major reasons to support 65
major reform of federal 78
major reform of welfare 42
major regions of germany 49
major regions of thailand 90
major release of radiation 56
major release of windows 76
major review of british 66
major review of canadian 109
major review of company 53
major review of current 41
major review of foreign 49
major review of national 55
major review of research 447
major review of studies 91
major rivers in southern 59
major rivers of america 51
major rivers of central 108
major rivers of northern 105
major rivers of southeast 60
major rivers of southern 98
major rivers of western 96
major rivers to provide 41
major section in chapter 48
major section is devoted 305
major section of chapter 168
major section of society 100
major section or chapter 65
major sector of society 199
major series of attacks 66
major series of paintings 133
major series of reforms 51
major series of reports 47
major series of research 46
major series of sections 40
major series of strikes 46
major series of studies 251
major shifts in behavior 60
major shifts in capital 51
major shifts in chinese 45
major shifts in climate 163
major shifts in culture 46
major shifts in federal 97
major shifts in foreign 237
major shifts in national 162
major shifts in program 45
major shifts in society 61
major shifts in species 77
major shifts in western 42
major source as defined 74
major source is defined 65
major source of acidity 49
major source of adrenal 43
major source of adverse 52
major source of aesthetic 58
major source of african 91
major source of alcohol 48
major source of america 120
major source of amniotic 139
major source of ancient 51
major source of anxiety 1849
major source of arsenic 178
major source of arterial 46
major source of bacteria 87
major source of balance 132
major source of bauxite 87
major source of behavior 50
major source of benefit 79
major source of benzene 79
major source of borrowing 188
major source of britain 63
major source of british 337
major source of cadmium 170
major source of calcium 726
major source of canadian 71
major source of capital 6251
major source of central 209
major source of certain 90
major source of chinese 193
major source of choline 48
major source of chronic 145
major source of cleavage 86
major source of coastal 50
major source of cocaine 54
major source of cohesion 108
major source of college 41
major source of colonial 97
major source of comfort 330
major source of company 80
major source of complex 54
major source of concern 4550
major source of contact 146
major source of content 208
major source of control 697
major source of creative 139
major source of culture 65
major source of current 491
major source of decision 64
major source of decline 50
major source of defects 108
major source of deficit 41
major source of demands 47
major source of deviation 84
major source of diamonds 110
major source of dietary 982
major source of discord 316
major source of dispute 360
major source of dissent 74
major source of division 399
major source of dollars 75
major source of economy 56
major source of egyptian 52
major source of election 43
major source of emission 80
major source of enzymes 48
major source of ethylene 48
major source of european 191
major source of exchange 236
major source of expense 131
major source of exports 263
major source of factual 48
major source of faculty 43
major source of failure 431
major source of fatigue 159
major source of federal 1169
major source of finance 4301
major source of financing 4138
major source of foreign 12557
major source of friction 2559
major source of general 216
major source of genetic 391
major source of glucose 475
major source of harmful 72
major source of highway 45
major source of illegal 194
major source of illicit 170
major source of illness 378
major source of imagery 65
major source of impetus 79
major source of imports 494
major source of increase 230
major source of increasing 175
major source of insight 269
major source of insulin 78
major source of islamic 170
major source of language 84
major source of leisure 71
major source of locally 60
major source of machine 43
major source of marital 391
major source of marketing 105
major source of material 1899
major source of medical 321
major source of mercury 729
major source of migrant 94
major source of mineral 351
major source of musical 63
major source of national 1074
major source of natural 1074
major source of network 109
major source of nitrate 451
major source of nitrous 151
major source of obsidian 132
major source of official 143
major source of opacity 97
major source of operating 239
major source of organic 653
major source of outside 245
major source of overall 91
major source of overhead 177
major source of overseas 125
major source of patient 269
major source of payment 124
major source of pleasure 864
major source of popular 286
major source of potable 254
major source of poverty 286
major source of precious 44
major source of present 106
major source of primary 644
major source of private 967
major source of problem 180
major source of process 63
major source of product 344
major source of profits 470
major source of program 101
major source of project 102
major source of protein 3457
major source of providing 41
major source of psychic 104
major source of quality 305
major source of radiation 300
major source of radical 74
major source of reactive 114
major source of reduced 161
major source of regional 285
major source of regular 57
major source of reliable 88
major source of research 1370
major source of reserve 63
major source of revenue 32371
major source of reviews 42
major source of rewards 55
major source of scatter 52
major source of seasonal 94
major source of sensory 88
major source of service 96
major source of several 122
major source of skilled 101
major source of soluble 69
major source of spanish 51
major source of stories 43
major source of student 227
major source of subject 59
major source of success 68
major source of suffering 376
major source of sulfate 151
major source of support 5644
major source of surface 239
major source of surplus 452
major source of taxation 100
major source of teachers 69
major source of tensions 137
major source of tourism 106
major source of tourist 98
major source of traffic 220
major source of trained 169
major source of trouble 1731
major source of tungsten 46
major source of uranium 404
major source of urinary 79
major source of variance 1083
major source of variation 2168
major source of variety 73
major source of venereal 121
major source of venture 267
major source of village 47
major source of violence 343
major source of vitamin 1659
major source of weakness 707
major source of welfare 219
major source of western 354
major source of workers 99
major source of written 107
major source or sources 77
major source to connote 49
major soviet or chinese 290
major speech in chicago 52
major speech in congress 66
major speech in january 50
major speech in support 97
major speech on foreign 295
major speech on vietnam 161
major speech to congress 93
major sports in america 62
major states of germany 46
major states of western 524
major strand of research 114
major streams of research 220
major street or highway 97
major strike or lockout 40
major styles of parenting 60
major symbol of national 73
major target of research 73
major tenets of catholic 165
major tension is between 51
major theories of deviance 49
major theories of justice 125
major theories of language 471
major theories of physics 72
major theories to account 45
major theories to explain 212
major thrusts of current 51
major thrusts of research 50
major topics as follows 49
major topics of chapter 56
major topics of concern 318
major topics of current 75
major topics of research 213
major trauma or surgery 392
major trends in african 41
major trends in british 86
major trends in chinese 48
major trends in current 104
major trends in european 207
major trends in national 49
major trends in postwar 77
major trends in research 142
major trends in science 43
major trends in society 193
major trends in western 202
major trends of european 43
major trends of history 44
major trends of research 62
major values of society 56
major version of windows 94
major writer in america 46
maker looked up gravely 90
maker should be familiar 42
maker wishes to achieve 48
makes almost no attempt 210
makes almost no demands 76
makes almost the circuit 47
makes answer as follows 119
makes better the bargain 92
makes changes to improve 61
makes clearer the relation 56
makes diamond the hardest 46
makes english the official 72
makes enough to support 134
makes errors of omission 52
makes france the natural 94
makes grants to private 52
makes grants to schools 46
makes grants to support 91
makes itself so strongly 57
makes itself the champion 48
makes itself the content 49
makes itself the servant 70
makes itself the supreme 40
makes judges the supreme 56
makes mention of certain 228
makes mention of himself 97
makes mention of several 893
makes plenty of potatoes 86
makes public the private 69
makes public the results 65
makes something an artwork 60
makes something of himself 179
makes speech do service 110
makes square the eternal 264
makes virtue an outcast 58
makes virtue the servant 56
makes virtue the supreme 48
makes virtue to consist 82
makes visits to country 43
makes vulgar the tragedy 47
makes yields no pleasure 68
males assist the females 71
males becoming the parents 63
males before the females 116
males desert the females 68
males engaged in gainful 69
males exceed the females 538
males follow the females 93
males instead of females 166
males number of females 203
males pursue the females 105
males raised as females 54
males should be allowed 77
males should be present 55
males should be removed 78
males showed an increase 78
males showed the greatest 49
males showed the highest 68
males tended to increase 69
malls across the country 625
malls around the country 330
manic phases of bipolar 231
manly enough to believe 47
manly enough to confess 132
manly policy of increasing 57
manly school of science 228
manly spirit of ancient 62
manly spirit of freedom 302
manly spirit of inquiry 57
manly sports of wrestling 62
manly strength of purpose 40
manly system of federal 92
manly virtue of courage 62
manor houses or castles 56
manor passed by marriage 152
manor without the consent 51
mapping across the fragile 66
mapping inputs to outputs 191
mapping should be carried 78
march across the balkans 251
march across the borders 104
march across the central 95
march across the country 5270
march across the deserts 206
march across the flooded 56
march across the florida 252
march across the jerseys 246
march across the marshes 141
march across the northern 135
march across the pacific 331
march across the potomac 177
march across the prairie 246
march across the southern 115
march across the steppes 167
march across the surface 42
march around the federal 178
march around the grounds 45
march around the kitchen 43
march around the northern 48
march around the outside 71
march around the southern 40
march around the streets 105
march around the village 272
march marked the beginning 98
march onward to victory 85
march should be resumed 47
march through an unknown 353
march through the african 100
march through the ancient 187
march through the austrian 47
march through the balkans 261
march through the british 118
march through the capital 570
march through the catholic 63
march through the central 108
march through the country 7045
march through the crowded 77
march through the defiles 346
march through the deserts 332
march through the forests 874
march through the grounds 51
march through the history 102
march through the hostile 274
march through the interior 618
march through the jerseys 1100
march through the largely 87
march through the marshes 144
march through the neutral 54
march through the northern 482
march through the pathless 218
march through the prairie 121
march through the prussian 110
march through the sectors 59
march through the southern 468
march through the spacious 64
march through the spanish 48
march through the streets 19378
march through the ukraine 55
march through the unknown 189
march through the valleys 44
march through the village 1494
march through the western 312
march toward an unknown 40
march toward the british 42
march toward the capital 1428
march toward the highest 42
march toward the horizon 50
march toward the interior 207
march toward the mexican 98
march toward the northeast 50
march toward the pacific 163
march toward the potomac 141
march toward the present 53
march toward the southeast 91
march toward the village 307
march toward the western 49
mares failed to produce 118
marking should be adopted 58
marks across the forehead 45
marks across the surface 82
marks around the material 59
marks around the outside 68
marks around the passage 48
marks inside or outside 178
marks instead of italics 241
marks neither the beginning 118
marks should be aligned 67
marks should be applied 63
marks should be avoided 161
marks should be awarded 213
marks should be checked 96
marks should be entered 47
marks should be exactly 42
marks should be located 74
marks should be measured 63
marks should be omitted 153
marks should be removed 306
marks should be visible 66
marks should be written 60
marks without the consent 53
marry anyone he chooses 41
marry someone of similar 99
marry without an express 46
marry without my consent 1348
marry without or against 53
marry without the consent 11429
marry without the emperor 57
marry without the express 117
marry without the parents 57
marry without the payment 52
marry without the previous 60
marry without the sanction 54
masking effect of ambient 124
masks through the streets 47
mason glared at mankind 53
match should be applied 71
match should be arranged 58
match sounds to letters 165
match without the consent 56
mater around the orifice 44
mater should be removed 93
matting served as carpeting 64
maxim should be applied 183
maybe monday or tuesday 48
maybe proper to observe 42
maybe something in between 73
maybe stated as follows 171
maybe twelve or fifteen 230
maybe twelve or thirteen 1038
maybe twelve to fifteen 193
mayor should be allowed 53
mayor should be elected 178
meadow behind the village 45
meadow beyond the orchard 91
meadow toward the highway 63
meager amount of material 76
meager amount of research 103
meager supply of capital 49
meager volume of capital 41
meaner object of pursuit 76
meaner opinion of himself 72
meaner tribes of animals 54
meanings behind the symbols 84
meanings beyond the literal 485
meanings beyond the surface 187
meanings depend on context 48
meanings shared by members 161
meanings should be avoided 101
meanings should be defined 44
meanings stated in history 40
meanings through the process 81
meanings unless the context 322
meanly evaded the question 134
meanly offering the servant 90
meanly prefer to palliate 51
meanly submit to slavery 46
medal should be awarded 319
medal struck in holland 65
medial border is concave 87
medial border of humerus 43
medial border of patella 101
medial border of scapula 1251
medial nuclei of thalamus 50
median amount of schooling 162
median filter is applied 155
median income of african 297
median income of college 294
median income of couples 75
median income of elderly 211
median income of females 70
median income of husband 97
median income of married 662
median income of mexican 253
median income of parents 63
median income of persons 196
median income of renters 96
median income of spanish 171
median income of workers 70
median member of congress 112
median number of clients 57
median number of correct 141
median number of courses 141
median number of letters 72
median number of members 79
median number of minutes 191
median number of persons 569
median number of previous 68
median number of sessions 252
median number of species 59
median number of teachers 173
median number of volumes 91
median number of workers 62
median salary of teachers 97
median septum is present 282
meeting across the country 66
meeting agenda in advance 152
meeting agreed to support 79
meeting around the country 41
meeting around the kitchen 117
meeting before the arrival 50
meeting before the beginning 98
meeting before the council 114
meeting before the election 434
meeting before the general 93
meeting before the outbreak 107
meeting called by colonel 47
meeting called by general 170
meeting called by senator 40
meeting called in january 44
meeting called in support 101
meeting called to address 58
meeting called to approve 406
meeting called to condemn 57
meeting called to consult 46
meeting called to discuss 5246
meeting called to endorse 40
meeting called to examine 81
meeting called to explain 105
meeting called to express 165
meeting called to present 97
meeting called to promote 79
meeting called to protest 1342
meeting called to resolve 119
meeting called to support 86
meeting called to welcome 98
meeting failed to achieve 125
meeting failed to produce 709
meeting failed to resolve 133
meeting ground of diverse 175
meeting ground of northern 42
meeting ground of science 101
meeting ground of several 82
meeting issued an address 41
meeting issued the following 47
meeting marked the beginning 2093
meeting merely to discuss 152
meeting monthly or oftener 60
meeting monthly to discuss 141
meeting passed the following 744
meeting places to discuss 117
meeting proved the beginning 55
meeting raised the question 64
meeting reached an impasse 51
meeting reached the following 47
meeting record the following 47
meeting seemed to confirm 43
meeting should be allowed 176
meeting should be arranged 2212
meeting should be avoided 79
meeting should be brought 74
meeting should be carried 54
meeting should be chaired 80
meeting should be decided 62
meeting should be delayed 132
meeting should be devoted 366
meeting should be invited 52
meeting should be limited 156
meeting should be planned 245
meeting should be private 91
meeting should be written 73
meeting something so wistful 145
meeting weekly to discuss 283
meeting without the consent 348
meets across the country 70
meets around the country 73
meets monthly to discuss 612
meets weekly to discuss 534
melting feelings to rational 49
melting points in degrees 45
melting points of certain 294
melting points of mercury 41
melting points of organic 264
melting points of samples 63
melting points of several 586
memos should be written 49
menial duties to perform 79
menus across the country 84
menus should be planned 115
mercy awaken the glories 74
mercy instead of justice 211
mercy instead of vengeance 49
mercy obtain the removal 75
mercy should be fetched 40
mercy should be granted 61
mercy should be limited 106
mercy through the mediation 146
mercy through the mediator 86
mercy through the streets 45
merge prussia in germany 45
merit accruing on account 54
merit enough to attract 100
merit enough to deserve 391
merit enough to entitle 87
merit enough to justify 116
merit enough to warrant 86
merit praise or censure 67
merit reward or deserve 53
merit seemed to consist 56
merit should be allowed 62
merit should be awarded 121
merit should be chiefly 67
merit should be measured 45
merit system as applied 45
merit system in federal 45
merit system in selecting 47
merit system of selecting 247
merry answer the question 40
merry gathering of rustics 46
merry knight in ireland 49
metal across the surface 41
metal around the outside 139
metal beyond the elastic 85
metal cations by hydrous 194
metal cations in solution 316
metal chairs or spacers 99
metal grains to neutral 128
metal inside the damaged 67
metal instead of plastic 137
metal needed to produce 54
metal oxides to produce 156
metal placed in contact 65
metal plates in contact 98
metal plates to prevent 101
metal plates to produce 137
metal plates to protect 142
metal screen to prevent 100
metal septum is mounted 139
metal shield to prevent 102
metal shield to protect 192
metal should be allowed 210
metal should be annealed 113
metal should be applied 80
metal should be avoided 366
metal should be brought 66
metal should be capable 44
metal should be carried 58
metal should be checked 41
metal should be covered 123
metal should be denoted 43
metal should be exposed 46
metal should be handled 66
metal should be painted 92
metal should be present 62
metal should be reduced 47
metal should be removed 547
metal should be stirred 57
metal sphere is charged 100
metal sphere of diameter 111
metal stylus in contact 52
metal through an orifice 68
metal through the surface 72
metal trades in general 47
metal uptake by hydrous 110
metal without the addition 45
meteor crater in arizona 479
meteor shower of october 59
meter inches of mercury 59
meter should be capable 72
meter should be checked 363
meter should be located 88
