of absolutely no consequence 1141
of attachment or relationship 64
of attachment to christianity 109
of attachment to conventional 113
of attachment to individuals 60
of attachment to significant 82
of attainment of conservation 51
of attainment of equilibrium 2570
of attainment or achievement 81
of attainment or proficiency 45
of attendance at conferences 158
of attendance at continuation 139
of attendance at institutions 58
of attendance at professional 168
of attendance at westminster 123
of attenuated or inactivated 41
of attributes is represented 44
of attributes of alternative 109
of attributes of individuals 142
of attributes of personality 67
of attributes of sovereignty 62
of audibility the fundamental 47
of authorities is unnecessary 88
of autocratic or authoritarian 48
of autographs of distinguished 80
of autonomous or independent 176
of backgammon is intolerable 40
of background or personality 55
of bankruptcy or foreclosure 108
of beneficent or destructive 76
of bifurcation of equilibrium 42
of biographies of distinguished 474
of biographies of individuals 86
of boyfriends or girlfriends 98
of bridgeport in connecticut 225
of brightness of illumination 46
of brotherhood in christendom 42
of bureaucracy in development 55
of businesses or corporations 52
of businesses or individuals 191
of businesses or institutions 72
of calamitous to contemplate 65
of calculation is denominated 42
of calculation is illustrated 512
of calculation of compensation 99
of calculation of probability 59
of calibration of instruments 45
of candidates by congressional 63
of candidates in competitive 53
of candidates in presidential 73
of candidates or presidential 46
of candidates to communicate 47
of candidates to participate 50
of canterbury at westminster 45
of canterbury in westminster 92
of canterbury or westminster 394
of canterbury to countenance 47
of capitalism as represented 53
of capitalism by continental 236
of capitalism in agriculture 4380
of capitalism in progressive 289
of capitalism is accompanied 85
of capitalism is accumulation 43
of capitalism is constituted 66
of capitalism is necessarily 40
of capitalism is represented 54
of capitalism is transformed 42
of capitalism is undoubtedly 63
of capitalism on agriculture 41
of capitalism to agriculture 54
of caricature or exaggeration 74
of categories of expenditure 92
of categories of individuals 327
of categories of merchandise 45
of categories of performance 44
of categories of personality 44
of categories of relationship 70
of categories of transactions 46
of categories of understanding 308
of censorship of pornography 177
of centrality or marginality 51
of ceremonies as artificially 47
of ceremonies of constantine 170
of ceremonies of purification 149
of characters in inheritance 69
of characters is represented 101
of characters is transmitted 87
of characters of irreducible 48
of characters so diversified 57
of chemically or biologically 72
of chilliness is experienced 72
of chloroform in obstetrical 44
of chloroform is recommended 67
of chromosome is represented 131
of circulation is established 80
of circulation is independent 72
of circulation of commodities 717
of circulation or distribution 71
of classicism or romanticism 44
of classified or confidential 63
of classrooms to accommodate 43
of coefficient of performance 164
of coefficient of permeability 748
of collateral in satisfaction 142
of collections of antiquities 91
of collections of individuals 404
of collections of lymphocytes 94
of collections of manuscripts 180
of collections of photographs 86
of collective or cooperative 267
of combination he appropriates 66
of combination is accompanied 66
of combination is consummated 152
of combination is illustrated 42
of combination is maintenance 160
of combination is proportional 55
of combination of enterprises 60
of commissary of subsistence 128
of commissioning an independent 44
of commissions on transactions 55
of commissions to investigate 251
of commitment by governments 80
of commitment by individuals 56
of commitment of governments 47
of commitment of individuals 44
of commitment or involvement 187
of commitment to achievement 41
of commitment to affirmative 80
of commitment to alternative 95
of commitment to christianity 251
of commitment to conservation 78
of commitment to conventional 223
of commitment to cooperative 44
of commitment to development 198
of commitment to established 67
of commitment to fundamental 103
of commitment to improvement 67
of commitment to institutions 102
of commitment to organization 60
of commitment to participate 63
of commitment to performance 149
of commitment to professional 203
of commitment to progressive 48
of commitment to scholarship 52
of commitment to sustainable 165
of commitment to understanding 148
of committees in legislative 50
of committees of pennsylvania 47
of committees of professional 45
of committees or individuals 72
of committees to investigate 1431
of commonwealth of independent 880
of commonwealth of pennsylvania 402
of comparison in anthropology 163
of comparison in comparative 56
of comparison is established 99
of comparison is illustrated 95
of comparison of alternative 125
of comparison of individuals 54
of comparison of performance 98
of comparison or illustration 111
of comparison the corresponding 222
of comparison the differences 47
of comparison to demonstrate 54
of compensating the contribution 44
of compensating the proprietors 43
of competence in adolescence 63
of competence in communicating 150
of competence in individuals 66
of competence in performance 123
of competence in professional 77
of competence in understanding 242
of competence is established 50
of competence of individuals 48
of competence or achievement 101
of competence or jurisdiction 76
of competence or performance 144
of competence or proficiency 54
of competence or understanding 41
of competence to participate 79
of competence to performance 60
of competency or proficiency 47
of competition in agriculture 206
of competition in communities 52
of competition in congressional 698
of competition in distribution 159
of competition in electricity 172
of competition in manufacturing 240
of competition in procurement 53
of competition in professional 52
of competition is established 45
of competition is illustrated 103
of competition is practically 44
of competition on individuals 46
of competition on performance 375
of competition or competitive 47
of complaints by individuals 144
of complaints of mistreatment 43
of complaints or compliments 99
of complement in inflammation 147
of complexity in manufacturing 79
of complexity in organization 100
of complexity in prehistoric 65
of complexity in understanding 190
of complexity is encountered 83
of complexity is illustrated 64
of complexity is represented 95
of complexity of civilization 41
of complexity of construction 53
of complexity of organization 874
of complexity or infrequency 50
of complexity or organization 80
of complexity or uncertainty 65
of complexity to understanding 150
of components by distillation 81
of components is illustrated 64
of components is represented 62
of components of biodiversity 125
of composition in performance 398
of composition in photography 183
of composition is illustrated 63
of composition is represented 62
of composition or construction 71
of composition or organization 42
of composition or performance 481
of composition or temperature 163
of compression is proportional 62
of compression is represented 99
of compression or condensation 115
of compression the temperature 101
of compromise or dispensation 48
of compromise or understanding 54
of compromising the differences 73
of compulsive or pathological 45
of compulsory or involuntary 62
of computation is illustrated 145
of computation is proportional 65
of computation of inheritance 54
of conceptions of citizenship 109
of conceptions of development 50
of conceptions of masculinity 156
of conceptions of sovereignty 73
of conceptual or imaginative 47
of conceptual or mathematical 40
of concessions in undeveloped 63
of concessions so destructive 43
of conciliation or adjudication 112
of concurrent or consecutive 96
of concurrent or simultaneous 85
of conditional or hypothetical 57
of conductors of electricity 215
of conference of ambassadors 147
of conference on intelligent 67
of confidence in achievement 42
of confidence in chamberlain 67
of confidence in communicating 46
of confidence in consequence 41
of confidence in conventional 62
of confidence in established 382
of confidence in governments 129
of confidence in individuals 59
of confidence in institutions 668
of confidence in legislative 67
of confidence in performance 57
of confidence in professional 256
of confidence in statistical 46
of confidence in supervisors 117
of confidence in understanding 151
of confidence is established 159
of confidence on fundamental 107
of confidence or impropriety 61
of confidence or probability 107
of confidence or satisfaction 80
of confidence or uncertainty 137
of conformity to conventional 186
of conformity to environment 103
of conformity to established 354
of conformity to expectations 84
of conjecture or probability 124
of conjugates of horseradish 48
of connections is established 63
of connections is illustrated 54
of conscience in consequence 46
of conscience in individuals 61
of conscience in pennsylvania 44
of conscience in renaissance 102
of conscience is established 112
of conscience of communities 45
of conscience of individuals 48
of conscience to individuals 44
of conscience to participate 44
of conscience to protestants 110
of conspiracy or insurrection 46
of conspiracy to assassinate 394
of conspiracy to manufacture 417
of constituting an alternative 129
of constituting an independent 191
of constituting the legislative 131
of constituting the legislature 48
of constituting the relationship 54
of constraint is continually 43
of constructing an alternative 1236
of constructing an approximate 130
of constructing an empirically 104
of constructing an equilateral 89
of constructing an explanatory 57
of constructing an independent 256
of constructing an intelligent 67
of constructing an organization 78
of constructing an underground 1209
of constructing an understanding 126
of constructing the corresponding 71
of constructing the development 44
of constructing the distribution 55
of constructing the equilibrium 47
of constructing the improvement 110
of constructing the mathematical 65
of constructing the perspective 52
of constructing the relationship 60
of consumption by individuals 171
of consumption in consequence 47
of consumption in switzerland 59
of consumption is constrained 42
of consumption is established 42
of consumption is illustrated 74
of consumption is independent 118
of consumption is necessarily 55
of consumption is proportional 59
of consumption is represented 94
of consumption of commodities 361
of consumption of electricity 489
of consumption of fertilizers 138
of consumption of individuals 62
of consumption of intoxicants 59
of consumption or consummation 42
of consumption or distribution 90
of consumption or expenditure 215
of consumption or instruments 42
of consumption to accumulation 188
of continuity in conventional 275
of continuity in cylindrical 74
of continuity in development 523
of continuity in performance 61
of continuity in personality 121
of continuity is established 149
of continuity is fundamental 51
of continuity is represented 51
of continuity of development 326
of continuity of personality 103
of continuity of proprietary 95
of continuity of relationship 130
of continuity of temperature 127
of continuity or conservation 59
of continuity or consistency 96
of continuity or development 119
of continuity or persistence 64
of continuous or categorical 44
of continuous or interrupted 394
of continuous or topological 60
of contraction in ventricular 297
of contraction is accompanied 54
of contraction is proportional 251
of contraction is transmitted 72
of contraction of longitudinal 42
of contraction of ventricular 54
of contraction or enlargement 213
of contraries in fundamental 249
of contributing to delinquency 437
of contributing to development 188
of contributing to improvement 47
of contributing to sustainable 243
of contributing to uncertainty 65
of contributing to understanding 54
of conversions to christianity 1846
of conveyance or distribution 63
of conveyance or encumbrance 99
of conveyancing by registration 104
of convictions to indictments 45
of convictions to prosecutions 56
of cooperation in agriculture 560
of cooperation in conversation 64
of cooperation in development 112
of cooperation in distributed 238
of cooperation in enforcement 58
of cooperation in humanitarian 51
of cooperation is established 129
of cooperation is exemplified 48
of cooperation is illustrated 47
of cooperation of individuals 50
of cooperation or coordination 210
of cooperation or partnership 51
of cooperation or reciprocity 95
of cooperation or understanding 64
of coordinate or subordinate 48
of coordinating the construction 56
of coordinating the development 617
of coordinating the organization 44
of corporation on distribution 83
of corporation or partnership 253
of corrections is responsible 86
of corrective or progressive 65
of correlation is established 48
of correlation is illustrated 89
of correlation is independent 46
of correlation is represented 74
of correlation is significant 142
of correlation or relationship 44
of covariances or correlations 81
of cultivation in agriculture 116
of cultivation in consequence 113
of cultivation is practically 52
of cultivation is principally 114
of cultivation or civilization 54
of cultivation or development 45
of cultivation or improvement 196
of cultivation or inhabitants 81
of cultivation or manufacture 56
of currencies by governments 49
of decrements in performance 58
of defectives in institutions 87
of deficiency the commissioner 74
of definitions of citizenship 81
of definitions of development 46
of definitions of fundamental 52
of definitions of masculinity 201
of definitions of personality 152
of definitions of sustainable 107
of definitions of terminology 44
of definitions or descriptions 284
of definitions or explanations 74
of deformation is illustrated 75
of deformation is proportional 219
of deformation is represented 66
of degradation in performance 75
of degradation is accelerated 46
of degradation is proportional 85
of degradation of environment 85
of degradation of performance 83
of dehydration on performance 63
of dehydration or electrolyte 207
of dehydration or malnutrition 227
of deliberate or inadvertent 221
of deliveries by governments 42
of deliveries of merchandise 54
of demarcation is established 149
of demarcation is obliterated 44
of democratic or authoritarian 102
of demoralizing the legislators 63
of demosthenes is intertwined 46
of denunciation as aristocrats 40
of denunciation is prospective 83
of department is responsible 114
of department of agriculture 4880
of department of anthropology 365
of department of antiquities 158
of department of biochemistry 105
of department of conservation 653
of department of construction 51
of department of dermatology 362
of department of electronics 184
of department of environment 669
of department of microbiology 229
of department of photography 131
of dependence is established 72
of dependence of individuals 45
of dependence on agriculture 547
of dependence on institutions 42
of dependence on manufacturing 63
of dependence on professional 41
of dependence on temperature 187
of dependency in relationship 41
of dependency is established 45
of dependency on agriculture 59
of dependency or delinquency 77
of depopulating the countryside 71
of deportation or cancellation 167
of deprecation or commendation 57
of depreciation at replacement 71
of depreciation of continental 43
of depreciation or amortization 942
of depreciation or replacement 41
of deprivation of citizenship 288
of description or asseveration 95
of description or illustration 97
of designation the legislature 60
of destruction as effectually 61
of destruction is proportional 46
of destruction of erythrocytes 214
of destruction of respiratory 48
of destruction or abandonment 117
of destruction or annihilation 153
of destruction or cancellation 108
of destruction or condemnation 68
of destruction or construction 57
of destruction or deterioration 80
of destruction or dilapidation 43
of destruction or inactivation 47
of destruction or preservation 55
of detachment or abandonment 61
of detachment or estrangement 1497
of detachment or involvement 42
of detachment or objectivity 96
of detectives to investigate 71
of dictatorial or authoritarian 76
of dictatorial or philosophic 69
of difference in achievement 63
of difference in constitution 41
of difference in construction 89
of difference in development 114
of difference in distribution 47
of difference in environment 83
of difference in illumination 66
of difference in individuals 44
of difference in organization 49
of difference in performance 661
of difference in personality 82
of difference in perspective 74
of difference in temperament 139
of difference in temperature 1262
of difference in understanding 131
of difference is discernible 44
of difference is established 46
of difference is fundamental 61
of difference is illustrated 81
of difference is obliterated 55
of difference is represented 50
of difference is significant 94
of difference of institutions 61
of difference of temperament 115
of difference of temperature 1891
of difference or differential 303
of difference or relationship 43
of difference or resemblance 143
of difficulty in accomplishing 92
of difficulty in administering 80
of difficulty in articulation 57
of difficulty in communicating 461
of difficulty in comprehending 144
of difficulty in concentrating 456
of difficulty in construction 48
of difficulty in demonstrating 57
of difficulty in performance 76
of difficulty in pronunciation 69
of difficulty in understanding 2693
of difficulty is encountered 330
of difficulty is experienced 231
of difficulty is illustrated 80
of difficulty of articulation 48
of difficulty of performance 110
of difficulty of understanding 136
of difficulty or controversy 91
of difficulty or uncertainty 93
of difficulty to accommodate 44
of difficulty we encountered 40
of diffraction is proportional 59
of disability in individuals 95
of disability in nonspecific 131
of disability is established 45
of discharges of electricity 72
of discipline is established 47
of discipline or convenience 264
of discipline or organization 71
of disclaimer or modification 42
of disclosure of confidential 522
of disclosure of significant 48
of disclosure to competitors 42
of discomfort is experienced 136
of discomfort or apprehension 50
of discomfort or awkwardness 47
of discomfort or uncertainty 45
of discomfort or unhappiness 229
of discontent or apprehension 105
of discontent or disaffection 107
of discouraging the accumulation 44
of discouraging the development 202
of discouraging the introduction 45
of discourses of authenticity 43
of discourses of citizenship 54
of discourses of masculinity 158
of discussions at unseasonable 57
of discussions on disarmament 40
of disentangling the complicated 54
of disentangling the intricacies 97
of dishonesty in examinations 45
of dishonesty or insincerity 57
of disloyalty or disaffection 225
of displeasure or disapproval 40
of disposition or appointment 69
of disposition or temperament 96
of disregarding the constitution 63
of disregarding the differences 44
of disruptive or destructive 73
of disruptive or disobedient 77
of dissections by christopher 84
of dissipation is proportional 47
of dissociation at equilibrium 145
of dissociation is facilitated 42
of dissociation is independent 54
of dissociation is proportional 89
of dissociation of electrolyte 168
of dissociation of personality 601
of dissociation of sensibility 258
of dissoluble or combustible 52
of dissolution as constitutes 125
of dissolution is proportional 91
of dissolution of corporations 54
of dissolution of monasteries 43
of dissolution of partnership 1598
of distinction in scholarship 54
of distinction is represented 57
of distinguishing the contribution 44
of distinguishing the differences 155
of distinguishing the fundamental 45
of distinguishing the significant 102
of distraction on performance 112
of distraction or interruption 43
of distributing the commodities 57
of divergence is proportional 40
of divergence or convergence 1226
of drowsiness or constipation 46
of duplication is unavoidable 106
of duplication of chromosomes 110
of duplication of personality 41
of duplication of statistical 62
of economists or accountants 58
of economists or sociologists 50
of economists to investigate 58
of ecosystems to disturbance 45
of educational or occupational 414
of educational or professional 221
of effeminacy or despondency 41
of efficiency in administering 46
of efficiency in agriculture 248
of efficiency in construction 59
of efficiency in distribution 147
of efficiency in manufacturing 398
of efficiency in organization 222
of efficiency in performance 198
of efficiency of distribution 60
of efficiency of organization 134
of efficiency of performance 439
of efficiency of transmission 62
of efficiency or convenience 55
of efficiency or performance 83
of elaboration or development 48
of elasticity is independent 55
of elasticity is practically 104
of elasticity is proportional 61
of elasticity is represented 71
of elasticity of anisotropic 69
of elasticity of expectations 82
of elasticity of lightweight 125
of elasticity of substitution 3281
of elasticity or flexibility 72
of elementary or intermediate 44
of elimination by substitution 183
of elimination is proportional 203
of elimination of intermediate 56
of elimination of quantifiers 64
of elimination of unnecessary 54
of elimination to substitution 59
of embodiment of ungovernable 49
of employment by contractors 53
of employment by occupational 268
of employment in agriculture 4818
of employment in competitive 61
of employment in consequence 362
of employment in construction 996
of employment in distribution 85
of employment in electronics 74
of employment in enterprises 112
of employment in equilibrium 60
of employment in independent 55
of employment in manufacture 85
of employment in manufacturing 10238
of employment in pennsylvania 45
of employment in philadelphia 167
of employment in professional 148
of employment in underground 101
of employment is accompanied 47
of employment is agriculture 54
of employment is established 168
of employment is illustrated 68
of employment is independent 48
of employment is necessarily 55
of employment is practically 40
of employment is responsible 53
of employment is significant 54
of employment is unwarranted 41
of employment of apprentices 114
of employment of handicapped 96
of employment of individuals 120
of employment of professional 189
of employment or advancement 322
of employment or appointment 682
of employment or compensation 58
of employment or continuation 389
of employment or occupational 85
of employment or opportunity 67
of employment or professional 145
of employment or remuneration 101
of employment or subsistence 217
of employment to individuals 47
of encountering the adventurous 62
of enlightening the understanding 435
of enrollment in institutions 78
of enterprise in agriculture 60
of enterprise or organization 67
of enterprise so conspicuous 40
of enterprise the opportunity 63
of entertaining it incessantly 42
of entertaining the distinguished 72
of entertaining the possibility 157
of episcopacy in connecticut 127
of equability of temperature 47
of establishing an affirmative 199
of establishing an alternative 1048
of establishing an approximate 112
of establishing an aristocracy 221
of establishing an authoritarian 60
of establishing an environment 273
of establishing an equilibrium 645
of establishing an equivalence 86
of establishing an exclusively 91
of establishing an independent 6015
of establishing an intelligent 41
of establishing an intercourse 158
of establishing an intermediate 101
of establishing an observatory 257
of establishing an occupational 45
of establishing an organization 721
of establishing an unambiguous 68
of establishing an underground 98
of establishing an understanding 351
of establishing an unequivocal 88
of establishing an unsuspected 41
of establishing it permanently 43
of establishing the affirmative 173
of establishing the approximate 168
of establishing the authenticity 540
of establishing the comparative 50
of establishing the conservation 48
of establishing the consistency 186
of establishing the constitution 304
of establishing the cooperative 48
of establishing the correctness 245
of establishing the credibility 427
of establishing the development 59
of establishing the differences 79
of establishing the differential 168
of establishing the distinctive 49
of establishing the distribution 106
of establishing the equilibrium 236
of establishing the equivalence 118
of establishing the fundamental 395
of establishing the genuineness 312
of establishing the headquarters 64
of establishing the historicity 49
of establishing the independent 115
of establishing the institutions 138
of establishing the jurisdiction 232
of establishing the legislative 43
of establishing the manufacture 173
of establishing the mathematical 100
of establishing the objectivity 105
of establishing the organization 196
of establishing the performance 79
of establishing the possibility 243
of establishing the preliminary 52
of establishing the presbyterian 143
of establishing the probability 126
of establishing the prospective 84
of establishing the relationship 1347
of establishing the sovereignty 113
of establishing the specificity 43
of establishing the statistical 54
of establishing the suitability 50
of establishing the temperature 106
of establishing the transactions 51
of establishing the trusteeship 95
of ethnography in anthropology 143
of ethnography or anthropology 51
of evaporation at atmospheric 114
of evaporation at temperature 201
of evaporation is accelerated 65
of evaporation is condensation 105
of evaporation is independent 57
of evaporation is practically 47
of evaporation is proportional 368
of evaporation of intercepted 158
of evaporation of perspiration 201
of evaporation on temperature 93
of evaporation or condensation 987
of evaporation or vaporization 89
of exaggerating the differences 225
of examination is accompanied 86
of examination or registration 59
of excellence in achievement 69
of excellence in agriculture 64
of excellence in construction 78
of excellence in deliberation 85
of excellence in development 42
of excellence in evolutionary 75
of excellence in manufacture 92
of excellence in manufacturing 147
of excellence in mathematical 157
of excellence in performance 1351
of excellence in professional 141
of excellence in scholarship 732
of excellence in workmanship 216
of excellence is established 67
of excellence of performance 250
of excellence of workmanship 85
of excellence on intelligent 126
of excellence or achievement 98
of excellence or criminality 46
of excitement he experienced 40
of excitement in anticipation 157
of excitement in consequence 152
of excitement is complicated 68
of excitement or anticipation 111
of excitement or apprehension 107
of excitement or disturbance 46
of excitement or exhilaration 84
of excitement or intoxication 126
of excitement or nervousness 97
of excitement or perturbation 123
of executives of corporations 44
of executives to participate 49
of expectancy or anticipation 76
of expectation of improvement 70
of expectation of performance 59
of expectation or anticipation 141
of expediency or convenience 320
of expediency or opportunism 42
of experience as constituted 60
of experience as distinguished 149
of experience as experienced 133
of experience as interpreted 89
of experience as necessarily 75
of experience as professional 48
of experience as represented 57
of experience by individuals 47
of experience in adjustments 55
of experience in administering 420
of experience in afghanistan 49
of experience in agriculture 249
of experience in communicating 107
of experience in competitive 44
of experience in construction 660
of experience in conventional 61
of experience in cooperative 94
of experience in development 998
of experience in electronics 106
of experience in experiments 81
of experience in independent 49
of experience in investigating 110
of experience in legislative 68
of experience in maintenance 44
of experience in manufacturing 1311
of experience in merchandising 41
of experience in organization 171
of experience in performance 175
of experience in personality 43
of experience in photography 153
of experience in professional 322
of experience in relationship 90
of experience in responsible 64
of experience in statistical 57
of experience in underground 68
of experience in understanding 396
of experience is accompanied 58
of experience is compensated 71
of experience is constituted 279
of experience is constructed 113
of experience is continually 203
of experience is established 112
of experience is experienced 44
of experience is fundamental 141
of experience is illustrated 86
of experience is independent 75
of experience is inseparable 60
of experience is interpreted 81
of experience is necessarily 167
of experience is presupposed 50
of experience is represented 142
of experience is responsible 63
of experience is significant 80
of experience is transcended 61
of experience is transformed 129
of experience is undoubtedly 43
of experience no corresponding 56
of experience of cooperative 64
of experience of development 45
of experience of independent 44
of experience of individuals 92
of experience of professional 42
of experience on development 135
of experience on performance 195
of experience or opportunity 57
of experience or probability 53
of experience or professional 48
of experience or understanding 580
of experience the fundamental 45
of experience to demonstrate 115
of experience to superintend 57
of experiencing or understanding 117
of experiencing the environment 175
of experiencing the relationship 55
of experiencing the satisfaction 70
of experiment is illustrated 135
of experiment to demonstrate 98
of explanation in anthropology 64
of explanation in evolutionary 127
of explanation is necessarily 41
of explanation is problematic 45
of explanation is represented 42
of explanation or illustration 270
of explanation or introduction 65
of explanation or modification 76
of explanation or satisfaction 58
of explanation or understanding 544
of explication or illustration 96
of exploration of alternative 65
of exploration of mississippi 70
of exploration or development 232
of exploration or exploitation 699
of explosives or inflammable 69
of expressions of condemnation 53
of expressions of disapproval 86
of expressions of personality 45
of expressions of satisfaction 133
of expressions of thankfulness 116
of expressions of uncertainty 150
of expropriating the capitalists 71
of fabrication or construction 136
of facilitating an understanding 128
of facilitating the accumulation 42
of facilitating the achievement 202
of facilitating the acquirement 104
