of ace over unadjusted 99
of all food substances 392
of all four activities 97
of all four approaches 336
of all four attributes 70
of all four candidates 96
of all four categories 707
of all four characters 245
of all four committees 50
of all four components 841
of all four continents 238
of all four conventions 73
of all four defendants 89
of all four evangelists 240
of all four generations 105
of all four horizontal 60
of all four indicators 74
of all four mechanisms 73
of all four newspapers 48
of all four nucleotides 276
of all four objectives 53
of all four parameters 269
of all four parathyroid 727
of all four populations 74
of all four principles 58
of all four properties 65
of all four quantities 57
of all four satellites 79
of all four statements 41
of all four strategies 165
of all four structures 69
of all four subclasses 87
of all four substances 264
of all four substrates 59
of all four subsystems 56
of all four techniques 48
of all four ventricles 105
of all free enterprise 117
of all free government 4807
of all free landowners 46
of all free parameters 53
of all free southerners 54
of all full professors 401
of all good architects 49
of all good attributes 69
of all good communists 62
of all good composition 273
of all good cultivation 49
of all good discipline 131
of all good economists 107
of all good fellowship 67
of all good governance 92
of all good government 7767
of all good housewives 64
of all good influences 245
of all good instruction 68
of all good journalism 46
of all good legislation 152
of all good literature 839
of all good management 99
of all good philosophy 71
of all good principles 174
of all good resolutions 159
of all good scientific 43
of all good storytelling 87
of all good translation 54
of all great associations 100
of all great businesses 40
of all great characters 142
of all great commanders 216
of all great conquerors 74
of all great convulsions 188
of all great dramatists 49
of all great historical 261
of all great industries 111
of all great innovators 55
of all great literature 1115
of all great monarchies 133
of all great personages 53
of all great politicians 70
of all great principles 152
of all great revolutions 510
of all great scientific 202
of all great scientists 67
of all great structures 47
of all great undertakings 283
of all health activities 268
of all health authorities 88
of all health facilities 308
of all health information 116
of all health professions 429
of all heart transplant 54
of all heavy industries 83
of all high explosives 134
of all high technology 59
of all holy fellowship 55
of all home industries 53
of all home productions 74
of all hopi ceremonies 56
of all ideal perfections 63
of all india conference 76
of all india importance 381
of all india management 58
of all india railwaymen 90
of all jews everywhere 248
of all jews regardless 52
of all just allowances 144
of all just conceptions 151
of all just government 1777
of all just grievances 173
of all just information 60
of all just legislation 89
of all just philosophy 46
of all just pretensions 98
of all just principles 216
of all kingly oppressions 583
of all land cultivated 141
of all laws applicable 82
of all laws derogatory 81
of all leading characters 157
of all leading newspapers 53
of all leading politicians 45
of all life activities 125
of all life everywhere 183
of all life experience 88
of all living activities 60
of all living existences 96
of all living experience 55
of all living generations 71
of all living philosophy 50
of all living politicians 68
of all living protoplasm 287
of all living structures 273
of all living substances 172
of all living vertebrate 46
of all loan agreements 68
of all main characters 42
of all main components 51
of all male applicants 85
of all male candidates 50
of all male characters 81
of all male employment 175
of all male immigrants 54
of all male quadrupeds 238
of all mass extinctions 216
of all means calculated 105
of all mining activities 77
of all mining concessions 41
of all mining industries 81
of all mining properties 48
of all most conclusive 50
of all nazi propaganda 91
of all news broadcasts 63
of all news dispatches 49
of all nine components 95
of all nine symphonies 63
of all north vietnamese 320
of all ongoing activities 63
of all oral carcinomas 87
of all oral literature 45
of all other accidental 92
of all other activities 2378
of all other advantages 504
of all other agreements 150
of all other allegations 41
of all other allegiances 41
of all other allowances 109
of all other amendments 51
of all other amusements 47
of all other antagonist 41
of all other antibodies 44
of all other appearances 57
of all other applicable 81
of all other applicants 309
of all other application 44
of all other appointive 45
of all other approaches 306
of all other appropriate 70
of all other aspirations 82
of all other assemblies 66
of all other assistance 137
of all other associations 503
of all other atrocities 63
of all other attendance 82
of all other attractions 76
of all other attributes 696
of all other authorities 749
of all other background 49
of all other businesses 205
of all other candidates 999
of all other capacities 66
of all other capitalist 103
of all other categories 1294
of all other ceremonies 84
of all other characters 718
of all other charitable 51
of all other choristers 50
of all other cigarettes 112
of all other collateral 99
of all other collections 81
of all other collectors 51
of all other commanders 40
of all other commissions 172
of all other committees 620
of all other commonwealth 81
of all other comparable 76
of all other complaints 55
of all other components 2280
of all other conceptions 123
of all other conductors 133
of all other confessions 41
of all other connections 171
of all other conquerors 65
of all other consolation 40
of all other consonants 72
of all other consumption 89
of all other contenders 110
of all other contentions 48
of all other continents 270
of all other contributing 50
of all other conventions 60
of all other convictions 73
of all other corruptions 54
of all other cultivated 910
of all other currencies 817
of all other dedicators 68
of all other defendants 124
of all other definitions 91
of all other delegations 44
of all other delicacies 42
of all other democratic 116
of all other discourses 148
of all other divinities 301
of all other dramatists 139
of all other educational 304
of all other electrical 95
of all other electrodes 145
of all other elementary 107
of all other emoluments 122
of all other employment 243
of all other enactments 60
of all other endogenous 62
of all other engagements 178
of all other enjoyments 207
of all other evangelical 51
of all other excellence 226
of all other exchangeable 56
of all other excitement 44
of all other executives 53
of all other existences 570
of all other expedients 315
of all other experience 331
of all other expressions 177
of all other facilities 178
of all other foodstuffs 125
of all other foreigners 374
of all other foundations 102
of all other generations 128
of all other government 1864
of all other grievances 110
of all other hereditary 42
of all other historical 335
of all other households 231
of all other identities 116
of all other ideological 50
of all other illustrious 42
of all other imaginable 146
of all other immigrants 122
of all other impressions 256
of all other impurities 106
of all other incentives 63
of all other incidental 77
of all other indications 100
of all other indicators 110
of all other indigenous 77
of all other individual 683
of all other industries 2223
of all other influences 860
of all other information 1883
of all other instruction 97
of all other interested 254
of all other investment 347
of all other laboratory 47
of all other landowners 45
of all other legislation 231
of all other legitimate 150
of all other liabilities 320
of all other limitations 71
of all other literature 291
of all other localities 196
of all other luminaries 40
of all other magnitudes 75
of all other management 117
of all other marketable 45
of all other marriageable 60
of all other mechanical 143
of all other mechanisms 123
of all other medications 137
of all other mendicancy 67
of all other minefields 45
of all other ministerial 92
of all other ministries 234
of all other minorities 252
of all other misdemeanor 56
of all other modalities 71
of all other monopolies 246
of all other narratives 55
of all other newspapers 123
of all other objectives 525
of all other obligations 1199
of all other occupations 778
of all other oppositions 65
of all other oppressions 128
of all other ordinances 158
of all other parameters 819
of all other particular 300
of all other perceptions 113
of all other perfections 159
of all other periodicals 46
of all other persuasions 401
of all other philosophy 348
of all other politicians 82
of all other pollutants 97
of all other populations 174
of all other possessions 267
of all other potentates 92
of all other potentially 82
of all other predicates 64
of all other predictions 48
of all other predictors 253
of all other presidents 96
of all other pretenders 127
of all other pretensions 114
of all other priesthoods 41
of all other principles 631
of all other privileges 211
of all other procedures 127
of all other processors 137
of all other productions 237
of all other productive 193
of all other professions 1079
of all other professors 49
of all other proletarian 105
of all other properties 747
of all other proportions 67
of all other protestant 271
of all other psychiatric 45
of all other publishers 58
of all other punishment 67
of all other purchasers 145
of all other quadrupeds 279
of all other quantities 554
of all other radioactive 50
of all other recipients 65
of all other recognized 147
of all other references 87
of all other reflections 83
of all other registered 110
of all other regulations 84
of all other requisites 66
of all other researchers 50
of all other resolutions 47
of all other restraints 237
of all other revelations 87
of all other revolutions 86
of all other sacraments 89
of all other sacrifices 260
of all other safeguards 41
of all other satellites 54
of all other scientific 396
of all other scientists 141
of all other scriptures 40
of all other scriveners 228
of all other securities 540
of all other sentiments 181
of all other sororities 54
of all other sovereigns 210
of all other specialists 59
of all other specialized 41
of all other statements 379
of all other statistics 50
of all other strategies 106
of all other structural 128
of all other structures 400
of all other subjective 52
of all other subsequent 92
of all other substances 2225
of all other substrates 86
of all other subsystems 116
of all other successful 88
of all other successions 148
of all other techniques 292
of all other temptations 48
of all other tendencies 116
of all other terrestrial 546
of all other territorial 41
of all other therapeutic 94
of all other traditional 103
of all other transitions 76
of all other undertakings 121
of all other unfinished 50
of all other university 125
of all other vegetables 186
of all other vertebrate 385
of all other viewpoints 44
of all other warranties 931
of all paid employment 116
of all pain medications 42
of all past associations 74
of all past dissensions 341
of all past experience 1492
of all past generations 1147
of all past grievances 438
of all past impressions 102
of all past information 46
of all past investment 45
of all past legislation 77
of all past literature 65
of all past obligations 457
of all past observation 57
of all past philosophy 64
of all past presidents 96
of all past revolutions 61
of all peace initiatives 51
of all peace negotiations 105
of all pious foundations 52
of all plan liabilities 104
of all poor households 795
of all port facilities 76
of all prior depreciation 58
of all prior experience 50
of all prior information 48
of all prior obligations 164
of all pure mathematics 76
of all pure philosophy 66
of all pure speculation 46
of all pure strategies 92
of all pure substances 174
of all radio broadcasting 272
of all radio broadcasts 85
of all radio facilities 46
of all rape convictions 53
of all rare excellence 54
of all reading activities 52
of all reading instruction 482
of all risk management 223
of all road casualties 47
of all road fatalities 130
of all sets equivalent 134
of all size categories 135
of all soil degradation 52
of all soil properties 56
of all sour substances 43
of all south vietnamese 326
of all such aberrations 55
of all such accusations 98
of all such activities 1362
of all such advantages 197
of all such adventures 51
of all such affidavits 68
of all such agreements 666
of all such allegations 83
of all such allocations 59
of all such allowances 63
of all such alterations 182
of all such amendments 79
of all such annoyances 50
of all such antiquated 40
of all such appearances 67
of all such applicants 111
of all such approaches 238
of all such aspirations 59
of all such assemblies 165
of all such assistance 228
of all such associations 561
of all such assumptions 77
of all such attributes 106
of all such authorities 69
of all such businesses 200
of all such candidates 262
of all such categories 137
of all such ceremonies 200
of all such characters 260
of all such collections 282
of all such commissions 131
of all such committees 219
of all such complaints 297
of all such components 192
of all such conceptions 148
of all such concessions 54
of all such conclusions 72
of all such connections 131
of all such containers 73
of all such contentions 55
of all such conventions 72
of all such convictions 53
of all such corrections 43
of all such criticisms 92
of all such debentures 69
of all such decorations 42
of all such definitions 98
of all such delinquent 61
of all such directives 105
of all such discourses 52
of all such discussions 214
of all such educational 54
of all such elementary 92
of all such employment 108
of all such enactments 60
of all such encounters 108
of all such endowments 45
of all such engagements 101
of all such evaluations 49
of all such exhibitions 67
of all such expedients 135
of all such expeditions 106
of all such experience 143
of all such expressions 489
of all such facilities 422
of all such fortuitous 65
of all such foundations 64
of all such franchises 72
of all such government 66
of all such grievances 81
of all such hindrances 53
of all such historical 97
of all such households 368
of all such immigrants 73
of all such implements 59
of all such impositions 52
of all such impressions 85
of all such imputations 140
of all such incidental 60
of all such indications 59
of all such individual 543
of all such industries 275
of all such inferences 135
of all such inflictions 67
of all such influences 334
of all such information 1030
of all such initiatives 45
of all such injunctions 82
of all such innovations 113
of all such inspections 114
of all such instruction 107
of all such interviews 66
of all such investment 209
of all such legislation 801
of all such liabilities 132
of all such limitations 138
of all such literature 157
of all such mechanical 125
of all such mechanisms 101
of all such mercantile 322
of all such monopolies 51
of all such narratives 145
of all such negotiations 86
of all such newspapers 70
of all such nightmares 43
of all such objectives 72
of all such obligations 572
of all such ordinances 175
of all such outlandish 86
of all such parameters 63
of all such particular 156
of all such perceptions 64
of all such personages 116
of all such philosophy 52
of all such polynomials 66
of all such possessions 125
of all such precautions 199
of all such predictions 78
of all such prejudices 61
of all such pretensions 213
of all such principles 359
of all such privileges 134
of all such procedures 285
of all such processions 61
of all such productions 195
of all such professions 49
of all such projections 59
of all such propaganda 58
of all such properties 638
of all such prophecies 72
of all such protective 44
of all such quantities 219
of all such recipients 62
of all such references 234
of all such reflections 66
of all such registered 172
of all such regulations 470
of all such resolutions 97
of all such restraints 116
of all such sacrifices 110
of all such scientific 117
of all such securities 735
of all such sentiments 65
of all such speculation 79
of all such statements 858
of all such statistics 72
of all such strategies 130
of all such structures 488
of all such substances 479
of all such suggestions 138
of all such techniques 169
of all such temptations 46
of all such tendencies 114
of all such traitorous 55
of all such transitions 60
of all such translation 67
of all such tumultuous 40
of all such undertakings 385
of all such utterances 104
of all such volunteers 58
of all such wickedness 104
of all test procedures 80
of all their abominable 42
of all their accusations 79
of all their accustomed 87
of all their activities 2220
of all their adroitness 87
of all their advantages 486
of all their adventures 334
of all their afflictions 1023
of all their agreements 66
of all their amusements 128
of all their appearances 45
of all their aspirations 341
of all their assemblies 71
of all their associations 83
of all their assumptions 50
of all their assurances 62
of all their atrocities 43
of all their attendants 114
of all their attractions 46
of all their attributes 185
of all their auxiliaries 49
of all their bitterness 68
of all their businesses 100
of all their calamities 1178
of all their candidates 114
of all their capacities 185
of all their carpenters 45
of all their ceremonies 315
of all their characters 297
of all their charitable 211
of all their classmates 178
of all their cleverness 178
of all their coarseness 61
of all their commanders 115
of all their compatriots 154
of all their complaints 345
of all their components 202
of all their conceptions 86
of all their conclusions 72
of all their confidence 307
of all their connections 131
of all their contentions 46
of all their convictions 73
of all their corruptions 41
of all their countrymen 1032
of all their criticisms 70
of all their curiosities 43
of all their degradation 52
of all their delicacies 41
of all their democratic 64
of all their dependents 96
of all their detractors 73
of all their discipline 65
of all their discontent 66
of all their discourses 173
of all their discussions 175
of all their dispatches 52
of all their dissensions 53
of all their distresses 349
of all their divinities 90
of all their educational 119
of all their emoluments 82
of all their encounters 42
of all their endowments 59
of all their engagements 442
of all their enjoyments 187
of all their excellence 89
of all their excitement 51
of all their expeditions 161
of all their experience 511
of all their expressions 68
of all their facilities 103
of all their forefathers 58
of all their fortresses 150
of all their franchises 97
of all their friendship 52
of all their generations 89
of all their government 149
of all their grievances 1576
of all their hereditary 77
of all their historical 82
of all their ideological 50
of all their idolatrous 56
of all their immunities 67
of all their implements 52
of all their importance 123
of all their impurities 57
of all their individual 1009
of all their industries 52
of all their information 148
of all their iniquities 254
of all their inspiration 41
of all their instruction 114
of all their interviews 54
of all their investment 59
of all their legislation 85
of all their legitimate 241
of all their liabilities 190
of all their limitations 134
of all their literature 84
of all their loveliness 56
of all their mechanical 45
of all their medications 55
of all their ministerial 52
of all their misfortune 103
of all their negotiations 143
of all their newspapers 51
of all their objectives 54
of all their obligations 397
of all their occupations 81
of all their oppressors 106
of all their ordinances 89
of all their particular 232
of all their perfections 44
of all their philosophy 346
of all their politicians 52
of all their popularity 60
of all their possessions 7929
of all their precautions 824
of all their predictions 171
of all their prejudices 484
of all their pretensions 276
of all their principles 252
of all their privileges 2334
of all their productions 210
of all their productive 43
of all their professions 218
of all their professors 52
of all their propaganda 82
of all their properties 1022
of all their prophecies 139
of all their prosperity 314
of all their regulations 319
of all their resistance 181
of all their resolutions 190
of all their respective 633
of all their revelations 109
of all their reverences 57
of all their sacrifices 257
of all their satellites 45
of all their scientific 112
of all their securities 53
of all their sentiments 121
of all their shortcomings 411
of all their sicknesses 61
of all their simplicity 75
of all their solicitude 97
of all their sovereigns 72
of all their statements 189
of all their strongholds 123
of all their structures 52
of all their subsequent 467
of all their successful 98
of all their successors 282
of all their suggestions 125
of all their superiority 64
of all their supporters 118
of all their surroundings 212
of all their synagogues 47
of all their temptations 52
of all their tendencies 49
of all their tenderness 56
of all their territorial 71
of all their testimonial 81
of all their traditional 194
of all their trespasses 56
of all their undertakings 255
of all their unlikeness 40
of all their unrighteous 70
of all their utterances 122
of all their wickedness 496
of all these aberrations 96
of all these abominable 76
of all these accidental 90
of all these accusations 452
of all these activities 9022
of all these adaptations 352
of all these adjectives 201
of all these admonitions 74
of all these advantages 4963
of all these adventures 441
of all these afflictions 220
of all these aggregated 69
of all these aggregates 59
of all these aggressions 48
of all these aggressive 58
of all these agreements 562
of all these allegations 217
of all these allegories 71
of all these allowances 53
of all these alterations 391
of all these amendments 184
of all these amusements 148
of all these analytical 51
of all these anatomical 47
of all these annoyances 352
of all these antecedent 98
of all these antiquated 59
of all these apartments 134
of all these apparently 283
of all these apparitions 159
of all these appearances 470
of all these appendages 135
of all these applicants 48
of all these approaches 4586
of all these architects 54
of all these aspirations 137
of all these assemblies 149
of all these associations 1038
of all these assumptions 549
of all these assurances 165
of all these atrocities 324
of all these attractions 424
of all these attractive 134
of all these attributes 2600
of all these authorities 779
of all these auxiliaries 80
of all these background 43
of all these beneficent 54
of all these biographies 74
of all these boundaries 73
of all these burdensome 40
of all these businesses 185
of all these calamities 1282
of all these candidates 196
of all these capacities 237
of all these casualties 62
of all these categories 1608
of all these celebrated 93
of all these ceremonies 710
of all these characters 1756
of all these charitable 53
of all these chronicles 62
of all these cogitations 57
of all these collections 376
of all these collective 70
of all these commanders 45
of all these commissions 206
of all these committees 789
of all these complaints 651
of all these complicating 211
of all these components 2774
of all these conceptions 367
of all these conceptual 40
of all these concessions 422
of all these conclusions 126
of all these concurrent 72
of all these conditional 40
of all these confessions 105
of all these connections 441
of all these conquerors 59
of all these constructs 47
of all these contentions 172
of all these contextual 70
of all these continents 143
of all these contributing 150
of all these conventions 243
of all these conversions 65
of all these convictions 67
of all these convulsions 105
of all these corrections 152
of all these corruptions 138
of all these criticisms 689
of all these cumulative 58
of all these curiosities 55
of all these currencies 73
of all these decorations 91
of all these decorative 42
of all these defendants 56
of all these definitions 786
of all these delicacies 82
of all these delightful 104
of all these democratic 65
of all these departures 91
of all these deplorable 67
of all these depositions 46
of all these deterrents 59
of all these dialectical 67
of all these diplomatic 122
of all these directives 52
of all these disastrous 68
of all these discordant 134
of all these discouraging 203
of all these discourses 320
of all these discussions 1715
of all these disheartening 65
of all these disquieted 46
of all these disruptions 41
of all these dissensions 117
of all these dissimilar 55
of all these distempers 139
of all these distinguishing 91
of all these distortions 157
of all these distresses 123
of all these divinities 97
of all these dramatists 112
of all these educational 220
of all these electrical 46
of all these electronic 70
of all these elementary 444
of all these enactments 434
of all these encounters 371
of all these endowments 109
of all these engagements 152
of all these enjoyments 541
of all these enormities 235
of all these enumerated 55
of all these essentially 49
of all these evaluations 60
of all these excavations 65
of all these exceptional 126
of all these excitations 78
of all these exhibitions 154
of all these existences 201
of all these expedients 681
of all these expeditions 1032
of all these expressions 991
of all these expressive 40
of all these facilities 929
of all these falsehoods 71
of all these fashionable 44
of all these flatterers 99
of all these foreigners 249
of all these formidable 162
of all these fortresses 62
of all these foundations 130
of all these fraudulent 43
of all these generations 189
of all these government 373
of all these grievances 385
of all these guarantees 110
of all these guidelines 54
of all these hesitations 68
of all these hindrances 882
of all these historical 529
of all these horizontal 45
of all these households 137
of all these humiliations 56
of all these identities 101
of all these ideological 75
of all these illustrious 236
of all these immigrants 144
of all these implements 186
of all these impositions 102
of all these impressions 512
of all these impressive 58
of all these impurities 311
of all these incentives 179
of all these incidental 61
of all these incomplete 45
of all these incongruous 41
of all these increments 124
of all these indications 412
of all these indicators 207
of all these individual 3549
of all these industries 703
of all these inevitable 145
of all these inferences 239
of all these infinitely 60
of all these influences 4283
of all these influential 48
of all these information 129
of all these inhibitors 51
of all these iniquities 141
of all these initiatives 669
of all these injunctions 116
of all these injustices 101
of all these innovations 798
of all these institutes 82
of all these insurgents 48
of all these integrated 40
of all these interested 122
of all these interfaces 41
of all these interlocking 124
of all these intersecting 44
of all these interviews 239
of all these invaluable 42
of all these invectives 78
of all these investment 41
of all these invitations 61
of all these lamentable 52
of all these landscapes 41
of all these legitimate 44
of all these liabilities 50
of all these limitations 1626
of all these localities 504
of all these luminaries 40
of all these magnitudes 58
of all these management 62
of all these mechanical 251
of all these mechanisms 1519
of all these medications 82
of all these meditations 59
of all these melancholy 187
of all these mercantile 124
of all these milestones 89
of all these ministries 74
of all these minorities 96
of all these miraculous 111
of all these modalities 265
of all these monopolies 178
of all these monumental 45
of all these motivations 60
of all these multiplied 215
of all these multitudes 206
of all these narratives 307
of all these negotiations 694
of all these newspapers 194
of all these numberless 216
of all these objectives 516
of all these obligations 455
of all these occupations 378
of all these oppositions 170
of all these oppressions 120
of all these ordinances 136
of all these overwhelming 45
of all these parameters 3524
of all these particular 1261
of all these perceptions 126
of all these perfections 316
of all these performers 46
of all these periodicals 191
of all these peripheral 54
of all these personages 517
of all these persuasions 52
of all these perversions 40
of all these philippine 68
of all these plantations 106
of all these politicians 90
of all these pollutants 133
of all these populations 208
of all these possessions 428
of all these postulates 80
of all these potentates 70
of all these potentially 114
of all these precautions 3683
of all these precedents 143
of all these predicates 95
of all these predictions 362
of all these prejudices 113
of all these pretenders 55
of all these pretensions 102
of all these preventive 165
of all these principles 1565
of all these privileges 636
of all these procedures 1100
of all these productions 368
of all these productive 46
of all these professions 266
of all these professors 62
of all these projections 110
of all these properties 1772
of all these prophecies 365
of all these proportions 50
of all these protections 44
of all these protective 111
of all these provisional 46
of all these quantities 977
of all these references 527
of all these reflections 547
of all these regulations 1168
of all these regulatory 85
of all these relatively 88
of all these remarkable 298
of all these repetitions 51
of all these repressive 76
of all these reproaches 44
of all these requisites 429
of all these researchers 91
of all these reservoirs 62
of all these residences 41
of all these resolutions 269
of all these resonances 42
of all these respective 83
of all these restraints 172
of all these revelations 231
of all these revolutions 439
of all these rhetorical 73
of all these ridiculous 218
of all these sacraments 45
of all these sacrifices 484
of all these safeguards 255
of all these satellites 71
of all these scientific 250
of all these scientists 168
of all these scoundrels 42
of all these scriptures 215
of all these sculptures 139
of all these securities 186
of all these sentiments 414
of all these separately 46
of all these separations 45
of all these shipwrecks 63
of all these shortcomings 793
of all these sovereigns 86
of all these specialists 268
of all these specialized 308
of all these specialties 113
of all these spectacles 44
of all these spectators 46
of all these statements 1708
of all these statistics 294
of all these stimulants 48
of all these strategies 669
of all these strictures 60
of all these structural 301
of all these structures 1939
of all these stupendous 105
of all these subjective 85
of all these subsequent 48
of all these substances 5543
of all these substrates 60
of all these subsystems 93
of all these subtleties 123
of all these successful 149
of all these successive 443
of all these suggestions 672
of all these superficial 89
of all these supposedly 43
of all these surroundings 55
of all these systematic 49
of all these techniques 2377
of all these temptations 301
of all these tendencies 3047
of all these terrestrial 87
of all these territorial 65
of all these therapeutic 54
of all these traditional 277
of all these transitions 168
of all these tremendous 212
of all these unconscious 49
of all these undertakings 505
of all these unexpected 66
of all these unfinished 50
of all these unrelieved 75
of all these unresolved 49
of all these unspeakable 66
of all these utterances 187
of all these vegetables 82
of all these velocities 49
of all these viewpoints 98
of all these visitations 62
of all these volunteers 72
of all those abominable 53
of all those accidental 53
of all those accusations 57
of all those accustomed 40
of all those acquainted 80
of all those activities 1543
of all those advantages 1049
of all those adventures 107
of all those agreements 57
of all those amusements 172
of all those apartments 49
of all those apparently 83
of all those appearances 119
of all those applicants 46
of all those approaches 59
of all those aspirations 115
of all those assemblies 151
of all those associations 295
of all those assumptions 55
of all those assurances 63
of all those atrocities 62
of all those attractions 89
of all those attributed 49
of all those attributes 703
of all those authorities 109
of all those benevolent 61
of all those boundaries 48
of all those businesses 82
of all those busybodies 52
of all those calamities 356
of all those candidates 114
of all those capacities 140
of all those categories 208
of all those celebrated 125
of all those ceremonies 88
of all those characters 448
of all those classified 324
of all those collections 123
of all those committees 70
of all those complaints 55
of all those components 314
of all those conceptions 72
of all those concessions 43
of all those conclusions 42
of all those connections 52
of all those considered 953
of all those continuous 66
of all those contributing 194
of all those convenient 63
of all those conventions 92
of all those convictions 46
of all those correlated 79
of all those corruptions 94
of all those definitions 40
of all those delicacies 51
of all those delightful 214
of all those democratic 97
of all those determined 40
of all those discharged 115
of all those discourses 63
of all those discovered 450
of all those discussions 77
of all those dissensions 114
of all those economists 61
of all those educational 73
of all those elementary 104
of all those endowments 45
of all those engagements 42
of all those enjoyments 144
of all those enormities 84
of all those enumerated 99
of all those expedients 60
of all those expressions 275
of all those facilities 123
of all those falsehoods 56
of all those foreigners 206
of all those formidable 50
of all those fortresses 62
of all those generations 258
of all those government 78
of all those grievances 183
of all those historical 186
of all those households 64
of all those identified 144
of all those illustrious 169
of all those immediately 101
of all those immigrants 64
of all those implements 42
of all those implicated 181
of all those impressions 136
of all those imprisoned 248
of all those impurities 48
of all those individual 1017
of all those industries 340
of all those industrious 42
of all those influences 840
of all those influential 51
of all those innovations 45
of all those interested 7179
of all those intimately 42
of all those introduced 53
of all those limitations 82
of all those localities 53
of all those luminaries 148
of all those mechanical 106
of all those mechanisms 78
of all those melancholy 126
of all those miraculous 59
of all those multitudes 133
of all those narratives 79
of all those negotiations 93
of all those newspapers 52
of all those numberless 157
of all those obligations 181
of all those occupations 100
of all those oppressive 66
of all those ordinances 84
of all those originally 85
of all those panegyrics 41
of all those parameters 84
of all those particular 635
of all those perceptions 118
of all those perfections 222
of all those peripheral 217
of all those persecuted 135
of all those personages 59
of all those politicians 131
of all those populations 65
of all those possessions 139
of all those potentially 139
of all those precautions 135
of all those predictions 40
of all those prejudices 166
of all those principles 1546
of all those privileged 150
of all those privileges 528
of all those procedures 79
of all those productions 130
of all those productive 43
of all those professions 222
of all those professors 59
of all those profitable 163
of all those properties 817
of all those prophecies 106
of all those quantities 65
of all those quicksands 71
of all those recognized 82
of all those references 102
of all those reflections 170
of all those registered 726
of all those regulations 287
of all those remarkable 80
of all those requisites 62
of all those researchers 50
of all those restraints 91
of all those revelations 63
of all those revolutions 46
of all those rhapsodies 73
of all those ridiculous 60
of all those sacrifices 118
of all those safeguards 88
of all those scientific 141
of all those scientists 108
of all those scriptures 124
of all those securities 159
of all those sentiments 406
of all those sovereigns 50
of all those specialists 48
of all those spectators 63
of all those statements 266
of all those structural 65
of all those structures 278
of all those subjective 42
of all those subsequent 94
of all those substances 515
of all those successive 130
of all those superficial 41
of all those supposedly 40
of all those suppressed 44
of all those sympathetic 47
of all those techniques 97
of all those temptations 68
of all those tendencies 386
of all those traditional 103
of all those transitory 58
of all those tremendous 49
of all those tumultuous 195
of all those unconscious 56
of all those undertaken 62
of all those undertakings 53
of all those unemployed 171
of all those unspeakable 56
of all those vegetables 46
of all three activities 313
of all three agreements 60
of all three antibodies 73
of all three approaches 4537
of all three associations 112
of all three assumptions 82
of all three attributes 258
of all three authorities 54
of all three businesses 46
of all three candidates 351
of all three capacitors 73
of all three categories 2330
of all three characters 681
of all three collections 84
of all three commissions 103
of all three committees 194
of all three components 4713
of all three conceptions 70
of all three conductors 63
of all three confessions 75
of all three conjointly 69
of all three constructs 75
of all three continents 143
of all three conventions 71
of all three coordinate 59
of all three currencies 51
of all three defendants 253
of all three definitions 132
of all three delegations 86
of all three discourses 50
of all three dramatists 41
of all three educational 47
of all three electrodes 55
of all three elementary 45
