of abel against cain 46
of case studies were 583
of case studies when 44
of case studies will 536
of cash brought into 59
of cash derived from 177
of cash incomes from 57
of cash inflows from 489
of cash inflows less 110
of cash inflows over 168
of cash payment from 92
of cash payment over 64
of cash realized from 88
of cash reserve ratio 226
of cash resulting from 641
of cash returns from 63
of cash stashed away 77
of cash takeover bids 123
of cast members from 55
of cats suffering from 62
of cave paintings from 55
of ceding control over 64
of cell adhesion during 113
of cell adhesion have 44
of cell behavior during 117
of cell corpses during 54
of cell culture from 45
of cell culture have 81
of cell culture media 440
of cell culture used 80
of cell culture were 91
of cell derived from 50
of cell designs have 41
of cell division along 54
of cell division also 117
of cell division among 115
of cell division axes 123
of cell division during 1033
of cell division even 45
of cell division from 348
of cell division have 314
of cell division into 74
of cell division just 72
of cell division leading 158
of cell division leads 59
of cell division must 173
of cell division over 48
of cell division prior 48
of cell division rate 117
of cell division seen 60
of cell division such 163
of cell division there 178
of cell division used 44
of cell division were 308
of cell division when 402
of cell division will 240
of cell extract from 67
of cell extract were 62
of cell material from 203
of cell samples from 53
of cell strains from 131
of cheap aniline dyes 113
of cheap exports from 44
of cheap fertile land 125
of cheap foreign corn 211
of cheap foreign food 125
of cheap foreign wheat 51
of cheap imports from 637
of cheap imports into 44
of cheap machine made 59
of cheap perfume from 47
of cheap plastic toys 128
of cheap receiving sets 41
of cheap spanish wine 45
of cheap western land 42
of cheap whiskey from 51
of chloe lamenting their 41
of city against city 358
of city control over 50
of city council held 54
of city council seats 194
of city council were 61
of city manager plan 119
of city national bank 425
of city schools have 52
of city streets from 66
of city streets have 58
of city streets were 204
of city workers from 47
of city workers have 45
of city workers into 45
of city workers were 128
of clam chowder down 43
of clan against clan 152
of clay between your 95
of clay brought from 157
of clay depends upon 42
of clay derived from 165
of clay everything made 107
of clay fraction from 51
of clay material from 54
of clay pressed into 103
of clay resulting from 62
of clay samples from 144
of clay tablets bearing 101
of clay tablets from 253
of clay tablets have 166
of clay tablets were 216
of clay tobacco pipe 83
of clay vessels from 87
of clay vessels were 103
of clean animals were 62
of clean scoured wool 95
of clear acetate over 117
of clear chicken broth 132
of clear insight into 590
of clear lacquer over 66
of clear liquids only 53
of clear liquids such 65
of clear plastic bags 142
of clear plastic cups 61
of clear plastic film 260
of clear plastic food 55
of clear plastic from 62
of clear plastic hose 91
of clear plastic over 386
of clear plastic tape 97
of clear plastic tube 42
of clear plastic tubing 1053
of clear plastic will 40
of clear plastic wrap 977
of clear signals from 125
of clear silvery blue 42
of clear solution from 40
of clear support from 88
of clear varnish over 87
of clear varnish will 51
of cloth against cloth 137
of cloth against skin 52
of cloth between their 87
of cloth betwixt their 45
of cloth brought from 82
of cloth brought into 42
of cloth depends upon 66
of cloth exports from 61
of cloth extending from 54
of cloth profiting nothing 71
of cloth stuffed into 56
of cloth twisted into 49
of club members from 53
of club members were 181
of coal brought down 128
of coal brought from 183
of coal brought into 336
of coal carried from 53
of coal carried over 58
of coal charged into 116
of coal contain other 52
of coal depends upon 190
of coal derived from 102
of coal differs from 46
of coal dropped from 118
of coal exports from 185
of coal imports from 138
of coal imports into 50
of coal pressed into 381
of coal removed from 124
of coal resulting from 109
of coal samples from 284
of coal shipped from 491
of coal spilled from 41
of coal surface mining 497
of coal traffic from 70
of coal yielded three 71
of coat protein from 48
of coat protein gene 217
of code switching among 108
of code switching from 50
of code switching have 48
of coding schemes have 48
of coding systems have 68
of coin against coin 77
of coin brought into 43
of coke derived from 66
of cold caustic soda 49
of cold chicken from 48
of cold comfort farm 422
of cold command tell 290
of cold passions have 104
of cold portions ready 47
of cold storage eggs 188
of cold storage from 45
of cold storage have 66
of cold storage over 43
of cold storage room 67
of cold storage upon 103
of cold storage were 55
of cold venison steak 159
of coma resulting from 84
of coming against what 164
of coming sweetly from 45
of coming together from 63
of coming together into 94
of coming trouble were 159
of cool designing beings 104
of core material from 153
of core material into 63
of core material used 127
of core samples from 695
of core samples were 76
of core subject areas 45
of corn against your 97
of corn arrived from 59
of corn between great 305
of corn brought from 170
of corn brought into 65
of corn carried from 42
of corn denoted years 47
of corn depends upon 53
of corn dropped from 101
of corn exchange bank 72
of corn exports from 50
of corn gathered from 40
of corn imports from 49
of corn imposed upon 180
of corn resulting from 148
of corn shipped from 73
of corn sprouting from 70
of corn whiskey from 102
of cost benefit ratio 65
of cost centers have 56
of cost control during 71
of cost control from 43
of cost control have 46
of cost control must 47
of cost control over 45
of cost control will 79
of cost depends upon 52
of cost derived from 47
of cost drivers used 95
of cost factors such 46
of cost resulting from 172
of cost studies have 55
of cows producing milk 107
of cows returning from 53
of cows suffering from 747
of crab orchard lake 77
of crab squatting over 77
of crew members during 79
of crew members from 185
of crew members were 189
of crop failure during 88
of crop failure from 164
of crop failure have 46
of crop failure were 74
of crop failure when 66
of crop residue from 45
of crop residue left 57
of crop rotation have 63
of crop rotation used 72
of crop rotation were 155
of crop rotation will 87
of crop species have 60
of cuba depends upon 56
of cues derived from 76
of cues emanating from 69
of cult members have 49
of cult members were 41
of cure depends upon 111
of cure founded upon 48
of cure resulting from 54
of curing madness seem 54
of dame rebecca west 53
of dana because your 86
of daring escapes from 42
of dark braided hair 52
of dark bronzed heads 82
of dark crimson silk 105
of dark figures moving 161
of dark figures were 120
of dark glasses from 149
of dark glasses over 49
of dark glasses when 41
of dark objects moving 58
of dark reddish hair 47
of dark shadows moving 62
of dark stained wood 174
of data arranged into 82
of data because there 82
of data becomes even 48
of data becomes less 40
of data becomes more 406
of data becomes very 70
of data between core 87
of data between data 180
of data between disk 89
of data between host 51
of data between main 446
of data between such 53
of data between these 337
of data between those 93
of data between user 79
of data between your 128
of data brought into 58
of data depending upon 79
of data depends upon 255
of data derived from 8095
of data derives from 149
of data differs from 108
of data divided into 104
of data emanating from 246
of data emerged from 53
of data emerges from 40
of data entered into 730
of data equally well 186
of data exchange among 71
of data extending over 265
of data fetched from 46
of data follows some 61
of data gathered during 708
of data gathered from 2812
of data gathered over 559
of data grouped into 168
of data including those 53
of data measured from 56
of data objects from 70
of data objects into 100
of data objects used 45
of data packets from 224
of data packets over 122
of data packets sent 167
of data privacy laws 53
of data punched into 46
of data quality from 53
of data quality have 40
of data quality were 45
of data quality will 46
of data records date 403
of data records from 113
of data records into 47
of data records used 46
of data regarding such 62
of data regarding their 189
of data regarding these 111
of data regarding what 44
of data resulting from 1867
of data results from 140
of data sampled from 73
of data samples from 96
of data samples used 64
of data secured from 459
of data signals from 77
of data sources from 195
of data sources have 115
of data sources into 54
of data sources such 164
of data sources used 317
of data sources were 174
of data sources will 68
of data storage from 58
of data storage have 60
of data storage media 231
of data storage such 44
of data storage used 80
of data storage will 54
of data together into 98
of data traffic from 66
of data traffic over 103
of data traveling over 52
of data updates from 131
of data written into 51
of dating letters from 56
of dating violence among 231
of dawn appeared over 142
of days between date 151
of days between july 86
of days between june 62
of days between last 85
of days between sowing 97
of days between these 244
of days between those 92
of days between when 96
of days between your 62
of days counted from 70
of days depending upon 63
of days elapsed from 340
of days forever gone 78
of days removed from 45
of days schools were 258
of dealing between these 43
of deaths between ages 132
of deaths between birth 48
of deaths occurring among 390
of deaths occurring during 505
of deaths occurring from 203
of deaths resulting from 3915
of debt against said 84
of debt against such 103
of debt brought upon 187
of debt capital from 65
of debt capital will 75
of debt depends upon 45
of debt financing from 83
of debt financing have 59
of debt financing must 44
of debt financing over 90
of debt financing used 151
of debt financing will 197
of debt founded upon 154
of debt resulting from 218
of debt service during 66
of debt service from 107
of debt service over 76
of debt service paid 89
of debt service ratio 109
of debt service were 61
of debt service will 180
of debt servicing from 57
of debt servicing will 62
of deep alluvial soil 344
of deep anxiety over 63
of deep anxiety upon 66
of deep cerulean blue 45
of deep concern among 165
of deep concern from 59
of deep concern over 311
of deep concern upon 46
of deep concern when 85
of deep delight from 78
of deep division were 59
of deep ecology from 78
of deep ecology have 147
of deep ecology were 44
of deep ecology will 43
of deep fertile soil 89
of deep insight into 946
of deep research into 89
of deep sadness came 73
of deep secrets sits 59
of deep seismic data 58
of deep somatic pain 390
of deep sympathy from 53
of deer antlers were 47
of deer started from 49
of depth charges from 61
of depth charges over 49
of depth charges were 140
of depth depends upon 73
of depth derived from 51
of depth resulting from 51
of depth results from 63
of diary entries from 107
of diary entries made 45
of diet members from 118
of dining together once 50
of dire results from 47
of dirt removed from 158
of disc material from 59
of disc material into 282
of disk material into 161
of disk storage used 123
of disk storage will 55
of dive bombers from 81
of dock porters took 109
of dock workers were 47
of dogs following their 51
of dogs suffering from 386
of doom hovered over 44
of doom settled over 277
of dost mohamed khan 209
of dots resulting from 42
of down plucked from 132
of dread settled over 319
of dream reports from 110
of drug abusers from 53
of drug abusers have 108
of drug abusers were 88
of drug addicts among 84
of drug addicts from 65
of drug addicts have 113
of drug addicts into 66
of drug addicts were 114
of drug arrests were 48
of drug control laws 97
of drug depends upon 85
of drug effects during 81
of drug effects from 44
of drug effects have 71
of drug effects upon 191
of drug related deaths 102
of drug related harm 539
of drug released from 339
of drug removal from 155
of drug removed during 72
of drug removed from 124
of drug smuggling from 54
of drug smuggling into 84
of drug solution into 80
of drying depends upon 112
of dual chamber pacing 500
of dual control over 200
of dual economy theory 196
of dual exchange rate 192
of dual process theory 70
of dual systems theory 962
of duke amadeus viii 77
of duke bernard upon 42
of duke charles upon 54
of dull routine work 71
of duly enacted laws 84
of duly guarded home 43
of dusk settled over 45
of dust advancing from 68
of dust appeared upon 79
of dust billowing from 61
of dust billowing into 43
of dust brought from 53
of dust carried along 100
of dust carried away 177
of dust carried into 48
of dust carried over 108
of dust derived from 129
of dust drifted away 55
of dust drifted down 160
of dust drifted over 42
of dust emanating from 59
of dust emission from 126
of dust emitted from 62
of dust erupted from 69
of dust floated away 172
of dust floated down 103
of dust floated over 47
of dust gathered from 80
of dust hovered over 139
of dust removal from 53
of dust removed from 124
of dust resulting from 104
of dust samples from 77
of dust settled over 261
of dust whirled into 54
of duty against will 150
of duty becomes more 55
of duty bravely done 45
of duty charged upon 74
of duty depends upon 113
of duty derived from 111
of duty devolving upon 77
of duty differs from 42
of duty founded upon 70
of duty imposed upon 558
of duty payable upon 104
of duty resulting from 180
of duty towards india 51
of duty towards other 75
of duty towards their 603
of duty towards these 45
of duty towards those 266
of duty towards your 198
of duty usually kept 40
of dyes derived from 154
of eager inquiry from 101
of eager question even 44
of eager workers ready 47
of early adverse life 78
of early america have 200
of early america were 296
of early archaic homo 63
of early boyhood have 51
of early british film 55
of early british india 63
of early british life 87
of early british rule 643
of early cambrian time 109
of early canadian life 108
of early chinese life 42
of early chinese love 108
of early classic date 239
of early classic maya 263
of early college life 40
of early colonial days 921
of early colonial life 1733
of early colonial rule 511
of early culture from 60
of early decision making 49
of early devonian time 59
of early dropout among 44
of early dropout from 60
of early factory life 68
of early ferrous edge 53
of early freudian theory 43
of early frontal lobe 236
of early geologic time 59
of early history from 41
of early history have 52
of early history were 124
of early hominid body 117
of early hominid diet 50
of early hominid from 818
of early hominid life 329
of early imperial date 210
of early imperial rome 700
of early infancy from 47
of early infancy have 71
of early infancy were 57
of early infancy when 136
of early invasion from 48
of early ireland were 50
of early islamic iran 182
of early letters from 53
of early liberal theory 52
of early lombard work 42
of early manhood were 93
of early manhood when 92
of early manhood will 52
of early marriage also 49
of early marriage among 275
of early marriage have 54
of early marriage were 107
of early marriage will 49
of early married days 67
of early married life 2037
of early material from 44
of early medical care 114
of early national life 77
of early neolithic date 128
of early neonatal deaths 236
of early pioneering days 107
of early pioneers like 81
of early pioneers such 86
of early postwar years 46
of early potatoes from 124
of early potatoes were 54
of early pottery from 100
of early pottery were 45
of early printed maps 181
of early promise grow 103
of early puritan days 56
of early puritan life 46
of early quantum theory 116
of early records from 45
of early removal from 49
of early reports from 45
of early research into 119
of early results from 96
of early returns from 52
of early settler life 76
of early society tend 60
of early society were 54
of early southeast asian 375
of early spanish days 84
of early spanish reading 75
of early spanish rule 51
of early student life 52
of early studies have 117
of early studies were 158
of early success were 41
of early tertiary time 151
of early theorists such 56
of early thinkers like 43
of early victory were 45
of early village life 832
of early virginia were 42
of early western days 100
of early western life 185
of early workers such 44
of early writers like 98
of early writers such 97
of earning profits from 117
of earning revenue from 77
of echo signals from 105
of eddy current heating 82
of eddy current loss 326
of eden divided into 145
of eggs affords also 41
of eggs between their 62
of eggs depends upon 135
of eggs derived from 80
of eggs hatched from 113
of eggs released from 48
of eggs removed from 100
of eggs resulting from 63
of eggs usually laid 54
of ending anytime soon 60
of ending british rule 229
of ending colonial rule 171
of ending foreign rule 55
of ending turkish rule 47
of envy towards other 44
of envy towards those 100
of ether extract from 51
of ethyl acetate from 370
of ethyl acetate into 86
of ethyl acetate were 204
of ethyl acetate will 79
of ethyl alcohol during 58
of ethyl alcohol from 1289
of ethyl alcohol have 104
of ethyl alcohol into 263
of ethyl alcohol must 73
of ethyl alcohol over 84
of ethyl alcohol upon 166
of ethyl alcohol used 60
of ethyl alcohol were 211
of ethyl alcohol when 71
of ethyl alcohol will 149
of ethyl benzene from 49
of ethyl bromide from 45
of ethyl bromide were 54
of eton college from 148
of eton college were 86
of even average life 41
of even average size 50
of even fifteen years 122
of even imagining such 108
of even imagining what 113
of even limited means 66
of even material wealth 60
of even mediocre reading 95
of even mineral dust 47
of even minimal care 51
of even numbers from 130
of even numbers less 111
of even numbers only 46
of even saintly life 120
of even several days 47
of even several years 84
of even shorter wave 248
of even smaller bits 50
of even smaller ones 78
of even smaller size 724
of ever achieving full 42
of ever achieving such 131
of ever achieving their 65
of ever advancing more 202
of ever attaining high 130
of ever attaining life 51
of ever attaining such 116
of ever attaining their 108
of ever attaining what 46
of ever bettering their 114
of ever decreasing size 302
of ever departing from 91
of ever divorcing such 54
of ever employing your 41
of ever improving their 261
of ever increasing depth 130
of ever increasing length 212
of ever increasing range 40
of ever increasing size 986
of ever increasing wealth 71
of ever obtaining from 122
of ever obtaining more 40
of ever obtaining such 51
of ever obtaining their 57
of ever receiving from 55
of ever receiving more 100
of ever receiving such 51
of ever receiving their 75
of ever regaining their 294
of ever relishing those 65
of ever returning back 54
of ever returning home 532
of ever returning into 52
of ever returning there 186
of ever smaller size 43
of evil against evil 149
of evil against good 1298
of evil against other 43
of evil against their 52
of evil against those 127
of evil against whom 49
of evil because evil 91
of evil because there 65
of evil becomes evil 540
of evil becomes more 113
of evil brought into 42
of evil depends upon 45
of evil derived from 200
of evil derives from 55
of evil designs upon 58
of evil effects from 85
of evil emanating from 133
of evil follows from 53
of evil manners good 49
of evil mystery were 44
of evil passions into 65
of evil resulting from 430
of evil results from 250
of evil spirits also 48
of evil spirits among 169
of evil spirits during 42
of evil spirits from 952
of evil spirits have 99
of evil spirits having 49
of evil spirits into 361
of evil spirits like 50
of evil spirits must 56
of evil spirits only 90
of evil spirits over 171
of evil spirits such 61
of evil spirits taking 45
of evil spirits there 111
of evil spirits took 43
of evil spirits upon 141
of evil spirits were 500
of evil spirits when 139
of evil spirits whom 80
of evil spirits will 140
of evil stamped upon 67
of evil thoughts from 43
of evil thoughts into 65
of exit permits from 42
of eyes besides mine 49
of eyes focused upon 90
of eyes riveted upon 59
of eyes suffering from 49
of eyes watched from 54
of face resulting from 87
of face threatening acts 56
of facing painful truth 105
of fact because there 52
of fact charged upon 70
of fact depending upon 881
of fact depends upon 196
of fact derived from 271
of fact differs from 54
of fact founded upon 44
of fact grampus knew 49
of fact justify such 87
of fact requiring trial 71
of fact resulting from 202
of fact secured only 52
of fact touched upon 103
of fair average mind 45
of fair average size 129
of fair comment must 155
of fair comment only 181
of fair comment upon 115
of fair comment will 242
of fair general health 44
of fair pasture land 102
of fair quality from 81
of fair quality land 107
of fair quality were 94
of fair quality when 43
of faith against faith 56
of faith against good 181
of faith against those 123
of faith because faith 83
of faith because their 41
of faith because there 134
of faith becomes more 132
of faith brought forth 51
of faith deduced from 43
of faith depends upon 140
of faith derived from 1107
of faith derives from 71
of faith differs from 110
of faith emanating from 40
of faith emerged from 42
of faith founded upon 56
of faith imposed upon 75
of faith receive their 49
of faith resulting from 138
of faith results from 76
of faith towards lucy 48
of faith towards their 48
of faith towards those 108
of fall depending upon 49
of fall depends upon 73
of fame belonged some 42
of fame catcher yogi 125
of farm animals also 54
of farm animals during 131
of farm animals from 222
of farm animals have 339
of farm animals kept 65
of farm animals must 49
of farm animals such 144
of farm animals there 109
of farm animals used 63
of farm animals were 306
of farm animals when 51
of farm animals will 158
of farm buildings from 103
of farm buildings have 85
of farm buildings into 42
of farm buildings were 164
of farm buildings will 52
of farm decision making 121
of farm exports from 43
of farm incomes from 49
of farm produce also 40
of farm produce down 40
of farm produce during 89
of farm produce fell 96
of farm produce from 731
of farm produce have 169
of farm produce into 72
of farm produce must 57
of farm produce over 66
of farm produce rose 80
of farm produce sold 194
of farm produce such 84
of farm produce used 133
of farm produce went 45
of farm produce were 589
of farm produce will 184
of farm tenancy among 42
of farm workers also 44
of farm workers during 145
of farm workers fell 83
of farm workers from 777
of farm workers have 371
of farm workers into 232
of farm workers live 57
of farm workers living 120
of farm workers must 64
of farm workers rose 44
of farm workers went 54
of farm workers were 562
of farm workers when 51
of farm workers will 144
of fast carrier task 221
of fast declining life 98
of fast friends among 61
of fast neutron beams 231
of fast neutron dose 143
of fast neutron flux 344
of fats depends upon 43
of fats derived from 127
of feed depends upon 60
of feed material into 47
of fees derived from 124
of feet between their 69
of feet claimed along 93
of feet distant from 116
of feet shuffling along 45
of feet trampling down 50
of felt kinship ties 52
of fife memorial park 42
of fifth century date 74
of fifth century gaul 40
of fifth graders from 75
of fifth graders were 128
of file folders from 68
of file formats from 44
of file formats used 58
of file systems from 50
of file systems used 66
of fill material from 54
of fill material into 476
of film censors during 99
of film censors from 40
of film censors have 80
of film censors were 51
of film critics have 43
of film exposed during 49
of film footage from 80
of film history from 54
of film history have 58
of film history into 46
of film history will 41
of film material upon 83
of film removed from 44
of film studies have 41
of fine alluvial clay 55
of fine alluvial land 88
of fine alluvial soil 68
of fine buildings from 52
of fine buildings have 60
of fine buildings were 43
of fine cabinet work 259
of fine ceramic ware 56
of fine chicken wire 42
of fine chinese silk 81
of fine control over 155
of fine country seats 70
of fine creative media 374
of fine crimson cloth 158
