obese . 46 obese .
645 other . 332 other
. 126 other . 250
other . 521 other .
72 other . 170 other
. 110 other . 70
other . 360 other .
482 other . 190 other
. 288 other . 43
other . 95 other .
210 other . 47 other
. 50 other . 48
other . 109 other .
330 other . 340 other
. 63 other . 48
other . 169 other .
58 other . 302 other
. 49 other . 41
other . 455 other .
42 other . 127 other
. 54 other . 60
other . 69 other .
126 other . 94 other
. 74 other . 44
other . 242 other .
68 other . 47 other
. 63 other . 40
other . 336 other .
238 other . 100 other
. 75 other . 109
other . 46 other .
177 other . 45 other
. 296 other . 64
other . 587 other .
49 other . 644 other
. 54 other . 43
other . 82 other .
57 other . 44 other
. 58 other . 210
other . 42 other .
70 other . 118 other
. 102 other . 75
other . 387 other .
77 other . 188 other
. 57 other . 45
other . 91 other .
68 other . 208 other
. 229 other . 1019
other . 100 other .
531 other . 112 other
. 64 other . 185
other . 61 other .
42 other . 365 other
. 55 other . 686
other . 53 other .
131 other . 81 other
. 43 other . 57
other . 208 other .
113 other . 1277 other
. 58 other . 47
other . 66 other .
45 other . 142 other
. 54 other . 72
other . 97 other .
155 other . 171 other
. 110 other . 207
other . 83 other .
103 other . 52 other
. 85 other . 43
other . 54 other .
44 other . 66 other
. 124 other . 46
other . 64 other .
96 other . 130 other
. 70 other . 100
other . 183 other .
88 other . 107 other
. 252 other . 46
other . 60 other .
263 other . 202 other
. 75 other . 107
other . 260 other .
54 other . 60 other
. 269 other . 351
other . 55 other .
86 other . 102 other
. 53 other . 834
other . 47 other .
50 other . 86 other
. 42 other . 156
other . 140 other .
62 other . 47 other
. 319 other . 177
other . 280 other .
335 other . 61 other
. 67 other . 692
other . 134 other .
442 other . 189 other
. 256 other . 68
other . 102 other .
44 other . 40 other
. 48 other . 155
other . 198 other .
143 other . 75 other
. 137 other . 130
other . 124 other .
182 other . 73 other
. 125 other . 65
other . 47 other .
42 other . 912 other
. 52 other . 50
other . 114 other .
68 other . 64 other
. 144 other . 51
other . 44 other .
215 other . 6858 other
. 968 other . 186
other . 80 other .
45 other . 78 other
. 133 other . 53
other . 261 other .
162 other . 44 other
. 151 other . 46
other . 1655 other .
200 other . 89 other
. 145 other . 136
other . 74 other .
44 other . 53 other
. 148 other . 41
other . 66 other .
163 other . 77 other
. 50 other . 1481
other . 74 other .
353 other . 43 other
. 65 other . 213
other . 59 other .
48 other . 202 other
. 71 other . 146
other . 162 other .
62 other . 47 other
. 40 other . 66
other . 58 other .
42 other . 84 other
. 51 other . 64
other . 41 other .
63 other . 72 other
. 52 other . 69
other . 82 other .
71 other . 1260 other
. 126 other . 111
other . 45 other .
56 other . 77 other
. 193 other . 123
other . 48 other .
141 other . 68 other
. 50 other . 89
other . 88 other .
49 other . 74 other
. 62 other . 44
other . 88 other .
219 other . 56 other
. 48 other . 130
other . 82 other .
771 other . 59 other
. 51 other . 49
other . 134 other .
52 other . 62 other
. 73 other . 66
other . 144 other .
40 other . 63 other
. 52 other . 91
other . 99 other .
42 other . 180 other
. 140 other . 194
other . 262 other .
129 other . 148 other
. 79 other . 227
other . 328 other .
51 other . 93 other
. 699 other . 70
other . 55 other .
63 other . 52 other
. 134 other . 70
other . 45 other .
47 other . 318 other
. 369 other . 82
other . 105 other .
75 other . 176 other
. 59 other . 43
other . 103 other .
68 other . 360 other
. 767 other . 173
other . 54 other .
46 other . 168 other
. 57 other . 48
other . 54 other .
885 other . 131 other
. 40 other . 60
other . 301 other .
49 other . 51 other
. 219 other . 42
other . 46 other .
44 other . 84 other
. 72 other . 60
other . 89 other .
152 other . 111 other
. 61 other . 149
other . 67 other .
158 other . 51 other
. 124 other . 91
other . 52 other .
639 other . 687 other
. 68 other . 174
other . 63 other .
62 other . 156 other
. 129 other . 227
other . 41 other .
577 other . 1012 other
. 439 other . 164
other . 51 other .
41 other . 400 other
. 65 other . 68
other . 46 other .
49 other . 71 other
. 86 other . 237
other . 55 other .
143 other . 91 other
. 111 other . 151
other . 390 other .
167 other . 110 other
. 68 other . 49
other . 60 other .
41 other . 161 other
. 243 other . 99
other . 44 other .
53 other . 262 other
. 51 other . 69
other . 61 other .
58 other . 120 other
. 76 other . 188
other . 79 other .
148 other . 40 other
. 50 other . 66
other . 45 other .
87 other . 50 other
. 51 other . 88
other . 54 other .
70 other . 47 other
. 47 other . 48
other . 242 other .
90 other . 40 other
. 135 other . 254
other . 41 other .
63 other . 116 other
. 310 other . 119
other . 256 other .
132 other . 302 other
. 68 other . 146
other . 83 other .
61 other . 70 other
. 72 other . 295
other . 50 other .
53 other . 46 other
. 44 other . 133
other . 73 other .
40 other . 68 other
. 80 other . 66
other . 124 other .
196 other . 110 other
. 366 other . 121
other . 52 other .
40 other . 44 other
. 80 other . 109
other . 45 other .
83 other . 62 other
. 62 other . 100
other . 114 other .
314 other . 62 other
. 48 other . 88
other . 96 other .
47 other . 546 other
. 90 other . 57
other . 481 other .
54 other . 77 other
. 52 other . 558
other . 215 other .
75 other . 45 other
. 193 other . 43
other . 63 other .
109 other . 56 other
. 47 other . 46
other . 149 other .
44 other . 65 other
. 40 other . 78
other . 73 other .
631 other . 133 other
. 64 other . 526
other . 64 other .
54 other . 920 other
. 142 other . 48
other . 47 other .
66 other . 347 other
. 105 other . 69
other . 55 other .
54 other . 58 other
. 110 other . 1246
other . 358 other .
118 other . 525 other
. 1163 other . 279
other . 402 other .
55 other . 105 other
. 78 other . 61
other . 617 other .
147 other . 910 other
. 49 other . 61
other . 44 other .
49 other . 53 other
. 42 other . 76
other . 466 other .
103 other . 53 other
. 67 other . 131
other . 57 other .
53 other . 79 other
. 70 other . 47
other . 64 other .
48 other . 217 other
. 153 other . 60
other . 46 other .
66 other . 183 other
. 2461 other . 200
other . 72 other .
61 other . 56 other
. 49 other . 48
other . 110 other .
141 other . 528 other
. 41 other . 180
other . 47 other .
2476 other . 77 other
. 95 other . 42
other . 99 other .
41 other . 211 other
. 70 other . 48
other . 71 other .
42 other . 373 other
. 108 other . 65
other . 127 other .
103 other . 77 other
. 69 other . 50
other . 90 other .
94 other . 117 other
. 103 other . 86
other . 54 other .
57 other . 40 other
. 110 other . 78
other . 91 other .
56 other . 64 other
. 252 other . 45
other . 70 other .
518 other . 57 other
. 48 other . 129
other . 195 other .
41 other . 51 other
. 51 other . 134
other . 121 other .
58 other . 262 other
. 44 other . 148
other . 185 other .
53 other . 180 other
. 60 other . 75
other . 84 other .
562 other . 75 other
. 230 other . 70
other . 1143 other .
116 other . 168 other
. 249 other . 50
other . 52 other .
60 other . 51 other
. 93 other . 57
other . 44 other .
241 other . 48 other
. 88 other . 876
other . 45 other .
77 other . 236 other
. 50 other . 65
other . 72 other ?
60 other . 611 other
. 50 other . 51
other . 68 other .
77 other . 49 other
. 56 other . 294
other . 74 other .
50 other . 52 other
. 113 other . 46
other . 176 other .
55 other . 103 other
. 176 other . 101
other . 41 other .
56 other . 40 other
. 156 other . 50
other . 74 other .
63 other . 42 other
. 461 other . 85
other . 51 other .
203 other . 63 other
. 198 other . 116
other . 53 other .
120 other . 54 other
. 177 other . 98
other . 75 other .
78 other . 98 other
. 65 other . 65
other . 53 other .
70 other . 49 other
. 44 other . 223
other . 50 other .
56 other . 212 other
. 244 other . 59
other . 72 other .
56 other . 41 other
? 53 other . 296
other . 100 other .
2307 other . 100 other
. 49 other . 957
other . 191 other .
52 other . 53 other
. 107 other . 47
other . 76 other .
199 other . 116 other
. 67 other . 212
other . 90 other .
64 other . 154 other
. 99 other . 129
other . 55 other .
46 other . 70 other
. 350 other . 43
other . 664 other .
53 other . 111 other
. 154 other . 54
other . 45 other .
173 other . 64 other
. 126 other . 75
other . 51 other .
50 other . 55 other
. 61 other . 56
other . 120 other .
65 other . 339 other
. 276 other . 58
other . 64 other .
47 other . 297 other
. 199 other . 51
other . 48 other .
69 other . 58 other
. 688 other . 143
other . 119 other .
72 other . 48 other
. 59 other . 51
other . 53 other .
56 other . 91 other
. 243 other . 120
other . 89 other .
93 other . 52 other
. 116 other . 340
other . 148 other .
111 other . 40 other
. 42 other . 136
other . 43 other .
61 other . 76 other
. 167 other . 63
other . 727 other .
111 other . 55 other
. 53 other . 46
other . 81 other .
100 other . 52 other
. 121 other . 172
other . 205 other .
878 other . 113 other
. 117 other . 209
other . 346 other .
92 other . 59 other
. 622 other . 146
other . 375 other .
169 other . 45 other
. 54 other . 43
other . 83 other .
1373 other . 643 other
. 294 other . 113
other . 180 other .
233 other . 111 other
. 45 other . 53
other . 271 other .
166 other . 189 other
. 48 other . 202
other . 73 other .
71 other . 95 other
. 52 other . 204
other . 286 other .
120 other . 179 other
. 223 other . 133
other . 97 other .
106 other . 103 other
. 83 other . 40
other . 70 other .
77 other . 49 other
. 44 other . 49
other . 1038 other .
242 other . 107 other
. 123 other . 112
other . 83 other .
57 other . 113 other
. 49 other . 96
other . 44 other .
78 other . 50 other
. 103 other . 137
other . 81 other .
120 other . 48 other
. 55 other . 247
other . 111 other .
1521 other . 59 other
. 46 other . 629
other . 48 other .
54 other . 56 other
. 131 other . 76
other . 725 other .
56 other . 49 other
. 154 other . 78
other . 166 other .
52 other . 53 other
. 77 other . 202
other . 1650 other .
72 other . 160 other
. 1334 other . 42
other . 221 other .
44 other . 1112 other
. 115 other . 156
other . 224 other .
70 other . 54 other
. 302 other . 60
other . 370 other .
40 other . 814 other
. 1162 other . 121
other . 85 other .
45 other . 1027 other
. 107 other . 78
other . 240 other .
72 other . 1121 other
. 48 other . 46
other . 46 other .
60 other . 376 other
. 108 other . 112
other . 88 other .
43 other . 381 other
. 55 other . 74
other . 66 other .
58 other . 62 other
. 128 other . 156
other . 84 other .
196 other . 125 other
. 102 other . 137
other . 237 other .
81 other . 78 other
. 42 other . 51
other . 59 other .
57 other . 50 other
. 66 other . 46
other . 115 other .
176 other . 146 other
. 308 other . 150
other . 48 other .
172 other . 58 other
. 47 other . 138
other . 51 other .
267 other . 52 other
. 537 other . 91
other . 59 other .
83 other . 87 other
. 44 other . 76
other . 50 other .
300 other . 50 other
. 60 other . 75
other . 60 other .
65 other . 382 other
. 49 other . 175
other . 55 other .
56 other . 45 other
. 72 other . 210
other . 212 other .
42 other . 77 other
. 49 other . 218
other . 264 other .
52 other . 62 other
. 59 other . 40
other . 44 other .
362 other . 124 other
. 60 other . 117
other . 152 other .
78 other . 434 other
. 162 other . 79
other . 167 other .
72 other . 40 other
. 56 other . 49
other . 69 other .
51 other . 70 other
. 90 other . 173
other . 83 other .
204 other . 58 other
. 48 other . 41
other . 151 other .
43 other . 43 other
. 144 other . 78
other . 93 other .
67 other . 83 other
. 158 other . 89
other . 49 other .
107 other . 71 other
. 43 other . 81
other . 107 other .
84 other . 53 other
. 42 other . 157
other . 173 other .
45 other . 45 other
. 638 other . 102
other . 44 other .
157 other . 43 other
. 46 other . 102
other . 65 other .
79 other . 91 other
. 107 other . 67
other . 61 other .
55 other . 88 other
. 57 other . 74
other . 200 other .
758 other . 72 other
. 1225 other . 65
other . 48 other .
66 other . 158 other
. 46 other . 98
other ? 121 other .
59 other . 128 other
. 59 other . 86
other . 57 other .
50 other . 446 other
. 144 other . 62
other . 100 other .
48 other . 53 other
. 100 other . 433
other . 80 other .
56 other . 76 other
. 520 other . 86
other . 298 other .
43 other . 107 other
. 47 other . 71
other . 121 other .
41 other . 173 other
. 159 other . 47
other . 52 other .
41 other . 54 other
. 52 other . 49
other . 48 other .
53 other . 152 other
. 44 other . 100
other . 56 other .
56 other . 134 other
. 40 other . 114
other . 81 other .
173 other . 51 other
. 50 other . 49
other . 54 other .
58 other . 44 other
. 157 other . 573
other . 97 other .
198 other . 44 other
. 267 other . 54
other . 593 other .
74 other . 48 other
. 67 other . 47
other . 57 other .
70 other . 81 other
. 113 other . 191
other . 81 other .
62 other . 71 other
. 60 other . 45
other . 67 other .
48 other . 173 other
. 96 other . 82
other . 282 other .
60 other . 57 other
. 347 other . 42
other . 500 other .
811 other . 51 other
. 46 other . 55
other . 326 other .
258 other . 605 other
. 207 other . 213
other . 154 other .
101 other . 101 other
. 98 other . 64
other . 119 other .
193 other . 49 other
. 148 other . 44
other . 415 other .
87 other . 59 other
. 93 other . 52
other . 74 other .
59 others . 46 others
. 43 others . 61
others . 167 others .
267 others . 43 others
. 1360 others . 157
others . 44 others .
99 others . 52 others
. 41 others . 50
others . 63 others .
51 others . 74 others
. 76 others . 49
others . 43 others .
88 others . 53 others
. 40 ounce . 132
outer . 96 outer .
101 outer . 292 outer
. 166 outer . 101
outer . 65 outer .
51 outer . 605 outer
. 108 outer . 203
outer . 73 outer .
52 outer . 55 outer
. 147 outer . 52
outer . 295 outer .
381 outer . 41 outer
. 57 outer . 54
outer . 137 oval .
90 oval . 45 over
. 103 over . 190
over . 85 over .
115 over . 85 over
. 42 over . 88
over . 167 over .
283 over . 75 over
. 205 over . 1458
over . 64 over .
44 over . 156 over
. 55 over . 131
over . 45 over .
95 over . 138 over
. 311 over . 278
over . 234 over .
83 over . 343 over
. 47 over . 46
over . 49 over .
42 over . 53 over
. 78 over . 406
over . 63 over .
75 over . 53 over
. 70 over . 46
over . 58 over .
173 over . 807 over
. 77 over . 239
over . 105 over .
206 over . 80 over
. 1835 over . 45
over . 192 over .
71 over . 56 over
. 49 over . 119
over . 51 over .
48 over . 43 over
. 224 over . 87
over . 360 over .
76 over . 67 over
. 60 over . 96
over . 67 over .
57 over . 409 over
. 82 over . 136
over . 95 over .
1435 over . 55 over
. 71 over . 950
over . 178 over .
41 over . 59 over
. 94 over . 264
over . 42 over .
72 over . 421 over
. 47 over . 55
over . 107 over .
666 over . 653 over
. 273 over . 108
over . 60 over .
923 over . 82 over
. 75 over . 349
over . 246 over .
314 over . 75 over
. 44 over . 117
over . 93 over .
219 over . 141 over
. 46 over . 53
over . 40 over .
41 over . 90 over
. 72 over . 49
over . 44 over .
664 over . 46 over
. 42 over . 147
over . 179 over .
115 over . 267 over
. 90 over . 52
over . 61 over .
125 over . 116 over
. 243 over . 46
over . 59 over .
45 over . 63 over
. 815 over . 50
over . 416 over .
55 over . 85 over
. 65 over . 42
over . 139 over .
189 over . 49 over
. 136 over . 44
over . 223 over .
261 over . 45 over
. 243 over . 872
over . 1247 over .
672 over . 458 over
. 43 over . 42
over . 50 over .
458 over . 87 over
. 941 over . 216
over . 284 overt .
365 overt . 524 overt
. 144 overt . 130
overt . 42 overt .
66 owed . 49 owned
. 198 owned . 155
owned . 123 owned .
132 owned . 1948 owner
. 131 owner . 667
owner . 64 owner .
