oath administered to members 117
our determination to replace 67
our determination to respect 66
our determination to respond 46
our determination to restore 77
our determination to reverse 93
our determination to succeed 253
our determination to support 485
our determination to survive 144
our difficulties by declaring 46
our difficulties in ireland 51
our difficulties in obtaining 127
our difficulties to contend 42
our distributions of science 64
our grandparents or parents 76
our imprisonment in history 44
our indebtedness to foreign 95
our indebtedness to several 42
our independence be secured 55
our independence by britain 41
our independence of decision 91
our independence of foreign 76
our intellectual or rational 52
our intelligence by language 98
our intelligence is capable 75
our intelligence is correct 56
our intelligence is limited 167
our intelligence is revealed 42
our investigation as follows 52
our investigation by examining 179
our investigation in chapter 76
our investigation in natural 83
our investigation is divided 45
our investigation is limited 103
our investigation of aesthetic 46
our investigation of language 78
our investigation of natural 48
our investigation of objects 41
our investigation the following 47
our investigation to include 164
our justification is perfect 42
our manufactures in exchange 316
our manufactures in foreign 133
our manufactures in general 45
our manufactures in payment 50
our manufactures or produce 50
our manufactures the markets 55
our manufactures the success 53
our manufactures to foreign 87
our participation in certain 48
our participation in eternal 63
our participation in european 79
our participation in society 249
our participation in vietnam 108
our perspectives to include 43
our philosophies of history 51
our philosophies of science 57
our predecessors in national 198
our predecessors of blessed 83
our protestations of loyalty 44
our relationships in general 186
our relationships in society 49
our relationships to objects 70
our remembrances of avignon 45
our requirements as rapidly 52
our requirements as regards 63
our requirements of foreign 58
our restlessness is rebuked 44
our specification of position 52
our surveillance be stepped 148
our technologies in affecting 85
our understandings of culture 81
our understandings of history 43
our understandings of language 69
our understandings of science 50
our understandings to receive 46
our universities at present 94
our universities to produce 50
our universities to provide 43
our vocabularies be limited 76
out commissioners of inquiry 51
out commissioners to america 58
out commissioners to inquire 71
out considerably in advance 52
out deliberately to achieve 76
out deliberately to acquire 52
out deliberately to attract 50
out deliberately to capture 56
out deliberately to conquer 177
out deliberately to deceive 138
out deliberately to destroy 318
out deliberately to develop 57
out deliberately to exploit 85
out deliberately to explore 48
out deliberately to produce 119
out deliberately to provide 51
out deliberately to provoke 89
out particularly in relation 83
out specifically to examine 58
out successfully in several 82
out successfully the objects 52
out sufficiently in advance 97
out sufficiently to prevent 118
out sufficiently to provide 62
out sufficiently to warrant 49
own achievements in science 48
own capabilities in relation 80
own capabilities to achieve 46
own carelessness or neglect 123
own certificates of deposit 423
own consciousness of failure 66
own consciousness of freedom 54
own consciousness of herself 59
own consciousness of himself 401
own consciousness of language 97
own consciousness the official 40
own consciousness to explain 45
own constitutions to provide 44
own contributions to national 44
own contributions to science 241
own contributions to society 130
own determination to achieve 78
own determination to improve 46
own determination to proceed 81
own determination to succeed 227
own determination to support 95
own determination to survive 91
own difficulties in accepting 76
own difficulties in achieving 50
own difficulties in adjusting 116
own difficulties in obtaining 74
own difficulties to contend 175
own disobedience to himself 62
own incompetency to perform 48
own indifference as evident 100
own indifference to religion 44
own intellectual or logical 43
own justification he desired 43
own manifestation of himself 54
own mortification by hindering 73
own organizations to promote 63
own organizations to protect 49
own organizations to provide 56
own participation in history 52
own peculiarities of behavior 68
own peculiarities of language 45
own requirements as regards 43
own requirements in respect 41
own righteousness to justify 72
own shareholders the comfort 46
own significance in relation 49
own steadfastness of purpose 59
own subjectivity in relation 66
own understandings of science 43
own unpopularity in granada 58
