t act iii 123
t say she 137
t say that 8233
t say they 180
t say things 94
t say this 289
t say too 60
t say who 92
t say why 166
t say yes 383
t say you 572
t sec and 176
t sec fig 207
t sec his 151
t sec vol 318
t see act 498
t see all 180
t see and 165
t see any 3086
t see app 532
t see art 442
t see bis 68
t see but 43
t see each 234
t see end 134
t see eye 287
t see fig 1772
t see for 1573
t see her 1438
t see him 1854
t see his 5608
t see how 3171
t see law 44
t see les 54
t see map 1073
t see new 424
t see one 211
t see our 517
t see ref 822
t see rom 282
t see sec 1726
t see sir 960
t see that 3740
t see them 1491
t see things 188
t see this 2401
t see too 41
t see two 177
t see van 50
t see vol 17614
t see who 147
t see why 1879
t see you 1410
t set off 76
t set out 281
t she can 70
t she did 194
t she had 1339
t she has 453
t she say 93
t she see 112
t she then 48
t she was 2750
t sin cot 93
t sit and 53
t tee for 49
t than any 93
t than does 45
t than for 312
t than one 105
t than that 608
t than they 74
t than with 82
t that all 752
t that and 46
t that any 206
t that are 2987
t that bad 360
t that being 41
t that big 56
t that both 115
t that can 1424
t that day 222
t that does 368
t that each 137
t that easy 211
t that far 111
t that for 545
t that god 253
t that goes 128
t that had 603
t that has 1327
t that her 113
t that his 992
t that how 106
t that its 223
t that man 232
t that may 367
t that mean 231
t that nod 94
t that not 228
t that one 951
t that our 266
t that she 799
t that that 238
t that they 2614
t that this 2093
t that thou 265
t that thus 137
t that was 1723
t that way 212
t that why 155
t that with 264
t that you 1038
t them all 51
t them and 146
t them for 129
t them out 166
t them that 108
t them with 215
t then all 43
t then and 94
t then for 213
t then has 97
t then its 51
t then let 55
t then one 156
t then she 104
t then that 49
t then they 225
t then this 144
t then you 170
t they all 518
t they are 8335
t they both 44
t they can 1000
t they did 544
t they get 167
t they had 2483
t they let 49
t they may 1198
t they now 40
t they put 57
t they say 300
t they see 192
t they then 47
t they use 41
t they who 221
t things are 45
t things that 55
t this act 1078
t this and 1186
t this being 392
t this can 2528
t this cut 40
t this day 293
t this did 133
t this does 1218
t this had 311
t this has 1745
t this head 102
t this idea 421
t this law 459
t this led 98
t this man 1064
t this map 43
t this may 2308
t this new 311
t this old 102
t this one 153
t this poem 166
t this set 102
t this song 98
t this sum 251
t this tax 170
t this then 42
t this use 147
t this war 85
t this was 17642
t this way 178
t this year 937
t thou art 626
t thou not 245
t thou that 292
t thus all 48
t thus did 114
t thus far 712
t thus for 153
t thus one 42
t thus they 104
t thus this 40
t thus was 211
t ton and 95
t too bad 378
t too far 185
t too few 231
t too long 353
t try and 284
t try that 47
t try this 235
t use all 50
t use and 255
t use any 359
t use his 66
t use that 915
t use them 544
t use this 414
t use too 115
t using this 234
t war with 128
t was all 6653
t was and 132
t was any 195
t was bad 120
t was being 180
t was both 87
t was but 1289
t was cut 98
t was dead 44
t was doing 105
t was due 220
t was easy 472
t was far 193
t was fit 358
t was for 1518
t was fun 228
t was god 392
t was going 357
t was her 880
t was his 1931
t was hot 177
t was joy 109
t was long 604
t was may 314
t was mid 353
t was near 568
t was new 82
t was not 17826
t was now 1000
t was old 40
t was one 4236
t was our 535
t was out 365
t was owing 41
t was put 227
t was read 132
t was red 98
t was set 547
t was she 376
t was six 212
t was sung 97
t was ten 239
t was that 3858
t was then 2151
t was they 188
t was this 1215
t was thus 407
t was too 1305
t was two 618
t was with 968
t was yet 83
t was you 667
t wear out 104
t wear that 89
t wear them 65
t wen tie 152
t who are 1021
t who can 835
t who did 97
t who does 102
t who had 2210
t who has 1143
t who may 42
t who was 2797
t why are 433
t why can 57
t why did 686
t why does 514
t why may 49
t why not 456
t why then 117
t why this 67
t why was 219
t with age 131
t with all 1965
t with and 334
t with any 365
t with both 68
t with each 399
t with for 137
t with her 394
t with him 454
t with his 1227
t with its 1215
t with mean 266
t with one 1056
t with our 139
t with that 1386
t with thee 112
t with them 319
t with this 1953
t with two 625
t with you 789
t year and 138
t year old 43
t year was 44
t yes yes 72
t yet his 108
t yet they 102
t yet this 359
t you all 139
t you and 488
t you any 109
t you are 2220
t you ask 503
t you bring 151
t you buy 132
t you can 3027
t you cry 295
t you did 44
t you fear 49
t you for 51
t you get 1531
t you going 505
t you got 322
t you had 185
t you hear 1022
t you let 817
t you may 1108
t you mean 291
t you put 380
t you read 588
t you run 66
t you say 1354
t you see 11207
t you sit 124
t you that 149
t you try 571
t you two 57
t you use 249
t you who 44
t you with 64
