wade waters 110 wading masses
were reasons 41 were enough
151 were asleep 214 were
buried 77 were closed 97
were filled 61 were around
100 were enough 71 were
doubts 54 were enough 84
were second 124 were serious
45 were toward 181 were
enough 65 were before 184
were before 101 were enough
248 were before 58 were
toward 126 were behind 54
were abroad 62 were ground
402 were before 110 were
headway 84 were little 48
were likely 94 were across
107 were around 147 were
beyond 153 were slowly 122
were through 202 were toward
892 were better 228 were
closer 70 were farther 48
were further 47 were higher
301 were larger 82 were
budget 55 were twenty 81
were middle 89 were higher
85 were before 61 were
across 47 were through 49
were toward 74 were before
42 were enough 78 were
little 43 were russian 65
were troops 41 were twenty
253 were effect 87 were
flight 40 were orders 44
were refuge 98 were awaiting
56 were before 552 were
enough 43 were before 54
were active 198 were anxious
40 were common 58 were
highly 59 were scarce 52
were thirsty 41 were seaward
41 were through 51 were
across 45 were behind 93
were beyond 171 were enough
541 were filled 160 were
formed 261 were inside 87
were marked 58 were placed
91 were rooted 66 were
served 156 were versed 321
were adults 108 were ladies
46 were across 112 were
around 324 were through 114
were undone 143 were untied
43 were enough 100 were
risers 166 were asleep 181
were around 138 were enough
46 were twenty 47 were
enough 45 were before 74
were enough 389 were reasons
172 were events 48 were
closed 151 were around 1981
were something 43 were before
48 were sacred 139 were
enough 56 were something 94
were around 120 were around
349 were behind 89 were
beyond 320 were enough 69
were escaping 62 were before
40 were bright 87 were
closed 342 were filled 69
were loaded 87 were locked
327 were secret 348 were
around 46 were enough 85
were before 58 were behind
543 were partly 41 were
standing 54 were active 40
were likely 63 were before
106 were through 92 were
without 80 were visits 51
were dishes 49 were active
88 were anxious 58 were
clumsy 64 were common 100
were exciting 40 were highly
60 were likely 392 were
marked 44 were negroes 45
were pressing 151 were serious
64 were severe 143 were
urgent 64 were anxious 166
were cordial 263 were kindly
62 were likely 53 were
obliging 41 were severe 40
were around 511 were through
45 were better 356 were
bigger 48 were closer 117
were greater 126 were higher
575 were larger 247 were
options 49 were enough 206
were something 96 were through
52 were through 42 were
elders 101 were laymen 47
were points 94 were slaves
41 were before 551 were
something 57 were active 153
were anxious 165 were bitter
51 were clever 46 were
common 62 were cordial 147
were curious 46 were formal
79 were gentle 51 were
highly 49 were honest 43
were jealous 153 were kindly
45 were lively 53 were
marked 43 were modest 58
were narrow 44 were pleased
186 were polite 333 were
scarce 47 were serious 80
were severe 56 were simple
195 were special 95 were
strict 125 were tedious 41
were around 93 were chosen
152 were filled 382 were
housed 64 were looked 82
were pleased 155 were served
45 were thought 202 were
treated 663 were turned 61
were watching 112 were leaders
76 were number 45 were
killed 66 were source 47
were source 52 were toward
49 were skills 49 were
before 49 were before 47
were forces 118 were secret
40 were abroad 102 were
across 59 were canada 42
were england 305 were europe
283 were france 201 were
london 77 were quebec 57
were various 127 were greater
41 were readers 54 were
chance 113 were orders 73
were return 275 were active
41 were appearing 83 were
becoming 42 were carrying 90
were crossing 53 were england
48 were entering 668 were
france 43 were further 201
were future 57 were german
60 were marrying 42 were
preaching 80 were public 692
were school 233 were settling
41 were visiting 111 were
fences 79 were enough 65
were enough 90 were enough
121 were headway 57 were
before 100 were enough 109
were enough 385 were access
258 were active 91 were
almost 81 were appearing 115
were applying 60 were becoming
410 were carrying 143 were
church 42 were claiming 66
were combat 303 were covering
48 were crossing 67 were
direct 179 were entering 2100
were formal 87 were further
273 were future 94 were
higher 145 were hotels 73
were marrying 151 were offering
76 were office 460 were
oxford 52 were preaching 62
were public 1107 were pursuing
70 were residing 55 were
school 126 were settling 63
were standing 99 were striking
40 were studying 85 were
various 57 were visiting 236
were watching 49 were zebras
60 were violent 61 were
clearer 140 were closer 45
were larger 73 were another
53 were active 73 were
common 384 were likely 76
were marked 117 were severe
69 were useful 50 were
violent 55 were active 1114
were alarming 90 were anxious
89 were bitter 59 were
brazen 53 were brutal 41
were clearly 418 were common
5910 were costly 95 were
deeply 224 were direct 40
were english 50 were exacting
48 were expert 69 were
fearful 57 were firmly 173
were formal 68 were furious
63 were heavily 51 were
highly 145 were humane 44
were keenly 42 were likely
85 were marked 506 were
mature 134 were menacing 81
were middle 174 were mobile
201 were modern 59 were
obvious 320 were openly 89
were pressing 374 were readily
190 were reliant 42 were
remote 102 were scarce 254
were secure 56 were serious
587 were severe 373 were
sought 41 were stable 184
were strict 67 were subtle
45 were united 124 were
urgent 207 were useful 48
were varied 299 were violent
326 were widely 766 were
better 124 were clearer 79
were larger 46 were active
171 were anxious 135 were
common 96 were scarce 297
were serious 223 were earners
40 were adults 56 were
harbor 70 were grants 130
were little 88 were loaded
51 were bushes 44 were
changes 40 were forced 109
were pieces 45 were denied
51 were secret 54 were
behind 156 were buried 280
were hidden 62 were undone
401 were unsaid 2413 were
unseen 44 were untold 128
were should 40 were direct
52 were powers 304 were
strength 137 were wounds 164
were before 77 were inside
46 were rubble 51 were
abroad 99 were another 50
were dealers 105 were england
102 were france 89 were
various 64 were william 56
were cheaply 51 were before
386 were further 629 were
through 69 were blocks 54
were cliffs 69 were groups
201 were little 177 were
pieces 1020 were squads 65
were various 51 were something
41 were houses 61 were
houses 44 were houses 51
were cabins 72 were church
59 were cities 41 were
empire 76 were houses 399
were little 42 were enough
56 were inside 532 were
deeply 59 were before 79
were before 49 were papers
51 were flames 142 were
flower 146 were before 189
were before 63 were abroad
44 were another 40 were
london 84 were various 51
were active 914 were actual
60 were another 83 were
battle 73 were effect 42
were office 62 were public
46 were school 65 were
serious 80 were session 260
were special 106 were training
47 were apples 50 were
almost 71 were before 43
were merely 52 were simply
79 were effect 123 were
sticks 88 were babies 95
were rifles 81 were weapons
101 were little 67 were
looked 143 were gordon 130
were basalt 48 were blocks
61 were marble 249 were
horses 51 were behind 163
were bribes 47 were killed
69 were annual 54 were
another 50 were bitter 49
were blocks 306 were demons
65 were devils 46 were
divine 99 were fishes 118
were golden 46 were holdings
52 were kingdoms 40 were
little 172 were marine 56
were mortal 46 were mourning
40 were poplar 104 were
shells 70 were silver 41
were snakes 63 were something
146 were stones 248 were
tongues 86 were twelve 67
were various 45 were wolves
149 were little 241 were
artful 50 were prices 53
were before 50 were across
93 were county 69 were
france 49 were pillar 40
were coffee 78 were weapons
107 were praetor 57 were
amongst 1541 were existing 71
were groups 70 were twenty
47 were various 334 were
widely 78 were elders 81
were leaders 77 were rights
108 were before 142 were
slowly 48 were before 62
were likely 67 were ground
165 were active 68 were
common 68 were likely 268
were serious 42 were severe
45 were toward 126 were
better 158 were greater 52
were higher 139 were larger
63 were reasons 48 were
through 89 were suited 46
were before 138 were without
53 were adopting 73 were
agreeing 59 were becoming 88
were sexual 64 were slaves
52 were wholly 41 were
amongst 53 were before 119
were before 65 were slowly
83 were actual 102 were
another 120 were drawings 88
were earlier 517 were england
61 were english 206 were
existing 62 were french 140
were german 88 were models
91 were nature 192 were
prints 80 were various 62
were losses 65 were little
84 were freely 74 were
retreat 69 were tracks 121
were around 93 were plants
125 were periods 56 were
before 76 were bright 58
were existing 118 were former
70 were something 54 were
various 67 were before 89
were earlier 147 were before
62 were through 77 were
another 41 were swords 72
were earlier 43 were various
225 were talons 81 were
pieces 52 were coffee 51
were course 71 were should
63 were should 55 were
suited 53 were enough 419
were likely 54 were likely
86 were useful 52 were
likely 124 were useful 53
were enough 43 were bronze
64 were stamps 44 were
access 175 were access 133
were rights 82 were rights
106 were access 45 were
access 52 were rights 109
were clergy 41 were former
45 were proper 81 were
rights 718 were rights 182
were rights 133 were rights
275 were energy 77 were
entire 133 were molten 48
were plants 338 were before
90 were normal 50 were
number 162 were whether 52
were dozens 192 were bleeding
52 were chairs 116 were
tables 46 were wounds 86
were toward 103 were toward
43 were squads 53 were
liquor 44 were drinks 58
were coffee 1197 were second
219 were before 237 were
through 43 were without 109
were across 2086 were almost
287 were before 824 were
behind 530 were beyond 612
were headlong 57 were inside
121 were through 1229 were
toward 423 were without 318
were another 115 were through
101 were further 81 were
further 101 were before 77
were headlong 73 were without
44 were africa 46 were
before 139 were behind 190
were bohemia 50 were boston
170 were brazil 54 were
canada 155 were cities 40
were england 441 were europe
185 were france 883 were
greece 113 were height 129
were hungary 127 were kuwait
59 were london 96 were
mexico 87 were moscow 62
were naples 75 were office
2306 were pillar 263 were
poland 66 were public 196
were rhodes 48 were sicily
197 were street 285 were
various 40 were vienna 40
were warsaw 61 were africa
51 were another 87 were
battle 84 were boston 49
were canada 92 were closer
113 were cracks 41 were
england 116 were flight 100
were forced 94 were france
78 were mexico 77 were
remote 70 were retreat 85
were revolt 159 were schism
69 were cattle 728 were
flocks 138 were sifted 45
were slaves 85 were across
65 were cliffs 159 were
through 121 were petals 105
were english 53 were boston
63 were rivers 81 were
streams 52 were behind 109
were states 73 were another
44 were behind 239 were
before 44 were another 48
were houses 49 were annual
72 were cigars 73 were
coffee 129 were dinner 161
were drinks 74 were heyday
73 were little 63 were
midday 53 were repast 49
were second 92 were siesta
158 were summer 108 were
sunday 228 were supper 62
were school 139 were another
79 were cabals 169 were
closer 40 were secret 55
were second 276 were placed
130 were memory 80 were
public 54 were before 94
were prison 42 were something
144 were coffee 42 were
deeply 102 were modern 49
were something 56 were revenge
108 were active 62 were
arrest 278 were attack 58
were carrying 45 were common
46 were direct 399 were
duties 133 were estate 69
were excise 51 were export
60 were feudal 60 were
forced 270 were further 110
were heresy 134 were import
231 were income 1187 were
manual 78 were militia 136
were normal 174 were public
187 were section 251 were
tariff 45 were tuition 85
were urgent 111 were vanity
82 were various 86 were
tender 41 were utmost 325
were england 85 were france
307 were moscow 76 were
before 72 were agreed 468
were broken 40 were clothed
142 were filled 181 were
formed 93 were hidden 72
were loaded 41 were marked
70 were placed 80 were
pleased 53 were served 101
were suited 41 were treated
648 were united 147 were
versed 99 were worked 44
were disuse 67 were before
48 were flames 142 were
through 57 were prices 82
were prices 161 were behind
95 were demons 167 were
devils 104 were madmen 56
were tigers 128 were something
179 were whether 80 were
battle 255 were behind 121
were existing 57 were lights
64 were reality 42 were
across 502 were almost 56
were before 40 were behind
96 were beyond 83 were
inside 60 were through 209
were toward 190 were through
50 were office 418 were
active 52 were adopting 91
were another 172 were battle
368 were becoming 201 were
cattle 75 were cities 54
were closer 213 were combat
65 were deeper 52 were
direct 70 were english 41
were fighting 70 were flight
91 were further 114 were
greater 120 were manual 52
were narrow 45 were public
191 were retreat 403 were
second 58 were sexual 376
were trucks 52 were various
76 were weapons 40 were
heathens 46 were earlier 101
were glacial 40 were periods
242 were before 110 were
carbon 48 were existing 137
were glacial 40 were groups
58 were marine 83 were
molten 113 were plants 94
were simple 55 were various
113 were another 124 were
bodies 71 were column 100
were fleets 46 were groups
806 were guilds 174 were
larger 59 were little 58
were militia 61 were nations
62 were special 178 were
squads 130 were square 55
were states 53 were tribes
52 were twelve 167 were
twenty 52 were various 93
were before 112 were slowly
43 were earlier 278 were
sturdy 120 were slowly 81
were before 127 were molten
181 were school 93 were
issues 66 were whether 43
were across 56 were without
43 were enough 58 were
fields 48 were through 68
were around 141 were various
42 were europe 583 were
forces 883 were strength 414
were around 156 were fruits
44 were various 103 were
revolt 108 were blacks 49
were guests 81 were horses
110 were powder 532 were
flocks 104 were before 66
were without 46 were pieces
84 were behind 43 were
almost 52 were before 359
were intact 46 were orally
3574 were through 1630 were
without 146 were before 105
were intact 89 were without
259 were before 104 were
absent 73 were around 125
were called 192 were cleaned
44 were closed 42 were
killed 47 were raised 54
were without 100 were amidst
91 were agents 77 were
before 98 were enough 316
were enough 53 were enough
91 were absurd 84 were
active 131 were amazed 155
were anxious 139 were bitter
56 were curious 103 were
jealous 56 were marked 46
were potent 45 were sacred
41 were savage 47 were
serious 69 were severe 196
were useful 46 were violent
80 were before 69 were
edifying 64 were futile 66
were likely 141 were serious
83 were better 173 were
before 351 were before 49
were except 61 were alight
80 were enough 255 were
bothering 65 were counting 84
were notice 108 were noticing
43 were serious 56 were
little 41 were another 170
were barbed 71 were cattle
327 were forced 48 were
groups 104 were prison 95
were special 83 were trains
66 were trucks 212 were
cattle 974 were trains 87
were trucks 60 were behind
456 were inside 45 were
inside 117 were anyone 43
were direct 57 were mortal
49 were public 1171 were
strange 50 were enough 40
were blacks 81 were whites
58 were younger 56 were
periods 56 were horses 50
were shouting 103 were europe
68 were ridges 83 were
without 81 were kayaks 69
were pillar 42 were rivers
76 were vermin 63 were
wolves 207 were across 58
were battle 49 were boston
41 were arrest 343 were
attack 422 were damage 42
were direct 56 were further
41 were public 46 were
reasons 127 were behind 59
were likely 103 were greater
62 were points 60 were
reasons 65 were common 67
were likely 582 were dismal
40 were toward 78 were
better 122 were causes 62
were effect 45 were absurd
52 were active 59 were
costly 46 were earnest 90
were pretty 89 were serious
52 were singular 80 were
wisely 52 were suited 63
were brother 46 were houses
188 were avoiding 74 were
building 304 were carrying 66
were pursuing 58 were revenge
40 were reviving 44 were
rounding 42 were securing 238
were something 92 were watching
51 were before 58 were
berlin 78 were england 55
were london 147 were madrid
49 were moscow 43 were
various 62 were woolen 44
were before 89 were another
46 were larger 43 were
siamese 112 were without 43
were enough 58 were likely
41 were likely 96 were
likely 110 were proper 54
were august 44 were fighting
135 were training 43 were
before 95 were ambush 297
were behind 48 were before
314 were winter 90 were
buried 123 were killed 82
were caught 46 were fighting
45 were israeli 42 were
police 357 were russian 42
were struck 47 were troops
174 were arriving 100 were
africa 41 were england 44
were hyenas 46 were something
123 were loudly 65 were
layers 184 were camden 88
were readily 105 were through
52 were course 43 were
sullen 62 were cigars 141
were higher 43 were larger
40 were through 60 were
likely 55 were spaces 54
were before 95 were except
202 were another 75 were
barges 64 were cattle 470
were memory 132 were police
47 were special 54 were
trains 85 were trucks 956
were wagons 473 were cattle
65 were heavily 48 were
another 79 were barges 214
were cattle 148 were special
43 were trains 369 were
trucks 1037 were wagons 280
were behind 150 were inside
93 were inside 215 were
without 65 were almost 423
were coldly 85 were mainly
56 were merely 491 were
simply 206 were prices 69
were england 93 were europe
69 were middle 174 were
school 121 were adults 69
were enough 129 were abreast
74 were boston 85 were
canada 51 were madrid 50
were battle 97 were france
40 were poland 71 were
troops 41 were abreast 44
were madrid 55 were slowly
42 were already 59 were
greater 81 were strength 82
were bullion 58 were cannon
174 were dishes 60 were
sorrow 54 were effect 49
were little 75 were agents
62 were common 41 were
another 52 were bigger 40
were larger 527 were pleased
141 were eastern 111 were
england 86 were europe 56
were london 55 were middle
216 were school 356 were
behind 107 were before 61
were through 58 were simple
68 were adults 103 were
ladies 40 were attack 57
were horses 977 were dashed
86 were losses 51 were
myriads 48 were whites 63
were abroad 51 were enough
67 were enough 124 were
enough 235 were enough 71
were enough 123 were better
232 were enough 54 were
enough 81 were chosen 47
were enough 43 were enough
63 were before 55 were
readers 40 were before 47
were inside 49 were before
88 were enough 47 were
widely 103 were enough 122
were office 452 were public
47 were another 53 were
cattle 284 were crates 106
were prison 49 were trains
92 were trucks 152 were
trunks 69 were wagons 90
were wooden 79 were cattle
178 were herrings 491 were
inches 66 were bodies 72
were inside 44 were enough
71 were clerks 53 were
orally 253 were through 154
were without 42 were through
158 were orally 669 were
through 2149 were family 80
were friend 45 were master
160 were parent 329 were
person 769 were before 51
were almost 57 were tinned
106 were without 602 were
cattle 89 were plates 50
were various 49 were before
70 were behind 294 were
enough 123 were another 52
were effect 102 were foster
72 were groups 205 were
special 81 were various 45
were before 66 were behind
148 were beyond 58 were
inside 216 were closer 55
were higher 45 were graves
87 were aztlan 62 were
before 369 were merely 53
were neither 41 were through
59 were without 113 were
greeks 62 were chairs 67
were gilded 221 were another
90 were public 44 were
record 156 were tables 52
were wagons 47 were wheels
44 were annual 62 were
attack 95 were escape 126
were future 228 were return
73 were revenge 41 were
through 132 were memory 53
were enough 310 were another
125 were bitter 49 were
crisis 82 were deeper 53
were liquid 245 were misery
165 were mourning 458 were
sorrow 99 were rifles 151
were weapons 118 were parked
54 were groups 51 were
albany 60 were merely 130
were enough 56 were before
202 were without 77 were
another 60 were building 41
were canada 47 were england
45 were europe 141 were
france 64 were public 48
were feathers 130 were heavily
58 were attack 119 were
claims 466 were agreed 228
were always 91 were closed
46 were forced 92 were
intact 44 were normal 51
were agreed 751 were broken
74 were cleaned 106 were
cleared 113 were damped 53
were fagged 265 were filled
1027 were formed 65 were
frozen 54 were hidden 165
were loaded 157 were placed
40 were played 264 were
pleased 58 were posted 47
were scared 194 were shaken
209 were soaked 89 were
suited 74 were talked 47
were through 45 were treated
43 were united 197 were
versed 46 were winded 65
were worked 106 were ladies
46 were higher 90 were
highly 120 were highly 50
were highly 181 were nurses
269 were across 41 were
behind 52 were through 41
were toward 43 were around
123 were before 90 were
without 51 were behind 64
were office 131 were public
200 were career 73 were
course 298 were higher 56
were labors 53 were lawful
50 were normal 45 were
sports 45 were various 217
were across 361 were almost
64 were behind 102 were
beyond 135 were farther 56
were further 173 were inside
58 were through 110 were
toward 238 were farther 74
were further 381 were higher
60 were farther 42 were
further 140 were behind 470
were enough 74 were another
56 were higher 145 were
second 65 were further 123
were brains 74 were memory
76 were before 54 were
further 221 were higher 578
were common 131 were cuttings
80 were twelve 54 were
twenty 73 were various 150
were enough 559 were enough
55 were higher 227 were
whether 86 were little 50
were forces 125 were lowest
128 were highly 161 were
highly 51 were higher 78
were enough 52 were public
143 were without 62 were
around 101 were before 91
were except 268 were without
134 were before 110 were
except 208 were chains 49
were sabers 45 were through
54 were school 150 were
memory 75 were output 54
were something 203 were coffee
66 were almost 55 were
heavily 228 were reality 46
were solemn 62 were attack
60 were places 52 were
active 46 were office 64
were riches 49 were warren
70 were cavity 65 were
sheets 75 were deeply 50
were around 131 were boston
77 were england 46 were
battle 76 were combat 41
were feathers 53 were horses
444 were mounts 48 were
ponies 55 were aboard 114
were across 53 were inside
192 were ashore 91 were
before 70 were pleased 76
were scores 103 were likely
43 were arrest 41 were
attack 355 were injury 96
were behind 894 were avidly
47 were eagerly 109 were
before 130 were enough 46
were before 72 were public
107 were unless 54 were
without 55 were around 108
were before 127 were except
162 were without 84 were
before 67 were except 262
were except 48 were silver
142 were drinks 61 were
drinks 43 were nicely 62
were toward 46 were direct
49 were horses 49 were
humans 44 were little 488
were shells 42 were stairs
82 were sticks 40 were
widely 64 were foliage 59
were petals 45 were winter
84 were ground 68 were
weight 51 were duties 103
were behind 233 were scenes
44 were arrows 135 were
adieus 58 were behind 105
were behind 64 were little
46 were drawings 117 were
behind 783 were without 63
were likely 76 were judges
44 were likely 178 were
spaces 51 were better 83
were africa 72 were through
62 were babies 68 were
siesta 49 were pieces 72
were around 166 were ground
114 were ground 297 were
headway 77 were across 100
were through 109 were toward
406 were through 97 were
watching 60 were another 52
were enough 43 were special
68 were before 85 were
another 86 were indeed 49
were eighty 94 were modern
195 were twelve 58 were
twenty 299 were special 261
were groups 476 were various
66 were various 104 were
inside 50 were widely 128
were further 40 were through
57 were through 62 were
toward 46 were energy 43
were entire 175 were evenings
198 were nights 132 were
second 69 were strength 96
were summer 819 were sunday
52 were little 62 were
through 117 were future 59
were wheels 191 were mainly
41 were enough 94 were
slowly 76 were softly 79
were england 45 were europe
135 were summer 114 were
horses 150 were stored 69
were stacks 89 were hooves
47 were before 213 were
behind 611 were beyond 166
were inside 1812 were inches
89 were twenty 43 were
ground 750 were before 189
were behind 71 were beside
187 were chatting 62 were
laughing 101 were watching 532
were without 71 were christ
95 were ground 44 were
school 56 were engines 78
were second 139 were career
45 were clearly 61 were
clearly 70 were clearly 71
were course 116 were another
85 were tongues 46 were
before 284 were africa 331
were another 68 were mexico
42 were various 44 were
behind 123 were inside 128
were safely 75 were across
89 were through 71 were
toward 70 were france 51
were flower 135 were seemed
51 were utmost 236 were
before 216 were beside 60
were partly 47 were without
165 were before 42 were
behind 451 were babies 49
were likely 50 were better
153 were dismal 62 were
europe 180 were horses 152
were useful 46 were skills
47 were duties 84 were
lesson 104 were skills 116
were little 198 were lesson
64 were pleases 91 were
winter 50 were before 83
were horses 58 were without
49 were suited 49 were
enough 924 were useful 61
were likely 137 were likely
333 were useful 46 were
likely 522 were proper 143
were highly 61 were little
45 were strange 65 were
peopled 67 were noticing 40
were school 179 were maxims
73 were twelve 40 were
hidden 61 were hungary 43
were prison 44 were through
305 were behind 196 were
sights 42 were troops 41
were kindly 47 were adults
221 were aliens 94 were
brutes 79 were cattle 596
were common 157 were family
463 were felons 69 were
guests 131 were lepers 174
were little 289 were pariahs
157 were queens 78 were
second 408 were slaves 1357
were vermin 111 were visiting
228 were fairly 185 were
gently 165 were kindly 251
were mildly 73 were kindly
85 were mildly 79 were
better 958 were kindly 615
were nicely 68 were poorly
128 were enough 291 were
france 125 were through 60
were horses 50 were school
181 were behind 149 were
inside 194 were safely 63
were around 47 were before
58 were unable 102 were
without 303 were before 293
were toward 129 were without
145 were before 118 were
except 40 were flatly 65
were without 105 were active
62 were actual 68 were
agents 68 were allies 50
were another 145 were arabic
126 were arable 142 were
arches 195 were assets 50
were bitter 76 were blocks
67 were bloody 40 were
boarding 106 were building 44
were cannon 46 were cattle
64 were common 92 were
defeats 48 were demons 47
were desert 64 were devils
88 were double 44 were
drinking 146 were english 660
were fields 131 were fishes
122 were floating 45 were
french 255 were garden 51
were german 54 were gloomy
78 were highly 43 were
hotels 44 were houses 69
were little 200 were lumber
109 were marble 115 were
market 84 were meadows 46
were modern 86 were mourning
450 were movies 127 were
operas 60 were places 156
were poplar 388 were profit
49 were public 331 were
reality 141 were relief 40
were rights 41 were rivers
80 were rubble 106 were
scenes 55 were slaves 472
were sleeping 98 were snakes
97 were something 161 were
stones 528 were street 43
were swamps 61 were tongues
155 were treason 68 were
twelve 46 were useful 46
were various 45 were vaults
44 were weapons 131 were
wolves 175 were toward 43
were without 74 were another
43 were prussia 40 were
before 49 were behind 88
were younger 95 were square
54 were before 600 were
behind 339 were earlier 560
were younger 3884 were groups
55 were larger 134 were
tribes 65 were through 77
were speech 55 were highly
139 were highly 1971 were
highly 169 were higher 83
were highly 439 were reasons
55 were causes 70 were
groups 63 were methods 59
were points 42 were reasons
162 were likely 56 were
enough 41 were chords 49
were rights 49 were another
73 were africa 72 were
clouds 47 were sheets 47
were loaded 43 were before
117 were before 53 were
across 83 were behind 702
were inside 61 were chance
78 were flocks 1016 were
weight 85 were events 46
were camels 82 were cattle
84 were flocks 154 were
horses 571 were heavily 47
were options 76 were heavily
47 were larger 53 were
horses 76 were should 47
were knives 73 were horses
48 were across 46 were
around 46 were before 349
were murray 42 were except
45 were effect 52 were
effect 42 were lawful 62
were proper 61 were weapons
44 were slaves 105 were
brains 70 were little 40
west africa 484 west africa
88 west avenue 141 what
needed 117 what follow 53
what result 84 what happen
67 what doubts 123 what
should 72 what thought 3947
what wanted 277 what likely
78 what clearly 44 what
likely 113 what singular 42
what striking 96 what strange
53 what common 64 what
itself 160 what looked 130
what africa 61 what peeped
56 what demise 45 what
disease 43 what changes 246
what feelings 42 what changes
84 what disease 89 what
changes 81 what changes 357
what events 40 what feelings
81 what shifts 47 what
stress 146 what already 66
what passed 94 what likely
64 what needed 787 what
changes 72 what happen 116
what result 134 what through
271 what decide 64 what
called 113 what changes 307
what findings 55 what various
