wages previously earned by 52
where reference shall be 55
where reflected light is 51
where residents lived in 49
where residents would be 87
where resources could be 233
where resources might be 118
where resources would be 68
where restraint would be 91
where rheumatic fever is 140
where sacrifice could be 76
where scattered light is 40
where scripture speaks of 75
where sovereign power is 117
where specimens could be 65
where spiritual growth is 47
where spiritual power is 42
where stainless steel is 130
where stainless steel or 73
where standards could be 41
where strategic thinking is 46
where substance abuse is 239
where technical change is 298
where technical skill is 132
where technical words or 51
where television viewing is 78
where transport would be 40
where travelers could be 42
where travelers could eat 44
where unbounded trust is 58
where unskilled labor is 279
where valuables could be 56
where vegetation cover is 229
where vegetation grows so 41
where villagers gather to 45
where voluntary action is 62
where witnesses could be 73
where wordsworth speaks of 93
which absolution could be 84
which accidents occur in 41
which accordingly began to 77
which accordingly comes to 43
which accordingly could be 64
which accordingly makes the 97
which accordingly moved on 49
which accordingly ought to 47
which accordingly seems to 74
which accordingly tends to 42
which accordingly would be 89
which additional light is 41
which additional proof the 45
which additional space is 54
which additional stock is 48
which additional study is 42
which additional units of 152
which additional water is 66
which addresses belong to 46
which admirably shows the 68
which admirably suits the 159
which advantage could be 375
which advantage might be 428
which advantage shall we 128
which advantage would be 106
which advertising could be 68
which advertising might be 59
which advertising plays in 86
which advertising space is 52
which advertising would be 40
which affidavit shall be 851
which afflicted italy at 82
which afterward forms the 50
which afterward sprang up 40
which aggression could be 71
which aggression might be 54
which aggression would be 80
which agreement about the 41
which agreement could be 908
which agreement might be 369
which agreement seems to 57
which agreement shall be 490
which agreement would be 278
which alexander broke the 49
which alexander chose to 97
which alexander found in 90
which alexander hoped to 55
which alexander seems to 83
which alexander tried to 40
which alexander would be 42
which alexander wrote to 40
which allegedly could be 78
which allegedly seeks to 44
which allegedly would be 61
which allocated funds to 141
which allocated money to 45
which allocates funds to 154
which allocates money to 41
which allocation method is 79
which allocation shall be 85
which allowance shall be 231
which alternate forms of 50
which altogether fails to 85
which altogether might be 45
which amendment shall be 84
which americans appear to 43
which americans began to 124
which americans chose to 53
which americans could be 192
which americans hoped to 53
which americans liked to 40
which americans might be 108
which americans ought to 174
which americans refer to 40
which americans tried to 64
which americans would be 308
which americans would do 70
which ammunition could be 113
which amplified music is 101
which analogies might be 41
which anciently stood in 68
which anciently stood on 75
which annexation could be 87
which announced plans to 170
which antibiotic would be 83
which antiquity seems to 42
which anxieties about the 79
which appearance shall be 67
which appellant might be 62
which appellant seeks to 127
which appointed eight of 56
which appraisal shall be 49
which approaching nearer to 48
which arbitrary power is 92
which argentina would be 51
which arguments about the 237
which arguments based on 85
which arguments could be 194
which arguments might be 87
which arguments would be 59
which aristotle calls the 540
which aristotle could be 56
which aristotle finds in 52
which aristotle found in 149
which aristotle found the 68
which aristotle gives in 135
which aristotle gives of 322
which aristotle gives the 114
which aristotle gives to 141
which aristotle gives us 100
which aristotle makes in 117
which aristotle makes of 114
which aristotle makes the 65
which aristotle makes to 47
which aristotle might be 40
which aristotle ranks in 51
which aristotle seeks to 93
which aristotle seems to 700
which aristotle speaks as 106
which aristotle speaks in 200
which aristotle speaks is 162
which aristotle speaks of 581
which aristotle spoke of 46
which aristotle takes as 109
which aristotle takes to 142
which aristotle takes up 63
which aristotle tells us 472
which aristotle thinks is 48
which aristotle treats as 161
which aristotle treats in 106
which aristotle treats of 59
which aristotle tried to 128
which aristotle tries to 113
which aristotle wants to 61
which aristotle wrote in 53
which arithmetic could be 54
which artificial feeding is 70
which artificial light is 238
which artillery could be 262
which assembled about the 57
which assembled after the 390
which assembled round the 116
which assembled under the 317
which assertions about the 71
which associates would be 54
which association gives to 50
which assumption would be 44
which assuredly ought to 94
which assuredly would be 92
which astronomy gives us 59
which astronomy shows us 54
which atonement might be 42
which attackers could be 44
which attitudes about the 49
which attitudes could be 71
which attitudes might be 92
which attorneys agree to 60
which attracted hosts of 46
which attracted others to 69
which attracted people of 92
which attracted people to 342
which attracted throngs of 63
which attracted while it 46
which attracted women to 63
which attraction binds the 53
which audiences could be 48
which augustine calls the 89
which augustine found in 61
which augustine gives of 70
which augustine seeks to 62
which augustine seems to 81
which augustine speaks in 71
which augustine speaks of 135
which authorized funds to 51
which authorized writs of 161
which bannister gives us 58
which barbarians might be 46
which basically aimed at 46
which basically gives the 57
which basically makes the 49
which basically refer to 60
which basically rests on 48
which basically seeks to 52
which basically takes the 48
which basically tells the 56
which behavioral change is 84
which believers enjoy in 52
which believers ought to 147
which believers shall be 43
which believers stand to 61
which believers would be 80
which binocular vision is 249
which bloodshed could be 53
which blossomed after the 93
which blossomed under the 100
which bonaparte found in 47
which bonaparte hoped to 61
which bonaparte ought to 82
which bonaparte spoke of 41
which bonaparte would be 55
which bonaparte wrote to 72
which broadcloth could be 98
which brokerage could be 62
which california would be 67
which candidate could be 43
which candidate might be 45
which candidate shall be 291
which candidate would be 287
which candidate would do 105
which certainly acted as 40
which certainly added to 169
which certainly appear to 589
which certainly apply to 82
which certainly belong in 44
which certainly belong to 1252
which certainly could be 563
which certainly exist in 162
which certainly exist on 47
which certainly gives an 93
which certainly gives it 64
which certainly gives me 63
which certainly gives no 54
which certainly gives the 223
which certainly gives us 127
which certainly helps to 177
which certainly hints at 65
which certainly holds in 47
which certainly leaves the 43
which certainly looks as 303
which certainly makes it 309
which certainly makes no 71
which certainly makes the 284
which certainly might be 361
which certainly needs no 52
which certainly needs to 172
which certainly occur in 95
which certainly ought to 2194
which certainly plays an 79
which certainly point to 141
which certainly ranks as 43
which certainly refer to 102
which certainly rests on 73
which certainly saved the 45
which certainly seems an 67
which certainly seems in 44
which certainly seems the 83
which certainly seems to 2512
which certainly shews the 58
which certainly shows no 74
which certainly shows the 137
which certainly stood in 88
which certainly suits the 44
which certainly tends to 261
which certainly would be 1564
which certainly would do 51
which certainty could be 62
which certainty gives to 50
which cervantes gives us 43
which challenges people to 49
which character comes to 64
which character could be 77
which character might be 57
which character seems to 43
which character state is 55
which character would be 105
which charlotte wrote to 65
which chemicals could be 53
which chemicals enter the 65
which chemicals would be 48
which chemistry gives us 47
which chemistry makes us 46
which chemistry shows to 63
which childhood fills the 271
which christians began to 56
which christians claim to 76
which christians could be 161
which christians enjoy in 48
which christians might be 125
which christians offer up 69
which christians ought to 1172
which christians refer to 87
which christians share in 55
which christians stand to 94
which christians tried to 46
which christians under the 47
which christians would be 179
which christians would do 127
which churchill tried to 49
which cigarette smoke is 48
which cigarette smoking is 160
which circulate about the 121
which circulate round it 59
which circulate round the 459
which circulate under the 73
which circulate within it 231
which circulate within the 252
which civilized people of 47
which clarendon gives of 51
which clarendon tells of 130
which classical learning is 45
which classical logic is 72
which classical music is 118
which clustered about it 139
which clustered about the 791
which clustered round it 224
which clustered round the 1014
which coalesced under the 63
which coleridge calls the 56
which coleridge found in 94
which coleridge seems to 111
which coleridge speaks in 55
which coleridge speaks of 116
which coleridge tried to 47
which coleridge wrote in 159
which coleridge wrote to 66
which collapsed after the 208
which collapsed under the 504
which collapses round it 42
which collapses under the 104
which collected about the 63
which collected below in 40
which collected funds to 59
which collected money to 74
which collected round the 154
which collected under the 57
which collection could be 50
which commanded views of 73
which commenced about the 747
which commenced after the 553
which commenced running in 101
which commenced trading in 46
which commenced under the 346
which commenced while the 56
which commenced within the 75
which commences about the 669
which commences above at 44
which commences above the 74
which commences after the 324
which commences under the 51
which commences where the 48
which commences within the 49
which commercial banks do 42
which commercial banks in 138
which commercial paper is 106
which commission shall be 414
which committed italy to 40
which committee shall be 703
which commodity would be 59
which communism could be 65
which communism seeks to 87
which communism would be 72
which communist china is 191
which community could be 50
which community would be 59
which companies agree to 51
which companies could be 185
which companies engage in 114
which companies might be 150
which companies offer the 54
which companies shall be 49
which companies would be 351
which compelled athens to 40
which compelled china to 76
which compelled henry to 40
which compelled japan to 71
which compelled others to 49
which compelled people to 307
which compelled russia to 68
which compelled women to 119
which complains about the 128
which complaint could be 99
which complaint shall be 276
which compliance could be 109
which compliance would be 83
which component parts of 169
which compounds could be 88
which compounds might be 41
which compounds would be 48
which comprised nearly the 161
which comprised parts of 221
which comprises every thing 77
which comprises nearly the 91
which comprises parts of 205
which comprises treating the 107
which comprises within it 54
which compulsion could be 47
which computers could be 186
which computers might be 148
which computers would be 94
which concerned either the 59
which concerned others as 46
which concerted action by 42
which concerted action is 79
which conclusion would be 51
which condemned alike the 67
which condemned women to 90
which condensed items of 73
which conditions appear to 50
which conditions apply to 63
which conditions could be 154
which conditions exist in 44
which conditions favor the 55
which conditions might be 142
which conditions people to 52
which conditions shall be 114
which conditions within the 97
which conditions would be 233
which conducted hearings on 124
which conducted water to 52
which conferred power on 223
which conferred power to 81
which confesses jesus as 49
which conflicts could be 173
which conflicts might be 51
which conflicts within the 63
which conflicts would be 59
which connection could be 40
which conquered china in 42
which consensus about the 44
which consensus could be 209
which consensus might be 65
which considers beauty to 54
which considers first the 57
which considers light as 83
which considers power as 235
which considers women as 85
which considers words as 75
which consigned women to 55
which consisted either in 97
which consisted either of 398
which consisted first in 40
which consisted first of 199
which consisted often of 88
which consisted rather in 150
which consisted really of 41
which constrain people to 69
which construct women as 152
which construes taxes on 63
which consumers begin to 49
which consumers could be 81
which consumers engage in 93
which consumers might be 89
which consumers place on 90
which consumers would be 420
which contained about an 57
which contained about as 100
which contained about the 103
which contained above an 84
which contained anything of 50
which contained bones of 92
which contained books on 87
which contained close to 47
which contained coins of 56
which contained eight or 55
which contained either the 79
which contained every thing 115
which contained germs of 42
which contained items of 67
which contained lists of 213
which contained lumps of 63
which contained names of 101
which contained nearly the 67
which contained notes on 62
which contained parts of 179
which contained proof of 55
which contained seeds of 76
which contained seven or 41
which contained threats of 40
which contained twice as 67
which contained twice the 40
which contained views or 121
which contained water in 52
which contained within it 945
which contained within the 47
which contained words of 127
which contained works by 153
which contained works of 101
which contained works on 41
which container holds the 91
which continued about an 179
which continued about the 86
which continued after he 147
which continued after it 58
which continued after the 2933
which continued below the 53
which continued daily to 59
which continued growth is 51
which continued nearly an 101
which continued nearly the 87
which continued nearly to 71
which continued right up 1134
which continued round the 127
which continued still in 41
which continued still to 147
which continued under the 1329
which continued until as 40
which continued until at 183
which continued until he 775
which continued until in 53
which continued until it 564
which continued until my 71
which continued until the 16125
which continued until we 383
which continued while he 58
which continued while the 112
which continued within the 79
which continues above the 59
which continues after it 52
which continues after the 1417
which continues below the 85
which continues beneath the 66
which continues nearly to 54
which continues right up 128
which continues round the 242
which continues seated at 57
which continues still in 81
which continues still to 170
which continues today as 912
which continues today at 72
which continues today in 565
which continues today on 40
which continues today to 244
which continues under the 412
which continues until an 48
which continues until he 137
which continues until it 359
which continues until the 4886
which continues until we 57
which continues while the 150
which continues within the 90
which contracts could be 211
which contracts might be 161
which contracts shall be 247
which contracts under the 70
which contracts would be 117
which converged above the 41
which converges weakly to 99
which converses about the 308
which conversion could be 119
which conviction could be 43
which conviction shall be 123
which convinced minds as 251
which corporate action is 43
which corporate crime is 45
which corporate power is 49
which corporate stock is 45
which correctly gives the 41
which corruption could be 60
which corruption might be 76
which corruption might go 60
which countless herds of 99
which countries agree to 207
which countries appear to 44
which countries belong to 131
which countries could be 131
which countries might be 149
which countries offer the 47
which countries ought to 57
which countries within the 86
which countries would be 598
which creativity could be 48
which creativity might be 41
which creativity would be 45
which creditors agree to 110
which creditors would be 201
which criminals could be 210
which criminals might be 113
which criminals would be 54
which criticism could be 147
which criticism might be 53
which criticism ought to 80
which criticism tries to 62
which criticism would be 77
which crucifies again the 53
which currently appear in 93
which currently appear to 174
which currently apply to 131
which currently beset the 67
which currently cover the 147
which currently exist as 40
which currently exist in 676
which currently exist or 46
which currently exist to 45
which currently forms the 58
which currently holds the 218
which currently limit the 97
which currently makes it 44
which currently makes up 61
which currently occur in 46
which currently seems to 267
which currently serve as 123
which currently stand at 127
which currently stood at 50
which currently takes the 48
which currently tends to 51
which currently would be 45
which customers could be 153
which customers enter the 98
which customers might be 98
which customers would be 244
which decidedly belong to 76
which decompose under the 83
which decompose water at 324
which deductions could be 207
which deductions might be 67
which deductions shall be 210
which deductions would be 54
which defendant could be 84
which defendant might be 86
which defendant moved to 58
which defendant seeks to 133
which defendant would be 115
which definition shall be 83
which delegated power to 93
which delegates could be 55
which delegates power to 76
which delegates shall be 90
which delegates would be 185
which delegation shall be 43
which delighted henry as 98
which delivered water to 80
which democracy could be 273
which democracy makes in 40
which democracy might be 83
which democracy rests is 90
which democracy seeks to 94
which democracy seems to 58
which democracy tends to 46
which democracy would be 238
which descartes calls the 83
which descartes gives in 98
which descartes gives to 59
which descartes seeks to 57
which descartes seems to 135
which descartes speaks in 54
which descartes speaks of 68
which descartes tells us 40
which descartes tried to 75
which descartes tries to 68
which descartes wrote the 63
which descended below the 223
which descended nearly to 276
which described jesus as 62
which describes fully the 87
which describes jesus as 253
which describes learning as 55
which describes types of 54
which describes where the 113
which describes women as 40
which despotism based on 50
which destroyed every thing 67
which destroyed nearly the 223
which destroyed parts of 88
which determine change in 40
which determine either the 84
which determine rates of 92
which determine wages in 70
which determine where it 45
which determine where the 299
which determine which of 312
which developed about the 277
which developed above the 51
which developed after an 105
which developed after he 129
which developed after the 4210
which developed first in 251
which developed later as 168
which developed later in 595
which developed later on 343
which developed round the 97
which developed since the 186
which developed thanks to 46
which developed under the 2312
which developed until the 58
which developed while he 53
which developed while the 107
which developed within it 101
which developed within the 1772
which diagnostic testing is 43
which diagnostic tests to 58
which different doses of 78
which different forms of 3852
which different forms we 68
which different items of 99
which different kinds of 8972
which different lengths of 91
which different lines of 188
which different meanings of 71
which different modes of 917
which different pairs of 119
which different parts of 4866
which different parts or 72
which different people do 46
which different people in 97
which different people of 69
which different people or 58
which different races of 79
which different rates of 410
which different rules of 117
which different sides of 46
which different sizes of 173
which different sorts of 1246
which different types of 11088
which different units of 110
which different views of 211
which different views on 48
which different waves of 46
which directions could be 54
which directions shall be 48
which directors could be 101
which directors ought to 45
which directors shall be 151
which directors would be 43
which disappears after the 631
which disappears again as 86
which disappears again in 53
which disappears again on 109
which disappears below the 51
which disappears beneath the 74
which disappears later in 41
which disappears under the 366
which disappears within the 68
which discharge balls of 55
which discharge shall be 198
which discourse about the 71
which discovers within the 41
which discovery shall be 66
which discovery would be 143
which discretion could be 80
which discussion about the 46
which discussion could be 72
which discussion might be 57
which discussion would be 86
which disdained either to 82
which displayed alike the 65
which displayed signs of 59
which dissolved after the 44
which dissolves again in 49
which dissolves easily in 450
which dissolves under the 41
which distances could be 76
which distilled water is 276
which distinguish either the 65
which distinguish people of 85
which districts shall be 260
which districts would be 52
which diversity could be 63
which diversity would be 41
which dividends could be 280
which dividends might be 156
which dividends shall be 206
which dividends would be 88
which documents could be 126
which documents might be 68
which documents shall be 204
which documents would be 140
which dominated thinking in 56
which dominated trade in 60
which dominated until the 112
which doubtless added to 141
which doubtless aided in 46
which doubtless belong to 178
which doubtless could be 135
which doubtless exist in 171
which doubtless gives the 40
which doubtless helps to 137
which doubtless might be 132
which doubtless occur in 60
which doubtless ought to 109
which doubtless refer to 47
which doubtless saved the 79
which doubtless serve to 56
which doubtless stood in 40
which doubtless would be 413
which duplicate shall be 71
which economics might be 44
which economics would be 42
which economies could be 168
which economies might be 76
which educators ought to 43
which effective action is 115
which effective learning is 45
which effective power is 66
which effective teaching is 42
which electoral votes to 52
which electrons could be 108
which electrons enter the 217
which electrons orbit the 69
which electrons would be 57
which eloquence ought to 55
which elsewhere belong to 76
which elsewhere could be 62
which elsewhere forms the 52
which elsewhere might be 208
which elsewhere seems to 72
which elsewhere would be 1013
which emergency shall be 260
which emigration could be 44
which emigration might be 57
which eminently breathe in 62
which emphasize either the 117
which employees agree to 71
which employees belong to 67
which employees could be 301
which employees engage in 167
which employees enter the 40
which employees focus on 118
which employees might be 152
which employees shall be 268
which employees share in 159
which employees share the 42
which employees within the 73
which employees would be 587
which employers agree to 53
which employers could be 137
which employers might be 46
which employers tried to 51
which employers would be 278
which encourage firms to 141
which encourage girls to 61
which encourage growth of 59
which encourage hopes of 55
which encourage others to 104
which encourage people to 1158
which encourage staff to 49
which encourage women to 314
which endurance ceases to 52
which engagement shall be 55
which englishmen began to 44
which englishmen belong to 43
which englishmen could be 43
which englishmen glory in 191
which englishmen might be 40
which englishmen ought to 244
which englishmen would be 54
which envisaged setting up 53
which equipment could be 163
which equipment might be 53
which equipment would be 93
which escalated after the 55
which especially adapt it 43
which especially after the 60
which especially appeal to 253
which especially apply to 63
which especially belong to 484
which especially marks the 197
which especially needs to 77
which especially occur in 40
which especially refer to 82
which especially seems to 62
which especially since the 67
which especially tends to 89
which especially treats of 68
which establish rules of 71
which estimates could be 237
which estimates might be 49
which estimates shall be 133
which estimation method is 63
which eternally locks in 41
which euripides seems to 63
which evaluation might be 42
which everybody began to 48
which everybody could be 80
which everybody feels to 45
which everybody knows as 127
which everybody knows at 96
which everybody knows by 281
which everybody knows he 70
which everybody knows in 81
which everybody knows is 827
which everybody knows the 165
which everybody knows to 494
which everybody liked to 78
which everybody likes in 57
which everybody likes to 43
which everybody might be 75
which everybody needs to 61
which everybody ought to 889
which everybody seems to 1029
which everybody speaks of 45
which everybody spoke at 51
which everybody spoke of 44
which everybody thinks he 81
which everybody thinks is 61
which everybody tried to 127
which everybody tries to 237
which everybody wants to 447
which everybody would be 599
which evidences title to 106
which evidently acted as 57
which evidently admit of 58
which evidently aimed at 60
which evidently appear on 41
which evidently appear to 153
which evidently apply to 60
which evidently began to 40
which evidently belong to 1202
which evidently could be 68
which evidently forms the 109
which evidently gives the 174
which evidently marks the 58
which evidently ought to 185
which evidently point to 137
which evidently prove the 82
which evidently refer to 448
which evidently rests on 59
which evidently seems to 79
which evidently serve the 41
which evidently shews the 62
