wan in 52 war an
of 343 was on 118
was of 141 was to
41 was the 102 was
to 126 was by 181
was the 71 was the
89 was of 67 was
on 165 was to 151
was to 47 was by
54 was to 90 was
the 42 was to 84
was to 554 was to
42 was the 65 was
to 47 was to 43
was to 41 was up
43 was to 85 was
the 48 was to 60
was on 53 was in
40 was of 85 was
to 51 was at 79
was on 106 was to
50 was of 93 was
of 44 was by 403
was in 63 was as
392 was by 637 was
in 164 was by 64
was by 539 was in
217 was on 41 was
by 128 was in 58
was by 65 was to
184 was to 201 was
by 678 was to 103
was by 209 was in
51 was to 147 was
by 117 was by 79
was to 106 was to
113 was by 60 was
by 98 was in 48
was by 109 was to
40 was by 82 was
by 123 was in 45
was to 49 was by
43 was by 515 was
in 79 was by 63
was by 111 was in
40 was to 103 was
to 73 was by 407
was by 112 was of
50 was as 119 was
at 64 was by 643
was in 414 was on
65 was to 130 was
by 44 was of 1575
was to 143 was by
172 was to 129 was
by 166 was by 823
was in 243 was on
65 was in 67 was
by 69 was by 96
was to 80 was by
41 was to 803 was
by 62 was by 203
was in 45 was at
109 was in 50 was
by 68 was by 47
was to 41 was by
64 was in 48 was
in 67 was to 198
was in 60 was by
46 was by 46 was
by 58 was in 69
was by 44 was by
49 was by 51 was
to 109 was by 42
was by 147 was in
166 was as 98 was
at 105 was by 835
was in 373 was of
52 was on 86 was
to 79 was by 108
was by 162 was by
54 was by 117 was
by 1166 was in 97
was by 54 was to
42 was by 104 was
on 48 was by 43
was by 41 was in
103 was to 1154 was
by 108 was by 79
was in 83 was by
159 was in 64 was
by 78 was by 101
was to 262 was by
45 was by 54 was
by 44 was to 59
was as 133 was by
52 was by 76 was
by 505 was by 142
was by 165 was by
314 was by 749 was
in 107 was or 113
was by 267 was in
199 was by 53 was
to 102 was by 54
was to 153 was by
76 was by 106 was
by 117 was by 127
was by 70 was to
133 was by 70 was
by 93 was in 40
was or 67 was by
101 was in 204 was
or 125 was or 423
was or 56 was or
80 was or 79 was
by 71 was or 128
was or 124 was in
51 was or 209 was
or 91 was or 124
was to 56 was or
47 was by 57 was
or 102 was or 56
was or 66 was or
101 was or 73 was
or 116 was by 50
was or 155 was or
160 was or 45 was
or 59 was to 122
was to 246 was or
108 was to 108 was
or 136 was or 46
was or 139 was or
112 was or 43 was
or 104 was or 45
was by 79 was or
744 was or 207 was
or 60 was or 84
was or 102 was or
60 was to 43 was
or 234 was by 117
was of 114 was or
97 was or 68 was
to 236 was or 239
was or 99 was at
48 was or 53 was
or 243 was by 103
was in 74 was or
123 was to 91 was
or 54 was or 55
was or 96 was or
49 was or 46 was
or 317 was to 54
was or 44 was by
118 was or 169 was
or 57 was or 118
was or 51 was or
41 was or 123 was
or 41 was or 42
was or 54 was of
125 was or 74 was
by 64 was or 97
was to 82 was or
41 was as 54 was
by 68 was to 190
was in 66 was or
1246 was or 66 was
or 43 was or 72
was of 106 was to
41 was or 133 was
or 99 was of 51
was or 58 was or
43 was or 92 was
or 55 was by 71
was in 149 was or
121 was in 43 was
by 81 was or 77
was or 108 was or
40 was or 181 was
to 81 was or 98
was or 103 was of
52 was or 119 was
by 53 was or 215
was or 304 was to
45 was or 158 was
or 83 was or 85
was to 42 was or
56 was to 41 was
or 149 was by 69
was or 50 was or
56 was or 48 was
or 53 was or 123
was or 53 was or
63 was by 105 was
of 48 was or 41
was or 50 was or
140 was or 45 was
or 52 was of 3473
was or 729 was or
68 was or 61 was
in 46 was or 201
was or 76 was or
166 was or 134 was
or 52 was or 62
was or 111 was to
99 was in 158 was
or 51 was or 417
was by 74 was or
123 was of 132 was
or 259 was by 150
was or 91 was as
107 was by 63 was
or 447 was to 214
was or 64 was by
106 was or 248 was
in 62 was in 330
was or 56 was or
66 was or 45 was
or 118 was or 117
was or 62 was or
128 was or 51 was
or 53 was or 59
was or 48 was in
143 was or 473 was
or 103 was or 152
was by 96 was or
497 was or 529 was
of 68 was or 88
was to 238 was or
55 was or 74 was
or 116 was by 49
was or 67 was by
233 was in 65 was
or 196 was or 148
was or 49 was by
62 was by 58 was
or 119 was to 78
was or 307 was or
52 was or 105 was
or 40 was or 96
was or 493 was or
1387 was by 81 was
or 187 was or 415
was by 56 was or
95 was to 75 was
or 120 was by 147
was in 102 was or
341 was or 48 was
or 54 was or 77
was by 114 was by
43 was or 58 was
by 122 was or 72
was or 73 was or
82 was or 78 was
or 56 was or 74
was as 47 was by
42 was or 110 was
or 62 was to 128
was as 596 was by
75 was or 576 was
or 171 was or 59
was or 148 was or
116 was by 138 was
or 129 was by 46
was or 424 was to
80 was or 54 was
or 78 was to 65
was by 68 was in
49 was or 75 was
or 108 was or 40
was to 194 was or
84 was or 84 was
or 69 was or 54
was or 226 was or
219 was in 94 was
or 87 was by 98
was to 173 was or
165 was or 92 was
or 355 was or 42
was or 45 was or
58 was or 56 was
or 91 was or 47
was or 222 was or
119 was to 40 was
by 447 was in 99
was on 42 was by
62 was on 57 was
of 70 was in 83
was of 1486 was to
95 was of 41 was
of 45 was of 232
was to 152 was of
92 was to 59 was
of 8870 was to 63
was by 92 was to
62 was on 90 was
to 117 was in 54
was by 68 was to
93 was by 42 was
to 67 was to 211
was by 104 was the
44 was by 204 was
he 241 was of 196
was the 205 was to
848 was of 50 was
of 58 was to 60
was at 107 was by
113 was in 40 was
as 912 was at 71
was by 916 was in
313 was on 46 was
in 59 was to 146
was by 167 was at
120 was by 2653 was
in 2029 was on 361
was as 48 was at
40 was by 1037 was
in 288 was or 80
was to 56 was by
51 was so 181 was
to 324 was as 217
was at 50 was by
61 was in 370 was
on 90 was to 3931
was on 122 was as
615 was at 97 was
by 7070 was in 4424
was is 46 was on
59 was the 42 was
to 343 was to 55
was by 409 was in
58 was to 72 was
by 169 was in 87
was by 211 was at
83 was by 174 was
in 390 was to 117
was as 91 was by
1570 was in 1150 was
to 71 was by 68
was by 72 was king
46 was by 358 was
in 74 was at 118
was in 1068 was on
53 was to 84 was
to 91 was of 813
was of 128 was as
163 was by 1468 was
in 711 was of 63
was as 187 was at
367 was by 791 was
he 41 was in 1409
was on 269 was to
101 was by 1131 was
in 540 was by 52
was in 54 was to
750 was by 272 was
as 114 was by 750
was in 473 was at
56 was by 279 was
in 552 was on 40
was as 352 was by
223 was in 182 was
the 187 was to 4786
was by 67 was to
1881 was as 146 was
at 117 was by 2165
was in 1205 was on
130 was by 236 was
in 235 was to 140
was by 227 was to
223 was in 316 was
at 50 was by 1233
was in 704 was to
717 was to 205 was
by 79 was in 72
was by 57 was to
859 was by 145 was
in 50 was by 186
was in 188 was on
1213 was by 90 was
to 224 was by 226
was as 106 was at
419 was by 1983 was
in 3608 was it 45
was on 143 was the
70 was to 873 was
at 43 was by 788
was in 275 was on
68 was by 48 was
in 111 was on 107
was of 634 was to
133 was by 225 was
in 574 was by 73
was by 47 was to
40 was to 199 was
by 469 was in 600
was as 217 was at
44 was by 434 was
in 994 was of 388
was to 42 was by
192 was in 104 was
by 72 was to 139
was to 116 was at
93 was in 436 was
to 995 was up 105
was of 715 was by
84 was at 73 was
by 58 was in 659
was on 149 was by
134 was in 78 was
to 787 was to 113
was by 121 was by
42 was in 88 was
as 119 was at 62
was by 409 was in
567 was on 56 was
the 98 was to 424
was by 142 was in
61 was by 64 was
by 186 was in 60
was as 110 was by
111 was in 244 was
on 61 was as 53
was by 139 was in
953 was on 103 was
to 106 was to 57
was of 472 was by
247 was by 67 was
as 873 was by 1005
was in 725 was it
47 was on 42 was
to 957 was of 56
was to 229 was by
220 was in 157 was
to 53 was at 78
was by 81 was in
487 was on 43 was
as 979 was at 2321
was by 3554 was in
14083 was on 1253 was
in 62 was the 81
was as 2202 was at
231 was by 281 was
in 3324 was on 43
was by 120 was to
354 was at 398 was
by 1084 was in 247
was on 112 was to
8502 was of 374 was
by 118 was of 260
was to 85 was by
87 was by 46 was
to 66 was of 110
was by 87 was in
53 was as 52 was
at 894 was by 259
was in 551 was at
106 was by 1052 was
in 944 was to 308
was by 46 was to
60 was in 68 was
in 971 was by 363
was in 132 was as
6070 was at 1096 was
by 10725 was in 17932
was is 42 was on
1715 was the 54 was
to 1887 was by 214
was in 359 was by
188 was in 50 was
by 80 was in 280
was on 58 was by
42 was by 108 was
in 58 was to 41
was by 58 was in
182 was to 109 was
in 58 was as 86
was at 164 was in
250 was the 50 was
to 250 was to 71
was by 460 was in
104 was to 232 was
an 45 was as 236
was at 368 was by
5939 was in 2969 was
on 878 was the 42
was to 94 was in
54 was by 201 was
in 215 was on 47
was up 79 was by
50 was in 88 was
to 118 was to 246
was the 55 was in
41 was as 147 was
at 83 was by 4475
was in 4415 was in
1035 was to 452 was
by 200 was in 118
was to 1679 was by
93 was in 75 was
to 55 was by 59
was to 40 was by
102 was in 77 was
by 74 was in 142
was by 571 was in
142 was by 155 was
in 75 was my 42
was by 147 was in
133 was by 490 was
of 433 was as 115
was by 112 was in
70 was as 131 was
by 181 was in 121
was to 60 was by
63 was in 73 was
in 320 was by 41
was by 67 was to
281 was to 146 was
as 109 was by 247
was in 372 was to
718 was by 202 was
in 51 was to 527
was by 44 was as
339 was by 55 was
in 3098 was on 63
was by 112 was in
61 was to 346 was
by 44 was to 173
was in 44 was by
176 was in 76 was
by 306 was in 53
was of 2116 was on
54 was in 64 was
as 180 was at 165
was by 1295 was in
1674 was on 48 was
to 65 was at 73
was by 220 was in
1947 was on 152 was
by 1245 was in 73
was to 720 was by
50 was as 822 was
by 141 was in 43
was to 1873 was in
102 was at 163 was
in 268 was as 348
was at 217 was by
2928 was in 4138 was
is 46 was it 201
was or 143 was the
56 was to 458 was
by 222 was in 172
was in 701 was as
1329 was at 100 was
by 5326 was in 14244
was on 49 was as
383 was at 179 was
by 663 was in 2782
was it 50 was on
754 was to 41 was
as 108 was by 152
was in 490 was to
234 was by 62 was
by 68 was in 62
was at 51 was in
480 was as 790 was
by 386 was in 2156
was on 49 was to
64 was by 62 was
as 3245 was at 499
was by 6746 was in
15185 was it 48 was
on 292 was the 160
was to 1614 was at
149 was in 61 was
of 759 was to 130
was by 341 was in
120 was to 118 was
by 88 was in 40
was to 51 was by
102 was in 51 was
of 318 was to 276
was by 91 was in
91 was to 110 was
as 2188 was at 2092
was by 51315 was in
45471 was is 86 was
it 129 was on 4350
was or 47 was the
109 was to 1105 was
as 754 was at 156
was by 9188 was in
6453 was of 42 was
on 152 was to 50
was as 846 was at
188 was by 6592 was
in 5502 was it 54
was on 365 was the
58 was as 309 was
at 173 was by 391
was in 660 was on
670 was as 124 was
at 56 was by 250
was in 100 was to
140 was at 49 was
in 70 was at 71
was by 1518 was in
1496 was to 82 was
by 291 was in 123
was by 48 was to
124 was as 103 was
by 737 was in 1301
was or 467 was to
229 was as 40 was
in 62 was by 350
was in 222 was to
146 was in 49 was
to 312 was by 59
was to 98 was as
1063 was at 164 was
by 12925 was in 6931
was on 207 was to
168 was to 63 was
by 220 was in 98
was as 1356 was at
8235 was by 5725 was
in 37824 was is 83
was it 139 was on
4459 was the 165 was
to 84 was by 115
was in 78 was to
260 was as 175 was
at 41 was by 914
was in 921 was to
547 was by 363 was
to 351 was as 6306
was at 1007 was by
48835 was he 60 was
in 35447 was it 342
was of 43 was on
416 was the 205 was
to 6720 was by 2131
was in 765 was to
157 was by 158 was
by 64 was by 450
was in 156 was to
122 was at 50 was
in 84 was by 125
was in 97 was to
201 was as 381 was
at 313 was by 1399
was in 1081 was is
48 was of 105 was
on 160 was or 66
was as 2818 was at
575 was by 5229 was
in 13645 was on 1826
was to 50 was by
40 was by 121 was
to 3947 was as 2396
was by 101 was as
138 was by 650 was
in 129 was on 99
was of 75 was by
804 was in 132 was
on 183 was to 69
was by 53 was of
84 was as 140 was
by 94 was in 253
was by 848 was in
49 was as 3871 was
at 634 was by 29193
was in 53131 was on
1968 was the 46 was
to 3050 was by 246
was in 322 was of
112 was to 1508 was
by 55 was by 171
was in 130 was on
341 was to 157 was
to 1148 was by 182
was in 172 was to
256 was by 85 was
as 109 was by 40
was in 70 was to
769 was by 54 was
by 297 was in 539
was in 57 was at
138 was by 81 was
in 403 was on 134
was to 63 was in
47 was as 423 was
by 253 was in 124
was to 174 was of
55 was by 160 was
in 104 was at 75
was in 194 was on
120 was by 277 was
in 966 was on 222
was by 69 was in
52 was by 441 was
as 42 was at 1072
was in 490 was on
91 was by 62 was
by 974 was in 159
was by 40 was of
365 was to 77 was
to 109 was to 88
was by 140 was in
172 was to 905 was
by 504 was in 149
was to 280 was by
80 was to 686 was
by 122 was by 538
was in 864 was on
475 was on 98 was
by 88 was to 217
was by 311 was in
128 was by 69 was
by 92 was of 84
was by 66 was by
124 was in 70 was
to 55 was at 65
was by 47 was in
189 was on 86 was
to 65 was at 101
was by 112 was in
332 was to 125 was
as 188 was by 862
was in 957 was on
64 was to 151 was
by 296 was in 167
was at 80 was in
187 was of 109 was
as 61 was by 226
was to 56 was to
51 was by 87 was
by 51 was to 54
was by 100 was on
57 was on 95 was
to 91 was on 46
was on 101 was at
143 was on 311 was
to 53 was to 277
was in 62 was to
45 was on 76 was
to 42 was the 42
was to 160 was to
50 was to 47 was
of 56 was the 41
was in 78 was in
152 was in 79 was
to 278 was in 110
was to 643 was to
690 was to 793 was
to 90 was of 47
was the 283 was to
40 was in 306 was
on 103 was to 208
was by 124 was to
2838 was to 155 was
to 154 was in 50
was in 148 was in
107 was in 194 was
to 473 was in 80
was of 176 was at
64 was in 4405 was
on 128 was the 488
was to 69 was the
42 was in 42 was
of 46 was the 67
was of 245 was in
41 was an 55 was
the 350 was to 220
was in 51 was in
42 was up 84 was
of 52 was to 183
was in 76 was the
42 was by 291 was
in 45 was on 47
was in 89 was on
85 was in 71 was
to 79 was in 2523
was in 185 was on
69 was the 83 was
in 408 was in 119
was in 114 was to
105 was in 649 was
in 96 was to 42
was to 1013 was in
116 was to 1175 was
of 193 was on 128
was to 43 was on
43 was to 210 was
by 44 was in 43
was to 102 was of
44 was of 61 was
in 1385 was in 61
was in 228 was in
53 was in 104 was
in 122 was by 58
was in 207 was to
100 was the 115 was
by 43 was in 145
was in 52 was the
61 was in 159 was
to 95 was to 107
was at 67 was by
480 was in 367 was
of 1708 was on 170
was or 43 was in
132 was in 46 was
on 41 was in 301
was in 59 was in
349 was on 142 was
the 69 was to 79
was to 51 was in
61 was at 363 was
by 217 was in 5091
was on 717 was the
101 was in 71 was
of 62 was by 414
was the 181 was to
58 was to 101 was
to 71 was in 90
was in 226 was at
101 was by 545 was
in 709 was on 73
was so 76 was to
23565 was to 56 was
to 171 was in 44
was to 56 was at
191 was by 226 was
in 819 was on 84
was to 145 was in
122 was on 78 was
to 256 was to 193
was by 40 was the
43 was to 51 was
in 82 was to 45
was on 70 was in
469 was the 45 was
at 44 was in 128
was to 72 was in
44 was of 70 was
in 76 was on 120
was in 165 was on
261 was at 93 was
by 63 was in 2010
was on 197 was to
336 was to 67 was
of 123 was as 93
was by 71 was in
112 was to 494 was
the 137 was in 104
was the 91 was it
69 was the 692 was
in 65 was to 183
was in 62 was in
44 was in 128 was
to 42 was the 45
was the 121 was of
57 was in 70 was
of 268 was in 50
was to 57 was by
470 was in 1031 was
as 1156 was at 59
was by 2065 was in
582 was to 54 was
by 152 was in 232
was by 56 was in
43 was to 1388 was
to 108 was as 73
was by 792 was in
185 was to 126 was
by 71 was in 45
was to 53 was in
66 was by 326 was
in 113 was by 62
was in 183 was to
355 was by 57 was
of 1882 was of 403
was by 1429 was in
