wandering and 76 warfare than
written law 94 written for
47 written and 4804 written
for 3035 written that 154
written things 67 written than
54 written and 54 written
than 54 written and 48
written than 107 written that
90 written than 53 written
all 125 written and 53
written and 86 written for
233 written that 87 written
things 44 written and 105
written for 62 written are
77 written for 71 written
for 63 written was 41
written was 92 written was
58 written was 57 written
was 56 written was 48
wrongdoer for 49 wrought for
170 wrought and 42 wrought
and 44 wrought and 203
wrought for 56 wrought than
298 wrought than 73 wrought
