we element 106 we miracle
we familiar 43 we following
46 we honored 43 we
limited 41 we members 132
we obliged 427 we observing
134 we rational 40 we
sinners 52 we superior 53
we tempted 57 we thankful
127 we trapped 74 we
unworthy 45 we together 44
we trouble 62 we together
1015 we according 122 we
charged 49 we exposed 46
we grieved 152 we together
64 we together 594 we
together 57 we together 55
we limited 40 we referring
88 we against 186 we
forward 357 we towards 414
we accepting 47 we affirming
58 we analyzing 65 we
animals 80 we asserting 194
we beginning 80 we comparing
140 we employing 53 we
examining 94 we extending 94
we following 452 we friends
44 we imagining 57 we
imitating 83 we indulging 48
we inferring 41 we insisting
61 we listening 48 we
observing 230 we passive 359
we players 88 we providing
69 we puppets 119 we
rearranging 65 we recording 105
we referring 107 we replacing
48 we reporting 85 we
restating 85 we returning 117
we supposing 42 we between
121 we enemies 130 we
content 75 we familiar 77
we limited 42 we unaware
282 we speakers 103 we
allowed 41 we ashamed 153
we capable 68 we friends
41 we mexican 92 we
morally 64 we obliged 104
we praised 341 we totally
41 we national 159 we
familiar 61 we focused 41
we together 59 we forever
85 we towards 42 we
because 86 we defined 54
we against 266 we between
296 we inferior 46 we
several 64 we potatoes 45
we because 222 we against
143 we between 133 we
against 75 we forward 593
we certain 1018 we familiar
67 we between 58 we
forward 47 we towards 49
we passive 136 we measures
58 we several 51 we
forward 61 we towards 113
we allowed 132 we certain
47 we enabled 50 we
exposed 45 we tempted 45
we against 189 we blessed
133 we endowed 56 we
forever 92 we utterly 50
we arrived 184 we married
145 we cousins 94 we
against 400 we alarmed 97
we allowed 177 we asunder
192 we brought 41 we
certain 54 we content 166
we enabled 167 we exposed
44 we shocked 48 we
tempted 46 we everything 57
we because 54 we accepting
65 we asserting 198 we
assessing 43 we because 89
we believing 45 we brought
42 we capable 53 we
carried 50 we comparing 145
we content 41 we dazzled
48 we deceiving 44 we
employing 49 we examining 40
we expanding 44 we exploring
52 we extending 133 we
following 489 we increasing 48
we indulging 88 we inquiring
42 we invited 111 we
listening 56 we material 115
we obliged 76 we observing
247 we passive 43 we
proposing 59 we providing 100
we recording 71 we referring
341 we replacing 93 we
reporting 83 we restating 60
we returning 128 we reversing
42 we selecting 50 we
unaware 248 we unwilling 65
we victims 61 we against
97 we quietly 42 we
together 125 we acquiring 66
we awakening 56 we beginning
342 we besides 56 we
pressed 115 we puzzled 144
we tempted 415 we detesting
99 we because 113 we
billions 287 we millions 316
we together 75 we against
62 we between 97 we
outside 554 we together 184
we upright 254 we towards
78 we forward 47 we
outside 196 we against 102
we towards 247 we because
99 we history 68 we
language 49 we objects 68
we organic 54 we several
44 we systems 43 we
together 93 we because 67
we fellows 126 we allowed
41 we arrived 49 we
invited 45 we obliged 72
we sisters 45 we against
126 we upstream 67 we
certain 47 we cruelty 45
we everything 60 we loyalty
42 we assured 262 we
brought 118 we enabled 853
we obliged 66 we released
43 we between 46 we
teachers 66 we equally 53
we outward 46 we towards
111 we brothers 70 we
matters 134 we minutes 75
we exactly 63 we forever
57 we because 98 we
against 103 we forever 142
we together 248 we exactly
45 we superior 86 we
against 2490 we closely 89
we rapidly 47 we together
154 we dizzily 257 we
opposed 45 we passive 128
we present 46 we steeped
41 we unarmed 42 we
unaware 280 we unequal 54
we unworthy 47 we blemish
77 we certain 43 we
details 48 we friends 93
we precise 73 we question
96 we religion 41 we
sympathy 63 we because 67
we question 228 we certain
41 we together 447 we
together 86 we members 103
we enjoyed 41 we forward
518 we together 44 we
towards 59 we together 46
we outside 147 we together
108 we because 126 we
certain 89 we everything 69
we records 44 we matters
58 we because 101 we
everything 59 we believe 312
we discern 70 we forgive
201 we imagine 745 we
picture 231 we predict 236
we compare 383 we discern
2024 we explain 67 we
foresee 297 we glimpse 217
we imagine 99 we observe
619 we predict 165 we
produce 44 we suppose 54
we surmise 47 we witness
135 we account 56 we
achieve 207 we analyze 59
we believe 75 we benefit
57 we combine 68 we
command 171 we compare 105
we compute 250 we console
61 we control 479 we
convert 297 we correct 165
we develop 50 we discern
155 we discuss 103 we
dismiss 45 we enlarge 53
we examine 45 we explain
207 we express 767 we
extract 75 we imagine 934
we improve 480 we include
85 we increase 189 we
inquire 42 we justify 96
we neglect 48 we observe
206 we perform 195 we
picture 122 we predict 292
we pretend 74 we prevent
148 we proceed 164 we
produce 243 we provide 118
we question 73 we rearrange
59 we recover 161 we
rejoice 58 we replace 646
we resolve 118 we respond
45 we reverse 126 we
rewrite 120 we satisfy 128
we silence 67 we specify
140 we succeed 86 we
suppose 253 we withdraw 85
we question 41 we everything
413 we matters 545 we
certain 109 we numbers 332
we several 40 we weights
94 we certain 164 we
similar 60 we numbers 43
we certain 55 we freedom
76 we harmony 51 we
national 44 we perfect 118
we success 52 we discern
172 we glimpse 98 we
imagine 850 we scratch 101
we attuned 176 we capable
96 we certain 62 we
experts 42 we familiar 419
we fixated 51 we friends
455 we happier 46 we
masters 186 we members 69
we perfect 147 we skilled
56 we stronger 207 we
together 42 we totally 62
we trapped 117 we victims
84 we unmixed 67 we
account 485 we achieve 77
we address 259 we analyze
214 we capture 131 we
compare 148 we control 526
we develop 100 we discern
376 we discuss 157 we
educate 43 we examine 125
we explain 429 we explore
65 we express 269 we
imagine 154 we isolate 114
we observe 193 we predict
409 we prepare 600 we
promote 63 we protect 248
we provide 221 we respond
82 we satisfy 161 we
situate 46 we support 166
we utilize 200 we declare
53 we discuss 55 we
according 43 we between 2574
we exactly 46 we several
58 we discern 3095 we
explain 58 we express 354
we foresee 87 we imagine
99 we observe 889 we
specify 67 we together 50
we against 173 we suicide
64 we between 487 we
exactly 83 we together 204
we certain 357 we several
216 we against 209 we
addition 80 we average 65
we certain 225 we classes
104 we culture 74 we
exactly 107 we logical 56
we objects 70 we quality
46 we religion 43 we
several 323 we benefit 229
we certain 266 we comfort
90 we correct 45 we
equation 147 we following 43
we general 125 we intense
102 we meaningful 44 we
pleasure 175 we results 69
we several 484 we similar
98 we systems 122 we
between 158 we certain 339
we objects 55 we several
211 we similar 60 we
against 75 we equation 68
we together 62 we equation
157 we answers 85 we
because 48 we between 140
we certain 398 we company
40 we everything 53 we
foreign 47 we general 44
we increasing 528 we justice
54 we massive 53 we
national 41 we natural 60
we payment 42 we perhaps
47 we private 41 we
rational 44 we reliable 88
we renewed 47 we research
53 we results 152 we
roughly 49 we science 50
we several 152 we similar
482 we society 46 we
success 185 we support 69
we teachers 66 we trouble
263 we variation 54 we
workers 53 we equation 47
we compare 138 we quickly
44 we satisfy 47 we
suppose 49 we observe 60
we battening 91 we believe
50 we certain 55 we
closely 60 we exactly 106
we history 47 we everything
310 we discuss 55 we
express 124 we analyze 109
we clarify 186 we compare
41 we develop 331 we
discuss 160 we enhance 84
we examine 164 we explain
109 we explore 222 we
imagine 135 we improve 445
we increase 321 we observe
122 we rewrite 104 we
specify 200 we suppose 94
we briefly 47 we benefit
72 we decrease 42 we
enhance 137 we enlarge 42
we improve 570 we increase
588 we everything 295 we
abstain 127 we account 1117
we achieve 94 we advance
68 we approve 104 we
ascribe 504 we attempt 133
we believe 8386 we censure
107 we compare 158 we
compass 58 we concede 58
we condemn 247 we condone
147 we contain 91 we
control 76 we deceive 54
we dignify 52 we discern
355 we discuss 260 we
dismiss 310 we dispute 255
we envision 49 we exclude
173 we exhibit 55 we
explain 617 we express 290
we extract 51 we flatter
123 we foresee 194 we
forgive 129 we imagine 9947
we improve 121 we include
125 we justify 241 we
mistake 198 we neglect 74
we observe 118 we perhaps
52 we picture 587 we
predict 131 we present 98
we presume 174 we pretend
259 we prevent 194 we
proceed 111 we produce 77
we promise 42 we propose
41 we provide 67 we
quarrel 191 we question 888
we refrain 657 we repress
150 we require 43 we
satisfy 42 we succeed 81
we suggest 78 we support
61 we suppose 9786 we
surmise 56 we survive 42
we suspect 167 we sustain
61 we venture 738 we
withhold 95 we matters 40
we everything 49 we gravity
42 we foreign 41 we
wrought 130 we achieve 56
we control 41 we discern
97 we exhibit 46 we
explain 51 we imagine 135
we increase 47 we observe
138 we predict 60 we
against 78 we equation 41
we ascribe 67 we compare
41 we together 43 we
between 70 we everything 52
we somehow 297 we against
47 we between 42 we
certain 70 we degrees 45
we everything 71 we exactly
277 we portions 68 we
quality 43 we success 89
we utility 166 we between
42 we briefly 223 we
several 153 we believe 43
we imagine 66 we observe
109 we outline 42 we
suggest 106 we surmise 78
we equation 266 we against
60 we abandon 44 we
account 92 we achieve 57
we acquire 65 we advance
242 we approve 87 we
believe 194 we command 149
we compare 166 we condemn
65 we confirm 290 we
conquer 94 we control 646
we destroy 100 we develop
63 we discern 107 we
dismiss 52 we explain 510
we expound 49 we express
115 we foresee 346 we
forsake 44 we imagine 212
we imitate 212 we increase
194 we justify 601 we
mistake 44 we observe 172
we perform 48 we possess
76 we predict 386 we
prevent 195 we produce 366
we protect 51 we question
54 we receive 168 we
require 41 we respect 97
we support 104 we withhold
41 we certain 74 we
several 85 we answers 107
we certain 227 we control
61 we correct 81 we
desired 40 we equation 250
we eternal 77 we everything
75 we exactly 100 we
figures 44 we following 84
we general 54 we insight
116 we maximum 121 we
meaningful 77 we measures 73
we numbers 42 we optimal
73 we perfect 49 we
precise 107 we reliable 241
we results 290 we samples
66 we several 254 we
similar 209 we unbiased 49
we discuss 78 we account
53 we explain 90 we
together 46 we account 42
we observe 59 we predict
61 we succeed 40 we
account 1743 we achieve 53
we analyze 57 we believe
4022 we compare 258 we
compute 725 we concede 124
we confirm 43 we connect
89 we control 89 we
convert 178 we develop 102
we discern 1255 we discuss
41 we dismiss 66 we
envision 76 we examine 64
we explain 658 we express
491 we extract 44 we
foresee 124 we forgive 150
we imagine 4188 we observe
1151 we picture 444 we
predict 166 we prepare 48
we produce 271 we provide
42 we satisfy 64 we
specify 101 we suppose 511
we surmise 385 we certain
49 we equation 287 we
everything 76 we poverty 46
we present 43 we control
379 we natural 51 we
content 47 we faithful 146
we focused 54 we friends
393 we neutral 136 we
outside 124 we passive 77
we together 125 we service
81 we visible 59 we
contact 65 we control 117
we judicial 43 we briefly
95 we together 144 we
briefly 51 we abandon 77
we advance 99 we ascribe
371 we attempt 123 we
believe 168 we compare 54
we confide 81 we confine
52 we declare 150 we
discard 351 we discuss 53
we dismiss 322 we dispose
41 we entrust 134 we
exclude 196 we imagine 97
we include 91 we increase
49 we neglect 1386 we
observe 70 we operate 46
we predict 1790 we presume
1196 we proceed 356 we
project 41 we promise 349
we replace 142 we suggest
106 we suppose 186 we
surmise 759 we testify 104
we venture 355 we withdraw
48 we believe 1218 we
compose 44 we express 64
we imagine 203 we procure
41 we promote 125 we
suppose 309 we together 1007
we respect 64 we account
81 we predict 115 we
refrain 43 we between 85
we certain 92 we several
72 we details 45 we
everything 195 we happily 49
we matters 108 we abandon
58 we combine 61 we
compare 222 we compute 233
we connect 48 we convert
72 we declare 118 we
discard 160 we dismiss 112
we examine 109 we explain
54 we express 139 we
imagine 79 we include 130
we increase 153 we neglect
45 we observe 293 we
perform 82 we provide 81
we replace 482 we require
64 we reverse 221 we
rewrite 136 we specify 100
we suggest 46 we against
69 we towards 92 we
achieve 43 we believe 67
we imagine 105 we predict
41 we suppose 58 we
between 200 we explain 70
we together 664 we improve
112 we increase 45 we
commend 214 we dismiss 144
we question 46 we country
393 we everything 271 we
friends 199 we because 54
we observe 45 we drastic
48 we similar 124 we
together 143 we quickly 72
we exactly 81 we equation
60 we example 63 we
glimpse 490 we insight 44
we picture 130 we solution
40 we results 656 we
service 110 we affairs 54
we between 41 we together
41 we started 73 we
insight 66 we conduct 45
we insight 62 we similar
41 we tonight 50 we
message 59 we problem 78
we results 96 we between
41 we together 53 we
trouble 173 we drunken 115
we settled 45 we started
141 we against 51 we
customs 83 we everything 46
we somehow 81 we hundred
96 we thousand 44 we
between 84 we together 87
we arrived 136 we brought
41 we decided 220 we
entered 44 we everything 294
we stopped 65 we written
677 we admired 128 we
adopted 171 we applied 53
we arranged 309 we arrived
703 we assumed 277 we
brought 149 we carried 136
we checked 79 we climbed
192 we counted 68 we
covered 1147 we crossed 918
we decided 1549 we deduced
86 we defeated 79 we
defined 75 we delayed 46
we derived 69 we divided
43 we dropped 108 we
endured 164 we enjoyed 166
we entered 574 we fetched
114 we figured 96 we
gathered 254 we guessed 208
we invited 72 we managed
71 we marched 105 we
measured 45 we noticed 633
we occasion 112 we offered
112 we ordered 96 we
planned 439 we planted 60
we pledged 45 we pointed
101 we printed 58 we
realized 113 we reduced 83
we removed 68 we retired
40 we searched 107 we
secured 615 we settled 247
we several 42 we sighted
47 we started 987 we
stopped 93 we studied 499
we touched 74 we treaties
44 we visited 689 we
whisked 46 we written 316
we admired 50 we allowed
46 we assumed 358 we
avoided 74 we belonged 55
we carried 41 we claimed
100 we counted 45 we
enjoyed 296 we fancied 43
we hitherto 89 we managed
186 we planned 265 we
refused 71 we account 40
we election 62 we example
177 we glimpse 59 we
glorious 50 we hundred 103
we perfect 50 we pleasant
87 we problem 981 we
quarrel 72 we service 167
we similar 61 we visitor
301 we puzzled 618 we
together 40 we arrived 69
we covered 63 we entered
58 we escaped 121 we
managed 69 we noticed 47
we secured 51 we settled
75 we started 204 we
touched 110 we enemies 107
we experts 83 we familiar
887 we friends 2557 we
heartily 42 we largely 45
we masters 89 we members
101 we settled 112 we
totally 44 we admired 86
we because 83 we crossed
324 we deserts 54 we
enjoyed 134 we entered 254
we noticed 276 we occasion
98 we visited 439 we
abandon 1336 we abolish 82
we abstain 92 we address
146 we adjourn 921 we
advance 169 we analyze 49
we appoint 54 we attempt
164 we believe 267 we
clarify 47 we collect 93
we compare 62 we concern
54 we confess 145 we
confine 873 we consult 280
we content 303 we control
118 we correct 136 we
declare 43 we decline 57
we descend 159 we develop
94 we disband 129 we
discard 96 we discuss 727
we dismiss 167 we dispose
91 we examine 722 we
exchange 41 we exclude 40
we explain 200 we explore
68 we fortune 207 we
imitate 93 we improve 42
we include 80 we increase
106 we inquire 275 we
observe 64 we perhaps 119
we prepare 1090 we pretend
45 we proceed 1112 we
propose 120 we protect 110
we provide 267 we receive
45 we reflect 40 we
refrain 396 we refresh 68
we replace 51 we reserve
419 we resolve 107 we
respect 127 we results 55
we retrace 49 we scatter
102 we success 152 we
suppose 66 we suspend 127
we withdraw 173 we worship
113 we potatoes 64 we
passage 64 we several 118
we tickets 114 we together
233 we together 45 we
several 82 we because 43
we together 99 we service
53 we customs 67 we
everything 52 we defined 60
we together 389 we friends
98 we between 42 we
together 227 we together 553
we parties 203 we together
5306 we contact 114 we
service 542 we together 75
we several 59 we together
54 we assumed 83 we
decided 41 we thousand 89
we hundred 82 we passage
68 we service 48 we
capital 48 we courage 45
we leisure 45 we material
302 we members 46 we
players 50 we society 61
we support 80 we trouble
346 we because 46 we
entered 421 we rounded 68
we settled 79 we started
273 we unearthed 589 we
victims 58 we gatherings 56
we members 46 we prayers
443 we worship 178 we
together 58 we against 414
we together 194 we control
97 we everything 83 we
married 1133 we nowhere 67
we settled 95 we started
68 we together 414 we
enjoyed 71 we arrived 129
we covered 56 we crossed
72 we entered 230 we
noticed 222 we realized 58
we settled 158 we started
293 we touched 63 we
together 225 we arrived 54
we entered 97 we together
47 we together 96 we
several 117 we together 44
we crossed 131 we emerged
85 we enjoyed 41 we
occasion 77 we visited 398
we everything 64 we lessons
41 we together 121 we
concern 90 we contact 450
we control 813 we leisure
188 we liberty 106 we
occasion 106 we pleasure 95
we problem 43 we respect
112 we success 294 we
sympathy 50 we trouble 833
we everything 41 we forward
2566 we potatoes 76 we
against 53 we stopped 43
we because 60 we friends
588 we respect 75 we
escapes 88 we colonel 44
we compass 173 we pioneers
45 we chances 74 we
persons 49 we everything 85
we company 830 we forever
94 we friends 80 we
between 204 we outside 126
we several 900 we together
760 we together 178 we
against 41 we against 120
we cricket 54 we several
46 we together 801 we
together 274 we together 145
we service 44 we worship
64 we together 98 we
forward 243 we madeira 48
we tickets 68 we together
118 we together 83 we
arrived 138 we crossed 133
we together 229 we upwards
47 we arrayed 54 we
thoughts 201 we thoughts 41
we trouble 64 we together
429 we everything 69 we
together 1595 we allowed 44
we assumed 57 we against
211 we together 62 we
besides 46 we between 62
we similar 63 we stronger
49 we tangible 56 we
together 71 we shelter 193
we several 49 we together
293 we several 42 we
together 431 we together 44
we together 1005 we briefly
123 we matters 47 we
several 54 we together 718
we together 45 we against
60 we hundred 113 we
thousand 60 we minutes 284
we thousand 188 we several
85 we between 43 we
perhaps 54 we several 103
we together 1085 we against
42 we closely 224 we
together 3544 we together 78
we language 66 we stories
60 we keepers 46 we
outside 65 we together 181
we certain 51 we together
46 we account 49 we
believe 104 we despair 85
we imagine 174 we predict
43 we suppose 90 we
suspect 60 we venture 925
we discern 383 we observe
131 we possess 103 we
suspect 130 we advance 149
we console 196 we explain
60 we express 68 we
observe 408 we possess 40
we presume 42 we rejoice
80 we replace 167 we
succeed 44 we suppose 166
we suspect 99 we matters
88 we certain 67 we
perhaps 47 we several 42
we similar 52 we eternal
116 we chiefly 45 we
quakers 41 we observe 41
we capable 105 we familiar
281 we friends 219 we
masters 114 we members 91
we objects 84 we perfect
163 we sharers 83 we
stronger 67 we trapped 47
we victims 83 we objects
64 we compare 45 we
concern 44 we discern 190
we explain 44 we express
70 we prepare 128 we
receive 57 we declare 51
we venture 135 we according
48 we between 808 we
discern 1157 we foresee 40
we observe 121 we suicide
101 we therewith 46 we
together 154 we ancient 50
we certain 112 we herrera
91 we history 107 we
spencer 76 we against 43
we between 159 we certain
153 we several 82 we
capital 43 we religion 143
we benefit 336 we certain
109 we comfort 147 we
lessons 43 we pleasure 60
we several 87 we material
40 we certain 92 we
admitting 64 we ability 56
we equation 45 we several
44 we vibrating 48 we
eternal 61 we together 45
we answers 49 we benefit
45 we between 72 we
certain 248 we equally 53
we everything 84 we general
54 we increasing 206 we
natural 141 we payment 84
we radical 42 we results
161 we several 68 we
shortly 108 we similar 484
we society 62 we success
184 we trouble 157 we
account 69 we ascribe 529
we attempt 56 we believe
685 we collect 72 we
compare 169 we compute 42
we contend 69 we decline
51 we examine 56 we
explain 62 we express 98
we imagine 260 we include
131 we indulge 42 we
inquire 385 we observe 42
we presume 6559 we question
639 we require 220 we
suppose 3729 we surmise 649
we suspect 740 we venture
92 we confirm 74 we
observe 652 we venture 43
we believe 278 we imagine
53 we concede 123 we
discuss 53 we perform 47
we believe 61 we clarify
44 we collect 50 we
compare 62 we confirm 41
we connect 44 we develop
108 we discuss 50 we
examine 56 we explain 51
we imagine 127 we include
47 we increase 58 we
inquire 293 we observe 1378
we presume 87 we specify
56 we suggest 131 we
suppose 521 we surmise 103
we suspect 104 we venture
431 we briefly 371 we
improve 83 we increase 194
we believe 98 we believe
139 we presume 85 we
venture 45 we believe 89
we despair 86 we discern
67 we exclaim 44 we
imagine 43 we observe 63
we produce 61 we rejoice
75 we suppose 142 we
suspect 43 we account 146
we ascribe 625 we believe
325 we compare 129 we
condemn 55 we enlarge 111
we exclaim 143 we imagine
305 we include 40 we
inquire 80 we observe 71
we presume 623 we quarrel
40 we question 289 we
rejoice 61 we require 187
we suppose 791 we surmise
41 we suspect 1378 we
observe 52 we briefly 688
we certain 250 we charles
49 we ignoble 62 we
rousseau 45 we several 189
we observe 190 we briefly
229 we certain 207 we
several 217 we foreign 163
we certain 75 we eternal
286 we insight 47 we
results 157 we several 105
we similar 64 we account
116 we ascribe 273 we
explain 50 we believe 180
we account 399 we acquire
56 we believe 3567 we
compare 59 we compute 202
we concede 283 we discern
304 we explain 115 we
forgive 51 we imagine 1363
we observe 265 we presume
91 we suppose 1534 we
surmise 102 we suspect 63
we briefly 53 we certain
79 we familiar 49 we
bishops 80 we certain 77
we conduct 51 we equation
61 we together 74 we
content 46 we faithful 130
we friends 48 we together
57 we unaware 96 we
several 105 we service 43
we perfect 109 we briefly
130 we together 89 we
briefly 210 we certain 46
we abandon 58 we advance
52 we ascribe 1187 we
believe 1325 we collect 49
we commend 66 we compute
58 we concede 59 we
confide 275 we confine 45
we connect 58 we contend
81 we declare 299 we
discard 333 we dismiss 445
we embrace 61 we entrust
117 we exclude 121 we
imagine 139 we imitate 108
we include 153 we increase
86 we indulge 133 we
intrust 40 we neglect 1186
we observe 76 we picture
44 we predict 1862 we
presume 2731 we proceed 565
we promise 119 we receive
200 we replace 46 we
restore 61 we suggest 74
we suppose 938 we surmise
809 we suspect 147 we
venture 1013 we certain 112
we several 41 we compare
50 we dismiss 43 we
observe 381 we replace 92
we specify 52 we suggest
49 we suppose 67 we
briefly 46 we together 181
we against 143 we towards
40 we together 63 we
believe 407 we dismiss 63
we flatter 48 we predict
62 we presume 117 we
suppose 139 we venture 130
we briefly 109 we acquire
88 we prevent 125 we
together 148 we question 42
we impiety 56 we scruple
339 we violence 96 we
similar 63 we pleasure 60
we caravan 75 we vehicle
54 we embarking 44 we
parties 53 we require 55
we tempted 90 we familiar
55 we granted 72 we
opposed 66 we possess 85
we appoint 144 we proceed
127 we between 77 we
suicide 53 we similar 105
we suppose 42 we against
85 we observe 42 we
suppose 40 we believe 42
we deceiving 53 we satisfy
44 we together 42 we
against 58 we together 46
we carried 57 we discern
44 we believe 54 we
forward 107 we several 51
we duration 41 we briefly
75 we suppose 75 we
towards 43 we advance 52
we everything 371 we tribute
96 we cements 163 we
together 58 we several 47
we together 57 we forward
45 we fatigue 54 we
variety 68 we listening 125
we together 46 we together
76 we together 57 we
everything 93 we company 41
we example 101 we village
57 we between 45 we
between 68 we similar 69
we unusual 52 we glasses
50 we matters 58 we
similar 68 we angelico 109
we example 1052 we injured
168 we pattern 76 we
picture 98 we problem 42
we variation 50 we evolved
77 we revealed 51 we
buildings 61 we science 47
we justice 75 we urchins
65 we suffering 162 we
wondering 61 we happening 64
we similar 287 we unusual
50 we covered 43 we
aspects 45 we species 40
we decayed 60 we pennies
46 we between 126 we
present 58 we captain 199
we between 68 we forward
40 we indulge 44 we
inquire 73 we condemn 45
we regaled 56 we together
69 we together 46 we
variable 40 we notation 238
we numbers 135 we certain
40 we complex 42 we
notation 150 we members 48
we forward 240 we flatter
82 wing parties 174 wing
flights 43 wing towards 54
wing surface 64 wing broadly
143 woe cruelty 42 woe
reposed 49 woe drowned 65
woe spirits 128 woe pondering
