radically wrong standard of 43
recognize those elements in 66
recognize those elements of 98
recognize those officers of 43
recognize three divisions of 55
recognize what happened to 75
recognize your authority in 42
recognize your authority to 119
recognize your presence in 99
recognizing early symptoms of 79
recognizing free exercise of 166
recognizing their interest in 44
recognizing their potential to 70
recognizing their presence in 66
recollect many admirals of 44
recollect some instance of 191
recollect some symptoms of 57
recollect such passages of 46
recollect such subjects as 67
recollect what happened at 73
recollect what happened in 259
recollect what happened to 558
recollect what occurred in 59
recombining their elements in 75
recommend great attention to 47
recommend many divisions in 46
recommend more attention to 52
recommend more earnestly to 72
recommend most earnestly to 174
recommend other branches of 56
recommend paying attention to 76
recommend some citizens of 52
recommend such remedies as 51
recommend their children to 54
recommend their condition to 49
recommend their inclusion in 125
recommend their patients to 184
recommend their services to 80
recommend these articles to 121
recommend these lectures to 64
recommend these officers to 50
recommend these services to 43
recommend three articles of 131
recommend your attention to 59
recommend your business to 99
recommend your highness to 158
recommend your lordship to 221
recommend your sentence by 66
recommend your services to 185
reconcile many passages in 59
reconcile their interest in 48
reconcile their scruples by 170
reconcile their subjects to 93
reconcile these concerns in 74
reconcile these disputes by 47
reconcile these positions by 82
recounted many examples of 50
recounted their exploits in 65
recounted their memories of 107
recounted what happened at 49
recounted what happened in 106
recounted what happened on 44
recounted what happened to 163
recovered from cultures of 325
recovered from deposits at 53
recovered from deposits in 111
recovered from deposits of 212
recovered from episodes of 48
recovered from exposure to 47
recovered from extracts of 73
recovered from infection by 55
recovered from patients in 164
recovered from sickness or 48
recovered from solutions of 44
recovered from surprise as 46
recovered from surprise at 54
recovered from underneath the 59
recovered from whatever it 118
recovered only slightly in 110
recovered their authority in 91
recovered their capacity to 63
recovered their presence of 492
recovered their surprise at 50
recreations were confined to 51
recruited from anywhere in 41
recruited from children of 44
recruited from citizens of 77
recruited from families of 171
recruited from industry or 62
recruited from officers of 126
recruited from students in 43
recruited from students of 45
recruited from veterans of 43
recruited from villages in 70
recruited into politics by 51
recruited into positions of 113
recruited many thousands of 64
rectified over chloride of 62
rectified their calendar by 91
recurrent disc herniation at 69
recurrent disc herniation in 62
recurrent disc herniation is 64
recurrent disc herniation or 55
recurrent disk herniation in 93
recurrent theme concerns the 45
redemption from sickness as 44
redemption made possible by 132
redemption made pursuant to 81
redemption must therefore be 57
redesigning their products to 75
redirecting their attention to 166
redirecting their energies to 72
redirects their attention to 65
redoubled their activity in 89
redoubled their attempts to 74
redoubled their attention to 56
redoubled their energies in 83
redoubled their exertions at 40
redoubled their exertions in 62
redoubled their exertions to 477
redoubled their pressure on 71
reductions also occurred in 65
reductions from baseline in 74
reductions have occurred in 459
reductions have resulted in 142
reductions made possible by 513
reductions were achieved by 299
reductions were achieved in 310
reductions were confined to 52
reductions were designed to 90
reductions were effected by 70
reductions were effected in 231
reductions were expected to 98
reductions were extended to 76
reductions were followed by 98
reductions were intended to 111
reductions were observed at 59
reductions were observed in 978
reductions were obtained by 99
reductions were obtained in 255
reductions were possible in 42
reductions were proposed in 53
reductions were recorded in 118
reductions were reported by 41
reductions were reported in 104
reductions were required in 68
reductions were required to 86
reductions were supposed to 43
reductions when compared to 50
reductions will continue to 54
reductions will probably be 73
reelection were returned to 86
reexamine their approach to 70
reference also contains an 75
reference also contains the 41
reference also includes the 53
reference book compiled by 53
reference book containing an 46
reference book containing the 135
reference book describing the 52
reference book designed to 69
reference book intended to 40
reference book provides an 45
reference cell containing the 67
reference data provided by 49
reference from relative to 130
reference line indicating the 82
reference line parallel to 230
reference most probably to 43
reference moving relative to 201
reference must therefore be 288
reference time argument of 57
reference tool designed to 53
reference were approved by 71
reference were confined to 91
reference were expanded to 46
reference were extended in 40
reference were extended to 155
reference when attempting to 64
reference when completing the 63
reference when describing the 74
reference when discussing the 110
reference when evaluating the 69
reference when questions of 45
reference when responding to 70
reference will continue to 107
reference will hereafter be 545
reference will normally be 69
reference will probably be 229
reference will therefore be 204
reference work compiled by 55
reference work consisting of 41
reference work consists of 91
reference work containing the 97
reference work contains the 48
reference work describing the 46
reference work designed to 90
reference work provides an 43
reference work provides the 52
refinance your mortgage at 63
refinance your mortgage or 45
refinance your mortgage to 56
reflected back parallel to 190
reflected deep divisions in 61
reflected from hundreds of 124
reflected from surfaces in 116
reflected from surfaces of 141
reflected from thousands of 104
reflected great disgrace on 85
reflected many elements of 49
reflected more directly in 185
reflected more directly the 103
reflected more disgrace on 93
reflected more recently in 88
reflected more seriously on 96
reflected most directly in 180
reflected most obviously in 462
reflected most recently in 131
reflected most severely on 55
reflected most strikingly in 151
reflected only partially in 82
reflected only slightly in 79
reflected rays converge to 113
reflected some disgrace on 190
reflected some elements of 60
reflected their approach to 46
reflected their attempts to 89
reflected their attitude to 42
reflected their eagerness to 53
reflected their emphasis on 48
reflected their interest in 366
reflected their rejection of 73
reflected their response to 79
reflected their tendency to 48
reflected these concerns in 81
reflected very seriously on 140
reflected very severely on 43
reflected wave consists of 52
reflected wave relative to 190
reflection from surfaces of 91
reflection have suffered to 49
reflection have supplied us 43
reflection made possible by 95
reflection must convince the 66
reflection must convince us 346
reflection must therefore be 47
reflection very flattering to 77
reflection will continue to 41
reflection will convince the 971
reflection will convince us 2884
reflection will denounce it 63
reflection will disclose the 96
reflection will indicate the 147
reflection will persuade us 42
reflection will probably be 45
refocused their attention on 509
refocused their attention to 54
refocused their energies on 110
reformers drew attention to 42
reformers ever scrupled to 66
reformers have attacked the 42
reformers have proposed to 43
reformers have stressed the 45
reformers were actuated by 46
reformers were advocating the 51
reformers were ambitious of 71
reformers were animated by 187
reformers were appalled by 199
reformers were attempting to 299
reformers were conscious of 63
reformers were critical of 113
reformers were disposed to 63
reformers were inclined to 127
reformers were inspired by 159
reformers were involved in 52
reformers were listened to 46
reformers were prepared to 375
reformers were products of 41
reformers were replaced by 44
reformers were responding to 93
reformers were troubled by 43
reformers will continue to 85
refracted rays converge to 77
refraction must therefore be 51
refrained from addressing the 350
refrained from advocating the 119
refrained from announcing the 112
refrained from assaulting the 85
refrained from attempting it 109
refrained from attempting the 138
refrained from attempting to 4671
refrained from attempts at 58
refrained from attempts to 221
refrained from bombarding the 42
refrained from challenging the 491
refrained from commencing an 40
refrained from commenting in 63
refrained from commenting on 5731
refrained from comments on 143
refrained from committing it 41
refrained from committing the 181
refrained from committing to 48
refrained from completing the 103
refrained from condemning it 68
refrained from condemning the 393
refrained from consulting the 89
refrained from contacting the 47
refrained from contesting the 129
refrained from continuing the 116
refrained from continuing to 57
refrained from correcting the 141
refrained from delivering the 85
refrained from denouncing it 43
refrained from denouncing the 253
refrained from describing in 110
refrained from describing it 81
refrained from describing the 452
refrained from destroying the 303
refrained from developing the 73
refrained from disclosing the 169
refrained from disclosing to 106
refrained from discussing in 105
refrained from discussing it 311
refrained from discussing the 1793
refrained from dismissing the 53
refrained from disturbing the 432
refrained from escalating the 57
refrained from estimating the 40
refrained from evaluating the 50
refrained from exercising it 136
refrained from exercising the 277
refrained from exhibiting the 84
refrained from explaining the 127
refrained from explaining to 81
refrained from exploiting the 177
refrained from expressing an 1709
refrained from expressing in 49
refrained from expressing it 106
refrained from expressing my 327
refrained from expressing the 329
refrained from expressing to 53
refrained from indicating in 49
refrained from indicating the 120
refrained from inflicting the 94
refrained from oppressing the 53
refrained from performing the 83
refrained from plundering the 111
refrained from predicting the 40
refrained from presenting it 51
refrained from presenting the 246
refrained from presenting to 40
refrained from preventing the 60
refrained from proceeding to 119
refrained from publishing an 59
refrained from publishing in 80
refrained from publishing it 601
refrained from publishing the 837
refrained from questioning me 70
refrained from questioning the 261
refrained from requesting the 67
refrained from responding in 51
refrained from responding to 354
refrained from specifying the 238
refrained from submitting the 85
refrained from suggesting it 63
refrained from suggesting the 85
refrained from suggesting to 57
refrained from supporting it 44
refrained from supporting the 558
refreshed their memories of 71
regiments having received no 65
regiments monk ventured to 97
regiments wave defiantly at 45
regiments were accepted by 51
regiments were actually in 66
regiments were allotted as 41
regiments were assigned to 575
regiments were attached to 201
regiments were attacked by 84
regiments were billeted in 50
regiments were composed of 864
regiments were deployed in 152
regiments were deployed on 93
regiments were destined to 57
regiments were detached to 119
regiments were detailed to 94
regiments were directed to 415
regiments were embarked on 44
regiments were employed in 152
regiments were encamped at 52
regiments were encamped in 106
regiments were encamped on 99
regiments were enlisted in 42
regiments were entitled to 70
regiments were expected to 167
regiments were included in 92
regiments were intended to 80
regiments were involved in 151
regiments were mustered in 191
regiments were numbered in 66
regiments were prepared to 101
regiments were regarded as 43
regiments were relieved by 44
regiments were replaced by 86
regiments were reported to 50
regiments were repulsed by 50
regiments were required to 251
regiments were retained in 51
regiments were returned to 42
regiments were selected to 61
regiments were stationed at 257
regiments were stationed in 561
regiments were stationed on 117
regiments were summoned to 207
regiments were supposed to 147
regiments were withdrawn to 41
registering their approval of 54
registering their children in 96
registering their presence in 46
registers were accurate to 63
registers were required to 43
registrar must register the 78
regression also includes the 74
regression line describing the 436
regression line explains the 77
regression line expressing the 62
regression line indicating the 81
regression line obtained by 427
regression line obtained in 157
regression line provides an 158
regression line provides the 130
regression line reflects the 97
regression line relative to 52
regression were inherent in 53
regression when compared to 56
regretted having accepted the 171
regretted having confided in 73
regretted having deferred to 81
regretted having followed the 60
regretted having listened to 100
regretted having mentioned it 85
regretted having mentioned the 135
regretted having promised to 50
regretted having returned to 42
regretted having ventured so 47
regularly been employed in 42
regularly been followed by 172
regularly been included in 61
regularly been involved in 90
regularly been observed in 64
regularly been referred to 67
regularly been regarded as 119
regularly call attention to 67
regularly draw attention to 85
regularly drew attention to 118
regularly from december to 41
regularly from november to 55
regularly gave lectures on 42
regularly have recourse to 50
regularly kept informed of 94
regularly make decisions on 41
regularly send messages to 62
regulated most strictly by 42
regulated their calendar by 60
regulated their calendar on 95
regulated their relations in 44
regulated their relations to 58
regulated when imported as 102
regulates many functions of 51
regulates such functions as 68
regulates their operation on 74
regulation also includes the 65
regulation also requires the 94
regulation during exercise in 288
regulation game consists of 227
regulation have resulted in 217
regulation made possible by 50
regulation made pursuant to 1141
regulation must therefore be 96
regulation were designed to 49
regulation were extended to 42
regulation were required to 43
regulation when compared to 49
regulation will continue to 516
regulation will probably be 154
regulator gene controls the 59
regulator will continue to 50
rehearsals were attended by 141
reimburse their expenses in 84
reinforce other elements of 58
reinforce their argument by 71
reinforce their attempts to 61
reinforce their authority by 112
reinforce their authority in 65
reinforce their capacity to 104
reinforce their comrades in 112
reinforce their comrades on 49
reinforce their garrison at 72
reinforce their garrison on 45
reinforce their identity as 334
reinforce their interest in 65
reinforce their positions by 52
reinforce their positions in 156
reinforce their positions of 70
reinforce their positions on 68
reinforce their presence in 75
reinforce their tendency to 116
reinforce these patterns of 47
reinforce those elements of 41
reinforce your interest in 91
reinforcing bars embedded in 269
reinforcing rods embedded in 75
reinforcing their capacity in 44
reinforcing their identity as 161
reinforcing their interest in 50
reinforcing their positions in 85
reinforcing their tendency to 55
reinstate such employee to 51
reinvesting such proceeds or 62
reiterate their intention to 66
reiterate your interest in 223
reiterating their intention to 40
reiterating your interest in 52
rekindled their interest in 156
relatives also received me 55
relatives have returned to 49
relatives here confines the 48
relatives were admitted to 74
relatives were affected by 40
relatives were believed to 54
relatives were deported to 54
relatives were deprived of 42
relatives were employed in 69
relatives were entitled to 170
relatives were expected to 458
relatives were inclined to 62
relatives were included in 114
relatives were informed of 112
relatives were involved in 435
relatives were murdered by 100
relatives were murdered in 89
relatives were prepared to 177
relatives were referred to 71
relatives were regarded as 155
relatives were reported to 94
relatives were required to 187
relatives were summoned to 101
relatives were supposed to 195
relatives were unlikely to 56
relatives what presents we 70
relatives will continue to 71
relatives will probably be 77
relaxation data obtained at 60
relaxation from business in 41
relaxation from business or 40
relaxation rate constant is 64
relaxation rate constant of 138
relaxation time compared to 103
relaxation time constant in 49
relaxation time constant is 342
relaxation time constant of 614
relaxation time decreases as 101
relaxation time describing the 49
relaxation time increases as 149
relaxation time observed in 101
relaxation time obtained by 54
relaxation time reflects the 53
relaxation time relative to 136
relaxation time required to 153
relaxation time spectrum is 170
relaxation time spectrum of 217
relegated into adultery by 83
relevance here concerns the 62
relevance when attempting to 91
relevance when compared to 135
relevance when discussing the 64
relevance will continue to 53
relocated from downtown to 47
remainder must commence or 111
remainder must therefore be 51
remainder upon delivery of 70
remainder were absorbed by 42
remainder were admitted to 40
remainder were allotted to 45
remainder were assigned to 257
remainder were attached to 54
remainder were children of 46
remainder were composed of 142
remainder were confined in 49
remainder were deported to 54
remainder were directed to 58
remainder were disposed of 183
remainder were employed as 155
remainder were employed by 90
remainder were employed in 394
remainder were employed on 50
remainder were enrolled in 83
remainder were expected to 82
remainder were harassed by 72
remainder were included in 95
remainder were involved in 130
remainder were murdered in 60
remainder were obtained by 86
remainder were occupied by 120
remainder were occupied in 68
remainder were operated by 80
remainder were provided by 57
remainder were referred to 70
remainder were required to 85
remainder were retained in 54
remainder were returned to 132
remainder were stationed in 47
remainder were suffered to 56
remainder were supplied by 79
remainder were supposed to 60
remainder will continue to 136
remainder will indicate the 147
remainder will probably be 217
remembering some passages in 49
remembering some specific thing 120
remembering what happened at 123
remembering what happened in 681
remembering what happened on 69
remembering what happened the 153
remembering what happened to 843
remembers many passages in 62
remembers what happened at 69
remembers what happened in 235
remembers what happened on 44
remembers what happened the 68
remembers what happened to 586
remissions have occurred in 90
remissions were achieved in 149
remissions were observed in 188
remissions were obtained in 323
remissions were reported in 53
renewable upon evidence of 43
renounced their intention of 100
renounced their interest in 80
renounced their practice of 45
renounced your intention of 53
reorganize their patterns of 54
reorganize their relations by 44
repeatedly been affirmed by 40
repeatedly been ascribed to 64
repeatedly been asserted by 42
repeatedly been asserted in 49
repeatedly been attacked by 118
repeatedly been compared to 85
repeatedly been declared by 121
repeatedly been declared to 115
repeatedly been detected in 53
repeatedly been employed in 58
repeatedly been followed by 144
repeatedly been informed by 55
repeatedly been involved in 143
repeatedly been mentioned as 221
repeatedly been mentioned in 226
repeatedly been observed by 88
repeatedly been observed in 661
repeatedly been observed to 353
repeatedly been proposed as 50
repeatedly been proposed to 62
repeatedly been referred to 425
repeatedly been regarded as 156
repeatedly been rejected by 288
repeatedly been reminded of 56
repeatedly been reported as 165
repeatedly been reported by 46
repeatedly been reported in 213
repeatedly been reported to 297
repeatedly been repulsed by 56
repeatedly been resorted to 40
repeatedly been stressed by 140
repeatedly been stressed in 137
repeatedly been threatened by 72
repeatedly call attention to 359
repeatedly draw attention to 292
repeatedly drew attention to 1349
repeatedly find yourself in 58
repeatedly gave evidence of 90
repeatedly give evidence of 40
repeatedly have stressed the 57
repeatedly laid emphasis on 107
repeatedly lays emphasis on 45
repeatedly made attempts at 42
repeatedly made attempts to 207
repeatedly made mistakes in 97
repeatedly over thousands of 52
repeatedly seen examples of 42
repeatedly sent messages to 148
repeatedly sent petitions to 69
repeatedly vowing fidelity to 101
repertory grid analysis of 119
replenish their reserves by 229
replenish their reserves of 44
replenish their reserves or 43
replenish their supplies at 103
replenish their supplies by 44
replenish their supplies in 68
replenish their supplies of 733
replicate those observed in 43
replicate those reported by 139
replicate those reported in 47
reporters firing questions at 43
reporters took pictures of 47
reporters were admitted to 207
reporters were assigned by 47
reporters were assigned to 493
reporters were attempting to 55
reporters were confined to 58
reporters were expected to 237
reporters were inclined to 66
reporters were included in 40
reporters were required to 204
reporters were stationed in 43
reporters were summoned to 121
reporters were supposed to 226
reporters will continue to 90
represent best practice in 96
represent clear evidence of 74
represent clear examples of 164
represent data obtained at 99
represent data obtained by 214
represent data obtained in 148
represent data obtained on 115
represent early attempts at 67
represent early attempts to 213
represent early examples of 170
represent fine examples of 78
represent four branches of 40
represent good examples of 505
represent good practice in 125
represent great advances in 42
represent great progress in 45
represent have perished as 40
represent many hundreds of 98
represent many thousands of 244
represent more directly the 84
represent most probably the 77
represent north carolina at 46
represent north carolina in 205
represent nothing definite to 42
represent only examples of 42
represent only fractions of 43
represent only partially the 67
represent only variations in 48
represent other branches of 65
represent other elements of 46
represent other examples of 160
represent rare examples of 47
represent some elements of 68
represent some examples of 168
represent some progress in 73
represent some property of 93
represent some thousands of 46
represent south carolina at 77
represent south carolina in 247
represent such concepts as 71
represent such subjects as 162
represent such variations in 45
represent their attempts to 151
represent their children as 42
represent their children in 105
represent their concerns in 80
represent their concerns to 83
represent their condition as 134
represent their condition in 48
represent their condition to 137
represent their counties in 55
represent their district in 107
represent their education as 52
represent their families in 92
represent their interest at 44
represent their interest in 330
represent their positions in 71
represent their presence in 42
represent their products as 144
represent their relations to 57
represent their response to 53
represent their services to 78
represent their situation as 91
represent their situation to 192
represent their subjects as 195
represent their subjects in 170
represent these concepts in 63
represent these decisions to 89
represent these elements in 51
represent these entities in 41
represent these equations in 42
represent these functions as 89
represent these functions by 193
represent these functions in 60
represent these relations by 71
represent these relations in 130
represent these variables as 40
represent those elements in 108
represent those elements of 121
represent those involved in 50
represent those segments of 51
represent three branches of 43
represent three divisions of 43
represent three equations in 54
represent three examples of 64
represent three positions of 57
represent three quarters of 143
represent true increases in 46
represent wealth produced by 47
represent what happened in 108
represent what happened to 83
represent what probably is 80
represent what subjects he 79
represent wide variations in 56
represent will continue to 101
represent your district in 49
represent your interest in 57
represent your province in 98
represent your situation of 49
repressed lord brougham to 58
repressed their memories of 131
represses their attempts to 49
repression only increased the 40
repression were resorted to 50
repression will continue to 54
reprieved from sentence of 123
reprinted from archives of 63
reprinted from articles in 158
reprinted from bulletin of 192
reprinted from handbook of 66
reprinted here courtesy of 190
reprinted more recently in 47
reprinted most recently in 245
reprinted such articles in 59
reprisals were resorted to 57
reproduce their pictures in 44
reproduce these articles in 79
reproduce those relations of 56
republics were absorbed in 40
republics were admitted to 65
republics were composed of 54
republics were entitled to 60
republics were expected to 52
republics were governed by 187
republics were prepared to 51
republics were prompted to 57
republics were required to 64
republics were supposed to 64
republics will continue to 97
republish these articles in 60
reputation among musicians as 88
reputation among scholars of 51
reputation among students as 161
reputation among students of 132
reputation been confined to 110
reputation ever advanced it 182
reputation soon extended to 55
reputation will continue to 227
reputation will probably be 77
requested lord montague to 55
requested south carolina to 58
requested their attention to 100
requested their presence at 86
requested their presence in 70
requested their transfer to 53
requested your attention to 85
requested your presence at 121
requested your presence in 78
rescinded their approval of 41
researcher also attempts to 46
researcher asks questions of 47
researcher must approach the 42
researcher must consider in 76
researcher must consider the 660
researcher must continue to 78
researcher must describe the 48
researcher must estimate the 54
researcher must evaluate the 107
researcher must identify the 258
researcher must therefore be 87
researcher pays attention to 62
researcher will continue to 77
researcher will probably be 63
researches have elicited the 40
researches have provided the 45
researches have rendered it 239
researches have resulted in 388
researches into problems of 72
researches just referred to 42
researches were confined to 252
researches were designed to 76
researches were directed to 197
researches were embodied in 156
researches were extended to 61
researches were followed by 100
researches were followed up 48
researches were inspired by 43
researches were regarded as 45
researches were rewarded by 123
resembled even remotely the 45
resembled much hauberks of 63
resembled those ascribed by 58
resembled those discords in 56
resembled those employed by 107
resembled those employed in 56
resembled those observed by 74
resembled those observed in 350
resembled those obtained by 115
resembled those obtained in 108
resembled those prevailing in 71
resembled those produced by 404
resembled those produced in 58
resembled those proposed by 43
resembled those reported by 128
resembled those reported in 93
resembled what happened at 49
resembled what happened in 86
resembles only slightly the 41
resembles other examples of 48
resembles some sensation or 48
resembles those observed in 74
resembles those produced by 67
resembles what happened in 104
resembles what happened to 56
reservoir must therefore be 78
reservoir rock consists of 51
reservoir will continue to 79
residence from toulouse to 83
residence from vladimir to 56
residence more eligible to 44
residence more suitable to 75
residence once occupied by 57
residence time compared to 75
residence time increases the 51
residence time relative to 82
residence time required in 79
residence time required to 233
residence were included in 56
residence were required to 91
residence will continue to 62
residence will normally be 44
residence will probably be 63
residents feel threatened by 46
residents felt threatened by 54
residents from exposure to 48
residents have migrated to 85
residents have resorted to 56
residents have resulted in 46
residents have returned to 76
residents living adjacent to 138
residents most affected by 57
residents were admitted as 101
residents were admitted to 99
residents were affected by 135
residents were appalled by 59
residents were assigned to 195
residents were attempting to 56
residents were awakened by 145
residents were believed to 44
residents were citizens of 51
residents were compared to 42
residents were confined to 120
residents were critical of 89
residents were deported to 49
residents were deprived of 83
residents were diagnosed as 42
residents were eligible to 125
residents were employed as 112
residents were employed at 59
residents were employed by 139
residents were employed in 445
residents were enrolled in 107
residents were entitled to 408
residents were expected to 886
residents were inclined to 113
residents were included in 207
residents were informed of 73
residents were involved in 794
residents were observed to 77
residents were offended by 58
residents were outraged at 45
residents were outraged by 65
residents were prepared to 258
residents were recorded in 62
residents were referred to 53
residents were regarded as 200
residents were reminded of 60
residents were replaced by 71
residents were reported as 132
residents were reported to 208
residents were required to 1407
residents were returned to 68
residents were startled by 55
residents were summoned to 55
residents were supposed to 228
residents were troubled by 41
residents were unlikely to 69
residents when compared to 59
residents will continue to 435
residents will probably be 75
residents will remember the 77
residuals were examined to 46
residuals were obtained by 52
resilient peer treatment of 51
resistors were replaced by 43
resolution also affirmed the 85
resolution also demanded the 75
resolution also directed the 106
resolution also endorsed the 57
resolution also included the 47
resolution also referred to 122
resolution also requests the 46
resolution also required the 59
resolution also requires the 57
resolution also stressed the 104
resolution drew attention to 96
resolution film containing an 43
resolution here referred to 66
resolution just referred to 73
resolution made possible by 143
resolution mass spectrum of 445
resolution must therefore be 82
resolution were accepted by 66
resolution were confined to 40
resolution were obtained by 59
resolution were referred to 50
resolution were rejected by 52
resolution when compared to 314
resolution will continue to 147
resolution will probably be 161
resolution will surprise no 67
resolution will therefore be 67
resounded from mountain to 65
resounded from thousands of 80
resources been invested in 43
resources from anywhere in 141
resources from children to 76
resources from consumer to 46
resources from depletion by 74
resources from developing to 202
resources from domestic to 90
resources from economic to 81
resources from education to 56
resources from hospital to 44
resources from industry to 255
resources from military to 801
resources from peacetime to 58
resources have affected the 114
resources have combined to 125
resources have declined in 58
resources have increased by 62
resources have increased in 152
resources have increased the 108
resources have occurred in 45
resources have provided the 137
resources have remained the 40
resources have resulted in 593
resources into developing the 126
resources into products or 249
resources made possible by 499
resources made possible the 137
resources make possible the 79
resources more adequate to 54
resources more directly to 48
resources most agreeable to 63
resources most relevant to 69
resources most valuable to 44
resources must consider the 61
resources must continue to 108
resources must therefore be 306
resources used directly by 52
resources were absorbed by 157
