rapturous expressions of delight 59
reasonably calculated to suggest 110
reasonably identified as referring 402
reasonably identifies the subject 781
reasonably successful in achieving 225
reasonably successful in obtaining 89
reasonably successful in promoting 47
reasonably successful in providing 137
reasonably sufficient to prevent 49
reasonably sufficient to satisfy 87
reasonably understood as referring 56
receptors implicated in vesicle 248
recommend legislation to congress 382
recommend legislation to prevent 58
recommend legislation to protect 60
recommend reformation as strongly 169
recommend sacrifices by oneself 87
recommend strategies to improve 43
recurrent deficiency or absence 44
recurrent dislocation of patella 621
recurrent phenomenon in history 76
recursive definitions of addition 59
redundant information is removed 50
reference information in reports 77
reflected ultrasound in detecting 52
reflection coefficient is assumed 65
reflection coefficient is defined 313
reflection coefficient is measured 233
reflection coefficient is plotted 91
reflection coefficient is reduced 81
reflection coefficient is related 108
reflection coefficient is smaller 41
reflection coefficient is usually 51
reflection properties of natural 61
reformers interested in improving 42
regression adjustment to control 44
regression coefficient as follows 78
regression coefficient in equation 63
regression coefficient is smaller 85
regression coefficient is usually 44
regression coefficient of offspring 84
regression coefficient of variable 224
regression techniques to analyze 261
regression techniques to control 186
regression techniques to develop 61
regression techniques to examine 215
regression techniques to predict 238
regularly celebrated the national 65
regularly introduced in congress 60
regulated industries in america 75
regulation prescribed by congress 41
reinforcing properties of alcohol 334
reinforcing properties of cocaine 393
reinforcing properties of stimuli 227
relational demography in superior 407
relational properties of objects 121
relaxation approaches to general 111
relaxation properties of polymer 45
relaxation techniques in chapter 96
relaxation techniques to control 286
relaxation techniques to decrease 311
relaxation techniques to enhance 42
relaxation techniques to improve 108
relaxation techniques to prevent 89
relaxation techniques to promote 174
relaxation techniques to relieve 206
relocation assistance to persons 47
reluctant attendance at endless 116
reluctant confessions of several 116
reparation obligations of germany 56
repeatedly admonished the brethren 100
repeatedly emphasized in official 52
repeatedly emphasized in previous 58
repeatedly emphasized the central 52
repeatedly emphasized the primacy 47
repeatedly evaporated to dryness 129
repeatedly intervened to prevent 42
repeatedly introduced in congress 126
represent adequately the remaining 92
represent collections of objects 78
represent literature as declining 81
represent magnitudes in general 53
represent properties of objects 105
represent simplicity of manners 52
repulsive coarseness or mawkish 47
requested assistance in obtaining 61
requested defendants to confirm 82
requested information or provide 78
requisite complement of ratifying 52
requisite information in respect 238
requisite legislation by congress 151
requisite legislation of congress 56
requisite likelihood of success 61
requisite precautions to prevent 64
requisite resistance to similar 52
researcher interested in comparing 55
researcher interested in examining 79
researcher interested in exploring 92
researcher interprets the results 51
residents department of revenue 67
resistant populations of bacteria 43
resolution expressive of sympathy 52
resolution introduced by himself 49
resolution introduced by senator 1050
resolution introduced in congress 253
resolution introduced on january 42
resolution mechanisms to resolve 81
resolution procedures to resolve 49
resolution recommending the adoption 89
resolution recommending the convening 74
resolution recommending the removal 84
resolution strategies in marital 49
resolution strategies in relation 52
resolution sufficient to contain 63
resolution sufficient to resolve 111
resolution sufficient to support 75
resolution techniques to resolve 54
resonance structures of benzene 220
resourced assistance to respond 81
resources applicable to vessels 239
resources constitute the subject 83
resources controlled by foreign 87
resources department to develop 61
resources management in general 210
resources management in southern 50
resources sufficient to achieve 74
resources sufficient to finance 60
resources sufficient to perform 107
resources sufficient to produce 64
resources sufficient to provide 286
resources sufficient to satisfy 73
resources sufficient to support 492
resources sufficient to sustain 140
respected university of chicago 117
responded positively to certain 42
responded positively to demands 60
responded positively to increasing 45
responses indicative of anxiety 53
restraining influences of religion 187
restricting acceptance of payment 107
restricting immigration of chinese 52
restricts competition or impairs 79
retainers proclaimed an instant 76
routinely prescribed by doctors 44
