early age knows what art 94
eyes are still heavy with 54
eyes are still open and 57
eyes are still very bad 74
eyes are stuck upon thee 391
eyes had grown clear and 45
eyes had grown cold and 40
eyes had grown dark and 73
eyes had grown dark with 45
eyes had grown hard and 70
eyes had grown wide and 95
eyes had grown wide with 90
eyes had never left her 352
eyes had never left him 174
eyes had never left his 277
eyes had never seen any 43
eyes had never seen him 59
eyes had shone upon him 128
eyes his whole life was 42
eyes she could make out 73
eyes that bored into her 82
eyes that bored into his 51
eyes that could fill with 50
eyes that could open and 42
eyes that gazed into his 87
eyes that jones heard this 71
eyes that never left her 96
eyes that never left his 83
eyes that shall ever read 198
eyes that shone like two 90
eyes that shone upon him 77
eyes that spoke more than 53
eyes that would make her 41
eyes that would open and 43
eyes was fixed upon him 40
