ebullition cheered me for the 43
expression similar to that of 798
expression towards the end of 192
expression uttered by her is 42
expressly adopted is that of 43
expressly against the law of 460
expressly approve the use of 46
expressly assures us that the 89
expressly forbade the use of 312
expressly forbids the use of 299
expressly granted by act of 47
expressly granted to him by 235
expressly granted to him in 68
expressly granted to them by 375
expressly granted to them in 46
expressly granted to you in 75
expressly imposed on him by 58
expressly informs us that he 105
expressly informs us that the 236
expressly permits the use of 203
expressly promise to pay the 53
expressly rejects the idea of 84
expressly related by one or 105
expressly require the use of 43
expressly secured to them by 57
expressly witness to you of 55
exquisite caverns of ice to 62
exquisite edifice is now the 46
exquisite fitness of all the 52
exquisite harmony of all the 113
exquisite variety of all the 53
extensive account of all the 98
extensive account of how the 59
extensive domains by way of 68
extensive efforts to fly in 43
extensive history of use in 80
extensive research is going on 44
extensive research on how the 43
extensive research on how to 48
extensive studies is that of 40
extinction towards the end of 44
extremely careful in using the 45
extremely cautious in doing it 74
extremely cautious in using the 82
extremely grieved to hear of 54
extremely grieved to see the 83
extremely helpful in that it 63
extremely helpful to him in 60
extremely helpful to them in 131
extremely helpful to you in 134
extremely legible in all of 109
extremely limited as far as 49
extremely obliged to you if 386
extremely obliged to you to 87
extremely painful to both the 40
extremely painful to him to 190
extremely popular in all the 56
extremely popular in both the 44
extremely rapidly so that the 49
extremely similar to that in 69
extremely similar to that of 1334
extremely thankful to all the 48
extremely unusual in that it 53
extricate herself it was by 59
