earlier is a prime example 51
engaged in a broad program 80
engaged in a broad variety 82
engaged in a change process 76
engaged in a close alliance 82
engaged in a close contest 54
engaged in a crash program 147
engaged in a deadly contest 125
engaged in a deadly warfare 50
engaged in a fight against 569
engaged in a fight between 48
engaged in a fight wherein 56
engaged in a fresh contest 68
engaged in a fresh quarrel 84
engaged in a given behavior 67
engaged in a group boycott 141
engaged in a heated contest 49
engaged in a heated dialogue 47
engaged in a heated dispute 220
engaged in a heated exchange 352
engaged in a heated quarrel 53
engaged in a jihad against 44
engaged in a joint endeavor 70
engaged in a joint project 233
engaged in a joint research 92
engaged in a joint venture 1314
engaged in a labor dispute 1291
engaged in a large project 51
engaged in a large research 40
engaged in a large variety 199
engaged in a league against 46
engaged in a learning process 415
engaged in a legal dispute 154
engaged in a lengthy dialogue 48
engaged in a lengthy dispute 68
engaged in a lengthy process 89
engaged in a local inquiry 66
engaged in a major dispute 54
engaged in a major european 50
engaged in a major program 258
engaged in a major project 192
engaged in a major research 167
engaged in a major revision 42
engaged in a mixed economy 57
engaged in a moral crusade 131
engaged in a noisy quarrel 50
engaged in a pilot project 72
engaged in a proxy contest 99
engaged in a running dialogue 47
engaged in a running dispute 88
engaged in a sharp contest 89
engaged in a sharp dispute 55
engaged in a sharp exchange 85
engaged in a small compass 58
engaged in a social process 68
engaged in a staring contest 92
engaged in a trade between 43
engaged in a trade dispute 237
engaged in a whole variety 48
engaged in a wider variety 144
engaged in a wordy warfare 63
engaged on a greek history 90
engaged on a large picture 52
engaged to a naval officer 72
engages in a given behavior 101
engages in a joint venture 197
enjoys by a title durable 56
enough to a proud dulness 74
enroll in a junior college 207
enroll in a local college 66
enroll in a nursing program 84
entering on a grave subject 50
entity in a share exchange 52
enzyme on a solid support 41
epochs of a close relation 182
equity by a party against 181
equity in a joint venture 160
equity in a motor vehicle 76
equity is a linear function 68
erosion as a major problem 42
erosion is a major problem 490
errors of a false prophet 52
errors of a false religion 56
errors of a roman catholic 98
errors of a whole country 50
escape in a hired carriage 86
essays on a given subject 147
estate as a hedge against 150
estate as a joint venture 41
estate of a minor citizen 76
estate of a noble heiress 66
estate to a trust company 78
events in a changing climate 177
events in a given country 41
events in a given society 42
events in a social context 40
events in a wider context 108
events of a given century 41
except as a warning against 72
except as a weapon against 64
except by a brief missive 46
except by a court decision 145
except by a moral miracle 43
except by a proxy coupled 52
except by a strong current 88
except in a close carriage 40
except in a given context 44
except in a rather general 53
except in a rather limited 72
except in a sitting position 52
except in a sitting posture 67
except in a small fraction 48
except in a social context 128
except in a state removed 72
except in a tight vehicle 95
except of a proud advance 72
except on a claim against 667
excess of a strong solution 238
exempt as a social welfare 62
existing at a given instant 332
existing in a given country 167
existing in a given culture 86
existing in a given society 693
existing in a social context 137
exists as a royal borough 57
exists as a social problem 49
exists as a solid solution 93
exists at a given instant 99
exists at a given location 63
exists in a given country 124
exists in a given culture 42
exists in a given language 50
exists in a given society 474
exists in a large variety 62
exists in a limbo between 131
exists in a region between 46
exists in a social context 337
exists in a space between 51
expert in a given subject 60
expert on a given subject 181
expire at a period certain 139
exposing at a vital instant 50
extant in a given society 41
extend to a period beginning 119
extent in a false position 55
extent of a small fraction 87
extent of a social problem 80
